Sabzi Mandi	id=g:7041468
Yadgār Chauk	id=g:7041469
Islāmābād Colony	id=g:7041470
Husainābād Colony	id=g:7041471
Nizāmābād	id=g:7041472
Nishtar Colony	id=g:7041473
Gulbahār	id=g:7041474
Nishtarābād Road	id=g:7041475
Aslamābād	id=g:7041476
Sarfrāz Colony	id=g:7041477
Bāra Khwār	id=g:7041478
Muhallah Shaikhān	id=g:7041479
Gharībābād	id=g:7041480
Gharībābād Road	id=g:7041481
Pāluāl Khwār	id=g:7041482
Jinnāh Colony	id=g:7041483
Ziārat Bāba Mandi Azīz Baīg	id=g:7043149
Dullu Khurd	id=g:7043169
Dullu Kalān	id=g:7043170
Deo Khund	id=g:7043171
Chand Rāi	id=g:7043172
Ghausia	id=g:7043173
Bāgriān Dharam Chand	id=g:7043174
Bādāmi Bāgh Railway Station	id=g:7043175
Harbanspura Railway Station	id=g:7043176
Tāj Colony	id=g:7043177
Shāhdara Distributary	id=g:7043178
Kashmir Park	id=g:7043179
Windala Road	id=g:7043180
Christian Colony	id=g:7043181
Allāma Iqbāl Colony	id=g:7043182
Nāsar Park	id=g:7043183
Mustafāābād	id=g:7043184
Gulzār Colony	id=g:7043185
Sābar Town	id=g:7043186
Mahmud Shahīd Road	id=g:7043187
Kot Abdul Qadir	id=g:7043188
Būta Park	id=g:7043189
Jinnāh Colony	id=g:7043190
Jinnāh Park	id=g:7043191
Bashīr Colony	id=g:7043192
Muslim Colony	id=g:7043193
Yousaf Park	id=g:7043194
Qāsim	id=g:7043195
Millat Tractor Factory	id=g:7043196
Maīn Colony	id=g:7043197
Lālāzār Colony	id=g:7043198
Shāraqpur Road	id=g:7043199
Mehrpura	id=g:7043200
Shekhupura Road	id=g:7043201
Shāhdara Town	id=g:7043202
Majīd Park	id=g:7043203
Ghore Shah	id=g:7043204
Siddiqia Colony	id=g:7043205
Sirāj Park	id=g:7043206
Rasūl Pārk	id=g:7043207
Qāzi Park	id=g:7043208
Railway Colony	id=g:7043209
Jasharat Rasūl Shahīd Road	id=g:7043210
Jahāngīr Park	id=g:7043211
Āsif Khān’s Tomb	id=g:7043212
Nūr Jahān’s Tomb	id=g:7043213
Qayyūm Park	id=g:7043214
Rāvi Town	id=g:7043215
Rāvi Road	id=g:7043216
Rāvi Lodge	id=g:7043217
Rahmān Park	id=g:7043218
Shmasābād	id=g:7043219
Abu Bakar Park	id=g:7043220
Merāj Park	id=g:7043221
Māchhipura	id=g:7043222
Khaju Ranwali Road	id=g:7043223
Bārādari	id=g:7043224
Sādāt Colony	id=g:7043225
Al-Badar Colony	id=g:7043226
Muhammadia Rāvi Colony	id=g:7043227
Lakar Mandi	id=g:7043228
Auqāf Colony	id=g:7043229
Nabi Park	id=g:7043230
Qila Lachhman Singh	id=g:7043231
Gāushāla	id=g:7043232
Bādshāhi Masjid	id=g:7043233
Lady Willingdon Hospital	id=g:7043234
Karīm Park	id=g:7043235
Amīn Park	id=g:7043236
Khālid Park	id=g:7043237
Ahmad Park	id=g:7043238
Roshanāi Gate	id=g:7043239
Taksāli Gate	id=g:7043240
Khokhar Town	id=g:7043241
Kashmīri Gate	id=g:7043242
Balāl Ganj	id=g:7043243
Chaudhary Park	id=g:7043244
Shafīqābād	id=g:7043245
Mahallah Kamāl Ganj	id=g:7043246
Nasar Park	id=g:7043247
Al-Habīb Park	id=g:7043248
Purāna Sānda Road	id=g:7043249
Dāta Hospital	id=g:7043250
Haiveri Park	id=g:7043251
Ghausia Mahalla	id=g:7043252
Sant Nagar	id=g:7043253
Sharīf Park	id=g:7043254
Afzal Park	id=g:7043255
Church Road	id=g:7043256
Iabdāli Road	id=g:7043257
Chohān Park	id=g:7043258
Bānd Road	id=g:7043259
Abu Bakar Siddique Colony	id=g:7043260
Amjad Park	id=g:7043261
Purāni Anārkali	id=g:7043262
Muhammadan Anglo-Oriental College	id=g:7043263
Hailey College of Commerce	id=g:7043264
Farmān Park	id=g:7043265
Usmān Park	id=g:7043266
Sānda Shamsuddin	id=g:7043267
Riwāz Gardens	id=g:7043268
Al-Noar Hotel	id=g:7043269
Jahangir Town	id=g:7043270
Tāj Park	id=g:7043271
Rām Nagar	id=g:7043272
Shām Nagar	id=g:7043273
Khawaja Farid Road	id=g:7043274
Chauburji	id=g:7043275
Chauburji Park	id=g:7043276
Punch Road	id=g:7043277
Islāmīa Park	id=g:7043278
Chauburji Quarters	id=g:7043279
Samānābād Road	id=g:7043280
Firdaus Colony	id=g:7043281
Jafaria Colony	id=g:7043282
Bakra Mandi	id=g:7043283
New Shālamār Colony	id=g:7043284
Mahājarābād	id=g:7043285
Shālīmār Road	id=g:7043286
Muslim Colony	id=g:7043287
Yatīmkhāna Chauk	id=g:7043288
Tibbia College	id=g:7043289
Nawān Kot	id=g:7043290
Kotla Pīr	id=g:7043291
Iqbāl Town	id=g:7043292
Farūqia Colony	id=g:7043293
Shāh Kamāl Road	id=g:7043294
Ghausia Colony	id=g:7043295
Allāma Iqbāl Town	id=g:7043296
Allāma Iqbāl Road	id=g:7043297
Maulāna Fazal Haq Road	id=g:7043298
Gulshan-e-Iqbāl Park	id=g:7043299
Najaf Colony	id=g:7043300
Wahdat Road	id=g:7043301
Punjāb University Hostel	id=g:7043302
Cherāgh Colony	id=g:7043303
Hussain Town	id=g:7043304
Āwān Colony	id=g:7043305
Multān Road	id=g:7043306
Wāris Colony	id=g:7043307
Mansūra	id=g:7043308
Mustafa Town	id=g:7043309
Chenāb Textile Mills	id=g:7043310
Allāma Iqbāl Medical College	id=g:7043311
Shahāb Block	id=g:7043312
Maulana Shaukat Al Road	id=g:7043313
Dhana Singhwāla	id=g:7043314
Muhammad Ali Jauher Town	id=g:7043315
Muhammad Ali Jinnāh Town	id=g:7043316
Nawāb Town	id=g:7043317
Jāfar Town	id=g:7043318
Kachi Kothi	id=g:7043319
Muhammadpura	id=g:7043320
Rājābād	id=g:7043321
Pakistan International Airlines Colony	id=g:7043322
Punjāb Govt Employees Housing Society	id=g:7043323
Green Town	id=g:7043324
Rajbāh Khārd Distributary	id=g:7043325
Gwāla Colony	id=g:7043326
Race Course Town	id=g:7043327
Feroz Flour Mills	id=g:7043328
Saruba Garden	id=g:7043329
Venus Housing Scheme	id=g:7043330
Lahore Race Club	id=g:7043331
Quaid-e-Millat Colony	id=g:7043332
Captain Mājid Shahīd Road	id=g:7043333
Sādiq Chouk	id=g:7043334
Depot Road	id=g:7043335
Abubakar Road	id=g:7043336
Al-Madina Road	id=g:7043337
S.M.A. Hai Road	id=g:7043338
Wali Market	id=g:7043339
Peco Road	id=g:7043340
Bhatti Colony	id=g:7043341
Khāliq Woolen Mills	id=g:7043342
Ghazanfar Block	id=g:7043343
Chundrigar Block	id=g:7043344
Qazi Muhammad Isa Road	id=g:7043345
Liāquat Town	id=g:7043346
Ghausia Park	id=g:7043347
Makhdūmābād	id=g:7043348
Rasūl Park	id=g:7043349
Ismaīl Nagar	id=g:7043350
Jahāngīr Park	id=g:7043351
Awāmi Park	id=g:7043352
Madina Ice Factory	id=g:7043353
Bostān Colony	id=g:7043354
R A Bāzār Road	id=g:7043355
Pākistan Foundation Technical Institute	id=g:7043356
Dil Kusha Colony	id=g:7043357
Gulāb Devi Memorial Hospital	id=g:7043358
Mustafa Colony	id=g:7043359
Ferozpur Road	id=g:7043360
Model Town Road	id=g:7043361
Umar Hayāt Block	id=g:7043362
Ghazāli Flats	id=g:7043363
Khair-un-Nisa Hospital	id=g:7043364
Allama Shabīr Ahmed Usmāni Road	id=g:7043365
Atāturk Block	id=g:7043366
Sher Shāh Block	id=g:7043367
Aurangzeb Block	id=g:7043368
Ali Block	id=g:7043369
Geological Survey of Pākistan	id=g:7043370
Bābar Block	id=g:7043371
Shākir Ali Museum	id=g:7043372
Tipu Block	id=g:7043373
Usmān Block	id=g:7043374
Garden Block	id=g:7043375
Ahmad Park Block	id=g:7043376
Sheikh Zaid Hospital	id=g:7043377
New Muslim Town	id=g:7043378
Gol Bāgh	id=g:7043379
Makkāh Colony	id=g:7043380
Gurumangat Road	id=g:7043381
Park Road	id=g:7043382
M.M Ālam Road	id=g:7043383
Stadium Road	id=g:7043384
Hotel Shālāmār	id=g:7043385
Qaddāfi Stadium	id=g:7043386
Liberty Market	id=g:7043387
Ghālib Market	id=g:7043388
Gulberg Colony	id=g:7043389
