Storvik	id=g:602566
Stor-Vändskäret	id=g:602567
Storudden	id=g:602568
Storuberget	id=g:602569
Storträsket	id=g:602570
Storträsket	id=g:602571
Storträsket	id=g:602572
Storträsket	id=g:602573
Storträsket	id=g:602574
Storträsk	id=g:602575
Storträsk	id=g:602576
Storträsket	id=g:602577
Storträsk	id=g:602578
Stortjärn	id=g:602579
Stor-Teuger	id=g:602580
Storsvedjan	id=g:602581
Backmyrn	id=g:602582
Storsund	id=g:602583
Storsträsket	id=g:602584
Storsträsk	id=g:602585
Storsträsk	id=g:602586
Stor-Snäckhamnen	id=g:602587
Stor-Skorvgrundet	id=g:602588
Storsjön	id=g:602589
Storsien	id=g:602590
Storselet	id=g:602591
Storsävarträsket	id=g:602592
Storsandudden	id=g:602593
Stor-Sandskäret	id=g:602594
Storsand	id=g:602595
Storrödjningsberget	id=g:602596
Storrödjningsberg	id=g:602597
Stor-Räbben	id=g:602598
Storrberget	id=g:602599
Stor-Råberget	id=g:602600
Stor-Pålsmyran	id=g:602601
Stor-Orträsket	id=g:602602
Storören	id=g:602603
Storön	id=g:602604
Storön	id=g:602605
Storön	id=g:602606
Storöfjärden	id=g:602607
Stornorrforsen	id=g:602608
Stormyrberget	id=g:602609
Stormyrbännan	id=g:602610
Stormyran	id=g:602611
Stormskär	id=g:602612
Stormark	id=g:602613
Storliden	id=g:602614
Storliden	id=g:602615
Storliden	id=g:602616
Storlidberget	id=g:602617
Stor-Laver	id=g:602618
Storlångträsk	id=g:602619
Stora Långören	id=g:602620
Stor Krokvattnet	id=g:602621
Stor Korsträsk	id=g:602622
Stor-Klöttermyran	id=g:602623
Stor-Klockarträsket	id=g:602624
Storklinta	id=g:602625
Storklinta	id=g:602626
Stor-Kinsberget	id=g:602627
Storkaxen	id=g:602628
Storkågeträsket	id=g:602629
Storkågeträsk	id=g:602630
Storkåge	id=g:602631
Storhuvudet	id=g:602632
Storhörun	id=g:602633
Holmsvattenberget	id=g:602634
Storholm	id=g:602635
Stor-Hemmisberget	id=g:602636
Stor-Hålvattnet	id=g:602637
Storgrundet	id=g:602638
Storgranliden	id=g:602639
Storforsen	id=g:602640
Storfors	id=g:602641
Storfors	id=g:602642
Storfjärden	id=g:602643
Stor Finnträsket	id=g:602644
Storfinnträsk	id=g:602645
Stor Finntjärn	id=g:602646
Stor-Fällberget	id=g:602647
Storbrännan	id=g:602648
Storbrännan	id=g:602649
Storbleset	id=g:602650
Stor-Blåliden	id=g:602651
Storblåliden	id=g:602652
Stor-Blåbergsträsket	id=g:602653
Stor-Blåbergsliden	id=g:602654
Storbergsträsket	id=g:602655
Storberget	id=g:602656
Storberget	id=g:602657
Storberget	id=g:602658
Storberget	id=g:602659
Storberget	id=g:602660
Storberget	id=g:602661
Storberget	id=g:602662
Storberget	id=g:602663
Storberget	id=g:602664
Stor-Båtsjön	id=g:602665
Storbäcken	id=g:602666
Storbäcken	id=g:602667
Storbacken	id=g:602668
Storbäcken	id=g:602669
Stora Ulmberget	id=g:602670
Stora Tallträsket	id=g:602671
Stora Stenträsket	id=g:602672
Stora Stenträsket	id=g:602673
Stora Snöberget	id=g:602674
Stor-Saltträsket	id=g:602675
Stora Renträsk	id=g:602676
Stora Pantsiberget	id=g:602677
Stora Orrmyran	id=g:602678
Stora Orrberget	id=g:602679
Stora Mullberg	id=g:602680
Stora Mjölåsberget	id=g:602681
Stora Märkberget	id=g:602682
Stor-Mannöhällan	id=g:602683
Stora Luleälven	id=g:602684
Stor-Lövvattnet	id=g:602685
Stora Lomberget	id=g:602686
Stora Ljusträsk	id=g:602687
Stor-Älberget	id=g:602688
Stor-Lappträsket	id=g:602689
Stora Lappträsk	id=g:602690
Stora Lappträsk	id=g:602691
Stora Klusaberget	id=g:602692
Stora Klöverberget	id=g:602693
Stora Kåtaberget	id=g:602694
Stora Huvberg	id=g:602695
Storåholm	id=g:602696
Stora Hamnskär	id=g:602697
Stora Grundträsket	id=g:602698
Stor-Furuön	id=g:602699
Stor-Fjäderägg	id=g:602700
