Breidablik	id=g:3160294
Breida	id=g:3160295
Breheimen	id=g:3160296
Breenvoll	id=g:3160297
Breen	id=g:3160298
Breen	id=g:3160299
Bredvik	id=g:3160300
Bredland	id=g:3160301
Bredevatn	id=g:3160302
Bredekfjellet	id=g:3160303
Bredek	id=g:3160304
Brautersæter	id=g:3160305
Brauter	id=g:3160306
Braute	id=g:3160307
Braut	id=g:3160308
Bråtveit	id=g:3160309
Brattvåg	id=g:3160310
Brattvær	id=g:3160311
Brattvær	id=g:3160312
Brattskarven	id=g:3160313
Brattskarven	id=g:3160314
Brattset	id=g:3160315
Brattset	id=g:3160316
Brattset	id=g:3160317
Brattøya	id=g:3160318
Brattøra	id=g:3160319
Brattlund	id=g:3160320
Brattliknuten	id=g:3160321
Brattlifjellet	id=g:3160322
Brattlia	id=g:3160323
Brattlia	id=g:3160324
Brattlia	id=g:3160325
Brattlia	id=g:3160326
Brattli	id=g:3160327
Brattli	id=g:3160328
Brattli	id=g:3160329
Brattli	id=g:3160330
Brattland	id=g:3160331
Brattland	id=g:3160332
Brattland	id=g:3160333
Brattland	id=g:3160334
Brattland	id=g:3160335
Brattland	id=g:3160336
Brattland	id=g:3160337
Brattjær	id=g:3160338
Brattholt	id=g:3160339
Brattholmen	id=g:3160340
Bratthøa	id=g:3160341
Bratthaug	id=g:3160342
Brattfoss	id=g:3160343
Brattfjord	id=g:3160344
Brattfjellet	id=g:3160345
Brattfjellaksla	id=g:3160346
Brattfjell	id=g:3160347
Brattfjell	id=g:3160348
Brattfjell	id=g:3160349
Brattestø	id=g:3160350
Bratterudsætri	id=g:3160351
Bratterud	id=g:3160352
Bratterud	id=g:3160353
Bratterud	id=g:3160354
Bratten	id=g:3160355
Bratteland	id=g:3160356
Brattefonnvatn	id=g:3160357
Brattefjell	id=g:3160358
Brattberget	id=g:3160359
Brattberg	id=g:3160360
Brattbakken	id=g:3160361
Brattås	id=g:3160362
Brattås	id=g:3160363
Brattås	id=g:3160364
Brattåker	id=g:3160365
Brattabø	id=g:3160366
Brattabø	id=g:3160367
Bratsletkjølen	id=g:3160368
Bratsberg	id=g:3160369
Bråtøya	id=g:3160370
Bråten	id=g:3160371
Bråten	id=g:3160372
Bråten	id=g:3160373
Bråtelia	id=g:3160374
Bråte	id=g:3160375
Bråte	id=g:3160376
Bråte	id=g:3160377
Bråtan	id=g:3160378
Bråtan	id=g:3160379
Bråtån	id=g:3160380
Bråtån	id=g:3160381
Bråtan	id=g:3160382
Bråstein	id=g:3160383
Bråstadelva	id=g:3160384
Bråstad	id=g:3160385
Bråstad	id=g:3160386
Bråstad	id=g:3160387
Bråstad	id=g:3160388
Brastad	id=g:3160389
Brastad	id=g:3160390
Brasøya	id=g:3160391
Braskereidfoss	id=g:3160392
Braset	id=g:3160393
Brårvatnet	id=g:3160394
Brannsdal	id=g:3160395
Brannåsen	id=g:3160396
Branem	id=g:3160397
Brandvollshaug	id=g:3160398
Brandvoll	id=g:3160399
Brandvoll	id=g:3160400
Brandvika	id=g:3160401
Brandvik	id=g:3160402
Brandval	id=g:3160404
Brandten	id=g:3160405
Brandsvika	id=g:3160406
Brandsvik	id=g:3160407
Brandsvatni	id=g:3160408
Brandstad	id=g:3160409
Brandsrud	id=g:3160410
Brandsøya	id=g:3160411
Brandsøy	id=g:3160412
Brandsøy	id=g:3160413
Brandsnuten	id=g:3160414
Brandsnesås	id=g:3160415
Brandsnes	id=g:3160416
Brandskog	id=g:3160417
Brandsholmen	id=g:3160418
Brandshaug	id=g:3160419
Brandsfonn	id=g:3160420
Brandsfjorden	id=g:3160421
Brandsegg	id=g:3160422
Brandsæter	id=g:3160423
Brandkvåltjørni	id=g:3160424
Brandheisætra	id=g:3160425
Brandheiklumpen	id=g:3160426
Brandhaugsætra	id=g:3160427
Brandelva	id=g:3160428
Brandbukampen	id=g:3160429
Brandbu	id=g:3160431
Brandasund	id=g:3160432
Brandangersund	id=g:3160433
Brandanger	id=g:3160434
Brandal	id=g:3160435
Brånåhø	id=g:3160436
Brakstad	id=g:3160437
Brakstad	id=g:3160438
Brakstad	id=g:3160439
Brakstad	id=g:3160440
Brakset	id=g:3160441
Brakfjället	id=g:3160442
Brakestadstølen	id=g:3160443
Brakelii	id=g:3160444
Brakdjupet	id=g:3160445
Bråkdalshø	id=g:3160446
Brakandalsfjell	id=g:3160447
Bragerøya	id=g:3160448
Bragdøy	id=g:3160449
Bråfjorden	id=g:3160450
Brække	id=g:3160451
Brådlandsvatn	id=g:3160452
Brådland	id=g:3160453
Brådland	id=g:3160454
Brådland	id=g:3160455
Bradal	id=g:3160456
Bøyum	id=g:3160457
Bøylestad	id=g:3160458
Bøylefossbru	id=g:3160459
Bøylefoss	id=g:3160460
Bøvri	id=g:3160461
Bøvetta	id=g:3160462
Bøvertun	id=g:3160463
Bøverlundsætra	id=g:3160464
Bøverli	id=g:3160465
Bøverkinnhalsen	id=g:3160466
Bøverdalen	id=g:3160467
Bøverdalen	id=g:3160468
Bøverdal	id=g:3160469
Bøverbru	id=g:3160470
Bøvatnet	id=g:3160471
Bøvatnet	id=g:3160472
Bøvatnet	id=g:3160473
Bøvær	id=g:3160474
Bøtun	id=g:3160475
Bottsvatnet	id=g:3160476
Bottølen	id=g:3160477
Bottheim	id=g:3160478
Botterud	id=g:3160479
Bottenvatn	id=g:3160480
Bottelsrud	id=g:3160481
Botteløyra	id=g:3160482
Botnvoll	id=g:3160483
Botnvikbrua	id=g:3160484
Botnvatnet	id=g:3160485
Botnvatnet	id=g:3160486
Botnavatnet	id=g:3160487
Botntind	id=g:3160488
Botnmark	id=g:3160489
Botnhamn	id=g:3160490
Botngard	id=g:3160491
Botnfjorden	id=g:3160492
Botnfjorden	id=g:3160493
Botnfjellet	id=g:3160494
Botner	id=g:3160495
Botnanipa	id=g:3160496
Botnen	id=g:3160497
Botnen	id=g:3160498
Botnen	id=g:3160499
Botnen	id=g:3160500
Botnen	id=g:3160501
Botne	id=g:3160503
Botne	id=g:3160504
Botndalsvatnet	id=g:3160505
Botnavikja	id=g:3160506
Botnavatnet	id=g:3160507
Botnavatnet	id=g:3160508
Botnavatnet	id=g:3160509
Botnavatnet	id=g:3160510
Botnavatnet	id=g:3160511
Botnastølen	id=g:3160512
Botnanosi	id=g:3160513
Botnane	id=g:3160514
Botnan	id=g:3160515
Botnahorgi	id=g:3160516
Botnafjorden	id=g:3160517
Botn	id=g:3160518
Botn	id=g:3160519
Botn	id=g:3160520
Botn	id=g:3160521
Botn	id=g:3160522
Botn	id=g:3160523
Botn	id=g:3160524
Botn	id=g:3160525
Botn	id=g:3160526
Botn	id=g:3160527
Botn	id=g:3160528
Botn	id=g:3160529
Botn	id=g:3160530
Botn	id=g:3160531
Botn	id=g:3160532
Botn	id=g:3160533
Botn	id=g:3160534
Botn	id=g:3160535
Botlshardtindan	id=g:3160536
Bota	id=g:3160537
Bosvatnet	id=g:3160538
Bøstranda	id=g:3160539
Bostrak	id=g:3160540
Bøstølen	id=g:3160541
Bøstølen	id=g:3160542
Bøstad	id=g:3160543
Bostad	id=g:3160544
Bostad	id=g:3160545
Bossnut	id=g:3160546
Bossnes	id=g:3160547
Bøsslungen	id=g:3160548
