Mezidie	id=g:1037866
Meziana	id=g:1037867
Serra Mezeze	id=g:1037868
Mezenga	id=g:1037869
Mezene	id=g:1037870
Rio Mexelela	id=g:1037871
Mezele	id=g:1037872
Mezele	id=g:1037873
Mezela	id=g:1037874
Mezela	id=g:1037875
Mezai	id=g:1037876
Zambane	id=g:1037877
Mezaca	id=g:1037878
Meza	id=g:1037879
Mexungué Velho	id=g:1037880
Mexunguè	id=g:1037881
Mexôto	id=g:1037882
Mexixine	id=g:1037883
Mexinguine	id=g:1037884
Mexiline	id=g:1037885
Mexicôpa	id=g:1037886
Mexexine	id=g:1037887
Mexexe	id=g:1037888
Mexerera	id=g:1037889
Cabo Messine	id=g:1037890
Mexeme	id=g:1037891
Mexelelene	id=g:1037892
Mexaxuane	id=g:1037893
Rio Mexama	id=g:1037894
Rio Mevúzi	id=g:1037895
Mevúzi	id=g:1037896
Mevuva	id=g:1037897
Mevuraichere	id=g:1037898
Mvua	id=g:1037899
Serra Mevunge	id=g:1037900
Mevumozi	id=g:1037901
Mevumoè	id=g:1037902
Rio Mevudezi	id=g:1037903
Mevuca	id=g:1037904
Mevuazi	id=g:1037905
Mevuaze	id=g:1037906
Baixo Mevu	id=g:1037907
Mevongoana	id=g:1037908
Napolomoxo	id=g:1037909
Rio Mevira	id=g:1037910
Mevia	id=g:1037911
Mivia	id=g:1037912
Rio Invana	id=g:1037913
Mevexa	id=g:1037914
Lago Meveue	id=g:1037915
Meveteia	id=g:1037916
Lago Vele	id=g:1037917
Mevêe	id=g:1037918
Mevedo	id=g:1037919
Mevava	id=g:1037920
Nanvarre	id=g:1037921
Mevalamassamba	id=g:1037922
Rio Mevai	id=g:1037923
Mêute	id=g:1037924
Meúrra	id=g:1037925
Lago Meumbane	id=g:1037926
Muelamade	id=g:1037927
Rio Macuipini	id=g:1037928
Monte Metungurué	id=g:1037929
Rio Meueguinine	id=g:1037930
Méua	id=g:1037931
Méu	id=g:1037932
Méu	id=g:1037933
Metzozo	id=g:1037934
Mexereno	id=g:1037935
Metuze	id=g:1037936
Rio Duduce	id=g:1037937
Monte Metuto	id=g:1037938
Monte Metuto	id=g:1037939
Meturro	id=g:1037940
Meturria	id=g:1037941
Meturra	id=g:1037942
Chefe Metuquene	id=g:1037943
Monte Mêtupine	id=g:1037944
Metupi	id=g:1037945
Monte Mutuni	id=g:1037946
Metupavane	id=g:1037947
Rio Metupala	id=g:1037948
Ponta Metupa	id=g:1037949
Monte Mecupa	id=g:1037950
Rio Metupa	id=g:1037951
Metupa	id=g:1037952
Passagem de Metundo	id=g:1037953
Ilha Metundo	id=g:1037954
Metúndeje	id=g:1037955
Rio Mutunda	id=g:1037956
Monte Tunda	id=g:1037957
Metunda	id=g:1037958
Meumbué	id=g:1037959
Rio Metambue	id=g:1037960
Metúmbi	id=g:1037961
Rio Metumbe	id=g:1037962
Metumbambe	id=g:1037963
Metumba	id=g:1037964
Rio Metuludi	id=g:1037965
Metulucula	id=g:1037966
Metulone	id=g:1037967
Metula	id=g:1037968
Rio Metuine	id=g:1037969
Metuge	id=g:1037970
Metuge	id=g:1037971
Metuere	id=g:1037972
Rio Metué	id=g:1037973
Metuda	id=g:1037974
Rio Metuchira	id=g:1037975
Metuchira	id=g:1037976
Metuchi	id=g:1037977
Rio Metuce	id=g:1037978
Metuce	id=g:1037979
Metuce	id=g:1037980
Monte Metuca	id=g:1037981
Chefe Mituca	id=g:1037982
Metuburi	id=g:1037983
Metubi	id=g:1037984
Rio Metube	id=g:1037985
Metuaquene	id=g:1037986
Metuana	id=g:1037987
Monte Metaafuro	id=g:1037988
Metro	id=g:1037989
Metro	id=g:1037990
Metovola	id=g:1037991
Rio Metovera	id=g:1037992
Metove	id=g:1037993
Metoué	id=g:1037994
Metotoana	id=g:1037995
Metotoana	id=g:1037996
Metotoa	id=g:1037997
Metôto	id=g:1037998
Monte Metotia	id=g:1037999
Metótia	id=g:1038000
Metolera	id=g:1038001
Metotela	id=g:1038002
Metotela	id=g:1038003
Metota	id=g:1038004
Metota	id=g:1038005
Metosso	id=g:1038006
Metôrro	id=g:1038007
Metôrro	id=g:1038008
Metorro	id=g:1038009
Metorra	id=g:1038010
Metorra	id=g:1038011
Metorone	id=g:1038012
Metoro	id=g:1038013
Metorica	id=g:1038014
Metopota	id=g:1038015
Metópoè	id=g:1038016
Metopa	id=g:1038017
Serra Mentovo	id=g:1038018
Metonjofo	id=g:1038019
Montes Metónia	id=g:1038020
Ponta Metonhera	id=g:1038021
Metongoro	id=g:1038022
Metongonane	id=g:1038023
Metongola	id=g:1038024
Ponta Metonga	id=g:1038025
Metondonhe	id=g:1038026
Metondoje	id=g:1038027
Rio Metona	id=g:1038028
Rio Motomo	id=g:1038029
Metoma	id=g:1038030
Metolola	id=g:1038031
Metolia	id=g:1038032
Montes Metola	id=g:1038033
Aldeia Metora	id=g:1038034
Metol	id=g:1038035
Metodué	id=g:1038036
Metodia	id=g:1038037
Metocota	id=g:1038038
Metocota	id=g:1038039
Metoconha	id=g:1038040
Metocole	id=g:1038041
Monte Metócoè	id=g:1038042
Metoco	id=g:1038043
Metocheria	id=g:1038044
Monte Metocha	id=g:1038045
Metobane	id=g:1038046
Monte Metôa	id=g:1038047
Metôa	id=g:1038048
Rio Metizane	id=g:1038049
Baía Metizane	id=g:1038050
Metiza	id=g:1038051
Metiza	id=g:1038052
Metivela	id=g:1038053
Rio Metiva	id=g:1038054
Metiva	id=g:1038055
Rio Meliua	id=g:1038056
Metiua	id=g:1038057
Metito	id=g:1038058
Rio Metitima	id=g:1038059
Metite	id=g:1038060
Metite	id=g:1038061
Metite	id=g:1038062
Rio Mutitaé	id=g:1038063
Metita	id=g:1038064
Metiro	id=g:1038065
Metiro	id=g:1038066
Metira	id=g:1038067
Metira	id=g:1038068
Metir	id=g:1038069
Metiquia	id=g:1038070
Metipomo	id=g:1038071
Metipe	id=g:1038072
Metipa	id=g:1038073
Rio Metinho	id=g:1038074
Metine	id=g:1038075
Metine	id=g:1038076
Metina	id=g:1038077
Metimue	id=g:1038078
Metimbire	id=g:1038079
Monte Metimanjambunjo	id=g:1038080
Metima	id=g:1038081
Metima	id=g:1038082
Metilamanja	id=g:1038083
Lago Entide	id=g:1038084
Rio Metil	id=g:1038085
Metil	id=g:1038086
Metaquiane	id=g:1038087
Metico	id=g:1038088
Metica	id=g:1038089
Metiaze	id=g:1038090
Metiane	id=g:1038091
Rio Metiana	id=g:1038092
Metiage	id=g:1038093
Metiacumbe	id=g:1038094
Metia	id=g:1038095
Metia	id=g:1038096
Rio Meti	id=g:1038097
Motexe	id=g:1038098
Meteva	id=g:1038099
Meteula	id=g:1038100
Meteuia	id=g:1038101
Metetema	id=g:1038102
M’Rerédzi	id=g:1038103
Metete	id=g:1038104
Rio Metete	id=g:1038105
Metete	id=g:1038106
Metete	id=g:1038107
Rio Metacule	id=g:1038108
Metssimbo	id=g:1038109
Meterua	id=g:1038110
Monte Metero	id=g:1038111
Meteringué	id=g:1038112
Moteriene	id=g:1038113
Metereza	id=g:1038114
Meterero	id=g:1038115
Monte Meterene	id=g:1038116
Metequine	id=g:1038117
Metequenha	id=g:1038118
Metequelesse	id=g:1038119
Metequela	id=g:1038120
Metepua	id=g:1038121
Rio Metepo	id=g:1038122
Metepo	id=g:1038123
Metepe	id=g:1038124
Metepe	id=g:1038125
Metepe	id=g:1038126
Monte Pata	id=g:1038127
Monte M’tengule	id=g:1038128
Metenguesa	id=g:1038129
Metengomodzi	id=g:1038130
Metengo-wa-Mbalame	id=g:1038131
Metenge	id=g:1038132
Metenele	id=g:1038133
Metendeze	id=g:1038134
Metendeze	id=g:1038135
Metemula	id=g:1038136
Metembulua	id=g:1038137
Metembe	id=g:1038138
Metemame	id=g:1038139
Metelo	id=g:1038140
Monte Metelele	id=g:1038141
Metelela	id=g:1038142
Metele	id=g:1038143
Metele	id=g:1038144
Ribeira Metelane	id=g:1038145
Matelamaze	id=g:1038146
Matelacase	id=g:1038147
Meteia	id=g:1038148
Meteia	id=g:1038149
Monte Metege	id=g:1038150
Metedeste	id=g:1038151
Metècuxa	id=g:1038152
Tecute	id=g:1038153
Mutucué	id=g:1038154
Metechenge	id=g:1038155
Meteca	id=g:1038156
Lago Meteca	id=g:1038157
Metchula	id=g:1038158
Metchamuene	id=g:1038159
Rio Matavocolo	id=g:1038160
Metavo	id=g:1038161
Rio Meacula	id=g:1038162
Rio Mutava	id=g:1038163
Metava	id=g:1038164
