Little Moreau State Recreation Area	id=g:5766602
Little Nasty Creek	id=g:5766603
Little Negro Creek	id=g:5766604
Little Oak Creek	id=g:5766605
Little Oak Creek	id=g:5766606
Little Oak Creek Church	id=g:5766607
Township of Little Oak	id=g:5766608
Little Pond Dam	id=g:5766609
Little Prairie Dog Creek	id=g:5766610
Little Oak School	id=g:5766611
Little Soldier Creek	id=g:5766612
Little Sand Lake	id=g:5766613
Little Spearfish Creek	id=g:5766614
Little Spearfish Guard Station	id=g:5766615
Badger Clark Creek	id=g:5766616
Little Spearfish Spring	id=g:5766617
Little Squaw-Humper Creek	id=g:5766618
Little Squaw-Humper Table	id=g:5766619
Little Tepee Creek	id=g:5766620
Little Thompson Draw	id=g:5766621
Little Tornado Mine (historical)	id=g:5766622
Little Turtle Creek	id=g:5766623
Little Trickle Tube Dam	id=g:5766624
Little White River	id=g:5766625
Little Two Top Butte	id=g:5766626
Little White River Pool Reservoir	id=g:5766627
Little White River Project Dam	id=g:5766628
Little Willow Creek	id=g:5766629
Little White River Dike Dam	id=g:5766630
Littleburg	id=g:5766631
Livermant Lake	id=g:5766632
Livermore Dam	id=g:5766633
Llewellyn Johns Memorial State Recreation Area	id=g:5766634
Lloyd Fox Dam Number 3	id=g:5766635
Lloyd Fox Number 2 Dam	id=g:5766636
Locate Creek	id=g:5766637
Little Wound School	id=g:5766638
Locke Creek	id=g:5766639
Lodge Pole Buttes	id=g:5766640
Lodgepole	id=g:5766641
Lodgepole Creek	id=g:5766642
Lodge School	id=g:5766643
Lodgepole School	id=g:5766644
Township of Lodgepole	id=g:5766645
Log Spring	id=g:5766646
Township of Logan	id=g:5766647
Lola Butte	id=g:5766648
Lolley Ranch	id=g:5766649
Lone Butte	id=g:5766650
Lone Grave Cemetery (historical)	id=g:5766651
Lone Mountain	id=g:5766652
Lone Star (historical)	id=g:5766653
Lone Star School	id=g:5766654
Lone Tree Creek	id=g:5766655
Lodgepole Dam	id=g:5766656
Lone Tree Creek	id=g:5766657
Lone Tree Creek	id=g:5766658
Lone Tree Creek	id=g:5766660
Lone Tree Creek	id=g:5766661
Lone Tree Creek	id=g:5766662
Lone Tree Creek	id=g:5766663
Lone Tree Creek	id=g:5766664
Lone Tree Ditch	id=g:5766665
Lone Tree Draw	id=g:5766666
Lone Tree School	id=g:5766667
Lone Tree School	id=g:5766668
Lone Tree Spring	id=g:5766669
Lone Tree Spring	id=g:5766670
Township of Lone Tree	id=g:5766671
Township of Lone Tree	id=g:5766672
Township of Lone Tree	id=g:5766673
Township of Lone Tree	id=g:5766674
Lone Well Creek	id=g:5766675
Lone Tree School	id=g:5766676
Lonetree Creek	id=g:5766677
Township of Lonetree	id=g:5766678
Lonetree Creek	id=g:5766679
Long Branch	id=g:5766681
Township of Lonewell	id=g:5766682
Long Butte School	id=g:5766683
Long Canal	id=g:5766684
Long Creek	id=g:5766685
Long Branch Creek	id=g:5766686
Long Draw	id=g:5766687
Long Draw	id=g:5766688
Long Draw	id=g:5766689
Long Draw	id=g:5766690
Long Draw	id=g:5766691
Long Hill Cemetery	id=g:5766692
Long Hollow Creek	id=g:5766693
Long Hollow Dam	id=g:5766694
Long Valley	id=g:5766695
Long Valley	id=g:5766696
Longvalley Post Office	id=g:5766697
Lookout Butte	id=g:5766698
Lookout Butte	id=g:5766699
Lookout Dam	id=g:5766700
Lookout Mill	id=g:5766701
Lookout Peak	id=g:5766702
Lookout Point	id=g:5766703
Lookout Point	id=g:5766704
Township of Loomer	id=g:5766705
Loring Siding	id=g:5766706
Lost Bonanza Mine	id=g:5766707
Lost Cabin I (historical)	id=g:5766708
Lost Cabin Trail	id=g:5766709
Lost Camp (historical)	id=g:5766710
Lost Camp Gulch	id=g:5766711
Longbrake Ranch	id=g:5766712
Lost Dog Creek	id=g:5766713
Lost Draw	id=g:5766714
Lost Gulch	id=g:5766715
Lost Nation School	id=g:5766716
Lost Spring	id=g:5766717
Lost Turkey Creek	id=g:5766718
Lost Park Spring	id=g:5766719
Lottie Creek	id=g:5766720
Lotties Butte	id=g:5766721
Louder Number 2 Dam	id=g:5766722
Louder Number 3 Dam	id=g:5766723
Louder Number 4 Dam	id=g:5766724
Loues Creek	id=g:5766725
Louder Number 1 Dam	id=g:5766726
Louie Englehardt Dam	id=g:5766727
Louis Bonhorst Number 1 Dam	id=g:5766728
Louis Bonhorst Number 2 Dam	id=g:5766729
Louis Bonhorst Number 3 Dam	id=g:5766730
Louis Bonhorst Number 4 Dam	id=g:5766731
Louis Bonhorst Number 5 Dam	id=g:5766732
Louis Caldwell Dam	id=g:5766733
Louis Creek	id=g:5766734
Louie Englehardt Dam	id=g:5766735
Louise and Hunter Mine	id=g:5766736
Loup School	id=g:5766737
Louse Creek	id=g:5766738
Louis Lesmeister Dam	id=g:5766739
Loveland Canyon	id=g:5766740
Lovell (historical)	id=g:5766741
Lower Alkali School	id=g:5766742
Lower Battle Creek School	id=g:5766743
Lower Dugout Spring	id=g:5766744
Lower Sully Landing (historical)	id=g:5766745
Loyd Moncur Ranch	id=g:5766746
Lucerne	id=g:5766747
Lucerne (historical)	id=g:5766748
Lucky Bird Lode Mine	id=g:5766749
Lucky Boy Mine	id=g:5766750
Lucky Cuss Mine (historical)	id=g:5766751
Lucky Spar Lode Mine	id=g:5766752
Lucky Star Prospect Mine	id=g:5766753
Lucky Strike Mine	id=g:5766754
Lucky Strike Mine	id=g:5766755
Lucky Strike Mine	id=g:5766756
Ludlow	id=g:5766757
Ludlow (historical)	id=g:5766758
Ludlow Dam	id=g:5766759
Lugenbeel County (historical)	id=g:5766760
Luhtasaari Ranch	id=g:5766761
Luis Creek	id=g:5766762
Lowden Mountain	id=g:5766763
Lund School	id=g:5766764
Township of Lund	id=g:5766765
Lundgren 2 Dam	id=g:5766766
Lurz Dam	id=g:5766767
Lyle Chamberlain Ranch	id=g:5766768
Lyle Hedman Ranch	id=g:5766769
Lyle Lewton Dam	id=g:5766770
Lyman (historical)	id=g:5766771
Lyman Draw	id=g:5766772
Lund (historical)	id=g:5766773
Lyman Number 2 Dam	id=g:5766774
Lyman Number 3 Dam	id=g:5766775
Lyman Number 4 Dam	id=g:5766776
Lyman Number 5 Dam	id=g:5766777
Lyman Number 6 Dam	id=g:5766778
Lyman Ranch (historical)	id=g:5766779
Lyons Draw	id=g:5766780
Lyman Number 1 Dam	id=g:5766781
M A Curtis Dam	id=g:5766782
M A Curtis Dam	id=g:5766783
M A Lynch Dam	id=g:5766784
M Alspach Dam	id=g:5766785
M Butler Ranch	id=g:5766786
M Clarkson Ranch	id=g:5766787
M Feist Ranch	id=g:5766788
M Hamilton Ranch	id=g:5766789
M Jones Ranch	id=g:5766790
M Kelley Number 1 Dam	id=g:5766791
M Matthews Dam	id=g:5766792
M Mraz Dam	id=g:5766793
M O'Grady Dam	id=g:5766794
M P Ranch	id=g:5766795
M Schatz Number 1 Dam	id=g:5766796
M Schatz Number 1 Dam	id=g:5766797
M Schatz Number 2 Dam	id=g:5766798
M Schremp Dam	id=g:5766799
M Scism Number 1 Dam	id=g:5766800
M Thybo Ranch	id=g:5766801
M Vikse Dam	id=g:5766802
M Webb Dam	id=g:5766803
M Webb Dam	id=g:5766804
M Weyers Dam	id=g:5766805
M and M Ranch	id=g:5766806
M7 Dam	id=g:5766807
Maciejewski Dam	id=g:5766808
Maciejewski Dam	id=g:5766809
Mackey Ranch	id=g:5766810
Maco Sica Picnic Ground	id=g:5766811
Macs Camp	id=g:5766812
Macy Butte	id=g:5766813
Mad Bear Creek	id=g:5766814
Lyons Spring	id=g:5766815
Mad Bear Mission Church (historical)	id=g:5766816
Madden Creek	id=g:5766817
Mad Bear Mission Cemetery (historical)	id=g:5766818
Maddox Draw	id=g:5766819
Maderposson Mine	id=g:5766820
Madison Draw	id=g:5766821
Madison Ranch	id=g:5766822
Magnuson Number 2 Dam	id=g:5766823
Magnuson School	id=g:5766824
Magpie Creek	id=g:5766825
Magnuson Number 1 Dam	id=g:5766826
Magpie Creek	id=g:5766827
Magpie Gulch	id=g:5766828
Mahto	id=g:5766829
Township of Mahto	id=g:5766830
Mail Shack Creek	id=g:5766831
Mahto Post Office (historical)	id=g:5766832
Maitland (historical)	id=g:5766833
Maitland Draw	id=g:5766834
Maitland	id=g:5766835
Maitland Spring	id=g:5766836
Major Lake	id=g:5766837
Makasan Church	id=g:5766838
Mallard Lake	id=g:5766839
Mallory Draw	id=g:5766840
Maitland School	id=g:5766841
Mallory Gulch	id=g:5766842
Mallula State Game Production Area	id=g:5766843
Maloney Creek	id=g:5766844
Malone School	id=g:5766845
Mandan County (historical)	id=g:5766846
Mandernach and Carlson Number 1 Dam	id=g:5766847
Mandernach and Carlson Number 3 Dam	id=g:5766848
Mandernach and Carlson Number 4 Dam	id=g:5766849
Mandernach and Carlson Number 5 Dam	id=g:5766850
Mandernach and Carlson Number 6 Dam	id=g:5766851
Mandernach and Carlson Number 7 Dam	id=g:5766852
Mandernach and Carlson Number 8 Dam	id=g:5766853
Mandernach and Carlson Number 9 Dam	id=g:5766854
Mandernach and Carlson Number Two Dam	id=g:5766855
Manderson	id=g:5766856
Manganese Draw	id=g:5766857
Township of Maltby	id=g:5766858
Mann School	id=g:5766859
Mannhan Canyon	id=g:5766860
Mann School	id=g:5766861
Marble Creek	id=g:5766862
Maple Leaf	id=g:5766863
Marietta	id=g:5766864
Township of Marietta	id=g:5766865
Marietta School	id=g:5766866
Mario Johnson Dam	id=g:5766867
Marion Flats	id=g:5766868
Marion Island (historical)	id=g:5766869
Mark Fischer Dam	id=g:5766870
Marks Ranch	id=g:5766871
Marksville	id=g:5766872
Markwed Ranch	id=g:5766873
Markwed School	id=g:5766874
Marlo Johnson Dam	id=g:5766875
Marlo Johnson Dam	id=g:5766876
Marple Butte	id=g:5766877
Marple Dam	id=g:5766878
Marrington Ranch	id=g:5766879
Marshall Creek	id=g:5766880
Marcus	id=g:5766881
Marshall Gulch	id=g:5766882
Marshell Ranch	id=g:5766883
Marston (historical)	id=g:5766884
Marston Post Office (historical)	id=g:5766885
Martha Munroe Dam	id=g:5766886
Martha Washington Mine	id=g:5766887
Martin	id=g:5766888
Martin County (historical)	id=g:5766889
Martin Dam	id=g:5766890
Martin Dam	id=g:5766891
Martin Draw	id=g:5766892
Township of Marshfield	id=g:5766893
Martin Ranch	id=g:5766894
Martin Sander Dam	id=g:5766895
Martin Valley	id=g:5766896
Martin Municipal Airport	id=g:5766897
Martin Valley School	id=g:5766898
City of Martin	id=g:5766899
Township of Martin	id=g:5766900
Marty Ranch	id=g:5766901
Marty School	id=g:5766902
Marvin Butte	id=g:5766903
Marvin Chamberlain Ranch	id=g:5766904
Marvin Reinhold Dam Number 1	id=g:5766905
Mary Larson Ranch	id=g:5766906
Mary Mine	id=g:5766907
Maryland Lode Mine	id=g:5766908
Mascot Mine	id=g:5766909
Masopia Post Office (historical)	id=g:5766910
Massie Ranch	id=g:5766911
Mastiff Mine	id=g:5766912
Mathews Brothers Number 1 Dam	id=g:5766913
Mathews Brothers Number 2 Dam	id=g:5766914
Mathews Ranch	id=g:5766915
Matias Peak	id=g:5766916
Matson Dam	id=g:5766917
Matson Reservoir	id=g:5766918
Matter Dam	id=g:5766919
Matthew School	id=g:5766920
Mattison Cemetery	id=g:5766921
Township of Mattison	id=g:5766922
Maucher School	id=g:5766923
Maupin Flat	id=g:5766924
Maupin School	id=g:5766925
