Schönholzerswilen	id=g:7287112
Schötz	id=g:7287113
Schübelbach	id=g:7287114
Schupfart	id=g:7287115
Schüpfen	id=g:7287116
Schüpfheim	id=g:7287117
Schwaderloch	id=g:7287118
Schwadernau	id=g:7287119
Schwanden bei Brienz	id=g:7287120
Schwanden (GL)	id=g:7287121
Schwändi	id=g:7287122
Schwarzenberg	id=g:7287123
Schwarzhäusern	id=g:7287124
Schwellbrunn	id=g:7287125
Schwende	id=g:7287126
Schwendibach	id=g:7287127
Schwerzenbach	id=g:7287128
Schwyz	id=g:7287129
Scuol	id=g:7287130
Seeberg	id=g:7287131
Seedorf (BE)	id=g:7287132
Seedorf (UR)	id=g:7287133
Seegräben	id=g:7287134
Seehof	id=g:7287135
Seelisberg	id=g:7287136
Seengen	id=g:7287137
Seewen	id=g:7287138
Seewis im Prättigau	id=g:7287139
Seftigen	id=g:7287140
Seigneux	id=g:7287141
Selma	id=g:7287142
Seltisberg	id=g:7287143
Selzach	id=g:7287144
Sembrancher	id=g:7287145
Sementina	id=g:7287146
Semione	id=g:7287147
Sempach	id=g:7287148
Semsales	id=g:7287149
Senarclens	id=g:7287150
Senèdes	id=g:7287151
Sennwald	id=g:7287152
Sent	id=g:7287153
Seon	id=g:7287154
Sergey	id=g:7287155
Servion	id=g:7287156
Sessa	id=g:7287157
Seuzach	id=g:7287158
Sévaz	id=g:7287159
Sevelen	id=g:7287160
Sévery	id=g:7287161
Sevgein	id=g:7287162
Siat	id=g:7287163
Siblingen	id=g:7287164
Sierre	id=g:7287165
Sigirino	id=g:7287166
Siglistorf	id=g:7287167
Signau	id=g:7287168
Signy-Avenex	id=g:7287169
Sigriswil	id=g:7287170
Silenen	id=g:7287171
Sils im Domleschg	id=g:7287172
Silvaplana	id=g:7287173
Simplon	id=g:7287174
Sins	id=g:7287175
Sion	id=g:7287176
Sirnach	id=g:7287177
Siselen	id=g:7287178
Sisikon	id=g:7287179
Sissach	id=g:7287180
Sisseln	id=g:7287181
Siviriez	id=g:7287182
Soazza	id=g:7287183
Sobrio	id=g:7287184
Soglio	id=g:7287185
Solothurn	id=g:7287186
Sommeri	id=g:7287187
Sonceboz-Sombeval	id=g:7287188
Sonogno	id=g:7287189
Sonvico	id=g:7287190
Sonvilier	id=g:7287191
Sool	id=g:7287192
Soral	id=g:7287193
Sorengo	id=g:7287194
Sorens	id=g:7287195
Sornetan	id=g:7287196
Sorvilier	id=g:7287197
Sottens	id=g:7287198
Soubey	id=g:7287199
Souboz	id=g:7287200
Soulce	id=g:7287201
Soyhières	id=g:7287202
Speicher	id=g:7287203
Spiez	id=g:7287204
Spiringen	id=g:7287205
Splügen	id=g:7287206
Spreitenbach	id=g:7287207
Staatswald Galm	id=g:7287208
Stabio	id=g:7287209
Stadel	id=g:7287210
Stäfa	id=g:7287211
Staffelbach	id=g:7287212
Staldenried	id=g:7287213
Stalden (VS)	id=g:7287214
Stallikon	id=g:7287215
Stampa	id=g:7287216
Stans	id=g:7287217
Stansstad	id=g:7287218
St. Antoni	id=g:7287219
St. Antönien	id=g:7287220
Starrkirch-Wil	id=g:7287221
Staufen	id=g:7287222
Steckborn	id=g:7287223
Steffisburg	id=g:7287224
Steg-Hohtenn	id=g:7287225
Steinach	id=g:7287226
Stein (AG)	id=g:7287227
Stein am Rhein	id=g:7287228
Stein (AR)	id=g:7287229
Steinen	id=g:7287230
Steinerberg	id=g:7287231
Steinhausen	id=g:7287232
Steinhof	id=g:7287233
Steinmaur	id=g:7287234
Stein (SG)	id=g:7287235
Stetten (AG)	id=g:7287236
Stetten (SH)	id=g:7287237
Stettfurt	id=g:7287238
Stettlen	id=g:7287239
St. Gallen	id=g:7287240
St. Gallenkappel	id=g:7287241
Stierva	id=g:7287242
St. Margrethen	id=g:7287243
St. Martin	id=g:7287244
St. Moritz	id=g:7287245
St. Niklaus	id=g:7287246
St. Peter-Pagig	id=g:7287247
Strengelbach	id=g:7287248
St. Silvester	id=g:7287249
St. Stephan	id=g:7287250
Studen (BE)	id=g:7287251
St. Ursen	id=g:7287252
Stüsslingen	id=g:7287253
Subingen	id=g:7287254
Suchy	id=g:7287255
Sufers	id=g:7287256
Sugnens	id=g:7287257
Suhr	id=g:7287258
Sulgen	id=g:7287259
Sullens	id=g:7287260
Sulz (AG)	id=g:7287261
Sumiswald	id=g:7287262
Sumvitg	id=g:7287263
Sur	id=g:7287264
Suraua	id=g:7287265
Surava	id=g:7287266
Surpierre	id=g:7287267
Sursee	id=g:7287268
Suscévaz	id=g:7287269
Susch	id=g:7287270
Sutz-Lattrigen	id=g:7287271
Syens	id=g:7287272
Tafers	id=g:7287273
Tägerig	id=g:7287274
Tägertschi	id=g:7287275
Tägerwilen	id=g:7287276
Tamins	id=g:7287277
Tannay	id=g:7287278
Tarasp	id=g:7287279
Tartar	id=g:7287280
Tartegnin	id=g:7287281
Täsch	id=g:7287282
Täuffelen	id=g:7287283
Tavannes	id=g:7287284
Tecknau	id=g:7287285
Tegerfelden	id=g:7287286
Tegna	id=g:7287287
Tenero-Contra	id=g:7287288
Tenna	id=g:7287289
Tenniken	id=g:7287290
Tentlingen	id=g:7287291
Termen	id=g:7287292
Teufen (AR)	id=g:7287293
Teufenthal (AG)	id=g:7287294
Teuffenthal (BE)	id=g:7287295
Thal	id=g:7287296
Thalheim (AG)	id=g:7287297
Thalheim an der Thur	id=g:7287298
Thalwil	id=g:7287299
Thayngen	id=g:7287300
Therwil	id=g:7287301
Thierachern	id=g:7287302
Thierrens	id=g:7287303
Thônex	id=g:7287304
Thörigen	id=g:7287305
Thun	id=g:7287306
Thundorf	id=g:7287307
Thunstetten	id=g:7287308
Thürnen	id=g:7287309
Thusis	id=g:7287310
Tiefencastel	id=g:7287311
Tinizong-Rona	id=g:7287312
Titterten	id=g:7287313
Tobel-Tägerschen	id=g:7287314
Toffen	id=g:7287315
Tolochenaz	id=g:7287316
Tomils	id=g:7287317
Törbel	id=g:7287318
Torny	id=g:7287319
Torricella-Taverne	id=g:7287320
Trachselwald	id=g:7287321
Tramelan	id=g:7287322
Trasadingen	id=g:7287323
Treiten	id=g:7287324
Trélex	id=g:7287325
Tremona	id=g:7287326
Trey	id=g:7287327
Treycovagnes	id=g:7287328
Treytorrens (Payerne)	id=g:7287329
Treyvaux	id=g:7287330
Triengen	id=g:7287331
Trient	id=g:7287332
Trimbach	id=g:7287333
Trimmis	id=g:7287334
Trimstein	id=g:7287335
Trin	id=g:7287336
Trogen	id=g:7287337
Troinex	id=g:7287338
Troistorrents	id=g:7287339
Trub	id=g:7287340
Trubschachen	id=g:7287341
Trüllikon	id=g:7287342
Truttikon	id=g:7287343
Tschappina	id=g:7287344
Tscheppach	id=g:7287345
Tschiertschen-Praden	id=g:7287346
Tschlin	id=g:7287347
Tschugg	id=g:7287348
Tübach	id=g:7287349
Tuggen	id=g:7287350
Tujetsch	id=g:7287351
Turbenthal	id=g:7287352
Turgi	id=g:7287353
Turtmann	id=g:7287354
Tüscherz-Alfermée	id=g:7287355
Twann	id=g:7287356
Udligenswil	id=g:7287357
Ueberstorf	id=g:7287358
Uebeschi	id=g:7287359
Ueken	id=g:7287360
Uerkheim	id=g:7287361
Uesslingen-Buch	id=g:7287362
Uetendorf	id=g:7287363
Uetikon am See	id=g:7287364
Uezwil	id=g:7287365
Ufhusen	id=g:7287366
Uitikon	id=g:7287367
Ulmiz	id=g:7287368
Umiken	id=g:7287369
Undervelier	id=g:7287370
Unterägeri	id=g:7287371
Unterbäch	id=g:7287372
Unterbözberg	id=g:7287373
Untereggen	id=g:7287374
Unterems	id=g:7287375
Unterendingen	id=g:7287376
Unterengstringen	id=g:7287377
Unterentfelden	id=g:7287378
Unteriberg	id=g:7287379
Unterkulm	id=g:7287380
Unterlangenegg	id=g:7287381
Unterlunkhofen	id=g:7287382
Unterramsern	id=g:7287383
Unterschächen	id=g:7287384
Unterseen	id=g:7287385
Untersiggenthal	id=g:7287386
Unterstammheim	id=g:7287387
Untersteckholz	id=g:7287388
Untervaz	id=g:7287389
Urdorf	id=g:7287390
Urmein	id=g:7287391
Urnäsch	id=g:7287392
Ursenbach	id=g:7287393
Ursins	id=g:7287394
Ursy	id=g:7287395
Urtenen-Schönbühl	id=g:7287396
Uster	id=g:7287397
Uttigen	id=g:7287398
Uttwil	id=g:7287399
Utzenstorf	id=g:7287400
Uznach	id=g:7287401
Uzwil	id=g:7287402
Vacallo	id=g:7287403
Valangin	id=g:7287404
Valcolla	id=g:7287405
Val-de-Travers	id=g:7287406
Valendas	id=g:7287407
Valeyres-sous-Montagny	id=g:7287408
Valeyres-sous-Rances	id=g:7287409
