Namch’unch’ŏnyŏja-junghakkyo	id=g:6802738
Kŭnhwa-ch’odŭnghakkyo	id=g:6802739
Namch’unchŏn-junghakkyo	id=g:6802740
Ch’unch’ŏn-ch’odŭnghakkyo	id=g:6802741
Ch’unch’ŏnsindong-ch’odŭnghakkyo	id=g:6802742
Nambu-ch’odŭnghakkyo	id=g:6802743
Pongŭi-ch’odŭnghakkyo	id=g:6802744
Ch’unch’ŏngyodong-ch’odŭnghakkyo	id=g:6802745
Soyang-ch’odŭnghakkyo	id=g:6802746
Ch’unch’ŏnsamyuk-ch’odŭnghakkyo	id=g:6802747
Hup’yŏng-ch’odŭnghakkyo	id=g:6802748
Pongŭiyŏja-junghakkyo	id=g:6802749
Hup’yŏng-junghakkyo	id=g:6802750
Sŏksa-ch’odŭnghakkyo	id=g:6802751
Usŏk-ch’odŭnghakkyo	id=g:6802752
Puan-ch’odŭnghakkyo	id=g:6802753
Manchŏn-ch’odŭnghakkyo	id=g:6802754
Odong-ch’odŭnghakkyo	id=g:6802755
Hoban-ch’odŭnghakkyo	id=g:6802756
Tongnae-ch’odŭnghakkyo	id=g:6802757
Kasan-ch’odŭnghakkyo	id=g:6802758
Sangchŏn-ch’odŭnghakkyo	id=g:6802759
Kyesŏng-nongahakkyo	id=g:6802760
Ch’unch’ŏn’gyoyuk-taehakkyo	id=g:6802761
Hallim-daehakkyo	id=g:6802762
Kangwŏn-daehakkyo	id=g:6802763
Ch’unch’ŏn’ginŭng-daehak	id=g:6802764
Han’gukpangsong-daehak	id=g:6802765
Ch’ŏndogyo-sudowŏn	id=g:6802766
Kungnipkangwŏnjŏngsin-yoyangwŏn	id=g:6802767
Sŏngsan-yaksut’ŏ	id=g:6802768
Namijanggun-myo	id=g:6802769
Changjŏlgongsinsunggyŏmmyoyŏk	id=g:6802770
Hwamyŏng-sa	id=g:6802771
Taewŏn-sa	id=g:6802772
Yŏnggwang-sa	id=g:6802773
Pogwan-sa	id=g:6802774
Kangsŏn-sa	id=g:6802775
Panya-sa	id=g:6802776
Pongdŏk-sa	id=g:6802777
Chŏngbŏp-sa	id=g:6802778
Pŏphwa-sa	id=g:6802779
Ch’ŏngnyong-sa	id=g:6802780
Yŏngch’ŏn-sa	id=g:6802781
Wŏnhŭng-sa	id=g:6802782
Tanbong-sa	id=g:6802783
Oksu-sa	id=g:6802784
Sangwŏn-sa	id=g:6802785
Hŭngguk-sa	id=g:6802786
Kŭmsŏn-sa	id=g:6802787
Sinhŭng-sa	id=g:6802788
Taewŏn-sa	id=g:6802789
Tongch’ŏn-sa	id=g:6802790
Pot’a-sa	id=g:6802791
Puhŭng-sa	id=g:6802792
Yaksu-sa	id=g:6802793
Yaksu-am	id=g:6802794
Ponap-sa	id=g:6802795
Talsŏn-am	id=g:6802796
Myŏngju-sa	id=g:6802797
Sŏgwang-sa	id=g:6802798
Soyang-sa	id=g:6802799
Chŏngt’o-sa	id=g:6802800
Pogwang-sa	id=g:6802801
T’oe-gol	id=g:6802802
K’ŭnsong-gol	id=g:6802803
Muji-gol	id=g:6802804
Pyŏru-gol	id=g:6802805
Sagŭmak-kol	id=g:6802806
Hombawi-gol	id=g:6802807
P’iak-kol	id=g:6802808
K’ŭn-gol	id=g:6802809
Samhan-gol	id=g:6802810
T’oe-gol	id=g:6802811
Araen-mal	id=g:6802812
Yŏngnakkongwŏn-myoji	id=g:6802813
Songnŭng-ni	id=g:6802814
Kwanghaegun-myo	id=g:6802815
Ussongnŭng	id=g:6802816
Yukkul	id=g:6802817
Chisa	id=g:6802818
Sin-ch’on	id=g:6802819
Chŏksŏng-gol	id=g:6802820
Ssukkogae	id=g:6802821
Ŏryong-gul	id=g:6802822
Ŏryong	id=g:6802823
Yanggok	id=g:6802824
Yŏngsŏn-sa	id=g:6802825
Chin’gok-sa	id=g:6802826
Yŏngch’in-wangnŭng	id=g:6802827
Hong-nŭng	id=g:6802828
Yu-rŭng	id=g:6802829
Tongmak	id=g:6802830
Hapsŏng	id=g:6802831
Mudae	id=g:6802832
Sae-mal	id=g:6802833
Yulsŏng-ni	id=g:6802834
Kusu-gogae	id=g:6802835
Tae-dong	id=g:6802836
Moksik	id=g:6802837
Paenamu-gol	id=g:6802838
Chunggwang	id=g:6802839
Sŏksil	id=g:6802840
Yulchŏng	id=g:6802841
Masan	id=g:6802842
Tollukke	id=g:6802843
Samp’ae-dong	id=g:6802844
P’yŏnggu	id=g:6802845
Sagye	id=g:6802846
Tu-ch’on	id=g:6802847
Sam-ni	id=g:6802848
Sang-ni	id=g:6802849
Chaun	id=g:6802850
Ŏryong	id=g:6802851
Togong-ni	id=g:6802852
Tosim-ni	id=g:6802853
Nae-dong	id=g:6802854
Hannae-mal	id=g:6802855
Wŏndŏk	id=g:6802856
Taech’u-mal	id=g:6802857
Kyŏngp’o	id=g:6802858
Paekpong-san	id=g:6802859
Kungp’yŏng	id=g:6802860
Muk-tong	id=g:6802861
Ant’ŏ	id=g:6802862
Chik-tong	id=g:6802863
Porim-mokchang	id=g:6802864
Nŏbunae-gogae	id=g:6802865
Mukhy’ŏl-li	id=g:6802866
P’yŏng-ch’on	id=g:6802867
Homan	id=g:6802868
Tongŭn-sa	id=g:6802869
Sujin-sa	id=g:6802870
Nŏrŭl-gogae	id=g:6802871
Sambong-sa	id=g:6802872
Nŏmŏ-gol	id=g:6802873
Kaosil	id=g:6802874
Pogwang-sa	id=g:6802875
Chŏlgol-gogae	id=g:6802876
P’arhyŏl-li	id=g:6802877
Sikkul	id=g:6802878
Kwaera-ri	id=g:6802879
Sŏndŏk-sa	id=g:6802880
Kwangam	id=g:6802881
Ilsin	id=g:6802882
Chant’ŏ	id=g:6802883
Musiul	id=g:6802884
Sŏngbo-sa	id=g:6802885
Yongch’ŏn-sa	id=g:6802886
Saen-mal	id=g:6802887
Puhŭng-gidowŏn	id=g:6802888
Kŭmsŏn-sa	id=g:6802889
Chaejaegi-gogae	id=g:6802890
Chaejaegi	id=g:6802891
Sambong-ni	id=g:6802892
Ayang	id=g:6802893
Puŏngbae	id=g:6802894
Kubong	id=g:6802895
Kubong-mokchang	id=g:6802896
Sae-mal	id=g:6802897
Songsin	id=g:6802898
Paegunjŏng-sa	id=g:6802899
Soksaet	id=g:6802900
Tongmyŏn	id=g:6802901
Pyŏkkye	id=g:6802902
Yongsu-sa	id=g:6802903
Chigŭrŏmi	id=g:6802904
Maegok-san	id=g:6802905
Tojang-ni	id=g:6802906
Kungnoso	id=g:6802907
Maegok	id=g:6802908
Kuun-gyo	id=g:6802909
Sinch’ŏn-gyo	id=g:6802910
T’amsŏn-gyo	id=g:6802911
Ch’ŏnanil-gyo	id=g:6802912
Ŏmso-gyo	id=g:6802913
Masŏk-kyo	id=g:6802914
Nokch’on-gyo	id=g:6802915
Sasin-gyo	id=g:6802916
Kwangam-gyo	id=g:6802917
Pach’iul-gyo	id=g:6802918
Kŭmnam-gyo	id=g:6802919
Nomun-gyo	id=g:6802920
Ch’ŏnanjei-gyo	id=g:6802921
Sŏnwŏn-gyo	id=g:6802922
Paegwŏl-gyo	id=g:6802923
Munho-gyo	id=g:6802924
Yŏngam-gyo	id=g:6802925
Tojang-gyo	id=g:6802926
Maegok-kyo	id=g:6802927
Pan’gok-kyo	id=g:6802928
Pangil-gyo	id=g:6802929
Kohyŏn	id=g:6802930
Panwŏrhyŏng	id=g:6802931
T’apkok	id=g:6802932
Chung-ch’on	id=g:6802933
Tongp’yŏn	id=g:6802934
Sikkok	id=g:6802935
Sanggok	id=g:6802936
Aogok	id=g:6802937
Tanggok	id=g:6802938
Kigok-kul	id=g:6802939
Nŭnggul	id=g:6802940
Pokp’o-ri	id=g:6802941
Wŏnbokp’o-gul	id=g:6802942
P’yŏng-ch’on	id=g:6802943
Chŏngja-dong	id=g:6802944
Kuksu-ri	id=g:6802945
Taesim-ni	id=g:6802946
Kuksu-gogae	id=g:6802947
Poŭnjŏng-sa	id=g:6802948
Chet’an	id=g:6802949
Chŏnŭi	id=g:6802950
Kigok	id=g:6802951
Saemani	id=g:6802952
Sinae-ri	id=g:6802953
Obil-li	id=g:6802954
Nam-san	id=g:6802955
Okch’ŏn-sa	id=g:6802956
Paekhyŏn	id=g:6802957
Kŏnji-san	id=g:6802958
Yanggŭn-hyanggyo	id=g:6802959
Wŏnt’ongi	id=g:6802960
Mugungsŏnwŏn	id=g:6802961
Hup’yŏng	id=g:6802962
Surŭngjae-bong	id=g:6802963
Hasach’ŏn	id=g:6802964
Kit’um	id=g:6802965
Aekkol	id=g:6802966
Sŭngju-gol	id=g:6802967
Sangsach’ŏn	id=g:6802968
P’yŏnjŏn	id=g:6802969
Yongch’ŏl-li	id=g:6802970
P’yŏnjŏn-san	id=g:6802971
Mal-gol	id=g:6802972
Ŏmdera-gol	id=g:6802973
Sin-ch’on	id=g:6802974
Karaejinggae	id=g:6802975
Tongmak	id=g:6802976
Sinbong-ni	id=g:6802977
Taebu-san	id=g:6802978
Yumyŏng-san	id=g:6802979
Samhyŏngjebawi	id=g:6802980
Soguni-san	id=g:6802981
Sŏnnŏ-ch’i	id=g:6802983
Kwangbŏp-sa	id=g:6802984
Kail-li	id=g:6802985
Wikkajŏng	id=g:6802986
Araekkajŏng	id=g:6802987
Chungmi	id=g:6802988
Chŏlt’ŏ-gogae	id=g:6802989
Samgak-kol	id=g:6802990
Nagat’ŏ-gol	id=g:6802991
Soyugok	id=g:6802992
T’ongbang-san	id=g:6802993
Samt’ae-bong	id=g:6802994
Pangil-li	id=g:6802995
Ŭmbang	id=g:6802996
Noeam	id=g:6802997
Paegam-san	id=g:6802998
Haogae	id=g:6802999
Ppongnamugŏri	id=g:6803000
Tokchŏm-maŭl	id=g:6803001
Kkŭtchaet-mal	id=g:6803002
Chung-mal	id=g:6803003
Hangnim	id=g:6803004
Tansan	id=g:6803005
P’arya-ri	id=g:6803006
Ch’ŏnjugyogongwŏn-myoji	id=g:6803007
Kwangch’ŏn	id=g:6803008
Shin’gwang	id=g:6803009
Churikkol-gogae	id=g:6803010
Churi-gol	id=g:6803011
Kan-ch’on	id=g:6803012
Kŭmgong-ni	id=g:6803013
Kamasok-kol	id=g:6803014
Mulmakkol-gogae	id=g:6803015
Wŏn’gŭmgok	id=g:6803016
Saenŭng-gol	id=g:6803017
Yangji-ri	id=g:6803018
