Burns Mountain	id=g:4379221
Burns Pond	id=g:4379222
Burns School	id=g:4379223
Burns School (historical)	id=g:4379224
Burns School (historical)	id=g:4379225
Burns School (historical)	id=g:4379226
Burnside Cemetery	id=g:4379227
Burnt Cabin Hollow	id=g:4379228
Burney Ford	id=g:4379229
Burnt House Hollow	id=g:4379230
Burnt Fork	id=g:4379231
Burr Hollow	id=g:4379232
Burr Lake	id=g:4379233
Burr Oak (historical)	id=g:4379234
Burr Oak Basin	id=g:4379235
Burr Oak Creek	id=g:4379236
Burr	id=g:4379237
Burr Oak Creek	id=g:4379238
Burr Oak School	id=g:4379239
Township of Burr Oak	id=g:4379240
Burras Bend	id=g:4379241
Burris Fork	id=g:4379242
Burr Oak School (historical)	id=g:4379243
Township of Burris Fork	id=g:4379244
Burris School (historical)	id=g:4379245
Burroughs School	id=g:4379246
Burrow Lake Dam	id=g:4379247
Burrus Hollow	id=g:4379248
Burris Fork Bridge	id=g:4379249
Burrus Hollow	id=g:4379250
Burrus School (historical)	id=g:4379251
Burse Ford (historical)	id=g:4379252
Burson Cemetery	id=g:4379253
Burt Iron Bank	id=g:4379254
Burtin Bluff	id=g:4379255
Burton	id=g:4379256
Burton Branch	id=g:4379257
Burruss School (historical)	id=g:4379258
Burton Cemetery	id=g:4379259
Burton Cemetery	id=g:4379260
Burton Creek	id=g:4379261
Burton Cemetery	id=g:4379262
Burton Duenke Lake Number 2 Dam	id=g:4379263
Burton Duenke Lake Number 3 Dam	id=g:4379264
Burton Duenke Lake Number 5 Dam	id=g:4379265
Burton Duenke Lake Number 6 Dam	id=g:4379266
Burton Duenke Number 1 Reservoir	id=g:4379267
Burton Duenke Number 2 Reservoir	id=g:4379268
Burton Duenke Number 3 Reservoir	id=g:4379269
Burton Duenke Number 4 Dam	id=g:4379270
Burton School (historical)	id=g:4379271
Burton School (historical)	id=g:4379272
Township of Burton	id=g:4379273
Burtonville	id=g:4379274
Burts Lead Diggings	id=g:4379275
Burtville	id=g:4379276
Busch	id=g:4379277
Busch Area Lake Number 40	id=g:4379278
Busch Area Lake Number 51	id=g:4379279
Busch Area Lake Number 570	id=g:4379280
Busch Cemetery	id=g:4379281
Busch Creek	id=g:4379282
Burton Duenke Lake Number 1 Dam	id=g:4379283
Busch School	id=g:4379284
Busch Stadium	id=g:4379285
Busch Wildlife Area Lake Number 35 Dam	id=g:4379286
Busch Wildlife Area Number 600 Lake	id=g:4379287
Busch Wildlife Area Section 15 Dam	id=g:4379288
Busch Wildlife Area Section 27 Dam	id=g:4379289
Busch Wildlife Area Section 36 Dam	id=g:4379290
Busch Wildlife Area-Survey 1778 Dam	id=g:4379291
Busch Wildlife Area-Survey 297 Dam	id=g:4379292
Busch Wildlife Area-Survey 887 Dam	id=g:4379293
Busche Park	id=g:4379294
Buschs Lake	id=g:4379295
