French Creek Post Office (historical)	id=g:4857845
French Nature Preserve Wildlife Refuge	id=g:4857846
French Park	id=g:4857847
French Post Office (historical)	id=g:4857848
French Town Lake Access	id=g:4857849
Frenchtown Lake	id=g:4857850
Frendale Post Office (historical)	id=g:4857851
Friday Family Cemetery	id=g:4857852
Friday Hollow	id=g:4857853
French Island	id=g:4857854
Friedlein Cemetery	id=g:4857855
Friendly Dental Clinic	id=g:4857856
Friendly Fairways	id=g:4857857
Friends Cemetery	id=g:4857858
Friends Cemetery	id=g:4857859
Friends Cemetery	id=g:4857860
Friends Cemetery	id=g:4857861
Friends Cemetery	id=g:4857862
Friends Cemetery	id=g:4857863
Friends Cemetery	id=g:4857864
Friends Cemetery	id=g:4857865
Friends Cemetery	id=g:4857866
Friends Cemetery	id=g:4857867
Friends Cemetery	id=g:4857868
Friends Church	id=g:4857869
Friends Church	id=g:4857870
Friends Church	id=g:4857871
Friends Church	id=g:4857872
Friends Church	id=g:4857873
Friends Church	id=g:4857874
Friends Church	id=g:4857875
Friends Church	id=g:4857876
Friends Church	id=g:4857877
Friends Church	id=g:4857878
Friends Grove Post Office (historical)	id=g:4857879
Friends Meeting	id=g:4857880
Friends Meeting	id=g:4857881
Friends Residential Care	id=g:4857882
Friendship Baptist Center	id=g:4857883
Friendship Baptist Church	id=g:4857884
Friendship Baptist Church	id=g:4857885
Friendship Christian Church	id=g:4857886
Friendship Community Church	id=g:4857887
Friendship Community Church	id=g:4857888
Friendship Haven Nursing Home	id=g:4857889
Friendship Home	id=g:4857890
Friendship Manor Care Center	id=g:4857891
Friendship Park	id=g:4857892
Friendship Park	id=g:4857893
Friesenborg and Larson Airport	id=g:4857894
Friley Hall	id=g:4857895
Frink Creek	id=g:4857896
Frieden Park	id=g:4857897
Frith Spur	id=g:4857898
Frize School (historical)	id=g:4857899
Froelich	id=g:4857900
Froelich (historical)	id=g:4857901
Froelich Historic Site	id=g:4857902
Froelich Post Office (historical)	id=g:4857903
Frog Creek	id=g:4857904
Frink's Grove Post Office (historical)	id=g:4857905
Frog Hollow Trail	id=g:4857906
Frog Pond School	id=g:4857907
Frost Cemetery	id=g:4857908
Frost Creek	id=g:4857909
Frog Hollow	id=g:4857910
Fruitland	id=g:4857911
Fruitland	id=g:4857912
Fruitland Baptist Church	id=g:4857913
Fruitland City Hall	id=g:4857914
Fruitland Volunteer Fire Department	id=g:4857915
Fruitland Post Office	id=g:4857916
Township of Fruitland	id=g:4857917
Fry Cemetery	id=g:4857918
Fry Hill Cemetery	id=g:4857919
Fry School	id=g:4857920
Fry School	id=g:4857921
Fryeburgh Post Office (historical)	id=g:4857922
Frytown Cemetery	id=g:4857923
Fudge Creek	id=g:4857924
Frost Grove Cemetery	id=g:4857925
Full Faith Christian Center	id=g:4857926
Full Gospel Church	id=g:4857927
Full Gospel Lighthouse (historical)	id=g:4857928
Full Gospel Lighthouse Church	id=g:4857929
Full Gospel Revival Center	id=g:4857930
Full Gospel Tabernacle	id=g:4857931
Full Gospel Voice Church	id=g:4857932
Fuller Airport	id=g:4857933
Fuller Park	id=g:4857934
Fuller Post Office (historical)	id=g:4857935
Fuller School	id=g:4857936
Fuller's Mills Post Office (historical)	id=g:4857937
Fullers Mill (historical)	id=g:4857938
Fullerton Park	id=g:4857939
Fullington Creek	id=g:4857940
Fugate Cemetery	id=g:4857941
Fulton Cemetery	id=g:4857942
Fulton Lutheran Church	id=g:4857943
Fulton Post Office (historical)	id=g:4857944
Fulton School	id=g:4857945
Fulton School (historical)	id=g:4857946
Fulton Township Cemetery	id=g:4857947
Township of Fulton	id=g:4857948
Township of Fulton	id=g:4857949
Fultons Creek	id=g:4857950
Fulton	id=g:4857951
Fundamental Gospel Church	id=g:4857952
Funk Cemetery	id=g:4857953
Funk Family Cemetery	id=g:4857954
Funks Mills Post Office (historical)	id=g:4857955
Furay	id=g:4857956
Furay Post Office (historical)	id=g:4857957
Furman Point	id=g:4857958
Furnace Hollow	id=g:4857959
Fun Valley Ski Area	id=g:4857960
G and I Feed and Grain Elevator	id=g:4857961
G and R Feed and Grain Company Elevator	id=g:4857962
GAA Private Airport	id=g:4857963
GE Larson Medical Center	id=g:4857964
GMG Elementary School	id=g:4857965
GMG School	id=g:4857966
GOMACO University	id=g:4857967
Gaass Hall	id=g:4857968
Gabrielson Park	id=g:4857969
Gabrielson Pool	id=g:4857970
Gabrielson Wildlife Management Area	id=g:4857971
Gaer Ballard Cemetery	id=g:4857972
Gage Memorial Union	id=g:4857973
Gainesborough Post Office (historical)	id=g:4857974
Gainford (historical)	id=g:4857975
Gainford Post Office (historical)	id=g:4857976
Galbraith	id=g:4857977
Galbraith	id=g:4857978
Galbraith Post Office (historical)	id=g:4857979
Gale	id=g:4857980
Gale Observatory	id=g:4857981
Galesburg	id=g:4857982
Galesburg Post Office (historical)	id=g:4857983
Galilean Lutheran Church	id=g:4857984
Galilee Baptist Church	id=g:4857985
Galion	id=g:4857986
Galion Post Office (historical)	id=g:4857987
Gallagher Park	id=g:4857988
Gallagher-Bluedorn Performing Arts Center	id=g:4857989
Galland	id=g:4857990
Galland (historical)	id=g:4857991
Galland Cemetery	id=g:4857992
Galland Post Office (historical)	id=g:4857993
Galland School Historical Marker	id=g:4857994
Galland School State Park Preserve	id=g:4857995
Gallands Grove Cemetery	id=g:4857996
Gallhar Cemetery	id=g:4857997
Galliher Family Cemetery	id=g:4857998
Galloway Park	id=g:4857999
Galls Creek	id=g:4858000
Furnald Island	id=g:4858001
Galt	id=g:4858002
Galt Cemetery	id=g:4858003
Galt Post Office	id=g:4858004
Galva	id=g:4858005
Galva (historical)	id=g:4858006
Galva City Cemetery	id=g:4858007
Galva Fire Department	id=g:4858008
Galva Lutheran Cemetery	id=g:4858009
Galva Post Office	id=g:4858010
Galva Public Library	id=g:4858011
Galva Township Cemetery	id=g:4858012
Galva Township Cemetery	id=g:4858013
Galva Union Elevator	id=g:4858014
Galva United Methodist Church	id=g:4858015
Township of Galva	id=g:4858016
Galva-Holstein Junior-Senior High School	id=g:4858017
Galva-Holstein Middle School	id=g:4858018
Galvin Fine Arts Center	id=g:4858019
Galvin Memorial Park	id=g:4858020
Galvin Post Office (historical)	id=g:4858021
Gamble Grove Post Office (historical)	id=g:4858022
Gambril Post Office (historical)	id=g:4858023
Gambrill (historical)	id=g:4858024
Gamet Post Office (historical)	id=g:4858025
Gammill Cemetery	id=g:4858026
Gantz Cemetery	id=g:4858027
Garbee Hall	id=g:4858028
Garber	id=g:4858029
Garber (historical)	id=g:4858030
Garber Bridge	id=g:4858031
Garber Bridge Access	id=g:4858032
Garber Fire Department	id=g:4858033
Garber Post Office	id=g:4858034
Gard Branch	id=g:4858035
Galt	id=g:4858036
Gard Creek	id=g:4858037
Garden City	id=g:4858038
Garden City Community Building	id=g:4858039
Garden City Fire Department	id=g:4858040
Garden City Post Office	id=g:4858041
Garden City United Methodist Church	id=g:4858042
Garden Court Park	id=g:4858043
Garden Grove	id=g:4858044
Garden Grove (historical)	id=g:4858045
Garden Grove Cemetery	id=g:4858046
Garden Grove City Hall	id=g:4858047
Garden Grove Post Office	id=g:4858048
Garden Grove Public School	id=g:4858049
Township of Garden Grove	id=g:4858050
Garden Post Office (historical)	id=g:4858051
Garden Prairie	id=g:4858052
Garden Prairie Cemetery	id=g:4858053
Garden Prairie Cemetery	id=g:4858054
Garden Prairie Church	id=g:4858055
Garden Prairie Church	id=g:4858056
Garden View Care Center	id=g:4858057
Garden of Memories	id=g:4858058
Township of Garden	id=g:4858059
Gardiner	id=g:4858060
Gardiner Post Office (historical)	id=g:4858061
Gardner	id=g:4858062
Gardner Park	id=g:4858063
Garfield	id=g:4858064
Garfield Cemetery	id=g:4858065
Garfield Cemetery	id=g:4858066
Garfield Elementary School	id=g:4858067
Garfield Elementary School	id=g:4858068
Garfield Park	id=g:4858069
Garfield Park	id=g:4858070
Garfield Post Office (historical)	id=g:4858071
Garfield School	id=g:4858072
Garfield School	id=g:4858073
Garfield School	id=g:4858074
Garfield School	id=g:4858075
Garfield School	id=g:4858076
Garfield School	id=g:4858077
Garfield School	id=g:4858078
