Strafuss Airport	id=g:4280062
Strahm Cemetery	id=g:4280063
Straight Creek	id=g:4280064
Stover	id=g:4280065
Straight Creek	id=g:4280066
Township of Straight Creek	id=g:4280067
Stranger Creek	id=g:4280068
Township of Stranger	id=g:4280069
Strassburg Cemetery	id=g:4280070
Strassburg Church	id=g:4280071
Strauss	id=g:4280072
Strawberry	id=g:4280073
Township of Strawberry	id=g:4280074
Strawn Cemetery	id=g:4280075
Strawn Recreation Area	id=g:4280076
Strecker Oil Field	id=g:4280077
Stribby Creek	id=g:4280078
Strangers Rest Baptist Church	id=g:4280079
Striker Branch	id=g:4280080
Strick Oil Field	id=g:4280081
Strip Pits State Wildlife Management Area	id=g:4280082
Strobe Cemetery	id=g:4280083
Stroble-Gibson Physical Education Center and Gymnasium	id=g:4280084
Stringtown Cemetery	id=g:4280085
Strong School	id=g:4280086
Strong Township Cemetery	id=g:4280087
Township of Strong	id=g:4280088
Strother Air Field Number Two	id=g:4280089
Strother Army Air Field (historical)	id=g:4280090
Strother Field	id=g:4280091
Strowbridge Creek	id=g:4280092
Strong City	id=g:4280093
Strowbridge Reservoir	id=g:4280094
Stub Creek	id=g:4280095
Strowbridge Dam	id=g:4280096
Stuber Ranch Airport	id=g:4280097
Stuck School	id=g:4280098
Stull	id=g:4280099
Stumph Oil and Gas Field	id=g:4280100
Stuttgart	id=g:4280101
Success (historical)	id=g:4280102
Sugar (historical)	id=g:4280103
Sugar Creek	id=g:4280104
Stubbs	id=g:4280105
Township of Sugar Creek	id=g:4280106
Sugar Loaf (historical)	id=g:4280107
Sugar Valley Shopping Center	id=g:4280108
Sugarloaf	id=g:4280109
Sugarloaf	id=g:4280110
Sugarvale (historical)	id=g:4280111
Sullivan	id=g:4280112
Sullivan Chapel United Methodist Church	id=g:4280113
Sullivan Creek	id=g:4280114
Sugar Creek	id=g:4280115
Sulphur Creek	id=g:4280116
Sulphur Springs (historical)	id=g:4280117
Summer Cemetery	id=g:4280118
Sumner Academy	id=g:4280119
Summer School	id=g:4280120
Summerfield	id=g:4280121
Summerfield Airport	id=g:4280122
Summerville (historical)	id=g:4280123
Summit	id=g:4280124
Summit	id=g:4280125
Summit (historical)	id=g:4280126
Summit Cemetery	id=g:4280127
Summit Cemetery	id=g:4280128
Summit Church	id=g:4280129
Summit Church	id=g:4280130
Summit Hill School	id=g:4280131
Summit Hill School (historical)	id=g:4280132
Summit Lawn School	id=g:4280133
Summit Park	id=g:4280134
Summit School (historical)	id=g:4280135
Summit Station (historical)	id=g:4280136
Summit Wesleyan Church	id=g:4280137
Township of Summit	id=g:4280138
Township of Summit	id=g:4280139
Township of Summit	id=g:4280140
Sumner (historical)	id=g:4280141
Sumner Cemetery	id=g:4280142
Sumner County	id=g:4280143
Sumner Elementary School (historical)	id=g:4280144
Sumner Hill	id=g:4280145
Sumner Memorial Gardens	id=g:4280146
Township of Sumner	id=g:4280147
Township of Sumner	id=g:4280148
Township of Sumner	id=g:4280149
Township of Sumner	id=g:4280150
Sumnerville	id=g:4280151
Sun City	id=g:4280152
Sun City Oil Field	id=g:4280153
Township of Sun City	id=g:4280154
Sun Lane Airport	id=g:4280155
Sun Springs	id=g:4280156
Sun Valley Church	id=g:4280157
Sunbeam School	id=g:4280158
Suncrest School	id=g:4280159
Sunflower	id=g:4280160
Sunflower Aerodrome	id=g:4280161
Sunflower Grange Hall	id=g:4280162
Sunflower Park	id=g:4280163
Sunflower Pond B Dam	id=g:4280164
Sunflower School	id=g:4280165
Sunflower School	id=g:4280166
Sunflower School (historical)	id=g:4280167
Sunflower Triangle	id=g:4280168
Sunlight School	id=g:4280169
Sunnebuhl Lake	id=g:4280170
Sunny Four School	id=g:4280171
Sunny Grove School	id=g:4280172
Sunny Hill School	id=g:4280173
Sunny Side Cemetery	id=g:4280174
Sunny Side School	id=g:4280175
Sunny Side School	id=g:4280176
Sunny Side School	id=g:4280177
Sunny Slope Cemetery	id=g:4280178
Sunny Slope Oil Field	id=g:4280179
Sunny Slope School	id=g:4280180
Sunny Slope School	id=g:4280181
Sunny Slope School	id=g:4280182
Sunny Slope School	id=g:4280183
Sunny Slope School (historical)	id=g:4280184
Sunny Valley School	id=g:4280185
Sunny View School (historical)	id=g:4280186
Sunnybrook School	id=g:4280187
Sunnydale	id=g:4280188
