Lola Lake	id=g:6058522
Lola Lake Provincial Nature Reserve	id=g:6058523
L'Old Fort Brook	id=g:6058524
Lolice Pond	id=g:6058525
Loljuh Creek	id=g:6058526
Lolligag Lake	id=g:6058527
Lolo Creek	id=g:6058528
Lolo Lake	id=g:6058529
Lomas Lake	id=g:6058530
Lomax Creek	id=g:6058531
Lomax Lake	id=g:6058532
Lombard Peak	id=g:6058533
Lombard Point	id=g:6058534
Lombard Pup	id=g:6058535
Lombard Rocks	id=g:6058536
Lombardy	id=g:6058537
Lombell	id=g:6058538
Lombiere Island	id=g:6058539
Lomgon Bay	id=g:6058540
Lomgon Islets	id=g:6058541
Lomolo Glacier	id=g:6058542
Lomond	id=g:6058543
Lomond	id=g:6058544
Lomond	id=g:6058545
Lomond Brook	id=g:6058546
Lomond Cove	id=g:6058547
Lomond Creek	id=g:6058548
Lomond Creek	id=g:6058549
Lomond Lake	id=g:6058550
Lomond Lake	id=g:6058551
Lomond No. 37	id=g:6058552
Lomond River	id=g:6058553
Lomond River	id=g:6058554
Lomond Wildlife Management Unit	id=g:6058555
Lona Bay	id=g:6058556
Londesborough	id=g:6058557
Londesborough Harbour	id=g:6058558
London	id=g:6058559
London	id=g:6058560
London Brook	id=g:6058561
London Creek	id=g:6058562
Londonderry	id=g:6058563
Londonderry	id=g:6058564
Londonderry	id=g:6058565
Londonderry Creek	id=g:6058566
Londonderry Lake	id=g:6058567
Londonderry Station	id=g:6058568
London Gulch	id=g:6058569
London Lake	id=g:6058570
London Point	id=g:6058571
London Pond	id=g:6058572
London Pond	id=g:6058573
London Ridge	id=g:6058574
London Rock	id=g:6058575
London Settlement	id=g:6058576
London Slough	id=g:6058577
Londrys Lake	id=g:6058578
Lonebreast Bay	id=g:6058579
Lonebutte	id=g:6058580
Lone Butte	id=g:6058581
Lone Butte	id=g:6058582
Lonebutte Bay	id=g:6058583
Lone Cabin Creek	id=g:6058584
Lone Cabin Lake	id=g:6058585
Lone Cloud Island	id=g:6058586
Lone Clouds Lake	id=g:6058587
Lone Cone	id=g:6058588
Lone Creek	id=g:6058589
Lone Creek	id=g:6058590
Lone Creek	id=g:6058591
Lone Creek	id=g:6058592
Lone Duck Lake	id=g:6058593
Lone Eagle Butte	id=g:6058594
Lone Fisherman Point	id=g:6058595
Lone Goat Creek	id=g:6058596
Lone Goat Mountain	id=g:6058597
Lone Island	id=g:6058598
Lone Island	id=g:6058599
Lone Island	id=g:6058600
Lone Island Lake	id=g:6058601
Lone Island Lake	id=g:6058602
Lone Island Lake	id=g:6058603
Lone Island Shoal	id=g:6058604
Lone Isle Creek	id=g:6058605
Lone Isle Lake	id=g:6058606
Lone Lake	id=g:6058607
Lone Lake	id=g:6058608
Lone Lake	id=g:6058609
Lone Lake	id=g:6058610
Lone Lake	id=g:6058611
Lone Lake	id=g:6058612
Lone Lake	id=g:6058613
Lone Lake	id=g:6058614
Lone Loon Lake	id=g:6058615
Lonely Bay	id=g:6058616
Lonely Bay	id=g:6058617
Lonely Creek	id=g:6058618
Lonely Creek	id=g:6058619
Lonely Creek	id=g:6058620
Lonely Creek	id=g:6058621
Lonely Creek	id=g:6058622
Lonely Dome	id=g:6058623
Lonely Hill	id=g:6058624
Lonely Island	id=g:6058625
Lonely Island	id=g:6058626
Lonely Island	id=g:6058627
Lonely Island Lake	id=g:6058628
Lonely Lake	id=g:6058629
Lonely Lake	id=g:6058630
Lonely Lake	id=g:6058631
Lonely Lake	id=g:6058632
Lonely Lake	id=g:6058633
Lonely Lake	id=g:6058634
Lonely Lake	id=g:6058635
Lonely Lake	id=g:6058636
Lonely Lake	id=g:6058637
Lonely Lake	id=g:6058638
Lonely Lake	id=g:6058639
Lonely Lake	id=g:6058640
Lonely Lake	id=g:6058641
Lonely Lake Drain	id=g:6058642
Lonely Mountain	id=g:6058643
Lonely Point	id=g:6058644
Lonely Point	id=g:6058645
Lonely Point Shoal	id=g:6058646
Lonely Rocks	id=g:6058647
Lonely Valley Creek	id=g:6058648
Lone Man Ridge	id=g:6058649
Lone Moose Lake	id=g:6058650
Lone Mountain	id=g:6058651
Lone Mountain	id=g:6058652
Lone Mountain	id=g:6058653
Lone Mountain	id=g:6058654
Lone Mountain	id=g:6058655
Lone Mountain	id=g:6058656
Lone Mountain	id=g:6058657
Lone Nest Lake	id=g:6058658
Lone Peak	id=g:6058659
Lone Pine	id=g:6058660
Lone Pine	id=g:6058661
Lonepine Creek	id=g:6058662
Lonepine Creek	id=g:6058663
Lone Pine Creek	id=g:6058664
Lone Pine Hill	id=g:6058665
Lone Pine Island	id=g:6058666
Lone Pine Island	id=g:6058667
Lonepine Lake	id=g:6058668
Lone Pine Lake	id=g:6058669
Lone Pine Lake	id=g:6058670
Lone Pine Mountain	id=g:6058671
Lone Pine Point	id=g:6058672
Lone Prairie	id=g:6058673
Lone Prairie Creek	id=g:6058674
Loner Mountain	id=g:6058675
Lone Rock	id=g:6058676
Lone Rock	id=g:6058677
Lone Rock	id=g:6058678
Lone Rock	id=g:6058679
Lone Rock	id=g:6058680
Lone Rock	id=g:6058681
Lone Rock Point	id=g:6058682
Lone Rock Point	id=g:6058683
Lonesand	id=g:6058684
LoneShoal	id=g:6058685
Lonesome Butte	id=g:6058686
Lonesome Coulee	id=g:6058687
Lonesome Cove	id=g:6058688
Lonesome Creek	id=g:6058689
Lonesome Creek	id=g:6058690
Lonesome Lake	id=g:6058691
Lonesome Lake	id=g:6058692
Lonesome Lake	id=g:6058693
Lonesome Lake	id=g:6058694
Lonesome Lake	id=g:6058695
Lonesome Lake	id=g:6058696
Lonesome Lake	id=g:6058697
Lonesome Lake	id=g:6058698
Lonesome Mountain	id=g:6058699
Lonesome Ponds	id=g:6058700
Lone Spoon Creek	id=g:6058701
Lone Spoon Lake	id=g:6058702
Lone Spruce	id=g:6058703
Lone Spruce	id=g:6058704
Lone Star Island	id=g:6058705
Lone Star Point	id=g:6058706
Lone Teepee Creek	id=g:6058707
Lone Tree Creek	id=g:6058708
Lone Tree Creek	id=g:6058709
Lone Tree Creek	id=g:6058710
Lone Tree Hill	id=g:6058711
Lonetree Island	id=g:6058712
Lonetree Island	id=g:6058713
Lone Tree Island	id=g:6058714
Lone Tree Island	id=g:6058715
Lone Tree Island	id=g:6058716
Lone Tree Island	id=g:6058717
Lone Tree Islet	id=g:6058718
Lone Tree Islet	id=g:6058719
Lonetree Lake	id=g:6058720
Lonetree Lake	id=g:6058721
Lone Tree Lake	id=g:6058722
Lone Tree Lake	id=g:6058723
Lone Tree No. 18	id=g:6058724
Lone Tree Pass	id=g:6058725
Lone Tree Point	id=g:6058726
Lone Valley Creek	id=g:6058727
Lone Wolf Creek	id=g:6058728
Lonewolf Lake	id=g:6058729
Lone Wolf Mountain	id=g:6058730
Loney Creek	id=g:6058731
Loney Island	id=g:6058732
Loney Lake	id=g:6058733
Loney Lake	id=g:6058734
Loney Lake	id=g:6058735
Loney Point	id=g:6058736
Loneys Chute	id=g:6058737
Loneys Hill	id=g:6058738
Long	id=g:6058739
Longacre Lake	id=g:6058740
Longairy Lake	id=g:6058741
Long Alice Lake	id=g:6058742
Longards Cove	id=g:6058743
Long Arm	id=g:6058744
Long Arm	id=g:6058745
Long Arm	id=g:6058746
Long Arm	id=g:6058747
Long Arm	id=g:6058748
Longarm Bay	id=g:6058749
Longback Rocks	id=g:6058750
Long Bank	id=g:6058751
Long Bank	id=g:6058752
Long Bank	id=g:6058753
Long Bar	id=g:6058754
Long Bar	id=g:6058755
