Burl Tank	id=g:5459396
Burleson Ridge	id=g:5459397
Burleson Well	id=g:5459398
Burma Trick Tank	id=g:5459399
Burma Trick Tank	id=g:5459400
Burn Cow Camp	id=g:5459401
Burn Lake	id=g:5459402
Burn Peak	id=g:5459403
Burn Pit	id=g:5459404
Burn Ski Trail	id=g:5459405
Burned Canyon	id=g:5459406
Burdick	id=g:5459407
Burned Death Wash	id=g:5459408
Burned Mountain	id=g:5459409
Burned Out Canyon	id=g:5459410
Burned Mountain Tank	id=g:5459411
Burned Through the Rock Wash	id=g:5459412
Burned Timber Canyon	id=g:5459413
Burned Water Canyon	id=g:5459414
Burned Water Well	id=g:5459415
Burnett Well	id=g:5459416
Burnham 1 Water Well	id=g:5459417
Burnham Trading Post	id=g:5459418
Burning Bridge Wash	id=g:5459419
Burnett Ranch	id=g:5459420
Burns	id=g:5459421
Burns	id=g:5459422
Burns Arroyo	id=g:5459423
Burns	id=g:5459424
Burns Canyon	id=g:5459425
Burns Canyon Water Well	id=g:5459426
Burns Draw	id=g:5459427
Burns Hill	id=g:5459428
Burns Lake Bungalow Historic Site	id=g:5459429
Burns Spring	id=g:5459430
Burns Well	id=g:5459431
Burns-Kelly Store Historic Site	id=g:5459432
Burnt Cabin Cienega	id=g:5459433
Burnt Cabin Cienega Spring	id=g:5459434
Burnt Cabin Flat	id=g:5459435
Burnt Cabin Tank	id=g:5459436
Burnt Canyon	id=g:5459437
Burns Lake	id=g:5459438
Burnt Canyon	id=g:5459439
Burnt Canyon	id=g:5459440
Burnt Canyon	id=g:5459441
Burnt Canyon	id=g:5459442
Burnt Canyon	id=g:5459443
Burnt Canyon Tank	id=g:5459444
Burnt Corral Canyon	id=g:5459445
Burnt Corral	id=g:5459446
Burnt House Canyon	id=g:5459447
Burnt Corral Tank	id=g:5459448
Burnt Mesa	id=g:5459449
Burnt Mill Canyon	id=g:5459450
Burnt Mesa	id=g:5459451
Burnt Peaks	id=g:5459452
Burnt Ridge	id=g:5459453
Burnt Ridge Canyon	id=g:5459454
Burnt Mountain Trail	id=g:5459455
Burnt Spring	id=g:5459456
Burnt Spring	id=g:5459457
Burnt Squash Draw	id=g:5459458
Burnt Ridge Trail	id=g:5459459
Burnt Stump Canyon	id=g:5459460
Burnt Tank	id=g:5459461
Burnt Well	id=g:5459462
Burnt Well	id=g:5459463
Burnt Windmill	id=g:5459464
Burr Tank	id=g:5459465
Burr/ Springs	id=g:5459466
Burrego Spring	id=g:5459467
Burris 'E' Ranch Airport	id=g:5459468
Burris Claims	id=g:5459469
Burris E Station Airport	id=g:5459470
Burris HQ Water Well	id=g:5459471
Burris Hall	id=g:5459472
Burris Ranch Number 1 Airport	id=g:5459473
Burris Well	id=g:5459474
Burris and Nunn Ranch	id=g:5459475
Burro Alley Ski Trail	id=g:5459476
Burro Canyon	id=g:5459477
Burnt Tank	id=g:5459478
Burro Canyon	id=g:5459479
Burro Canyon	id=g:5459480
Burro Canyon	id=g:5459481
Burro Canyon	id=g:5459482
Burro Canyon	id=g:5459483
Burro Canyon	id=g:5459484
Burro Canyon	id=g:5459485
Burro Canyon	id=g:5459486
Burro Cienaga	id=g:5459487
Burro Chief Mine (historical)	id=g:5459488
Burro Creek	id=g:5459489
Burro Cienga Tank	id=g:5459490
Burro Draw	id=g:5459491
Burro Draw Tank	id=g:5459492
Burro Hill	id=g:5459493
Burro Hill	id=g:5459494
Burro Hill	id=g:5459495
Burro Junior Tank	id=g:5459496
Burro Lake	id=g:5459497
Burro Lake	id=g:5459498
Burro Lake	id=g:5459499
Burro Mountain Homestead	id=g:5459500
Burro Pass	id=g:5459501
Burro Peak	id=g:5459502
Burro Spring	id=g:5459503
Burro Spring	id=g:5459504
Burro Spring	id=g:5459505
Burro Spring	id=g:5459506
Burro Spring	id=g:5459507
Burro Spring	id=g:5459508
Burro Spring	id=g:5459509
Burro Spring	id=g:5459510
Burro Spring	id=g:5459511
Burro Spring	id=g:5459512
Burro Spring Canyon	id=g:5459513
Burro Flats	id=g:5459514
Burro Springs Historic Site	id=g:5459515
Burro Tank	id=g:5459516
Burro Tank	id=g:5459517
Burro Tank	id=g:5459518
Burro Tank	id=g:5459519
Burro Tank	id=g:5459520
Burro Tank	id=g:5459521
Burro Tanks Site	id=g:5459522
Burro Water Hole	id=g:5459523
Burro Well	id=g:5459524
Cañada Burro	id=g:5459525
Burro Springs	id=g:5459526
Cañon Burro	id=g:5459527
Punta Burro	id=g:5459528
Burrow Canyon	id=g:5459529
Bursum House Historic Site	id=g:5459530
Burt Thomas Mine	id=g:5459531
Burtch Windmill	id=g:5459532
Burtcher Canyon	id=g:5459533
Bursum Recreation Site	id=g:5459534
Burtcher Tank	id=g:5459535
Burton 1 Water Well	id=g:5459536
Burton 2 Water Well	id=g:5459537
Burton 3 Water Well	id=g:5459538
Burton 4 Water Well	id=g:5459539
Burton Flat	id=g:5459540
Burton Park	id=g:5459541
Burton Pumping Station	id=g:5459542
Burton Reservoir	id=g:5459543
Burton Tanks	id=g:5459544
Burton Windmill	id=g:5459545
Burts Canyon	id=g:5459546
Burtcher Flats	id=g:5459547
Bushelberger Mesa	id=g:5459548
Bushnell Creek	id=g:5459549
Burts Tank	id=g:5459550
