Manariwau River	id=g:3377163
Manari Village	id=g:3377164
Manari River	id=g:3377165
Manari River	id=g:3377166
Manari River	id=g:3377167
Manari Rapid	id=g:3377168
Manarin River	id=g:3377169
Manari	id=g:3377170
Manari	id=g:3377171
Manarebu Creek	id=g:3377172
Manarabisi Itabu	id=g:3377173
Manarabisi Hole	id=g:3377174
Manarabisi Creek	id=g:3377175
Manarabisi Creek	id=g:3377176
Manarabisi Creek	id=g:3377177
Manarabisi Canal	id=g:3377178
Manarabisi	id=g:3377179
Manakura Island	id=g:3377180
Manakobi River	id=g:3377181
Manakaru Creek	id=g:3377182
Manakaru Creek	id=g:3377183
Manaka Creek	id=g:3377184
Manaka Creek	id=g:3377185
Manakaburi Creek	id=g:3377186
Manaka	id=g:3377187
Manaiwau River	id=g:3377188
Manabubu Creek	id=g:3377189
Manaballi Creek	id=g:3377190
Manabadin River	id=g:3377191
Manabadin Creek	id=g:3377192
Mamuribahi Creek	id=g:3377193
Mamir Pawa	id=g:3377194
Mamid Mountain	id=g:3377195
Mambaka River	id=g:3377196
Mamarikuru Island	id=g:3377197
Mamarikuru Bank	id=g:3377198
Mamariku	id=g:3377199
Mamakabra Creek	id=g:3377200
Mamakabra Creek	id=g:3377201
Mamakabra	id=g:3377202
Maltha	id=g:3377203
Malouf Landing	id=g:3377204
Malgre Tout	id=g:3377205
Malali Rapids	id=g:3377206
Malali	id=g:3377207
Makwiari River	id=g:3377208
Makwakuru	id=g:3377209
Makwakaru Island	id=g:3377210
Makwaiektuk Falls	id=g:3377211
Makwai Creek	id=g:3377212
Makudud Mountain	id=g:3377213
Makuba Creek	id=g:3377214
Makouria River	id=g:3377215
Makouria Island	id=g:3377216
Makouria	id=g:3377217
Makoudit River	id=g:3377218
Makko Creek	id=g:3377219
Makeshift	id=g:3377220
Makawatta Mountain	id=g:3377221
Makawarima Fall	id=g:3377222
Makasima	id=g:3377223
Makari River	id=g:3377224
Makari Rapid	id=g:3377225
Makari Mountain	id=g:3377226
Makari	id=g:3377227
Makarapan Mountain	id=g:3377228
Makaparima Mountain	id=g:3377229
Makapa Creek	id=g:3377230
Makanne Creek	id=g:3377231
Makanang River	id=g:3377232
Majuka Creek	id=g:3377233
Majuba Hill	id=g:3377234
Majakaballi Creek	id=g:3377235
Maipuri River	id=g:3377236
Maipuri River	id=g:3377237
Maipuri Landing	id=g:3377238
Maipurikabra Creek	id=g:3377239
Maipuri Creek	id=g:3377240
Maipuri Creek	id=g:3377241
Maipuri Creek	id=g:3377242
Maipu Creek	id=g:3377243
Maipa Mountain	id=g:3377244
Mainstay/Whyaka Amerindian Village	id=g:3377245
Mainstay Lake	id=g:3377246
Mainstay Holiday Resort	id=g:3377247
Mainstay	id=g:3377248
Mainap Creek	id=g:3377249
Maimaru Creek	id=g:3377250
Maikwak River	id=g:3377251
Maikwak Mountain	id=g:3377252
Maikwak	id=g:3377253
Maida	id=g:3377254
Maibullikabra Creek	id=g:3377255
Maibia Creek	id=g:3377256
Maibari Islands	id=g:3377257
Maiabaru Creek	id=g:3377258
Mahdia River	id=g:3377259
Mahdiana Mountains	id=g:3377260
Mahdiana Creek	id=g:3377261
Mahdia Falls	id=g:3377262
Mahdia	id=g:3377263
Mahaicony-Watuka River	id=g:3377264
Mahaicony Village	id=g:3377265
Mahaicony River	id=g:3377266
Mahaica Village	id=g:3377267
Mahaica-Unity Local Government District	id=g:3377268
Mahaica River	id=g:3377269
Mahaica-Mahaicony-Abary Water Conservancy Area	id=g:3377270
Mahaica-Mahaicony-Abary Main Canal	id=g:3377271
Mahaica-Mahaicony-Abary Dam	id=g:3377272
Mahaica Itabu	id=g:3377273
Mahaica-Berbice Region	id=g:3377274
Mahaicaballi	id=g:3377275
Magdalenburg	id=g:3377276
Magdalena Maria	id=g:3377277
Maduni River	id=g:3377278
Madray River	id=g:3377279
Madewini River	id=g:3377280
Macusi Village	id=g:3377281
Macouba Creek	id=g:3377282
Macouba	id=g:3377283
Mackenzie Landing	id=g:3377284
Mackenzie Creek	id=g:3377285
Mackenzie	id=g:3377286
Machpawa Falls	id=g:3377287
Macbid-pawa	id=g:3377288
Machabo	id=g:3377289
Macedonia Creek	id=g:3377290
Macedonia	id=g:3377291
Macaw Trench	id=g:3377292
Macaw Creek	id=g:3377293
Macaw Canal	id=g:3377294
Macaw	id=g:3377295
Mabura Hill	id=g:3377296
Mabura Creek	id=g:3377297
Mabiri Creek	id=g:3377298
Mabaruma Hills	id=g:3377299
Mabaruma	id=g:3377300
Mabaruma	id=g:3377301
Maan River	id=g:3377302
Maam River	id=g:3377303
Maam Island	id=g:3377304
Maam Creek	id=g:3377305
Lysles River	id=g:3377306
Lust tot Rust	id=g:3377307
Lust tot Rust	id=g:3377308
Lustenburg	id=g:3377309
Lusignan	id=g:3377310
Luri River	id=g:3377311
Luri Beach	id=g:3377312
L’Union	id=g:3377313
Lumidpau	id=g:3377314
Lukunanikabra Lake	id=g:3377315
Lukudarba Creek	id=g:3377316
Lukudaia Rapid	id=g:3377317
Lukobar Mountain	id=g:3377318
Lukanani Creek	id=g:3377319
Lukabuna Creek	id=g:3377320
Lucky Spot	id=g:3377321
Low Wood	id=g:3377322
Lowlands	id=g:3377323
Lower Simerie	id=g:3377324
Lower Kamaria	id=g:3377325
Lower Haimarakabra Creek	id=g:3377326
Lovely Lass	id=g:3377327
Louisiana	id=g:3377328
Louisa Creek	id=g:3377329
Lot Number Three	id=g:3377330
Lot Number Six	id=g:3377331
Lot Number Seven	id=g:3377332
Lot Number Four	id=g:3377333
Lot Number Five	id=g:3377334
Lot Number Fifty-one Good Hope Village District	id=g:3377335
Lorenza	id=g:3377336
L’Oratoire	id=g:3377337
Loo Lands	id=g:3377338
Loo Lands	id=g:3377339
Look-Out Mountains	id=g:3377340
Lookout	id=g:3377341
Looking Glass Fall	id=g:3377342
Lookabu	id=g:3377343
Loo Creek	id=g:3377344
Lonsdale	id=g:3377345
Long Swamp	id=g:3377346
Long Mariwa Island	id=g:3377347
Long Licker Rapids	id=g:3377348
Long Falls	id=g:3377349
Long Fall	id=g:3377350
Longden Rock	id=g:3377351
Lodge	id=g:3377352
Locust Point	id=g:3377353
Lochaber	id=g:3377354
Lizard Point	id=g:3377355
Liverpool	id=g:3377356
Little Yukuriba Fall	id=g:3377357
Little Wineperu Creek	id=g:3377358
Little Wamaina	id=g:3377359
Little Uobaina Creek	id=g:3377360
Little Turu Creek	id=g:3377361
Little Truli Island	id=g:3377362
Little Tobiana Creek	id=g:3377363
Little Tipuru River	id=g:3377364
Little Timehri River	id=g:3377365
Little Takuba River	id=g:3377366
Little Sari Creek	id=g:3377367
Little Nappi River	id=g:3377368
Little Moleson Creek	id=g:3377369
Little Mibikuri Creek	id=g:3377370
Little Massiah	id=g:3377371
Little Lanaballi Creek	id=g:3377372
Little Laluni Creek	id=g:3377373
Little Kusowe Rapid	id=g:3377374
Little Kaniaballi Amerindian Village	id=g:3377375
Little Kaniaballi	id=g:3377376
Little Kamaria Fall	id=g:3377377
Little Kamani Creek	id=g:3377378
Little Imbotero River	id=g:3377379
Little Hubudi Creek	id=g:3377380
Little Geertruydenburg	id=g:3377381
Little Ewang Creek	id=g:3377382
Little Dukalaba Island	id=g:3377383
Little Diamond	id=g:3377384
Little Cartwright Creek	id=g:3377385
Little Calabash Creek	id=g:3377386
Little Bullet Tree Creek	id=g:3377387
Little Bleyendaal	id=g:3377388
Little Black Creek	id=g:3377389
Little Biabu Creek	id=g:3377390
Little Beribissiballi Creek	id=g:3377391
Little Batavia Island	id=g:3377392
Little Barabara River	id=g:3377393
Little Arimu River	id=g:3377394
Little Andabo River	id=g:3377395
Little Anarika Creek	id=g:3377396
Little Almanac Creek	id=g:3377397
Little Alliance	id=g:3377398
Little Abary Creek	id=g:3377399
Lion Mountain	id=g:3377400
Lion Hill	id=g:3377401
Lion Fall	id=g:3377402
Lino Creek	id=g:3377403
Line Path	id=g:3377404
Lindo Creek	id=g:3377405
Lindo Creek	id=g:3377406
Lindhirst	id=g:3377407
Linden	id=g:3377408
L’Incertitude	id=g:3377409
Limlair	id=g:3377410
Lima	id=g:3377411
Liliendaal	id=g:3377412
Lilienburg	id=g:3377413
Light Town	id=g:3377414
Lichfield	id=g:3377415
Liberty Island	id=g:3377416
Leyden	id=g:3377417
Lewis Manor	id=g:3377418
L’Everest	id=g:3377419
Levai Mountains	id=g:3377420
Levai Creek	id=g:3377421
Letter T	id=g:3377422
Letter T	id=g:3377423
Letter Kenny	id=g:3377424
Lethem	id=g:3377425
Less Beholding	id=g:3377426
Less Beholding	id=g:3377427
L’Esperance Creek	id=g:3377428
