Simpangsiabu	id=g:6723400
Salolama	id=g:6723401
Simpangstanum	id=g:6723402
Airmanis	id=g:6723403
Sungai Tuak	id=g:6723404
Sungai Pandan	id=g:6723405
Seidurian	id=g:6723406
Sungai Semaung	id=g:6723407
Singgalan	id=g:6723408
Langgam	id=g:6723409
Pulauampat	id=g:6723410
Ombak	id=g:6723411
Batangubar	id=g:6723412
Pulausialang	id=g:6723413
Batangkandung	id=g:6723414
Rimbapanjang	id=g:6723415
Merbau	id=g:6723416
Mangkudu	id=g:6723417
Banjarbatuampar	id=g:6723418
Banjarlubukpadu	id=g:6723419
Banjarrimbo	id=g:6723420
Baraberanca	id=g:6723421
Sungai Rambai	id=g:6723422
Sungai Parandaman	id=g:6723423
Sungai Setanum	id=g:6723424
Sungai Salo Kecil	id=g:6723425
Gle Teungku Cotseupeueng	id=g:6723433
Cot Bateemetamon	id=g:6723434
Air Sipheuet	id=g:6723435
Krueng Meh	id=g:6723436
Ujung Pureng	id=g:6723437
Blangrube	id=g:6723438
Krueng Batee Meukeurenda	id=g:6723439
Cot Leupeue	id=g:6723440
Blang Pasi	id=g:6723441
Krueng Kale	id=g:6723442
Batee	id=g:6723443
Ingin Jaya	id=g:6723444
Papen	id=g:6723445
Ujong Pi	id=g:6723446
Le Masin	id=g:6723447
Krueng Laweueng	id=g:6723448
Kuala Sagi	id=g:6723449
Cot	id=g:6723450
Teungku Dilaweueng	id=g:6723451
Masjid	id=g:6723452
Kepule	id=g:6723453
Glecot	id=g:6723454
Dayah	id=g:6723455
Gle Aron	id=g:6723456
Cot Beukulah	id=g:6723457
Cot Leuniklueng Kareung	id=g:6723458
Cot Blang Bungong Mirah	id=g:6723459
Gle Raya	id=g:6723460
Gle Uteuen Batee	id=g:6723461
Cot Tapeueng	id=g:6723462
Cot Blang Lampeueng	id=g:6723463
Cot Tanoh Adang	id=g:6723464
Lajambaung	id=g:6723470
Bukit Sungaiduo	id=g:6723474
Bukit Rangau	id=g:6723475
Sungai Buyuh Kiri	id=g:6723476
Sungai Buyuh Kanan	id=g:6723477
Bukit Payungsakaki	id=g:6723478
Sungai Dago	id=g:6723479
Bukit Tabuh	id=g:6723480
Pasarbuyuh	id=g:6723481
Kotolamo	id=g:6723482
Pulaupanjang	id=g:6723483
Bukit Batulenggek	id=g:6723484
Airangat	id=g:6723485
Sungai Parandaman	id=g:6723486
Sungai Silantung	id=g:6723487
Bukit Singgalang	id=g:6723488
Bukit Darastunggang	id=g:6723489
Sungai Nunu	id=g:6723490
Sungai Rambutankiri	id=g:6723491
Bukit Batukuda	id=g:6723492
Bukit Tapiansiraguk	id=g:6723493
Sungai Gosong	id=g:6723494
Bukit Tambunai	id=g:6723495
Sungai Kulang	id=g:6723496
Sungai Siburai	id=g:6723497
Keneg	id=g:6723498
Panang	id=g:6723499
Sungai Singgam	id=g:6723500
Bukit Apik	id=g:6723501
Sungai Rambutankanan	id=g:6723502
Bukit Rambutan	id=g:6723503
Bukit Lanjano	id=g:6723504
Sungai Singkalikur	id=g:6723505
Bukit Buar	id=g:6723506
Sungai Sipanai	id=g:6723507
Sungai Manggung	id=g:6723508
Sungai Mambung	id=g:6723509
Sungai Pulai	id=g:6723510
Bukit Ancalang	id=g:6723511
Bukit Panyasahan	id=g:6723512
Sungai Pauh	id=g:6723513
Sungai Lakuk	id=g:6723514
Pematang Taman	id=g:6723515
