12367 Water Well	id=g:5452711
12368 Water Well	id=g:5452712
12369 Water Well	id=g:5452713
12370 Water Well	id=g:5452714
12371 Water Well	id=g:5452715
12372 Water Well	id=g:5452716
12373 Water Well	id=g:5452717
12374 Water Well	id=g:5452718
12375 Water Well	id=g:5452719
12376 Water Well	id=g:5452720
12376 Water Well	id=g:5452721
12377 Water Well	id=g:5452722
12377 Water Well	id=g:5452723
12378 Water Well	id=g:5452724
12378 Water Well	id=g:5452725
12379 Water Well	id=g:5452726
12379 Water Well	id=g:5452727
12380 Water Well	id=g:5452728
12380 Water Well	id=g:5452729
12381 Water Well	id=g:5452730
12382 Water Well	id=g:5452731
12383 Water Well	id=g:5452732
12384 Water Well	id=g:5452733
12385 Water Well	id=g:5452734
12386 Water Well	id=g:5452735
12387 Water Well	id=g:5452736
12388 Water Well	id=g:5452737
12390 Water Well	id=g:5452738
12391 Water Well	id=g:5452739
12391 Water Well	id=g:5452740
12392 Water Well	id=g:5452741
12392 Water Well	id=g:5452742
12393 Water Well	id=g:5452743
12393 Water Well	id=g:5452744
12394 Water Well	id=g:5452745
12394 Water Well	id=g:5452746
12395 Water Well	id=g:5452747
12395 Water Well	id=g:5452748
12396 Water Well	id=g:5452749
12397 Water Well	id=g:5452750
12398 Water Well	id=g:5452751
12399 Water Well	id=g:5452752
124 Water Well	id=g:5452753
12400 Water Well	id=g:5452754
12401 Water Well	id=g:5452755
12402 Water Well	id=g:5452756
12403 Water Well	id=g:5452757
12404 Water Well	id=g:5452758
12405 Water Well	id=g:5452759
12406 Water Well	id=g:5452760
12407 Water Well	id=g:5452761
12408 Water Well	id=g:5452762
12409 Water Well	id=g:5452763
12410 Water Well	id=g:5452764
12411 Water Well	id=g:5452765
12412 Water Well	id=g:5452766
12413 Water Well	id=g:5452767
12414 Water Well	id=g:5452768
12414 Water Well	id=g:5452769
12415 Water Well	id=g:5452770
12415 Water Well	id=g:5452771
12416 Water Well	id=g:5452772
12416 Water Well	id=g:5452773
12417 Water Well	id=g:5452774
12500 Water Well	id=g:5452775
12501 Water Well	id=g:5452776
12504 Water Well	id=g:5452777
12505 Water Well	id=g:5452778
12506 Water Well	id=g:5452779
12507 Water Well	id=g:5452780
12508 Water Well	id=g:5452781
12508 Water Well	id=g:5452782
12509 Water Well	id=g:5452783
12509 Water Well	id=g:5452784
12510 Water Well	id=g:5452785
12510 Water Well	id=g:5452786
12511 Water Well	id=g:5452787
12512 Water Well	id=g:5452788
12512 Water Well	id=g:5452789
12513 Water Well	id=g:5452790
12513 Water Well	id=g:5452791
12514 Water Well	id=g:5452792
12514 Water Well	id=g:5452793
12515 Water Well	id=g:5452794
12516 Water Well	id=g:5452795
12516 Water Well	id=g:5452796
12517 Water Well	id=g:5452797
12517 Water Well	id=g:5452798
12518 Water Well	id=g:5452799
12518 Water Well	id=g:5452800
12519 Water Well	id=g:5452801
12519 Water Well	id=g:5452802
12520 Water Well	id=g:5452803
12520 Water Well	id=g:5452804
12521 Water Well	id=g:5452805
12522 Water Well	id=g:5452806
12522 Water Well	id=g:5452807
12523 Water Well	id=g:5452808
12523 Water Well	id=g:5452809
12524 Water Well	id=g:5452810
12524 Water Well	id=g:5452811
12525 Water Well	id=g:5452812
12526 Water Well	id=g:5452813
12526 Water Well	id=g:5452814
12527 Water Well	id=g:5452815
12527 Water Well	id=g:5452816
12528 Water Well	id=g:5452817
12528 Water Well	id=g:5452818
12529 Water Well	id=g:5452819
12529 Water Well	id=g:5452820
12530 Water Well	id=g:5452821
12530 Water Well	id=g:5452822
12531 Water Well	id=g:5452823
12531 Water Well	id=g:5452824
12532 Water Well	id=g:5452825
12532 Water Well	id=g:5452826
12533 Water Well	id=g:5452827
12533 Water Well	id=g:5452828
12534 Water Well	id=g:5452829
12534 Water Well	id=g:5452830
12535 Water Well	id=g:5452831
12535 Water Well	id=g:5452832
12536 Water Well	id=g:5452833
12536 Water Well	id=g:5452834
12537 Water Well	id=g:5452835
12537 Water Well	id=g:5452836
12538 Water Well	id=g:5452837
12538 Water Well	id=g:5452838
12539 Water Well	id=g:5452839
12541 Water Well	id=g:5452840
12541 Water Well	id=g:5452841
12542 Water Well	id=g:5452842
12542 Water Well	id=g:5452843
12543 Water Well	id=g:5452844
12543 Water Well	id=g:5452845
12544 Water Well	id=g:5452846
12545 Water Well	id=g:5452847
12545 Water Well	id=g:5452848
12546 Water Well	id=g:5452849
12546 Water Well	id=g:5452850
12547 Water Well	id=g:5452851
12548 Water Well	id=g:5452852
12548 Water Well	id=g:5452853
12549 Water Well	id=g:5452854
12549 Water Well	id=g:5452855
12550 Water Well	id=g:5452856
12551 Water Well	id=g:5452857
12552 Water Well	id=g:5452858
12552 Water Well	id=g:5452859
12553 Water Well	id=g:5452860
12553 Water Well	id=g:5452861
12554 Water Well	id=g:5452862
12554 Water Well	id=g:5452863
12555 Water Well	id=g:5452864
12555 Water Well	id=g:5452865
12556 Water Well	id=g:5452866
12556 Water Well	id=g:5452867
12557 Water Well	id=g:5452868
12557 Water Well	id=g:5452869
12558 Water Well	id=g:5452870
12559 Water Well	id=g:5452871
12559 Water Well	id=g:5452872
12560 Water Well	id=g:5452873
12560 Water Well	id=g:5452874
12561 Water Well	id=g:5452875
12561 Water Well	id=g:5452876
12562 Water Well	id=g:5452877
12562 Water Well	id=g:5452878
12563 Water Well	id=g:5452879
12563 Water Well	id=g:5452880
12564 Water Well	id=g:5452881
12564 Water Well	id=g:5452882
12565 Water Well	id=g:5452883
12565 Water Well	id=g:5452884
12566 Water Well	id=g:5452885
12566 Water Well	id=g:5452886
12568 Water Well	id=g:5452887
12569 Water Well	id=g:5452888
12570 Water Well	id=g:5452889
12571 Water Well	id=g:5452890
12572 Water Well	id=g:5452891
12573 Water Well	id=g:5452892
12573 Water Well	id=g:5452893
12574 Water Well	id=g:5452894
12574 Water Well	id=g:5452895
12575 Water Well	id=g:5452896
12575 Water Well	id=g:5452897
