Lepenica	id=g:788737
Lepenica	id=g:788738
Lepenica	id=g:788739
Lepenica	id=g:788740
Lepenac	id=g:788742
Lepena	id=g:788743
Lepčince	id=g:788744
Lepaštica Reka	id=g:788745
Lepaja	id=g:788746
Lepa Gora	id=g:788747
Lepa Glavica	id=g:788748
Lenovac	id=g:788750
Ledenice	id=g:788755
Lecka	id=g:788756
Lece	id=g:788757
Leča	id=g:788758
Lebina	id=g:788759
Lebed	id=g:788760
Opština Lebane	id=g:788761
Lebane	id=g:788762
Laznica	id=g:788763
Lazarevo Selo	id=g:788767
Lazarevo	id=g:788768
Opština Lazarevac	id=g:788770
Lazarevac	id=g:788771
Lazarevac	id=g:788772
Lazarevac	id=g:788773
Lazac	id=g:788775
Železnička Stanica Laudanovac	id=g:788781
Latvica	id=g:788782
Železnička Stanicz Latković	id=g:788784
Latković	id=g:788785
Latkovac	id=g:788786
Lasovo	id=g:788787
Lapovo	id=g:788792
Lapotince	id=g:788793
Lap	id=g:788795
Lanište	id=g:788796
Landol	id=g:788799
Lalinovac	id=g:788800
Lalinci	id=g:788801
Lalince	id=g:788802
Lalinac	id=g:788803
Lalinac	id=g:788804
Opština Lajkovac	id=g:788811
Lajkovac	id=g:788812
Ladovica	id=g:788816
Laćisled	id=g:788818
Labukovo	id=g:788820
Kvarnana	id=g:788826
Kuzmičevo	id=g:788827
Kutlovo	id=g:788829
Kutlovo	id=g:788830
Kutlovačka Reka	id=g:788831
Kutlovac	id=g:788832
Kutleš	id=g:788836
Kutinska Reka	id=g:788837
Kuštilj	id=g:788838
Kušiljevo	id=g:788841
Kušići	id=g:788842
Kusiće	id=g:788843
Kusić	id=g:788844
Kusa Vrana	id=g:788846
Kusadak	id=g:788848
Kuršumlijska Banja	id=g:788850
Opština Kuršumlija	id=g:788851
Kuršumlija	id=g:788852
Kurjački Breg	id=g:788854
Kurjače	id=g:788855
Kurija	id=g:788860
Kurići	id=g:788862
Kurbalija	id=g:788865
Kupuzište	id=g:788867
Kupinovo	id=g:788868
Kupinova Glava	id=g:788869
Kupinovac	id=g:788870
Kupinince	id=g:788871
Kupinik	id=g:788872
Kunovo	id=g:788873
Kunovica	id=g:788876
Kumodraž	id=g:788878
Kumica	id=g:788879
Kumarevo	id=g:788881
Kumarevo	id=g:788882
Kumanovo	id=g:788885
Kumanica	id=g:788889
Kumane	id=g:788890
Kumane	id=g:788891
Kulmea	id=g:788892
Kulin Vrh	id=g:788893
Kulinovci	id=g:788894
Kulina	id=g:788895
Kula	id=g:788898
Kula	id=g:788899
Kukutnica	id=g:788904
Kukulovce	id=g:788911
Kukljin	id=g:788913
