Innside Premium hotel Dusseldorf Derendorf	id=g:6944776
Innside Premium Hotels Frankfurt Niederrad Hotel	id=g:6944777
Innside Premium Munchen Neue Messe	id=g:6944778
Hotel Innside Premium Suites Frankfurt Eurotheum	id=g:6944780
InterCity Hotel  Bremen	id=g:6944782
InterCityHotel Hahn	id=g:6944832
InterContinental Dusseldorf	id=g:6944834
L Hotel Dresden Altstadt	id=g:6944839
Leonardo Hotel and Residenz	id=g:6944840
Leonardo Hotel Frankfurt City	id=g:6944843
Leonardo Hotel Freital	id=g:6944844
Leonardo Hotel Mannheim-Ladenburg	id=g:6944857
Leonardo Hotel München City Center	id=g:6944860
Leonardo Hotel München City West	id=g:6944861
Europäischer Hof Marburg	id=g:6944864
Maritim Airport Hotel Hannover	id=g:6944865
Mark Commerz Hotel	id=g:6944873
Mark Hotel Domus	id=g:6944875
Mark Hotel Garni	id=g:6944879
Marriott Hotel Sindelfingen Stuttgart	id=g:6944881
Minotel Alte Bauernschanke	id=g:6944883
Restaurant Café Bauer	id=g:6944888
Minotel Meerfraulein	id=g:6944890
Hotel Zum Lamm	id=g:6944894
Hotel Müller München	id=g:6944899
Hotel Dänischer Hof	id=g:6944900
Gasthof Zum Ochsen	id=g:6944903
Park-Hotel Cloppenburg	id=g:6944904
Parkhotel Schotten	id=g:6944906
Parkhotel Viktoria	id=g:6944907
pentahotel Braunschweig	id=g:6944909
Hotel President Frankfurt	id=g:6944969
Hotel Preussischer Hof	id=g:6944970
Hotel Prinz Eugen	id=g:6944971
Dorint im Hanse Dom Stralsund	id=g:6944975
Ramada Bochum	id=g:6944977
Hotel Schlossgarten	id=g:6944979
Schweizer Hof	id=g:6944981
See und Sport Hotel Ankum	id=g:6944982
Seehotel Templin Betriebs	id=g:6944983
Senator Berlin	id=g:6944984
Sheraton Dusseldorf Airport Hotel	id=g:6944985
Sheraton Congress Hotel Frankfurt	id=g:6944986
Hotel Spreewald Inn	id=g:6945001
Stella Hotel	id=g:6945003
Sternsteinhof Hotel	id=g:6945004
Strandgut Resort Hotel	id=g:6945005
Hotel Koenigshof	id=g:6945006
Swissotel Hotel Bremen	id=g:6945007
The Westin Grand München Arabellapark	id=g:6945009
Treff Hotel München City Center	id=g:6945010
Victors Residenz-Hotel Munchen	id=g:6945012
Waldhotel Soodener Hof	id=g:6945013
Waldhotel Stephanshöhe Hotelbetriebs	id=g:6945014
Waldhotel Weinbohla	id=g:6945015
Rötenstein Alm	id=g:6945138
Sibli winterstube	id=g:6945139
Kisten Winterstube	id=g:6945140
Freisinger Hütte	id=g:6945141
Wallberghaus	id=g:6945142
Bergstation Wallbergbahn Panoramarestaurant	id=g:6945143
