Ailsa Stream	id=g:6211040
Mistake River	id=g:6211041
Lake Tekapo	id=g:6211042
Mount Gerald Stream	id=g:6211043
Camp Stream	id=g:6211044
Ninety Five Stream	id=g:6211045
Little Hogget Stream	id=g:6211046
Pikes Peak Stream	id=g:6211047
Ribbonwood Creek	id=g:6211048
Pollock Stream	id=g:6211049
Manning Stream	id=g:6211050
Godley River	id=g:6211051
Godley River	id=g:6211052
Godley River	id=g:6211053
Macaulay River	id=g:6211054
Macaulay River	id=g:6211055
Station Stream	id=g:6211056
Ribbonwood Stream	id=g:6211057
Neutral Creek	id=g:6211058
Blind Spur Stream	id=g:6211059
Bush Stream	id=g:6211060
Sweeps Stream	id=g:6211061
Pack Horse Stream	id=g:6211062
Sweeps Stream	id=g:6211063
Stone Hut Stream	id=g:6211064
First Waterfall Stream	id=g:6211065
Second Waterfall Stream	id=g:6211066
Third Waterfall Stream	id=g:6211067
Stony Stream	id=g:6211068
North East Gorge Stream	id=g:6211069
Two Thumb Stream	id=g:6211070
Weka Stream	id=g:6211071
Rankin Stream	id=g:6211072
Godley River North Branch	id=g:6211073
Rutherford Stream	id=g:6211074
McKinnon Stream	id=g:6211075
Lower Tindill Stream	id=g:6211076
Upper Tindill Stream	id=g:6211077
Toms Stream	id=g:6211078
Chevalier Stream	id=g:6211079
Trojan Stream	id=g:6211080
Alma Stream	id=g:6211081
The Growler	id=g:6211082
Camp Creek	id=g:6211083
Ridge Glacier	id=g:6211084
Faraday Glacier	id=g:6211085
Huxley Glacier	id=g:6211086
Surprise Glacier	id=g:6211087
Beetham Glacier	id=g:6211088
Wheeler Glacier	id=g:6211089
Turnbull Glacier	id=g:6211090
Tasman Glacier	id=g:6211091
Murchison Glacier	id=g:6211092
Whispering Falls	id=g:6211093
Sunset Falls	id=g:6211094
Murchison River	id=g:6211095
Mistake Peak	id=g:6211096
Mount Gerald	id=g:6211097
Mount Haszard	id=g:6211098
Mount Gerald	id=g:6211099
John Scott Lodge	id=g:6211100
Ryders Hut	id=g:6211101
Hells Gates	id=g:6211102
JOSEPH RIDGE	id=g:6211103
The Needles	id=g:6211104
HASZARD RIDGE	id=g:6211105
Royal Hut	id=g:6211106
Mount Hope	id=g:6211107
Pikes Peak	id=g:6211108
Big Rough	id=g:6211109
Little Rough	id=g:6211110
Stag Saddle	id=g:6211111
Stone Hut	id=g:6211112
Lilybank	id=g:6211113
Ribbonwood Hut	id=g:6211114
Tin Hut	id=g:6211115
Mount William Grant	id=g:6211116
Mount Radove	id=g:6211117
HALL RANGE	id=g:6211118
HALL RANGE	id=g:6211119
Slip Gully	id=g:6211120
Birdcage Hut	id=g:6211121
Kea Gully	id=g:6211122
Cass River	id=g:6211123
Memorial Hut	id=g:6211124
The Abbess	id=g:6211125
Monk Glacier	id=g:6211126
Abbey Pass	id=g:6211127
The Abbot	id=g:6211128
Mount Jukes	id=g:6211129
Jollie Peak	id=g:6211130
Jollie Saddle	id=g:6211131
LIEBIG RANGE	id=g:6211132
Mount Lucia	id=g:6211133
Ailsa Pass	id=g:6211134
Kehua Pass	id=g:6211135
Mount Tamaki	id=g:6211136
Liebig Hut	id=g:6211137
Steffan Hut	id=g:6211138
Taranaki Peak	id=g:6211139
Angus Hut	id=g:6211140
Angus Flat	id=g:6211141
Barkley Glacier	id=g:6211142
Mount Chudleigh	id=g:6211143
Mount Nathan	id=g:6211144
Aiguilles Rouges	id=g:6211145
Frind Peak	id=g:6211146
Malte Brun	id=g:6211147
Rumdoodle	id=g:6211148
Mount Turnbull	id=g:6211149
Mount Hamilton	id=g:6211150
Haeckel Peak	id=g:6211151
Mount Darwin	id=g:6211152
Mount Annan	id=g:6211153
Rose Peak	id=g:6211154
Mount Abel	id=g:6211155
Kelman Hut	id=g:6211156
Starvation Saddle	id=g:6211157
Mount Cooper	id=g:6211158
Murchison Hut	id=g:6211159
Coopers Mate	id=g:6211160
Mount Richmond	id=g:6211161
The Ant-hill	id=g:6211162
Armadillo Saddle	id=g:6211163
LIEBIG RANGE	id=g:6211164
Mount Conrad	id=g:6211165
Mount Olaf	id=g:6211166
Mount Kenneth	id=g:6211167
Mount Ronald Adair	id=g:6211168
Mount Hutton	id=g:6211169
Rankin Pass	id=g:6211170
SIBBALD RANGE	id=g:6211171
SIBBALD RANGE	id=g:6211172
Lucifer Flat	id=g:6211173
Lucifer Stream	id=g:6211174
Red Stag Hut	id=g:6211175
Bloody Point	id=g:6211176
Mount Sibbald	id=g:6211177
Tindill Basin	id=g:6211178
Stony Basin	id=g:6211179
Waterfall Hut	id=g:6211180
Mount Erebus	id=g:6211181
Sibbald Knobs	id=g:6211182
Kea Knob	id=g:6211183
Weka Hut	id=g:6211184
Charlies Knob	id=g:6211185
Rankin Hut	id=g:6211186
Sibbalds Island	id=g:6211187
Observation Hill	id=g:6211188
Razor Back	id=g:6211189
Stony Stream Hut	id=g:6211190
Mackay Basin	id=g:6211191
Mount Ross	id=g:6211192
Ajax Stream	id=g:6211193
Ajax	id=g:6211194
Mount Chevalier	id=g:6211195
TWO THUMB RANGE	id=g:6211196
TWO THUMB RANGE	id=g:6211197
Captains Peak	id=g:6211198
Mount Toby	id=g:6211199
Ranger Spur	id=g:6211200
Mount Pattisson	id=g:6211201
BRABAZON RANGE	id=g:6211202
Brabazon Saddle	id=g:6211203
