Talingyi	id=g:1294911
Talingon	id=g:1294912
Talingon	id=g:1294913
Talin Chaung	id=g:1294914
Talin	id=g:1294915
Hwè Ta-li-law	id=g:1294916
Ta-li-law	id=g:1294917
Tali Chaung	id=g:1294918
Taliai Yu	id=g:1294919
Tali	id=g:1294920
Tali	id=g:1294921
Talhkung Yu	id=g:1294922
Taletpin	id=g:1294923
Taler Law	id=g:1294924
Talek	id=g:1294925
Tale-in	id=g:1294926
Ta-lè-hso-tu	id=g:1294927
Ta-lè-hkrè	id=g:1294928
Talègyin	id=g:1294929
Talè	id=g:1294930
Talawkwi	id=g:1294931
Talawgyi	id=g:1294932
Talaw Chaung	id=g:1294933
Tala Wāng	id=g:1294934
Talaw	id=g:1294935
Talaunggyaung	id=g:1294936
Talatu In	id=g:1294937
Talat Hka	id=g:1294938
Talata	id=g:1294939
Ta-lanti	id=g:1294940
Talanpo Klo	id=g:1294941
Talāng Gahtawng	id=g:1294942
Talang	id=g:1294943
Talamtam	id=g:1294944
Talam	id=g:1294945
Ta-la-lya	id=g:1294946
Talalo	id=g:1294947
Ta-lā-lè	id=g:1294948
Talakya Chaung	id=g:1294949
Talakwa	id=g:1294950
Talakkok	id=g:1294951
Talaingzu	id=g:1294952
Talaingywa	id=g:1294953
Talaingyat	id=g:1294954
Talaingya Chaung	id=g:1294955
Talaingya	id=g:1294956
Talaingsaing Kyun	id=g:1294957
Talaingngok	id=g:1294958
Talaingmi	id=g:1294959
Talaingma Reserved Forest	id=g:1294960
Talaingma	id=g:1294961
Talaingkayin-ywa	id=g:1294962
Talainggyun	id=g:1294963
Talainggyan	id=g:1294964
Talainggwin	id=g:1294965
Talaingdaung Chaung	id=g:1294966
Talaingdaung	id=g:1294967
Talaing-aing	id=g:1294968
Talaing	id=g:1294969
Talaing	id=g:1294970
Ta-lai-long	id=g:1294971
Talagu Taung	id=g:1294972
Taladaw	id=g:1294973
Talabaung	id=g:1294974
Talabasan	id=g:1294975
Tala	id=g:1294976
Tala	id=g:1294977
Tal	id=g:1294978
Takyet Hka	id=g:1294979
Takyem Hka	id=g:1294980
Takyem Ga	id=g:1294981
Takye	id=g:1294982
Takwetpo	id=g:1294983
Takwade	id=g:1294984
Ta-kuti	id=g:1294985
Ta-kut	id=g:1294986
Ta-kut	id=g:1294987
Tā-kun	id=g:1294988
Ta-kummu-shu	id=g:1294989
Takuka	id=g:1294990
Takudo	id=g:1294991
Takudo	id=g:1294992
Takreni	id=g:1294993
Takreng-Mthung	id=g:1294994
Tak-re-khi	id=g:1294995
Takolaw Kyo	id=g:1294996
Takokodo	id=g:1294997
Takokdo	id=g:1294998
Tako	id=g:1294999
Takmawk	id=g:1295000
Taklyet Nö	id=g:1295001
Taklutabyaso	id=g:1295002
Taklukhi	id=g:1295003
Taklu	id=g:1295004
Taklit	id=g:1295005
Taklit	id=g:1295006
Loi Tak-let	id=g:1295007
Taklet	id=g:1295008
Taklet	id=g:1295009
Tak-let	id=g:1295010
Taklet	id=g:1295011
Taklèt	id=g:1295012
Taklet	id=g:1295013
Taklawkhi Auk	id=g:1295014
Taklang	id=g:1295015
Takko	id=g:1295016
Takka	id=g:1295017
Takinlon	id=g:1295018
Nam Takin	id=g:1295019
Ta-ki-le	id=g:1295020
Takhrikho	id=g:1295021
Takho	id=g:1295022
Takhidam	id=g:1295023
Takhe-in	id=g:1295024
Takhat Chaung	id=g:1295025
Takhat	id=g:1295026
Takethu	id=g:1295027
Takedo	id=g:1295028
Takayo Kyun	id=g:1295029
Tā Kawsang	id=g:1295030
Ta Kawngpong	id=g:1295031
Ta Kawng	id=g:1295032
Ta-kawn	id=g:1295033
Takawkyo Taung	id=g:1295034
