Saint Agnes School	id=g:5134858
Saint Agnes School for Girls	id=g:5134859
Saint Aidan School - West Campus	id=g:5134860
Saint Albans	id=g:5134861
Saint Albans Church	id=g:5134862
Saint Albans Memorial Park	id=g:5134863
Saint Albans Veterans Administration - Extended Care Center	id=g:5134864
Saint Alberts College	id=g:5134865
Saint Adalbert School	id=g:5134866
Saint Alexanders Cemetery	id=g:5134867
Saint Alexanders School	id=g:5134868
Saint Alexis Church	id=g:5134869
Saint Aloysius Cemetery	id=g:5134870
Saint Aloysius School	id=g:5134871
Saint Aloysius School	id=g:5134872
Saint Aloysius School	id=g:5134873
Saint Aloysius School	id=g:5134874
Saint Alphonsus Cemetery	id=g:5134875
Saint Alphonsus School (historical)	id=g:5134876
Saint Ambrose Church	id=g:5134877
Saint Ambrose School	id=g:5134878
Saint Amelias School	id=g:5134879
Saint Anastasia School	id=g:5134880
Saint Andrew	id=g:5134881
Saint Andrew Avellino School	id=g:5134882
Saint Andrew Episcopal Church	id=g:5134883
Saint Andrew's Episcopal Church	id=g:5134884
Saint Andrew's House	id=g:5134885
Saint Andrew's Marthoma Church	id=g:5134886
Saint Andrews Cemetery	id=g:5134887
Saint Andrews Church	id=g:5134888
Saint Andrews Church	id=g:5134889
Saint Andrews Church	id=g:5134890
Saint Andrews Church	id=g:5134891
Saint Andrews Church	id=g:5134892
Saint Andrews Evangelical Lutheran Church	id=g:5134893
Saint Andrews Golf Club	id=g:5134894
Saint Andrew's Catechetical School	id=g:5134895
Saint Andrews School	id=g:5134896
Saint Andrews School	id=g:5134897
Saint Andrews School	id=g:5134898
Saint Andrews School	id=g:5134899
Saint Andrews School	id=g:5134900
Saint Andrews School	id=g:5134901
Saint Andrews on the Hudson	id=g:5134902
Saint Ann Church	id=g:5134903
Saint Ann's Catholic Church	id=g:5134904
Saint Ann's Church	id=g:5134905
Saint Ann's Episcopal Church	id=g:5134906
Saint Ann's Graveyard	id=g:5134907
Saint Ann's Parochial School (historical)	id=g:5134908
Saint Annes Cemetery	id=g:5134909
Saint Annes School	id=g:5134910
Saint Annes School	id=g:5134911
Saint Anns Cemetery	id=g:5134912
Saint Anns Cemetery	id=g:5134913
Saint Anns Cemetery	id=g:5134914
Saint Anns Cemetery	id=g:5134915
Saint Anns Episcopal Church	id=g:5134916
Saint Anns Church	id=g:5134917
Saint Anns Church	id=g:5134918
Saint Ann's Episcopal Church	id=g:5134919
Saint Anns Church	id=g:5134920
Saint Anns Church	id=g:5134921
Saint Anns School	id=g:5134922
Saint Anns School	id=g:5134923
Saint Ann School	id=g:5134924
Saint Anns School	id=g:5134925
Saint Anns School	id=g:5134926
Saint Ann's Parochial School	id=g:5134927
Saint Anns School	id=g:5134928
Saint Anselm's Roman Catholic Church	id=g:5134929
Saint Anselms School	id=g:5134930
Saint Anslems School	id=g:5134931
Saint Anthony Cemetery	id=g:5134932
Saint Anthony Cemetery	id=g:5134933
Saint Anthony Church	id=g:5134934
Saint Anthony School	id=g:5134935
Saint Anthony Seminary	id=g:5134936
Saint Anthony and Saint Alphonsus School	id=g:5134937
Saint Anthony of Padua School	id=g:5134938
Saint Anthony of Padua School	id=g:5134939
Saint Anthonys Cemetery	id=g:5134940
Saint Anthonys Cemetery	id=g:5134941
Saint Anthonys Cemetery	id=g:5134942
Saint Anthonys Church	id=g:5134943
Saint Anthonys Church	id=g:5134944
Saint Anthonys Church	id=g:5134945
Saint Anthonys High School	id=g:5134946
Saint Anthonys Hospital (historical)	id=g:5134947
Saint Anthony School	id=g:5134948
Saint Anthonys School	id=g:5134949
Saint Anthonys School	id=g:5134950
Saint Anthonys School	id=g:5134951
Saint Anthonys School	id=g:5134952
Saint Anthony of Padua School	id=g:5134953
Saint Anthonys School	id=g:5134954
Saint Anthonys School	id=g:5134955
Saint Anthonys Seminary	id=g:5134956
Saint Armand Beach	id=g:5134957
Town of Saint Armand	id=g:5134958
Saint Augustine Cemetery	id=g:5134959
Saint Augustine Episcopal Church	id=g:5134960
Saint Augustine's Church	id=g:5134961
Saint Augustine's Roman Catholic School	id=g:5134962
Saint Augustine's School	id=g:5134963
Saint Augustines Cemetery	id=g:5134964
Saint Augustines Cemetery	id=g:5134965
Saint Augustines Church	id=g:5134966
Saint Augustines Church	id=g:5134967
Saint Augustines Roman Catholic Church	id=g:5134968
Saint Augustines School	id=g:5134969
Saint Augustines School	id=g:5134970
Saint Augustines School	id=g:5134971
Saint Barbaras Chapel	id=g:5134972
Saint Barbaras School	id=g:5134973
Saint Barbards School	id=g:5134974
Saint Barnabas Church	id=g:5134975
Saint Barnabas Hospital	id=g:5134976
Saint Barnabas Parish Center	id=g:5134977
Saint Elizabeth Ann Seton Regional School	id=g:5134978
Saint Barnabas School	id=g:5134979
Saint Barnards School	id=g:5134980
Saint Barnards Seminary	id=g:5134981
Saint Bartholomew Parochial School	id=g:5134982
Saint Bartholomews Church	id=g:5134983
Saint Bartholomews Church	id=g:5134984
Saint Basils Academy	id=g:5134985
Saint Basils Church	id=g:5134986
Saint Benedict Joseph Labre School	id=g:5134987
Saint Benedict School	id=g:5134988
Saint Benedicts School	id=g:5134989
Saint Benedicts School	id=g:5134990
Saint Bernadettes School	id=g:5134991
Saint Bernadettes School	id=g:5134992
Saint Bernadine Church	id=g:5134993
Saint Bernard Cemetery	id=g:5134994
Saint Bernard Field	id=g:5134995
Saint Bernard's Church	id=g:5134996
Saint Bernards Cemetery	id=g:5134997
Saint Bernards Cemetery	id=g:5134998
Saint Bernards Cemetery	id=g:5134999
Saint Bernards Church	id=g:5135000
Saint Bernards School	id=g:5135001
Saint Bernard School	id=g:5135002
Saint Bernards School	id=g:5135003
Saint Bernards School	id=g:5135004
Saint Bonaventure Cemetery	id=g:5135005
Saint Bonaventure University	id=g:5135006
Saint Boniface School	id=g:5135007
Saint Boniface School	id=g:5135008
Saint Boniface School	id=g:5135009
Saint Boniface Parochial School	id=g:5135010
Saint Brendans Church	id=g:5135011
Saint Brendans School	id=g:5135012
Saint Bridget Cemetery	id=g:5135013
Saint Brigid's Regional Catholic School	id=g:5135014
Saint Bridgets Church	id=g:5135015
Saint Bridgets School	id=g:5135016
Saint Brigid Catholic Church	id=g:5135017
Saint Brigid - Our Lady of Hope Regional School	id=g:5135018
Saint Brigids School	id=g:5135019
Saint Brigids School	id=g:5135020
Saint Caecilias Cemetery	id=g:5135021
Saint Caecilias School	id=g:5135022
Saint Camillus School	id=g:5135023
Saint Cares School	id=g:5135024
Saint Casimir Cemetery	id=g:5135025
Saint Casimirs School	id=g:5135026
Saint Casimirs School	id=g:5135027
Saint Casimirs School	id=g:5135028
Saint Catherine Academy	id=g:5135029
Saint Catherine African Methodist Episcopal Zion Church	id=g:5135030
Sage Pond	id=g:5135031
Saint Catherine of Siena Church	id=g:5135032
Saint Catherine of Siena School	id=g:5135033
Saint Catherine's Catholic Church	id=g:5135034
Saint Catherines Cemetery	id=g:5135035
Saint Catherines School	id=g:5135036
Saint Catherine of Genoa School	id=g:5135037
Saint Catherines School	id=g:5135038
Saint Cecelia Roman Catholic Church	id=g:5135039
Saint Cecilia School	id=g:5135040
Saint Cecilia School	id=g:5135041
Saint Cecilias School	id=g:5135042
Saint Charles Borremeo Seminary	id=g:5135043
Saint Charles Borromeo School	id=g:5135044
Saint Charles Borromeo School	id=g:5135045
Saint Charles Cemetery	id=g:5135046
Saint Charles Cemetery	id=g:5135047
Saint Charles Church	id=g:5135048
Saint Charles Hospital Heliport	id=g:5135049
Saint Charles Hospital and Rehabilitation Center	id=g:5135050
Saint Charles School	id=g:5135051
Saint Christophers Church	id=g:5135052
Saint Christophers Church	id=g:5135053
Saint Christophers Church	id=g:5135054
Saint Christophers Roman Catholic Church	id=g:5135055
Saint Christophers School	id=g:5135056
Saint Christophers School	id=g:5135057
Saint Christophers School	id=g:5135058
Saint Christophers School	id=g:5135059
Saint Clares Academy	id=g:5135060
Saint Clares Convent	id=g:5135061
Saint Clares Hospital	id=g:5135062
Saint Clare School	id=g:5135063
Saint Clares School	id=g:5135064
Saint Clements School	id=g:5135065
Saint Clements Regional Catholic School	id=g:5135066
Saint Colman Home	id=g:5135067
Saint Colmans Church	id=g:5135068
Saint Columbans Retreat House	id=g:5135069
Saint Columbans Seminary	id=g:5135070
Saint Columbanus School	id=g:5135071
Saint Columba School (historical)	id=g:5135072
Saint Columbkille Cemetery	id=g:5135073
Saint Columbus Cemetery	id=g:5135074
Saint Columbus Cemetery	id=g:5135075
Saint Columbus School (historical)	id=g:5135076
Saint Cyriel Cemetery	id=g:5135077
Saint Cyril Cemetery	id=g:5135078
Saint Cyril's Cemetery	id=g:5135079
Saint Daniels School	id=g:5135080
Saint Davids Cemetery	id=g:5135081
Saint Davids Church	id=g:5135082
Saint Denis Church	id=g:5135083
Saint Denis Parish School	id=g:5135084
Saint Dominic Roman Catholic Parochial School	id=g:5135085
Saint Dominics High School	id=g:5135086
Saint Edmunds Cemetery	id=g:5135087
Saint Edmunds Chapel	id=g:5135088
Saint Edmunds Church	id=g:5135089
Saint Edmund Preparatory High School	id=g:5135090
Saint Edward Confessor School	id=g:5135091
Saint Elias Church	id=g:5135092
Saint Elizabeth Medical Center	id=g:5135093
Saint Elizabeth Hospital Heliport	id=g:5135094
Saint Elizabeths Church	id=g:5135095
Saint Elizabeths Home for the Aged	id=g:5135096
Saint Elizabeths Hospice	id=g:5135097
Saint Elizabeths Hospital	id=g:5135098
Saint Elizabeths School	id=g:5135099
Saint Elizabeths School	id=g:5135100
Saint Elmo	id=g:5135101
Saint Elmo Island	id=g:5135102
Saint Eugenes School	id=g:5135103
Saint Felicia Cemetery	id=g:5135104
Saint Fidelis School	id=g:5135105
Saint Finbar School	id=g:5135106
Saint Fortunata Church School	id=g:5135107
Saint Francis Cabrini Church	id=g:5135108
Saint Francis Camp	id=g:5135109
Saint Francis Catholic Cemetery	id=g:5135110
Saint Francis Cemetery	id=g:5135111
Saint Francis Cemetery	id=g:5135112
Saint Francis Cemetery	id=g:5135113
Saint Francis Cemetery	id=g:5135114
Saint Francis Cemetery	id=g:5135115
Saint Francis Cemetery	id=g:5135116
Saint Francis Chapel	id=g:5135117
Saint Francis Church	id=g:5135118
Saint Francis Church	id=g:5135119
Saint Francis De Sales Catholic Church	id=g:5135120
Saint Francis DeSales Cemetery	id=g:5135121
Saint Francis DeSales School	id=g:5135122
Saint Francis Hospital	id=g:5135123
Saint Francis Hospital	id=g:5135124
Saint Francis Hospital (historical)	id=g:5135125
Saint Francis Hospital	id=g:5135126
Bon Secours Mercy Community Hospital	id=g:5135127
Saint Francis Hospital Heliport	id=g:5135128
Saint Francis Xavier Parochial School	id=g:5135129
Saint Frances of Rome School	id=g:5135130
Saint Francis School	id=g:5135131
Saint Francis School	id=g:5135132
Saint Francis of Assisi Elementary School	id=g:5135133
Saint Francis Preparatory School	id=g:5135134
Saint Francis School	id=g:5135135
Saint Francis Seminary	id=g:5135136
Saint Francis Xavier College	id=g:5135137
Saint Francis Xavier School	id=g:5135138
Saint Francis de Chantal School	id=g:5135139
Saint Francis of Assisi Cemetery	id=g:5135140
Saint Francis of Assisi Church	id=g:5135141
Saint Francis of Assisi School	id=g:5135142
Saint Francis of Assisi School	id=g:5135143
Saint Gabriel's Church	id=g:5135144
Saint Gabriels Church	id=g:5135145
Saint Gabriels House	id=g:5135146
Saint Vartan Park	id=g:5135147
Saint Gabriel School	id=g:5135148
Saint Gabriels School	id=g:5135149
Saint Gabriels School	id=g:5135150
Saint Gabriels School	id=g:5135151
Saint George	id=g:5135152
Saint George Cemetery	id=g:5135153
Saint George Cemetery	id=g:5135154
Saint George Church	id=g:5135155
Saint Georges Cemetery	id=g:5135156
Saint George's Church	id=g:5135157
Saint Georges Church	id=g:5135158
Saint Georges Church	id=g:5135159
Saint Georges Church	id=g:5135160
Saint Georges Country Club	id=g:5135161
Saint Gerards School	id=g:5135162
Saint Gerard Majella School	id=g:5135163
Saint Germain Pond	id=g:5135164
Saint Germaine Brook	id=g:5135165
Saint Catherine Convent	id=g:5135166
Saint Gertrude's Roman Catholic Church	id=g:5135167
Saint Giles Hospital	id=g:5135168
Saint Gregory Barbarigo School	id=g:5135169
Saint Gregory's Church	id=g:5135170
Saint Gregorys School	id=g:5135171
Saint Gregorys School	id=g:5135172
Saint Gregorys School	id=g:5135173
Saint Gualberts School	id=g:5135174
Saint Hedwigs Cemetery	id=g:5135175
Saint Hedwigs Church	id=g:5135176
Saint Hedwigs School	id=g:5135177
Saint Helena Cemetery	id=g:5135178
Saint Helena Island	id=g:5135179
Saint Helens Church	id=g:5135180
Saint Helens School	id=g:5135181
Saint Henrys Cemetery	id=g:5135182
Saint Hubert Island	id=g:5135183
Saint Hubert Pond	id=g:5135184
Saint Huberts	id=g:5135185
Saint Hyacinth Chapel	id=g:5135186
Saint Hyacinth School	id=g:5135187
Saint Igantius Loyola School	id=g:5135188
Saint Ignatius Retreat Home	id=g:5135189
Saint Isidore's Roman Catholic Church	id=g:5135190
Saint Jacobs Cemetery	id=g:5135191
Saint James	id=g:5135192
Saint James Cemetery	id=g:5135193
Saint James Cemetery	id=g:5135194
Saint James Cemetery	id=g:5135195
Saint James Cemetery	id=g:5135196
Saint James Cemetery	id=g:5135197
Saint James Cemetery	id=g:5135198
Saint James Cemetery	id=g:5135199
Saint James Cemetery	id=g:5135200
Saint James Cemetery	id=g:5135201
Saint James Cemetery	id=g:5135202
Saint James Church	id=g:5135203
Saint James Church	id=g:5135204
Saint James Episcopal Church	id=g:5135205
Saint James Lake	id=g:5135206
Saint James Minor Church	id=g:5135207
Saint James Park	id=g:5135208
Saint James Roman Catholic Church	id=g:5135209
Saint James Parochial School	id=g:5135210
Saint James School	id=g:5135211
Saint James School	id=g:5135212
Saint James School	id=g:5135213
Saint James School	id=g:5135214
Saint James School	id=g:5135215
Saint James School	id=g:5135216
Saint James the Apostle School	id=g:5135217
Saint Jean Cemetery	id=g:5135218
Saint Jerome's Roman Catholic Church	id=g:5135219
Saint Jeromes School	id=g:5135220
Saint Jerome School	id=g:5135221
Saint Joachims Cemetery	id=g:5135222
Saint Joachims Cemetery	id=g:5135223
Saint Joachim School (historical)	id=g:5135224
Saint Joan of Arc School	id=g:5135225
Saint John Bosco Cemetery	id=g:5135226
Saint John Cantius School	id=g:5135227
Saint John Cemetery	id=g:5135228
Saint John Fisher College	id=g:5135229
Saint John Lake	id=g:5135230
Saint John Marons Church	id=g:5135231
Utica Catholic Academy	id=g:5135232
Saint John the Baptist Catholic Church	id=g:5135233
Saint John Vianney School	id=g:5135234
Saint John Vianney Seminary	id=g:5135235
Saint John of the Cross Monastery	id=g:5135236
Saint John the Baptist Diocesan High School	id=g:5135237
Saint John the Baptist School	id=g:5135238
Saint John the Baptist School	id=g:5135239
Saint John the Evangelist School	id=g:5135240
Saint John the Evangelist School	id=g:5135241
Saint John's Cemetery	id=g:5135242
Saint John's Episcopal Church	id=g:5135243
Saint John's Episcopal Church	id=g:5135244
Saint John's Episcopal Church	id=g:5135245
Saint John's Episcopal Church	id=g:5135246
Saint John's Lutheran Church	id=g:5135247
Saint John's Riverside Hospital	id=g:5135248
Saint John's Roman Catholic Cemetery	id=g:5135249
Saint Johnland Childrens Home	id=g:5135250
Saint Johns Catholic Church	id=g:5135251
Saint Johns Cemetery	id=g:5135252
Saint Johns Cemetery	id=g:5135253
Saint Johns Cemetery	id=g:5135254
Saint Johns Cemetery	id=g:5135255
Saint Johns Cemetery	id=g:5135256
Saint Johns Cemetery	id=g:5135257
Saint Johns Cemetery	id=g:5135258
Saint Johns Cemetery	id=g:5135259
Saint Johns Cemetery	id=g:5135260
Saint Johns Cemetery	id=g:5135261
Saint Johns Cemetery	id=g:5135262
Saint Johns Cemetery	id=g:5135263
Saint Johns Cemetery	id=g:5135264
Saint Johns Cemetery	id=g:5135265
Saint Johns Cemetery	id=g:5135266
Saint Johns Cemetery	id=g:5135267
Saint Johns Cemetery	id=g:5135268
Saint Johns Cemetery	id=g:5135269
Saint Johns Cemetery	id=g:5135270
Saint Johns Cemetery	id=g:5135271
Saint Johns Cemetery	id=g:5135272
Saint Johns Cemetery	id=g:5135273
Saint Johns Cemetery	id=g:5135274
Saint John Cemetery	id=g:5135275
Saint Johns Cemetery	id=g:5135276
Saint Johns Cemetery	id=g:5135277
Saint Johns Cemetery	id=g:5135278
Saint Johns Cemetery	id=g:5135279
Saint Johns Cemetery	id=g:5135280
Saint Johns Chapel	id=g:5135281
Saint Johns Church	id=g:5135282
Saint Johns Church	id=g:5135283
Saint Johns Church	id=g:5135284
Saint John's Lutheran Church	id=g:5135285
Saint John's Lutheran Church	id=g:5135286
Saint Johns Church	id=g:5135287
Saint Johns Church	id=g:5135288
Saint John's Reformed Church	id=g:5135289
Saint Johns Church	id=g:5135290
Saint Johns Church	id=g:5135291
Saint Johns Church	id=g:5135292
Saint Johns Church	id=g:5135293
Saint Johns Church	id=g:5135294
Saint Johns Church	id=g:5135295
Saint Johns Church	id=g:5135296
Saint Johns Church (historical)	id=g:5135297
Saint Johns Church	id=g:5135298
Saint Johns Church	id=g:5135299
Saint Johns Church	id=g:5135300
Saint Johns Church	id=g:5135301
Saint Johns Church	id=g:5135302
Saint Johns Church	id=g:5135303
Saint John's Lutheran Church	id=g:5135304
Saint John The Baptist Roman Catholic Church	id=g:5135305
Saint John's Episcopal Church	id=g:5135306
Saint Johns Church	id=g:5135307
Saint Johns Church	id=g:5135308
Saint Johns Church	id=g:5135309
Saint Johns Church	id=g:5135310
Saint Johns Church	id=g:5135311
Saint Johns Church	id=g:5135312
Saint John's Episcopal Church	id=g:5135313
Saint John's Lutheran Church	id=g:5135314
Saint John's Episcopal Church	id=g:5135315
Saint John The Evangelist Church	id=g:5135316
Saint John's Episcopal Church	id=g:5135317
Saint Johns Church	id=g:5135318
Saint Johns Church	id=g:5135319
Saint Johns Church	id=g:5135320
Saint Johns Church	id=g:5135321
