Round Top Mountain Ski Area	id=g:5240455
Roundtop	id=g:5240456
Roundy Brook	id=g:5240457
Ross Hill	id=g:5240458
Rouses Point Bridge	id=g:5240459
Route 108 Cemetery	id=g:5240460
Rowe Hill	id=g:5240461
Rowell Brook	id=g:5240462
Roundy Mountain	id=g:5240463
Rowell Hill	id=g:5240464
Roxbury	id=g:5240465
Roxbury Cemetery	id=g:5240466
Roxbury Village School	id=g:5240467
Roxbury Flat	id=g:5240468
Roxbury Gap	id=g:5240469
Roxbury State Forest	id=g:5240470
Town of Roxbury	id=g:5240471
Roy Brook	id=g:5240472
Rowell Cemetery	id=g:5240473
Royalston Corner Cemetery	id=g:5240474
Royalton	id=g:5240475
Royalton Hill	id=g:5240476
Town of Royalton	id=g:5240477
Royce Brook	id=g:5240478
Roy Mountain	id=g:5240479
Rugg Brook	id=g:5240480
Rumney Memorial School	id=g:5240481
Lake Runnenede	id=g:5240482
Running Bear Campground	id=g:5240483
Rupert	id=g:5240484
Rupert Mountain	id=g:5240485
Rupert Post Office	id=g:5240486
Rupert State Forest	id=g:5240487
Rupert Street Cemetery	id=g:5240488
Rupert Town Forest	id=g:5240489
Rupert Valley	id=g:5240490
Runaway Pond	id=g:5240491
Town of Rupert	id=g:5240492
Rush Hollow	id=g:5240493
Rupert Village School	id=g:5240494
Rush Pond	id=g:5240495
Russ Hill	id=g:5240496
Russ Pond	id=g:5240497
Russ Pond Brook	id=g:5240498
Rush Meadow School (historical)	id=g:5240499
Russell Brook	id=g:5240500
Russell Brook	id=g:5240501
Russell Cemetery	id=g:5240502
Russell Hill	id=g:5240503
Russell Memorial Library	id=g:5240504
Russellville	id=g:5240505
Russtown	id=g:5240506
Russtown Cemetery	id=g:5240507
Rustic Haven Campground	id=g:5240508
Rutland	id=g:5240509
Rutland City Forest	id=g:5240510
Rutland City Hall	id=g:5240511
Rutland City Reservoir	id=g:5240512
Rutland City Reservoir Dam	id=g:5240513
Rutland City Swimming Pool	id=g:5240514
Rutland Country Club	id=g:5240515
Rutland County	id=g:5240516
Rutland County Courthouse	id=g:5240517
Rutland County Grammar School (historical)	id=g:5240518
Rutland Courthouse Historic District	id=g:5240519
Rutland Downtown Historic District	id=g:5240520
Rutland Free Library	id=g:5240521
Rutland Golf Course	id=g:5240522
Rutland Historical Society Building	id=g:5240523
Rutland Historical Society Museum	id=g:5240524
Rutland Intermediate School	id=g:5240525
Rutland Jewish Cemetery	id=g:5240526
Rutland Jewish Center	id=g:5240527
Rutland Mall Shopping Center	id=g:5240528
Rutland Middle School	id=g:5240529
Rutland Municipal Forest	id=g:5240530
Rutland Municipal Forest	id=g:5240531
Rutland Plaza Shopping Center	id=g:5240532
Rutland Post Office	id=g:5240533
Rutland Regional Chamber of Commerce	id=g:5240534
