Søre Kjempeskjergrunnen	id=g:3224242
Remman	id=g:3224243
Storvika	id=g:3224244
Hilverskjeret	id=g:3224245
Skansflua	id=g:3224247
Kjempeskjerhaug	id=g:3224248
Litleholtet	id=g:3224250
Foravatnet	id=g:3224251
Litlefora	id=g:3224252
Storfora	id=g:3224253
Nordvikelva	id=g:3224255
Nordvikosen	id=g:3224256
Gabet	id=g:3224257
Mulen	id=g:3224258
Melvikvatnet	id=g:3224259
Andholmen	id=g:3224264
Leiskjera	id=g:3224267
Håskjera	id=g:3224271
Melvikøya	id=g:3224281
Melvika	id=g:3224282
Steingrunnen	id=g:3224283
Gjerdneset	id=g:3224284
Kjørholmgrunnen	id=g:3224285
Kjørholmen	id=g:3224286
Vardgrunnen	id=g:3224287
Kvaløya	id=g:3224288
Selavågen	id=g:3224289
Halsebøneset	id=g:3224290
Kvanneset	id=g:3224291
Brokvika	id=g:3224292
Halsebø	id=g:3224293
Halsebøhågen	id=g:3224294
Vikevatnet	id=g:3224295
Valen	id=g:3224296
Oksebåsen	id=g:3224297
Notlaget	id=g:3224298
Steglholmen	id=g:3224299
Tåkebåen	id=g:3224300
Klakkavågen	id=g:3224301
Nordskallen	id=g:3224302
Hesjevika	id=g:3224304
Langskjeret	id=g:3224305
Brenna	id=g:3224308
Svartvika	id=g:3224309
Svartskjeret	id=g:3224310
Kvitnesveten	id=g:3224311
Langkvitneset	id=g:3224312
Steinlandsstraumen	id=g:3224313
Leikvika	id=g:3224330
Leikvikfjellet	id=g:3224331
Vollstadheia	id=g:3224339
Leikvikhamna	id=g:3224340
Mjølkerågrunnen	id=g:3224341
Hoyåskollen	id=g:3224342
Gausvikvatnet	id=g:3224343
Storelva	id=g:3224344
Snipholmen	id=g:3224345
Djuphamnsneset	id=g:3224346
Djuphamn	id=g:3224347
Pilneset	id=g:3224348
Haukebøgalten	id=g:3224349
Lille Skånland	id=g:3224350
Kollan	id=g:3224352
Langvatnan	id=g:3224353
Breineset	id=g:3224355
Årbogvatnet	id=g:3224356
Haukebøvatnet	id=g:3224357
Haukebøtinden	id=g:3224358
Aurvatnet	id=g:3224359
Botnfjellet	id=g:3224364
Storvatnet	id=g:3224365
Kvitskredfjellet	id=g:3224367
Finngamman	id=g:3224368
Storelva	id=g:3224370
Litleholmen	id=g:3224373
Stakksvollholmen	id=g:3224375
Kongsvika	id=g:3224376
Stortindvatnan	id=g:3224378
Taraldviktinden	id=g:3224379
Forskolten	id=g:3224380
Mellomgrunnen	id=g:3224381
Klubbskjeret	id=g:3224382
Salttønna	id=g:3224383
Gråsteingrunnen	id=g:3224384
Sveholmen	id=g:3224385
Langosen	id=g:3224386
Langosen	id=g:3224387
Litleskallen	id=g:3224388
Gregusskallen	id=g:3224389
Taraldvikgrunnen	id=g:3224390
Skjelberg	id=g:3224391
Buskjeret	id=g:3224393
Stengvatnet	id=g:3224394
Klubben	id=g:3224395
Grasholmvalen	id=g:3224397
Litlegrunnen	id=g:3224399
Skaggrunnen	id=g:3224400
Kistholmen	id=g:3224401
Fiskøybukta	id=g:3224402
Djupvalen	id=g:3224403
Båtvika	id=g:3224405
Gullskjeret	id=g:3224406
Lineset	id=g:3224407
Mulneset	id=g:3224408
Slåttøya	id=g:3224410
Kobbeskjeret	id=g:3224412
Kobbeneset	id=g:3224413
Kongensvann	id=g:3224416
Munkskjeret	id=g:3224422
Djupfest	id=g:3224423
Djupfestskallen	id=g:3224424
Hestvik	id=g:3224425
Digermulen	id=g:3224426
Straumselva	id=g:3224427
Jotindvatnan	id=g:3224428
Rambøvika	id=g:3224429
Sandsvatnet	id=g:3224431
Måbergtua	id=g:3224432
Trollfjellet	id=g:3224437
Glåmen	id=g:3224438
Gregusvatnan	id=g:3224439
Finnstøa	id=g:3224443
Sandsskjeret	id=g:3224445
Lysbotn	id=g:3224446
Ballstadåsen	id=g:3224447
Klungneset	id=g:3224448
Ulvika	id=g:3224450
Ulvikfjellet	id=g:3224451
Ballstad	id=g:3224452
Ballstadstraumen	id=g:3224453
Steinsvika	id=g:3224454
Hovsneset	id=g:3224455
Sæterklåren	id=g:3224456
Hårviksstranda	id=g:3224458
Hårvikskallen	id=g:3224459
Hol	id=g:3224460
Hårberget	id=g:3224461
Stornesgrunnen	id=g:3224462
Meklakken	id=g:3224467
Grunnflua	id=g:3224468
Storskjeret	id=g:3224484
Store Skånland	id=g:3224485
Trøsheim	id=g:3224486
Bøneset	id=g:3224487
Hansosen	id=g:3224488
Okseberget	id=g:3224489
Lavangsholman	id=g:3224490
Nygård	id=g:3224491
Otterå	id=g:3224492
Bakkland	id=g:3224493
Landsholmen	id=g:3224494
Liabukta	id=g:3224495
Tøgrunnen	id=g:3224496
Hammaren	id=g:3224497
Fosflua	id=g:3224498
Skutenesgrunnen	id=g:3224499
Ramsøygalten	id=g:3224500
Austklakkane	id=g:3224501
Ramsøybåen	id=g:3224502
Storboen	id=g:3224503
Nautskjeret	id=g:3224504
Reiflua	id=g:3224505
Toren	id=g:3224506
Furestaven	id=g:3224507
Grunnskallen	id=g:3224508
Seiskallen	id=g:3224509
Stavenesflua	id=g:3224510
Hallevika	id=g:3224515
Hallevika	id=g:3224516
Dyngeneset	id=g:3224517
Dyngenesgrunnen	id=g:3224519
Rollnesbåen	id=g:3224521
Veststeinsundet	id=g:3224522
Tøytemulen	id=g:3224523
Gausteskallen	id=g:3224525
Muleskallane	id=g:3224526
Alsbåen	id=g:3224528
Ibestadvatnet	id=g:3224532
Hamnvika	id=g:3224533
Kiperneset	id=g:3224534
Storvikklubben	id=g:3224535
Hårfluene	id=g:3224536
Stridsvollen	id=g:3224537
Skuteneset	id=g:3224539
Skogsgrunnen	id=g:3224540
Salangsgrunnen	id=g:3224541
Hamnvikgrunnen	id=g:3224542
Nørefluene	id=g:3224543
Håøygrunnen	id=g:3224545
Håskallen	id=g:3224547
Skorpegrunnen	id=g:3224548
Sigurdskallen	id=g:3224549
Søreflua	id=g:3224550
Olaskjer	id=g:3224552
Klubben	id=g:3224555
Ripen	id=g:3224556
Sandvika	id=g:3224557
Mørkeneset	id=g:3224558
Litleberget	id=g:3224559
Haugneset	id=g:3224560
Forselva	id=g:3224561
Trollvika	id=g:3224562
Forneset	id=g:3224563
Brenningsvika	id=g:3224564
Ytstevika	id=g:3224565
Storvika	id=g:3224566
Heimstvika	id=g:3224567
Holtet	id=g:3224568
Jørenskjerflua	id=g:3224570
Jørenskjeret	id=g:3224571
Einarvikgrunnen	id=g:3224573
Jensvoll	id=g:3224574
Lauvmoen	id=g:3224576
Sommarholmen	id=g:3224577
Nilsjordet	id=g:3224579
Heianeset	id=g:3224580
Strupebukta	id=g:3224581
Strætet	id=g:3224582
Vindspollen	id=g:3224585
Snønyken	id=g:3224588
Grov	id=g:3224589
Aksla	id=g:3224591
Bukkespelen	id=g:3224593
Foldvikvatnet	id=g:3224594
Sula	id=g:3224595
Rauddalskammen	id=g:3224596
Segelelva	id=g:3224597
Årsandvika	id=g:3224598
Kovan	id=g:3224599
Kvitskjeret	id=g:3224600
Turtnvika	id=g:3224601
Heststeinen	id=g:3224602
Storvika	id=g:3224603
Furøya	id=g:3224605
Bukkenibba	id=g:3224607
Blånibba	id=g:3224608
Eikeneshesten	id=g:3224609
Utfjorden	id=g:3224610
Hennebygda	id=g:3224611
Mørkesethornet	id=g:3224613
Staurdalsegga	id=g:3224616
Hamnen	id=g:3224617
Vågane	id=g:3224618
Storelva	id=g:3224619
Auseneset	id=g:3224620
Skjeret	id=g:3224621
Hamran	id=g:3224622
Halsen	id=g:3224623
Agnneset	id=g:3224624
Vikberget	id=g:3224625
Foldneset	id=g:3224626
Nattmålsskjeret	id=g:3224627
Finnvikgrunnen	id=g:3224628
Storholmen	id=g:3224629
Svartskjeret	id=g:3224630
Litleholmen	id=g:3224631
Tovikskjeret	id=g:3224632
Breifjærsteinen	id=g:3224633
Skjergalten	id=g:3224634
Langeberget	id=g:3224635
Søndre Forneset	id=g:3224636
Fornesbåen	id=g:3224637
Tennevika	id=g:3224638
Sandfjellet	id=g:3224639
Skammarberget	id=g:3224641
Bakåsen	id=g:3224642
Raudhuva	id=g:3224643
Laksberget	id=g:3224644
Haugen	id=g:3224646
Saltbuneset	id=g:3224647
Store Krokhornet	id=g:3224648
Vedhoggen	id=g:3224649
Renså	id=g:3224650
Rensåelva	id=g:3224651
Rensågrunnen	id=g:3224652
Litlegrunnen	id=g:3224654
Elvebakken	id=g:3224655
Molvika	id=g:3224656
Sandfjellet	id=g:3224657
Haukelandsnipa	id=g:3224660
Svartetua	id=g:3224662
Vorakinna	id=g:3224668
Voldsneset	id=g:3224670
Storklakken	id=g:3224672
Ledal	id=g:3224673
Trollvasstinden	id=g:3224674
Ytre Hovden	id=g:3224678
Helgehornet	id=g:3224679
Haugsbygde	id=g:3224681
Bergehornet	id=g:3224683
Vardehornet	id=g:3224685
Masdalshornet	id=g:3224687
Sæshornet	id=g:3224688
Dragsund	id=g:3224689
Flåværleia	id=g:3224690
Olgesundsvaulen	id=g:3224691
Voldsundvaulen	id=g:3224692
Ulsteinfjorden	id=g:3224693
Veten	id=g:3224694
Brørne	id=g:3224695
Kvilneset	id=g:3224696
Valderhaugfjorden	id=g:3224697
Havsteinen	id=g:3224698
Alnes	id=g:3224699
Lyren	id=g:3224700
Vallabåane	id=g:3224701
Gollesøyla	id=g:3224702
Golla	id=g:3224703
Sendemannsskallen	id=g:3224704
Storevoren	id=g:3224705
Nyttårsskallane	id=g:3224706
Rundebrandane	id=g:3224707
Juklebåen	id=g:3224708
Ytre Håskallen	id=g:3224709
Indre Håskallen	id=g:3224710
Tørsflua	id=g:3224711
Stålrevet	id=g:3224712
Skjeggene	id=g:3224713
Årbenda	id=g:3224714
Rinden	id=g:3224715
Fåkornet	id=g:3224716
Gnullane	id=g:3224717
Skallane	id=g:3224718
Gjøna	id=g:3224719
Nordgrunnen	id=g:3224721
Ufsgrunnen	id=g:3224722
Kråka	id=g:3224725
Mefjordbåen	id=g:3224726
Forsnestuva	id=g:3224739
Dalen	id=g:3224742
Hernesstraumen	id=g:3224749
Havseta	id=g:3224752
Tonningen	id=g:3224756
Kvenvær	id=g:3224758
Meflesa	id=g:3224761
Hallarflesa	id=g:3224763
Kråka	id=g:3224765
Blåskykøya	id=g:3224766
Bussøyan	id=g:3224768
Fauskan	id=g:3224769
Værsøyskjera	id=g:3224770
Rognvik	id=g:3224771
Hestnesfjellet	id=g:3224772
Dolm	id=g:3224773
Vettastrømmen	id=g:3224774
Gåsvik	id=g:3224775
Bukholmen	id=g:3224776
Flønesgrunnane	id=g:3224777
Kråkvågsvaet	id=g:3224778
Kleivsgrunnane	id=g:3224779
Ørlandsbugten	id=g:3224780
Ramvik	id=g:3224781
Snildal	id=g:3224782
Alstad	id=g:3224783
Vannvikan	id=g:3224784
Myklebosthornet	id=g:3224785
Vanvikbugten	id=g:3224786
Aursnes	id=g:3224787
Sørtåa	id=g:3224788
Grytastranda	id=g:3224789
Skjong	id=g:3224790
Flatskjeret	id=g:3224791
Hurla	id=g:3224792
Samfjorden	id=g:3224793
Urdfjellet	id=g:3224794
Raudholmane	id=g:3224795
Rogneholmen	id=g:3224796
Gibba	id=g:3224797
Frøsetskjeret	id=g:3224798
Langskallen	id=g:3224799
Vevikneset	id=g:3224800
Blindheimbreidflua	id=g:3224801
Alnesraunen	id=g:3224802
Kråka	id=g:3224803
Langeskjeret	id=g:3224804
