Kuni Kudam	id=g:1347336
Dolan	id=g:1347337
Sarai	id=g:1347338
Pastoki	id=g:1347339
Tsaparkai	id=g:1347340
Ghrangwas	id=g:1347341
Torwar Zaromba	id=g:1347342
Arkal	id=g:1347343
Arabi Khel	id=g:1347344
Nauda Tāki	id=g:1347345
Ghazgai	id=g:1347346
Ghazgai	id=g:1347347
Azād Kamba	id=g:1347348
Gharat Kamba	id=g:1347349
Qalandar Tsūka	id=g:1347350
Tsūkai	id=g:1347351
Khula Sūr Nār	id=g:1347352
Manrak	id=g:1347353
Barghol	id=g:1347354
Pīnakai	id=g:1347355
Bark Kili	id=g:1347356
Kagha	id=g:1347357
Barak	id=g:1347358
Gharangwas	id=g:1347359
Palin	id=g:1347360
Zāmgai	id=g:1347361
Surgasai	id=g:1347362
Khat Khezal	id=g:1347363
Khat Khezai	id=g:1347364
Palki	id=g:1347365
Sūrgas	id=g:1347366
Angai	id=g:1347367
Tor Kazha Baman	id=g:1347368
Sūr Samuz	id=g:1347369
Sariwar Zaromba	id=g:1347370
Sra Salawāt	id=g:1347371
Wulgal	id=g:1347372
Tagna	id=g:1347373
Khalwat	id=g:1347374
Bāshai	id=g:1347375
Ziāba	id=g:1347376
Zam	id=g:1347377
Shishankai	id=g:1347378
Malik Zām	id=g:1347379
Jam Zām	id=g:1347380
Tor Ghar	id=g:1347381
Pīnakai	id=g:1347382
Chaodai	id=g:1347383
Pasta	id=g:1347384
Turwe Khezai	id=g:1347385
Khezai	id=g:1347386
Kazha	id=g:1347387
Gurgwat	id=g:1347388
Sorai	id=g:1347389
Gatai	id=g:1347390
Sharaonah	id=g:1347391
Pitaozai	id=g:1347392
Sharan	id=g:1347393
Mānrak	id=g:1347394
Kazha Baman	id=g:1347395
Shaikh Tāru Masjid	id=g:1347396
Kudam	id=g:1347397
Sor Satli	id=g:1347398
Landai Tsarai	id=g:1347399
Churma	id=g:1347400
Targai	id=g:1347401
Bāshai	id=g:1347402
Chunjan Ghund	id=g:1347404
Targai	id=g:1347405
Tor Tangi	id=g:1347406
Gharbai	id=g:1347407
Gharbai	id=g:1347408
Pastubi	id=g:1347409
Nika Tangi	id=g:1347410
Laghai	id=g:1347411
Mar Tangi	id=g:1347412
Spangwar	id=g:1347413
Mār	id=g:1347414
Paste Lara	id=g:1347415
Aghbargai	id=g:1347416
Spera Aghbargai Melānr	id=g:1347417
Spīna Tsāh	id=g:1347418
Mār Tsāh	id=g:1347419
Pīnakai	id=g:1347420
Pade	id=g:1347421
Sar Spīna	id=g:1347422
Shīn Zhawari	id=g:1347423
Khazhzai	id=g:1347424
Lare	id=g:1347425
Zharai Zhawari	id=g:1347426
Zharai Tsūkai	id=g:1347427
Khusan	id=g:1347428
Pewar	id=g:1347429
Zangal	id=g:1347430
Khide	id=g:1347431
Misewāl	id=g:1347432
Loe Shīn Zhawarl	id=g:1347433
Spīna	id=g:1347434
Tsargai	id=g:1347435
Spīn Tangi	id=g:1347436
Ganda Ghwazhe	id=g:1347437
Zhārai Tangi	id=g:1347438
Momānrgai Rūd	id=g:1347439
Sar Mushwāle	id=g:1347440
Tor Pazhai	id=g:1347441
Loe Nāyāt	id=g:1347442
Mūsa Tangi	id=g:1347443
Zangai	id=g:1347444
Tor Tangi	id=g:1347445
Sasankai	id=g:1347446
Halkai Nāyāt	id=g:1347447
Jang Ghāsh	id=g:1347448
Kach	id=g:1347449
Kāmbeh Ghar	id=g:1347450
Aghbarg	id=g:1347451
Guzu	id=g:1347452
Khalach	id=g:1347453
Khosun	id=g:1347454
Zindai	id=g:1347455
Zindai Obo	id=g:1347456
Sharīf Pasta	id=g:1347457
Lalu Ziārat	id=g:1347458
Gun	id=g:1347459
Dallu	id=g:1347460
Choto	id=g:1347461
Margho	id=g:1347462
Talāng	id=g:1347463
Khaprezai Kili	id=g:1347464
Khadrān Ber	id=g:1347465
Shaikhan Ber	id=g:1347466
Tor Khwara	id=g:1347467
Choto Lath	id=g:1347470
Sra	id=g:1347471
Mustara Gar	id=g:1347472
Mushkin	id=g:1347473
Dara	id=g:1347474
Pushtar	id=g:1347475
Ghio Tar	id=g:1347476
Naiju	id=g:1347477
Talāng	id=g:1347478
Kāshmi	id=g:1347479
Shīn Kushtāk	id=g:1347480
Rūd	id=g:1347481
Bokh	id=g:1347482
Zambro	id=g:1347483
Spangwar Khezai	id=g:1347484
Tarki	id=g:1347485
Chaoghar	id=g:1347486
Daulatyār Ziārat	id=g:1347487
Ucha Tāki	id=g:1347489
Sra Larai	id=g:1347490
Wuch Kamān	id=g:1347492
Sūr Nār	id=g:1347494
Takrai	id=g:1347495
Zhera	id=g:1347496
Sper Tangi	id=g:1347497
Tor Salawāt	id=g:1347498
Durug	id=g:1347499
Tlerai	id=g:1347500
Nishpa Ghat	id=g:1347501
Kābul	id=g:1347502
Nishpa Reserved Forest	id=g:1347503
Nigāngi	id=g:1347504
Nishpa Tahla	id=g:1347505
Wām Kach	id=g:1347506
Wulgai	id=g:1347507
Spera Aghbargai	id=g:1347508
Spīn Targ	id=g:1347509
Pakhe Obo	id=g:1347510
Tut Ghund	id=g:1347513
Takai Khezai	id=g:1347514
Tor Pazhai	id=g:1347515
Zharai	id=g:1347516
Karai	id=g:1347517
Jinun Mānda	id=g:1347519
Wuchnob	id=g:1347520
Wazi	id=g:1347521
Kazha	id=g:1347522
Shīna	id=g:1347523
Shīn Ghar	id=g:1347524
Kuchtao Ghar	id=g:1347525
Khasorgi	id=g:1347526
Lonai	id=g:1347527
Loānai Mānda	id=g:1347528
Shīn Ghar	id=g:1347529
Shuni Mānda	id=g:1347530
Shākhgai	id=g:1347531
Ghund	id=g:1347532
Plen Kai	id=g:1347533
Shīna Khwāra	id=g:1347534
Shīna Khwāra	id=g:1347535
Dargān	id=g:1347536
Amai Ghar	id=g:1347537
Loe Sharan Mānda	id=g:1347538
Takrai	id=g:1347539
Ghonze	id=g:1347540
Takai	id=g:1347541
Sado	id=g:1347542
Mīr Ali	id=g:1347543
Gat	id=g:1347544
Murghakai	id=g:1347545
Tor Tangi	id=g:1347546
Dādar	id=g:1347547
Nikroz	id=g:1347548
Hurzari	id=g:1347549
Shangiāna Mānda	id=g:1347550
Kuk Mānda	id=g:1347551
Sāprah Mānda	id=g:1347552
Wai Mānda	id=g:1347554
Spera Narai	id=g:1347555
Takai Mānda	id=g:1347556
Hurak	id=g:1347557
Aghbargai Mānda	id=g:1347559
Tsapar	id=g:1347560
Sūrnār	id=g:1347561
Marzghulai	id=g:1347562
Ush	id=g:1347563
Lanar Mānda	id=g:1347564
Sarga Mānda	id=g:1347565
Shīn Tahake	id=g:1347566
Yowa	id=g:1347567
Inzargai	id=g:1347568
Sūrghund	id=g:1347569
Zhowa	id=g:1347570
Shīn Tahake	id=g:1347571
Inzargai	id=g:1347572
Naghar Mānda	id=g:1347573
Gat Mānda	id=g:1347574
Kānr Mānda	id=g:1347575
Arwale Mānda	id=g:1347576
Nārwāle	id=g:1347577
Kanr Kaur	id=g:1347578
Spīnwaz Mānda	id=g:1347579
Hurak	id=g:1347580
Ghurmi	id=g:1347581
Zer Ghar	id=g:1347582
Sado Mānda	id=g:1347583
Kwath	id=g:1347584
Zarmān	id=g:1347585
Skhobi	id=g:1347586
Zergat	id=g:1347587
Nīngori	id=g:1347588
Sām Ghurmān	id=g:1347589
Malagrān	id=g:1347590
Bārān	id=g:1347591
Kargah	id=g:1347592
Tirwo	id=g:1347593
Soki Gundi	id=g:1347595
Ghalla	id=g:1347596
Gahafūr Tālāb	id=g:1347597
Azīm	id=g:1347598
Kānwi	id=g:1347599
Qala Ghwazha	id=g:1347600
Manzghalai	id=g:1347601
Soki	id=g:1347602
Sūr Ghund	id=g:1347603
Deng	id=g:1347604
Wām Tangi Reserved Forest	id=g:1347605
Malia	id=g:1347608
Mihrāb Tangi	id=g:1347609
Shuni	id=g:1347610
Tarkha	id=g:1347611
Sharan Tangi	id=g:1347612
Lākhi	id=g:1347613
Sagandhi	id=g:1347614
Gharat Tangi	id=g:1347615
Runādra	id=g:1347616
Urbuz	id=g:1347617
Tājik	id=g:1347618
Wasti Shaikhān	id=g:1347619
Tāzu	id=g:1347620
Landi	id=g:1347621
Marpāni	id=g:1347622
Loe Kārez	id=g:1347623
Kam Kārez	id=g:1347624
Mangūra	id=g:1347625
Parkanda	id=g:1347626
Bāsha Mānda	id=g:1347627
Bārgalai Mānda	id=g:1347628
Kānokai	id=g:1347629
Khwāja Amrān	id=g:1347630
Kesh Mānda	id=g:1347631
Dabral Mānda	id=g:1347632
Karsiskai Mānda	id=g:1347633
Natar Tangi	id=g:1347634
Tarej	id=g:1347635
Obashtkal Mānda	id=g:1347636
Gwa Mānda	id=g:1347637
Shunanun Ghund	id=g:1347638
Mamand Mānda	id=g:1347639
Jinun Mānda	id=g:1347640
Jahāk Mānda	id=g:1347641
Knoshai Mānda	id=g:1347642
Past Gwazhe	id=g:1347643
Kharāba	id=g:1347644
Sra Darga Mānda	id=g:1347645
Khāmka Mānda	id=g:1347646
Loe Mānda	id=g:1347647
Khatuke Mānda	id=g:1347648
Jamgal Mānda	id=g:1347649
Murgha Mānda	id=g:1347650
Kargane Mānda	id=g:1347651
Romezh	id=g:1347652
Laman Mānda	id=g:1347653
Rāmshāhwāla	id=g:1347654
Khātuka Mānda	id=g:1347655
Nāik	id=g:1347656
Khatūka Plain	id=g:1347657
Sra Khulla Plain	id=g:1347658
Muslimbagh Plain	id=g:1347659
Zharware Gwazhe Plain	id=g:1347660
Nisai Reserved Forest	id=g:1347661
Khoidādzai Kazhai Wara Plain	id=g:1347662
Tlerai Plain	id=g:1347663
Turwe Khezai Mānda	id=g:1347664
Mungora Mānda	id=g:1347665
Khusan	id=g:1347666
Loe Tsah	id=g:1347667
Shīn Ghar	id=g:1347668
Gharar Mānda	id=g:1347669
Shākh Mānda	id=g:1347670
Karbālu Tangi	id=g:1347671
Shīn Kaza Mānda	id=g:1347672
Khānai	id=g:1347673
Wucha Khula	id=g:1347674
Sahirkai Gwazha Mānda	id=g:1347675
Sra Khula	id=g:1347676
Marghu Mānda	id=g:1347677
Kodong	id=g:1347678
Tharwuke	id=g:1347679
Palāngwāla	id=g:1347680
Shunglum Mānda	id=g:1347681
Kazha Baiān Mānda	id=g:1347682
Loe Adirah	id=g:1347683
Shāh Hussain Ziārat	id=g:1347684
Kaitkhur	id=g:1347686
Palosin	id=g:1347687
Tabai	id=g:1347689
Lwar	id=g:1347690
Sinjāwal	id=g:1347691
Darwāzgi	id=g:1347692
Band	id=g:1347693
Yāsīnai	id=g:1347694
Alīgai	id=g:1347695
Sra Khula	id=g:1347696
Khamu Tlerai	id=g:1347697
Darra	id=g:1347698
Tsagai	id=g:1347699
Kabirai	id=g:1347700
Sperawuni	id=g:1347701
Wuch Zāwar	id=g:1347702
Kand Reserved Forest	id=g:1347704
Zar Alwa	id=g:1347705
Jālu	id=g:1347706
Khushkai	id=g:1347707
Kuk Shākhi	id=g:1347708
Wali Kach	id=g:1347709
Kach	id=g:1347710
Salīm Khān	id=g:1347711
Ghat Tizha	id=g:1347712
Kachhai	id=g:1347713
Psha	id=g:1347714
Kand	id=g:1347715
Ghund Ghar	id=g:1347716
Spīn Shākh	id=g:1347717
Spīn Shākh	id=g:1347718
Murgha	id=g:1347719
Tor Shākh	id=g:1347720
Kāsai	id=g:1347721
Zāwa Ghar	id=g:1347722
Kanu	id=g:1347723
Arām	id=g:1347724
Tor Shākh	id=g:1347725
Gagarai	id=g:1347726
Shāts	id=g:1347727
Shāhsah	id=g:1347728
Bahin	id=g:1347729
Tsak	id=g:1347730
Kachai	id=g:1347731
Mazār Tlerai	id=g:1347732
Chakhai Tizha	id=g:1347733
Jilga	id=g:1347735
Ghashai	id=g:1347736
Masāla	id=g:1347737
Khar	id=g:1347738
Chinār	id=g:1347739
Wanaka	id=g:1347740
Tohi Jandi	id=g:1347741
Tao Aghbarg	id=g:1347742
Wulgai	id=g:1347743
Murgha	id=g:1347744
Tor Ghara	id=g:1347745
Miro Skhobai	id=g:1347746
Wulma	id=g:1347747
Mejhlora	id=g:1347748
Landi Lara	id=g:1347749
Kiak	id=g:1347750
Tirkhai	id=g:1347751
Surai	id=g:1347752
Gandhere	id=g:1347753
Sahra	id=g:1347754
Adam Mānda	id=g:1347755
Srāghar	id=g:1347756
Tor Kānr	id=g:1347757
Naghar	id=g:1347758
Naghar	id=g:1347759
Shishan Baiān	id=g:1347760
Badānia	id=g:1347761
Sarghas	id=g:1347762
Pushai	id=g:1347763
Bazora	id=g:1347764
Arghoki Aghbarg	id=g:1347765
Aghbarg	id=g:1347766
Tikhoi	id=g:1347767
Lakārai	id=g:1347768
Shah Haidar	id=g:1347769
Dorai	id=g:1347770
Kār	id=g:1347771
Loe Liār	id=g:1347772
Urgasai	id=g:1347773
Urgasai	id=g:1347774
Bajorai	id=g:1347775
Bājor Ghar	id=g:1347776
Bānd	id=g:1347777
Shna Kandao	id=g:1347779
Obashtgai	id=g:1347780
Aghbargai	id=g:1347781
Rūd	id=g:1347782
Azghumai	id=g:1347783
Athāla	id=g:1347784
Tsahan	id=g:1347785
Aghbarg Tsarai	id=g:1347786
Darga	id=g:1347787
Oblun	id=g:1347788
Psha	id=g:1347789
Sakhi Kārez	id=g:1347790
Ambar	id=g:1347791
Sra Panona	id=g:1347792
Firoz-i-Kanr	id=g:1347793
Sūr Tangi	id=g:1347794
Makārun	id=g:1347795
Psha Mānda	id=g:1347796
Mulla Kāmal Akhund Ziārat	id=g:1347797
Khulgai	id=g:1347798
Zāma Kārez	id=g:1347799
Urgasai	id=g:1347800
Tharwuke	id=g:1347801
Lori	id=g:1347802
Nasu Choti	id=g:1347803
Rāgha	id=g:1347804
Loe Liār Sar	id=g:1347805
Salawāt Band	id=g:1347806
Salawāt	id=g:1347807
Amzarai	id=g:1347808
Ghār	id=g:1347809
Samazai	id=g:1347810
Murghakai	id=g:1347811
Wuchobi	id=g:1347812
Lakārai	id=g:1347813
Shākh	id=g:1347814
Ārat Gwazhai	id=g:1347815
Allāhdīn	id=g:1347816
Surai	id=g:1347817
Chinār	id=g:1347818
Hasnai	id=g:1347819
Aghbargai	id=g:1347820
Takai	id=g:1347821
Machni Gwazha	id=g:1347822
Shīnshob	id=g:1347823
Loargai Band	id=g:1347824
Kharjin	id=g:1347825
Barglāna Band	id=g:1347826
