Sukarame Satu	id=g:6703494
Sukarame Dua	id=g:6703495
Sukarame Tiga	id=g:6703496
Sukarame Empat	id=g:6703497
Sukarame Lima	id=g:6703498
Sukarame Enam	id=g:6703499
Sungaibalai	id=g:6703500
Sungai Samsu	id=g:6703501
Perkampungan Syekh Ismail Abdul Wahab	id=g:6703502
Durian	id=g:6703503
Tanah Rendah	id=g:6703504
Kampung Jati	id=g:6703505
Simpang Desa Gajah	id=g:6703506
Siluar	id=g:6703507
Air Putih	id=g:6703508
Rawanglama Satu	id=g:6703509
Rawanglama Dua	id=g:6703510
Rawanglama Tiga	id=g:6703511
Rawang Lama	id=g:6703512
Rawanglama Empat	id=g:6703513
Rawanglama Lima	id=g:6703514
Rawang Baru	id=g:6703515
Silau Bonto	id=g:6703516
Sungai Kanal Silaubonto	id=g:6703517
Lubuk Gajah	id=g:6703518
Lubuk Amat	id=g:6703519
Banjar Sari	id=g:6703520
Silau Lama	id=g:6703521
Barisan Dua	id=g:6703522
Rawangbaru Barisan Dua	id=g:6703523
Pekan Minggu	id=g:6703524
Barisan Satu A	id=g:6703525
Sungai Siraminan	id=g:6703526
Meranti	id=g:6703527
Tebing-tinggi	id=g:6703528
Pondok Bukit Rejo	id=g:6703529
Emplasmen Sungaibaleh	id=g:6703530
Pondok Rejo Sari	id=g:6703531
Sungai Sikasat	id=g:6703532
Pondok Afdeling Dua A	id=g:6703533
Cintajadi	id=g:6703534
Teladan	id=g:6703535
Ujung Padang	id=g:6703536
Sungai Rejo	id=g:6703537
Pondok Afdeling Empat A	id=g:6703538
Emplasmen Tinjowan	id=g:6703539
Petani	id=g:6703540
Kampung Lalang Dua	id=g:6703541
Pondok Afdeling Empat B	id=g:6703542
Kampung Melayu	id=g:6703543
Pondok Afdeling Dua B	id=g:6703544
Pondok Sumber Rejo	id=g:6703545
Pondok Penaton	id=g:6703546
Kampung Tempel	id=g:6703547
Rawangpasar Empat	id=g:6703548
Pasar Kebon	id=g:6703549
Rawangbaru Barisan Satu	id=g:6703550
Barisan Satu	id=g:6703551
Airputih Satu	id=g:6703552
Airputih Dua	id=g:6703553
Pekan Rabu	id=g:6703554
Lubuk Palas	id=g:6703555
Bandar Minggu	id=g:6703556
Batupikir Satu	id=g:6703557
Batupikir Dua	id=g:6703558
Rawangbarupasar Sepuluh	id=g:6703559
Pondok Jagung	id=g:6703560
Pondok Pasar	id=g:6703561
Pondok Sungai Antio	id=g:6703562
Pondok Gesuri	id=g:6703563
Kampung Bunga	id=g:6703564
Pondokbungur	id=g:6703565
Pondok Karang Aman	id=g:6703566
Pondok Sungai Ramai	id=g:6703567
Pondok Bakaran Batu	id=g:6703568
Pondok Langen Sari	id=g:6703569
Pondok Tanjung Selamat	id=g:6703570
Suko Rejo	id=g:6703571
Pondok Tanjung Rejo	id=g:6703572
Lima Puluh Meter	id=g:6703573
Pondok Afdeling Tiga	id=g:6703574
Pondok Afdeling Tujuh	id=g:6703575
Tinjoan	id=g:6703576
Kotaparit	id=g:6703577
Rapuan-ilir	id=g:6703578
Teluklapian	id=g:6703579
Taluntanjung	id=g:6703580
Pondok Tanjung Pinang	id=g:6703581
Sungai Silau Tua	id=g:6703582
Pondok Tanjung Mulyo	id=g:6703583
Pondok Banjar Sari	id=g:6703584
Sidomulyo Empat	id=g:6703585
Sidomulyo Tiga	id=g:6703586
Sidomulyo Dua	id=g:6703587
Sidomulyo Satu	id=g:6703588
Bunut Seberang	id=g:6703589
Pondok Karang Anyar	id=g:6703590
Pondok Panjang	id=g:6703591
Punggulanpasar Sepuluh	id=g:6703592
Punggulanpasar Sebelas	id=g:6703593
Pasar Lembu	id=g:6703594
Sungai Serdang	id=g:6703595
Pondok Siti Melati	id=g:6703596
Kampung Suburpasar Sembilan	id=g:6703597
Pondok Teladan	id=g:6703598
Pondok Sidoluwah	id=g:6703599
Pondok Karang Rejo	id=g:6703600
Pondok Sibogat	id=g:6703601
Sido Mukti	id=g:6703602
Bunut	id=g:6703603
Emplasmen Bunut	id=g:6703604
Bunut Barat Satu	id=g:6703605
Bunut Barat Dua	id=g:6703606
Bunut Barat Tiga	id=g:6703607
Bunut Barat Empat	id=g:6703608
Bunut Barat Lima	id=g:6703609
Bunut Barat Enam	id=g:6703610
Sidodadi	id=g:6703611
Perhentian Bunut	id=g:6703612
Sungai Tengah	id=g:6703613
Sungai Pandodingan	id=g:6703614
Pondok Waringin	id=g:6703615
Pondok Jati Rejo	id=g:6703616
Sungai Lolotan	id=g:6703617
Pondok Mulyo Rejo	id=g:6703618
Perhutaan Silau	id=g:6703619
Kampung Bukit	id=g:6703620
Pamuha	id=g:6703621
Asahan	id=g:6703622
Sungai Kubu Simpang	id=g:6703623
Kampung Jawa	id=g:6703624
Sumber Sari	id=g:6703625
Sungai Jawi-jawi	id=g:6703626
Ujungbagan	id=g:6703627
Kuala Sungaitambuntulang	id=g:6703628
Delung	id=g:6703635
Arul Gampit	id=g:6703636
Arul Konjanu	id=g:6703637
Weih Layangkemaran	id=g:6703638
Arul Mampanoo	id=g:6703639
Arul Pidin	id=g:6703640
Arul Putih	id=g:6703641
Arul Salem	id=g:6703642
Arul Sekinel	id=g:6703643
Arul Senuk	id=g:6703644
Arul Tampang	id=g:6703645
Gunung Besar	id=g:6703646
Arul Segwiye	id=g:6703647
Burni Senuk	id=g:6703648
Weih Serbuk	id=g:6703649
Pertik	id=g:6703650
Gunung Amhah	id=g:6703651
Arul Ayer Putih	id=g:6703652
Arul Batuampar	id=g:6703653
Burni Batukerang	id=g:6703654
Gunung Belebah	id=g:6703655
Gunung Besar	id=g:6703656
Arul Bragsun	id=g:6703657
Arul Dajeng	id=g:6703658
Arul Daling	id=g:6703659
Burni Gempil	id=g:6703660
Burni Gerungsang	id=g:6703661
Weih Hilang	id=g:6703662
Gunung Jajat	id=g:6703663
Arul Jeritu	id=g:6703664
Weih Karapapan	id=g:6703665
Gunung Kelawar	id=g:6703666
Gunung Keluet	id=g:6703667
Burni Kemiri	id=g:6703668
Burni Kera	id=g:6703669
Gunung Kurik	id=g:6703670
Arul Kutabang	id=g:6703671
Gunung Labu	id=g:6703672
Arul Leburueu	id=g:6703673
Arul Ledang	id=g:6703674
Arul Litung	id=g:6703675
Gunung Litung	id=g:6703676
Burni Metiti	id=g:6703677
Weih Munteu	id=g:6703678
Burni Namgunug	id=g:6703679
Arul Nanang	id=g:6703680
Arul Paratan	id=g:6703681
Burni Pining	id=g:6703682
Burni Riman	id=g:6703683
Gunung Sawu	id=g:6703684
Burni Segeu	id=g:6703685
Arul Selun	id=g:6703686
Burni Sembuang	id=g:6703687
Gunung Sepung	id=g:6703688
Gunung Serbuk	id=g:6703689
Arul Seugeu	id=g:6703690
Gunung Seugunieu	id=g:6703691
Arul Seumeugit	id=g:6703692
Arul Simpang Kerban	id=g:6703693
Weih Simpang Kiri	id=g:6703694
Arul Simpangjuang	id=g:6703695
Gunung Sumbing	id=g:6703696
Arul Sunti	id=g:6703697
Burni Sunti	id=g:6703698
Tekur	id=g:6703699
Arul Tekut	id=g:6703700
Gunung Tengkunjerang	id=g:6703701
Gunung Terunja	id=g:6703702
Gunung Timanggetah	id=g:6703703
Arul Tumangpetah	id=g:6703704
Gunung Uling Ijuk	id=g:6703705
Sekindol	id=g:6703706
Kutaraja	id=g:6703707
Pasirputih	id=g:6703708
Ladang Baro	id=g:6703709
Krueng Sikulat	id=g:6703710
Blang Dalam	id=g:6703711
Subarang	id=g:6703712
Ujung Kampung	id=g:6703713
Krueng Meukek	id=g:6703714
Serudang	id=g:6703715
Kota Baru	id=g:6703716
Ladang	id=g:6703717
Rot Teungoh	id=g:6703718
Sikulat	id=g:6703719
Kota Baru	id=g:6703720
Sawangbaku	id=g:6703721
Labuhan Aman	id=g:6703722
Kutabuloh Dua	id=g:6703723
Sawang Satu	id=g:6703724
Samadua	id=g:6703725
Ujung Padang	id=g:6703726
Kutabaru	id=g:6703727
Ujung Padang	id=g:6703728
Alue Baro	id=g:6703729
Jambo Papeun	id=g:6703730
Arun Tunggai	id=g:6703731
Lhok Mamplan	id=g:6703732
Ladang Tuha	id=g:6703733
Drien Jalo	id=g:6703734
Blang Kuala	id=g:6703735
Ie Dengen	id=g:6703736
Blang Beladeh	id=g:6703737
Blang Teungoh	id=g:6703738
Ie Buboh	id=g:6703739
Tanjong Harapan	id=g:6703740
Krueng Lhok Aman	id=g:6703741
Alue Meutuah	id=g:6703742
Mutiara	id=g:6703743
Simpang Tiga	id=g:6703744
Alue Paku	id=g:6703745
Meuligo	id=g:6703746
Tring Meuduro Baroh	id=g:6703747
Tring Meuduro Tunong	id=g:6703748
Ujung Karang	id=g:6703749
Lhok Pawoh	id=g:6703750
Alue Bak Sukon	id=g:6703751
Alue Tumlelhok	id=g:6703752
Alue Dingin	id=g:6703753
Batee Tunggai	id=g:6703754
Krueng Samadua	id=g:6703755
Alue Samerah	id=g:6703756
Kuta Blang	id=g:6703757
Alur Pineng	id=g:6703758
Gadang	id=g:6703759
Lapang	id=g:6703760
Batai	id=g:6703761
Dalam	id=g:6703762
Gunung Ketek	id=g:6703763
Baru	id=g:6703764
Suag Hulu	id=g:6703765
Paya Nanggadang	id=g:6703766
Ujung Tanah	id=g:6703767
Lubuk Layu	id=g:6703768
Alue Sarap	id=g:6703769
Sawang Bung	id=g:6703770
Gunung Kerambil	id=g:6703771
Panton Luas	id=g:6703772
Krueng Seurullah	id=g:6703773
Air Berudang	id=g:6703774
Sungai Air Aro	id=g:6703775
Bandardua	id=g:6703776
Sungai Ujung Pasir	id=g:6703777
Alue Batu Itam	id=g:6703778
Batu Itam	id=g:6703779
Alue Panjur Pian	id=g:6703780
Lhok Ketapang	id=g:6703781
Blang Gelinggang	id=g:6703782
Alue Bahagia	id=g:6703783
Alue Sejahtera	id=g:6703784
Alue Tgk Glee	id=g:6703785
Gunung Cut	id=g:6703786
Krueng Jambo Papeon	id=g:6703787
Aekkupang	id=g:6703788
Damatutong	id=g:6703789
Krambel	id=g:6703790
Badang	id=g:6703791
Kapalabandar	id=g:6703792
Ladang	id=g:6703793
Singsing	id=g:6703794
Lhogkase	id=g:6703795
Teungoh	id=g:6703796
Panton-lawas	id=g:6703797
Paya	id=g:6703798
Jirat	id=g:6703799
Ujung Badang	id=g:6703800
Ujung Reuban	id=g:6703801
Krueng Alue Tho	id=g:6703802
