Myra Shipley Garfield Memorial Building	id=g:7224525
First Baptist Church	id=g:7224526
Free Methodist Church	id=g:7224527
Reformed Church of East Williamson	id=g:7224528
First Methodist Church	id=g:7224529
Williamson Elementary School	id=g:7224530
Williamson Senior High School	id=g:7224531
Williamson Middle School	id=g:7224532
Art Theatre (historical)	id=g:7224533
Ace Theatre (historical)	id=g:7224534
Allerton Theatre (historical)	id=g:7224535
Apollo Theatre (historical)	id=g:7224536
Ascot Theatre (historical)	id=g:7224537
Avalon Theatre (historical)	id=g:7224538
Bainbridge Theatre (historical)	id=g:7224539
Barnes Theatre (historical)	id=g:7224540
Beach Theatre (historical)	id=g:7224541
Bedford Theatre (historical)	id=g:7224542
Benenson Theatre (historical)	id=g:7224543
Blenheim Theatre (historical)	id=g:7224544
Boro Theatre (historical)	id=g:7224545
Boston Road Theatre (historical)	id=g:7224546
Boulevard Theatre (historical)	id=g:7224547
Burke Theatre (historical)	id=g:7224548
Burnside Theatre (historical)	id=g:7224549
Rugg Post Office (historical)	id=g:7224550
Church of the Epiphany	id=g:7224551
Leetsville Post Office (historical)	id=g:7224552
First Presbyterian Church	id=g:7224553
Lodi Post Office (historical)	id=g:7224554
First Reformed Church	id=g:7224555
Kaska Post Office (historical)	id=g:7224556
Saint John's Episcopal Church	id=g:7224557
Ivan Post Office (historical)	id=g:7224558
Sodus United Methodist Church	id=g:7224559
Fletcher Post Office (historical)	id=g:7224560
Sodus Primary School	id=g:7224561
Excelsior Post Office (historical)	id=g:7224562
Sodus Junior-Senior High School	id=g:7224563
Dowen Post Office (historical)	id=g:7224564
Darragh Post Office (historical)	id=g:7224565
Sodus Intermediate School	id=g:7224566
Sodus Rural Cemetery	id=g:7224567
Crofton Post Office (historical)	id=g:7224568
Saint John's Episcopal Church Cemetery	id=g:7224569
Old Mill Street Cemetery	id=g:7224570
Clearwater Post Office (historical)	id=g:7224571
Barker Creek Post Office (historical)	id=g:7224572
Joy Cemetery	id=g:7224573
Brick Church Cemetery	id=g:7224574
Kitchen Burial Plot	id=g:7224575
Aarwood Post Office (historical)	id=g:7224576
Glerum Farm Cemetery	id=g:7224577
South Sodus Cemetery	id=g:7224578
Espenschied Cemetery	id=g:7224579
York Settlement Cemetery	id=g:7224580
East Boardman United Methodist Church	id=g:7224581
Spencer Church of Christ	id=g:7224582
Mount Zion Church of God	id=g:7224583
Victory Baptist Church	id=g:7224584
South Boardman United Methodist Church	id=g:7224585
South Boardman Post Office	id=g:7224586
South Boardman Elementary School	id=g:7224587
Rapid City Post Office	id=g:7224588
Church of Christ	id=g:7224589
Wellman Mill Pond	id=g:7224590
Rapid City School	id=g:7224591
Assembly of God Church	id=g:7224592
Evergreen Cemetery	id=g:7224593
Clearwater Cemetery	id=g:7224594
Lodi Cemetery	id=g:7224595
Excelsior Cemetery	id=g:7224596
Clark Cemetery	id=g:7224597
