Pīr Sabz	id=g:1386823
Rānjān	id=g:1386824
Charan	id=g:1386825
Kukar	id=g:1386826
Raul	id=g:1386827
Badhiān	id=g:1386828
Sidhārīwāl	id=g:1386829
Budha Kang	id=g:1386830
Mahtpur Kang	id=g:1386831
Rāmke	id=g:1386832
Bahlpur	id=g:1386833
Chak Mīrzai	id=g:1386834
Māri	id=g:1386835
Maujoke	id=g:1386836
Wahng Nāla	id=g:1386837
Dhūl Reserved Forest	id=g:1386838
Hattār	id=g:1386839
Shaikh Chogahi	id=g:1386840
Chakrāla	id=g:1386841
Kotli Rānjhān	id=g:1386842
Chak Bhoga	id=g:1386843
Machrāla	id=g:1386844
Chak Chohār	id=g:1386845
Niyāla	id=g:1386846
Hakīmpur	id=g:1386847
Pegoki	id=g:1386848
Tirghri	id=g:1386849
Gujgarān	id=g:1386850
Shakar Kot	id=g:1386851
Shāmpur	id=g:1386852
Chobāra	id=g:1386853
Māri Ferry	id=g:1386854
Nandpur	id=g:1386855
Pejoke	id=g:1386856
Dhārīwāl	id=g:1386857
Gujrāt	id=g:1386858
Choai	id=g:1386859
Kuri Ferry	id=g:1386860
Shaikh Alike	id=g:1386861
Rehan	id=g:1386862
Dhindeh	id=g:1386863
Mota	id=g:1386864
Kakiānwāla	id=g:1386865
Mirān Khor	id=g:1386866
Jhammat	id=g:1386867
Boivān	id=g:1386868
Kot Rānjha	id=g:1386869
Jhammat	id=g:1386870
Chak Kamāl	id=g:1386871
Gondal	id=g:1386872
Kasāb	id=g:1386873
Kot Mrhru	id=g:1386874
Mionwāl	id=g:1386875
Koliān	id=g:1386876
Shāh Jahāni	id=g:1386877
Shero Chak	id=g:1386878
Bido Bhatti	id=g:1386879
Khalīlpur	id=g:1386880
Jasso Sarāi	id=g:1386881
Darya	id=g:1386882
Chak Mīrān	id=g:1386883
Hasan Dhīndah	id=g:1386884
Chak Qāzi	id=g:1386885
Choai Nāla	id=g:1386886
Choai Nāla	id=g:1386887
Rangra	id=g:1386888
Thatti	id=g:1386889
Barmalla	id=g:1386890
Mālowāl	id=g:1386891
Bājo	id=g:1386892
Dhamthāl	id=g:1386893
Pindi	id=g:1386894
Lātiān	id=g:1386895
Saggar	id=g:1386896
Bagge Chak	id=g:1386897
Hadka	id=g:1386898
Dalya	id=g:1386899
Dalya	id=g:1386900
Dab	id=g:1386901
Rakhar	id=g:1386902
Kotli Baidān	id=g:1386903
Shoroz	id=g:1386904
Palkhu Nāla	id=g:1386905
Kulluwāl Ferry	id=g:1386906
Panjdera	id=g:1386907
Tibbi	id=g:1386908
Jindar	id=g:1386909
Bhaini Milkha Singh	id=g:1386910
Bosanwāla	id=g:1386911
Khānqāh Miān Mibna	id=g:1386912
Jandiāli One L Minor	id=g:1386913
Jandiāli Resthouse	id=g:1386914
Chak Fifty-one-Fifteen L	id=g:1386915
Doctowāla	id=g:1386916
Hayātpur	id=g:1386917
Bhainj Khichchiān	id=g:1386918
Madina	id=g:1386919
Bhaini Sonyāriānwāli	id=g:1386920
Bhaini Muhammad Husain	id=g:1386921
Labh One L Minor	id=g:1386922
Pind Rasūl	id=g:1386923
Amrāna Two L Minor	id=g:1386924
Muttānwāla	id=g:1386925
Chak Ninety-six	id=g:1386926
Chak One Hundred-Fifteen L	id=g:1386927
Bhaini Hisāriānwāli	id=g:1386928
Bhaini Beleywāli	id=g:1386929
Budhwāla Three R Minor	id=g:1386930
Sābqa	id=g:1386931
Bhaini Bhai ka Wāli	id=g:1386932
Bhaini Bāhmanwāli	id=g:1386933
Bhaini Katori	id=g:1386934
Bhaini Saiyidwāli	id=g:1386935
Kakki	id=g:1386936
Bhaini Pathānwāli	id=g:1386937
Dulluān Fifteen L Distributary	id=g:1386938
Hamānd Resthouse	id=g:1386939
Chak Forty-seven-Fifteen L	id=g:1386940
Jarola	id=g:1386941
Hamānd	id=g:1386942
Chak One Hundred Twenty-four-Fifteen L	id=g:1386943
Hamānd Two AR Minor	id=g:1386944
Chak One Hundred Twenty-six-Three Fifteen	id=g:1386945
Amrānawāla One L Minor	id=g:1386946
Dabhūlawāla Two L Minor	id=g:1386947
Gurcharanpura	id=g:1386948
Chak One Hundred Thirty-Four-Sixteen L	id=g:1386949
Bhaini Mehnga Rām	id=g:1386950
Chak One Hundred Thirty-Four-Sixteen L	id=g:1386951
Jauri Two R Minor	id=g:1386952
Dharmkot	id=g:1386953
Bhaini Fāzilwāli	id=g:1386954
Bhaini Balochān	id=g:1386955
Musāfirābād	id=g:1386956
Karam Ali Eight AR Distributary	id=g:1386957
Channun Sixteen L Distributary	id=g:1386958
Lunda Resthouse	id=g:1386959
Chak One Hundred Twenty-six-Four Fifteen L	id=g:1386960
Chak One Hundred Twenty-six-Two Fifteen L	id=g:1386961
Chak One Hundred Twenty-six-Fifteen L	id=g:1386962
Islāmābād	id=g:1386963
Chak One Hundred Twenty-six-One Fifteen L	id=g:1386964
Khānqāh Miān Channūn Sāhib	id=g:1386965
Bharatpur	id=g:1386966
Khānqāh Jhang Sakhi SirāI	id=g:1386967
Jabālnagar Railway Station	id=g:1386968
Giliānwāla	id=g:1386969
Chak One Hundred Twenty-eight-Fifteen L	id=g:1386970
Massītwāla Fifteen AL Distributary	id=g:1386971
Burhānpur	id=g:1386972
Chak Thirteen	id=g:1386973
Chak Twelve-Eight AR	id=g:1386974
Sadrābād	id=g:1386975
Bhaini Khānwāli	id=g:1386976
Musāfirābād	id=g:1386977
Sadrābād	id=g:1386978
Chak Eighty-nine-Nine L	id=g:1386979
Zafar Iqbāl Railway Station	id=g:1386980
Chak Fifty-five-Eight L	id=g:1386981
Mauhru	id=g:1386982
Chak Forty-seven-Eight L	id=g:1386983
Chak Forty-nine-Eight L	id=g:1386984
Pīr Sultān Shāh	id=g:1386985
Laktānwāla	id=g:1386986
Chak Thirty-seven-Eight L	id=g:1386987
Kashmīr	id=g:1386988
Bhaini Karam Gundiāl	id=g:1386989
Jallāwāla	id=g:1386990
Chak Twenty-seven-Eight L	id=g:1386991
Pīr Bakhshwāla	id=g:1386992
Gogewāla	id=g:1386993
Chak Five Hundred Seventy-seven-Seven L	id=g:1386994
Chak Five Hundred Sixty-seven-Seven L	id=g:1386995
Ding One L Minor	id=g:1386996
Chak Five Hundred Sixty-five-Seven L	id=g:1386997
Chak Seventeen-Eight L	id=g:1386998
Chak Fifteen-Eight L	id=g:1386999
Chak Twenty-five-Eight L	id=g:1387000
Chak Nineteen-Eight L	id=g:1387001
Chak Twenty-one	id=g:1387002
ChakTwenty-three	id=g:1387003
Shaikh Eight L Distributary	id=g:1387004
Kusamsar Railway Station	id=g:1387005
Chak Five-Eight L	id=g:1387006
Seohanwāla Resthouse	id=g:1387007
Chak Seven-Eight L	id=g:1387008
Seohanwāla	id=g:1387009
Vihāri Two R Minor	id=g:1387010
Lot Number One	id=g:1387011
Lot Number Two	id=g:1387012
Chak Nine-Eight L	id=g:1387013
Chak Eleven-Eight L	id=g:1387014
Chys Ginning Factories	id=g:1387015
Chak Forty-seven-Eight L	id=g:1387016
Basti Mazāra Three R Minor	id=g:1387017
Chak Seventy-five-Eight AL	id=g:1387018
Mānsar Eight AL Distributary	id=g:1387019
Basti Mānsar	id=g:1387020
Chak Seventy-seven-Eight AL	id=g:1387021
Parhāranwāla	id=g:1387022
Chak Ninety-three-Nine L	id=g:1387023
Chak Ninety-one-Nine L	id=g:1387024
Gauhar One L Minor	id=g:1387025
Chak Eighty-one-Nine L	id=g:1387026
Chak Eighty-three-Nine L	id=g:1387027
Māri Resthouse	id=g:1387028
Bhattiānwāla	id=g:1387029
Six R Distributary	id=g:1387030
Charholānwāla	id=g:1387031
Chak Fifty-six	id=g:1387032
Chak Thirty	id=g:1387033
Tauriānwāla	id=g:1387034
Wasīrān One L Minor	id=g:1387035
Chak Twenty-eight	id=g:1387036
Chak Thirty-two	id=g:1387037
Burhānwāla	id=g:1387038
Chak Twenty-two-Four R	id=g:1387039
Chak Eighteen-Four R	id=g:1387040
Burāli Kalālānwāli	id=g:1387041
Chak Sixteen-Four R	id=g:1387042
Sandānwāla	id=g:1387043
Dharana Four R Distributary	id=g:1387044
Chak Fourteen-Four R	id=g:1387045
Chak Twelve-Four R	id=g:1387046
Basti Sechah One R Minor	id=g:1387047
Chak Three-Eight L	id=g:1387048
Chak One-Eight L	id=g:1387049
Chak Eight-Four P	id=g:1387050
Dūm One R Minor	id=g:1387051
Ding	id=g:1387052
Chak Six-Four R	id=g:1387053
Dūmewāla	id=g:1387054
Berwāla	id=g:1387055
Chak One Hundred Eighty-two EB	id=g:1387056
Tarsāngīwāla	id=g:1387057
Chak One Hundred Eighty EB	id=g:1387058
Two L Minor	id=g:1387059
Chak Ten-Four R	id=g:1387060
Rojhāwāla	id=g:1387061
Chak Twenty-Four R	id=g:1387062
Chak Forty-seven-Two Hundred Twenty-eight	id=g:1387063
Drūngi	id=g:1387064
Khumānwāla	id=g:1387065
Tāhlīwāla	id=g:1387066
Chak Twenty-five-One Hundred Eighty-four	id=g:1387067
Nihālwāla	id=g:1387068
Dulluānwāla	id=g:1387069
Kumharwāla	id=g:1387070
Chak Thirty-one-One Hundred Ninety-six	id=g:1387071
Chak Forty-eight-Two Hundred Thirty	id=g:1387072
Chak Forty-nine-Two Hundred Thirty-two	id=g:1387073
Lohārānwāla	id=g:1387074
Chak Thirty-Five R	id=g:1387075
Rām Sāwanwāla	id=g:1387076
Didhārwāla	id=g:1387077
Chak Thirty-four	id=g:1387078
Pipli Five R Distributary	id=g:1387079
Ghara	id=g:1387080
Burāli Dhānwāli	id=g:1387081
Bhattiānwāla	id=g:1387082
Chak Thirty-six	id=g:1387083
Chapni Two L Minor	id=g:1387084
