Tres Hermanos	id=g:4568444
Playa de las Tres Palmitas	id=g:4568445
Los Tres Picachos	id=g:4568446
Tres Pueblos Sinkhole	id=g:4568447
Tribunal General de Justica	id=g:4568448
Tribunal Supremo	id=g:4568449
Triovegabajeno	id=g:4568450
Trujillo Alto	id=g:4568451
Trujillo Alto Municipio	id=g:4568452
Trujillo Alto Post Office	id=g:4568453
Municipio de Trujillo Alto	id=g:4568454
Trujillo Bajo	id=g:4568455
Punta Trulla	id=g:4568456
Punta Tuna	id=g:4568457
Tuque	id=g:4568458
Turabo	id=g:4568459
Turabo Gardens	id=g:4568460
Turabo Heights	id=g:4568461
Turnkey	id=g:4568462
Turrumoto I	id=g:4568463
Unidad de Salud Publica	id=g:4568464
Unión	id=g:4568465
Union Church	id=g:4568466
Universidad Americana	id=g:4568467
Universidad Caribbean	id=g:4568468
Universidad Católica	id=g:4568469
Universidad Católica Santa María	id=g:4568470
Universidad Central	id=g:4568471
Universidad Central del Caribe	id=g:4568472
Universidad Central del Caribe Library	id=g:4568473
Universidad Centro de Estudios de Caribe	id=g:4568474
Universidad De Puerto Rico	id=g:4568475
Universidad De Puerto Rico Colegio De Agricu	id=g:4568476
Universidad Interamericana	id=g:4568477
Universidad Interamericana	id=g:4568478
Universidad de Puerto Rico	id=g:4568479
Universidad de Puerto Rico Colegio Regional	id=g:4568480
Universidad de Puerto Rico Colegio Regional	id=g:4568481
Universidad de Puerto Rico Estación	id=g:4568482
Universidad de Puerto Rico Estacíon Experimental A	id=g:4568483
University Gardens	id=g:4568484
University of Puerto Rico Jardin Botanico	id=g:4568485
Universidad de Puerto Rico en Ponce	id=g:4568486
Santa Maria	id=g:4568487
University of Puerto Rico- the College of Agricultural and Mechanical Arts	id=g:4568488
Urbanizacion Machin	id=g:4568489
Utuado	id=g:4568490
Utuado Municipio	id=g:4568491
Utuado Post Office	id=g:4568492
Municipio de Utuado	id=g:4568493
Playa del Uvero	id=g:4568494
Punta Uvero	id=g:4568495
Punta Vaca	id=g:4568496
Punta Vaca	id=g:4568497
Punta Vacia Talega	id=g:4568498
Vajo de Manglar	id=g:4568499
Valencia	id=g:4568500
Valencia	id=g:4568501
Valencia	id=g:4568502
Valencia	id=g:4568503
