Stœ̆ng Arai	id=g:1831876
Phnum Arai	id=g:1831877
Arai	id=g:1831878
Phnum Aôral	id=g:1831879
O Ântuŏy	id=g:1831880
Trâpeăng Ântŭng Tréa	id=g:1831881
Phnum Ântrông	id=g:1831882
Stœ̆ng Ântóng Sâr	id=g:1831883
O Ântŭng Sâr	id=g:1831884
O Ântóng Sâr	id=g:1831885
Ântóng Sâr	id=g:1831886
Phnum Ântông	id=g:1831887
O Ântôm	id=g:1831888
Phnum Ânteăh	id=g:1831889
O Ânsaông	id=g:1831890
O Ânsaông	id=g:1831891
Bœ̆ng Ânsaông	id=g:1831892
O Ânsâng	id=g:1831893
Phnum Ânsa Kâmbĕt	id=g:1831894
O Ânlŭng Rŭmlĭch	id=g:1831895
O Ânlŭng Reăk	id=g:1831896
O Ânlŭng Phlœ̆k	id=g:1831897
Ânlóng Vêng	id=g:1831898
Bœ̆ng Ânlóng Véal	id=g:1831899
Bœ̆ng Ânlóng Toch	id=g:1831900
Prêk Ânlóng Thum	id=g:1831901
Prêk Ânlóng Thum	id=g:1831902
Bœ̆ng Ânlóng Thngê	id=g:1831903
O Ânlóng Thlŏk	id=g:1831904
Stœ̆ng Ânlóng Tba	id=g:1831905
O Ânlóng Svay	id=g:1831906
O Ânlóng Svay	id=g:1831907
Bœ̆ng Ânlóng Sdau	id=g:1831908
O Ânlóng Sâmnâ	id=g:1831909
Prêk Ânlóng Rŭn	id=g:1831910
Bœ̆ng Ânlóng Rôméas	id=g:1831911
Bœ̆ng Ânlóng Reăng	id=g:1831912
O Ânlóng Preăh	id=g:1831913
O Ânlóng Pra	id=g:1831914
O Ânlóng Poŭl	id=g:1831915
Prêk Ânlóng Phdau	id=g:1831916
Phnum Ânlóng Néak	id=g:1831917
O Ânlóng Miĕn	id=g:1831918
O Ânlóng Kôy	id=g:1831919
Stœ̆ng Ânlóng Khsuŏs	id=g:1831920
Phnum Ânlóng Khla	id=g:1831921
Phnum Ânlóng Kândaôl	id=g:1831922
Bœ̆ng Ânlóng Kândal	id=g:1831923
Bœ̆ng Ânlóng Daeum Thum	id=g:1831924
Prêk Ânlóng Chrey	id=g:1831925
O Ânlóng Chrey	id=g:1831926
Bœ̆ng Ânlóng Chhkê Ngoăb	id=g:1831927
Kaôh Ânlóng Chĕn	id=g:1831928
Phnum Ânlóng	id=g:1831929
O Ânlóng	id=g:1831930
Bœ̆ng Ânlóng	id=g:1831931
Ânlóng	id=g:1831932
Phnum Ânhching	id=g:1831933
O Ânhchiĕn	id=g:1831934
O Ânhchéang	id=g:1831935
Prêk Ânhchanh	id=g:1831936
O Ânhchanh	id=g:1831937
Bœ̆ng Ânhchanh	id=g:1831938
Prêk Áng Rov	id=g:1831939
Ângk Tasaôm	id=g:1831940
Ângk Snuŏl	id=g:1831941
O Ângkrông	id=g:1831942
Bœ̆ng Ângkrông	id=g:1831943
Phnum Ângk Rœssei	id=g:1831944
Kaôh Ângkráng	id=g:1831945
Prêk Ângk Pŏk	id=g:1831946
Phnum Ângkoŭl	id=g:1831947
Angkor Wat	id=g:1831948
Ângkôr Thum	id=g:1831949
Srŏk Ângkôr Chŭm	id=g:1831950
Srŏk Ângkôr Chey	id=g:1831951
Phnum Ângkôr Borei	id=g:1831952
Phnŭm Ângkôr Ban	id=g:1831953
Prêk Ângkôr	id=g:1831955
O Ângkôr	id=g:1831956
O Âng Kônh	id=g:1831957
O Ângkoăl	id=g:1831958
Ângk Khleăng	id=g:1831959
Phnum Ângkêb Tôy	id=g:1831960
Phnum Ângkéa Sĕl	id=g:1831961
Prêk Ângkăm	id=g:1831962
Phnum Ângkăch Méas	id=g:1831963
Trâpeăng Ănghov	id=g:1831964
Phnum Ândong Tœ̆k	id=g:1831965
O Ândong Thmei	id=g:1831966
Srŏk Ândong Péch	id=g:1831967
Phnum Ândong Néang	id=g:1831968
O Ândong Kroch	id=g:1831969
Trâpeăng Ândong	id=g:1831970
Stœ̆ng Ândong	id=g:1831971
Phnum Ândong	id=g:1831972
O Ândong	id=g:1831973
Phnum Ândêng	id=g:1831974
Kaôh Ândêng	id=g:1831975
O Ândas	id=g:1831976
O Ândaeuk	id=g:1831977
Prêk Ândăb	id=g:1831978
Phnŭm Âmriĕng	id=g:1831979
Prêk Âmrei	id=g:1831980
Stœ̆ng Âmpot Rey	id=g:1831981
Phnum Âmpôr	id=g:1831982
O Âmpôr	id=g:1831983
O Âmpĭl Tœ̆k	id=g:1831984
Kaôh Âmpĭl Toch	id=g:1831985
Kaôh Âmpĭl Thum	id=g:1831986
Trâpeăng Âmpĭl	id=g:1831987
Phnum Âmpĭl	id=g:1831988
O Âmpĭl	id=g:1831989
O Âmpĭl	id=g:1831990
Kaôh Âmpĭl	id=g:1831991
Kaôh Âmpĭl	id=g:1831992
Stœ̆ng Amŏng	id=g:1831993
Âmleăng	id=g:1831994
O Âmbŏk	id=g:1831995
Prêk Âmbĕl	id=g:1831996
O Amal	id=g:1831997
O Alŏch	id=g:1831998
Phnum A Król	id=g:1831999
Prêk Akăt	id=g:1832001
Bœ̆ng Achnha	id=g:1832002
Phnum Achary Thăng	id=g:1832003
Stœ̆ng Aban	id=g:1832004
Phnum A	id=g:1832005
