Chŏjŏn-dong	id=g:1926409
Hajŏn-dong	id=g:1926410
Sangjŏn-dong	id=g:1926411
Ugi-san	id=g:1926412
Tanch’o-dong	id=g:1926413
Parun-jae	id=g:1926414
Parun-dong	id=g:1926415
Nojŏk-tong	id=g:1926416
Maewŏl-me	id=g:1926417
Song-hyŏn	id=g:1926418
Top’yŏng-dong	id=g:1926419
Todŏk-tong	id=g:1926420
Torang-dong	id=g:1926421
Such’ŏn-dong	id=g:1926422
Myŏngsŏng-san	id=g:1926423
Up’ung-dong	id=g:1926424
Miyŏk-tong	id=g:1926425
Hyŏngje-bong	id=g:1926426
Tongjŏng-dong	id=g:1926427
Mawŏl-tong	id=g:1926428
Ŏsa-ri	id=g:1926429
Hapt’an-dong	id=g:1926430
Ot’an-dong	id=g:1926431
Chae-dong	id=g:1926432
Chuk-tong	id=g:1926433
Sijŏng-dong	id=g:1926434
Haae-dong	id=g:1926435
Sangae-dong	id=g:1926436
Kadae-dong	id=g:1926437
Samin-dong	id=g:1926438
Soyŏul	id=g:1926439
Myŏngsu-dong	id=g:1926440
Kalso-gol	id=g:1926441
Unjŏng-dong	id=g:1926442
Tol-gogae	id=g:1926443
Unjŏk-san	id=g:1926444
Songmol	id=g:1926445
Hagok-tong	id=g:1926446
Sanggok-tong	id=g:1926447
Hanae-dong	id=g:1926448
Hasin-dong	id=g:1926449
Sahangch’on	id=g:1926450
Kodal-san	id=g:1926451
Chungsin-dong	id=g:1926452
Sŏkkye-dong	id=g:1926453
Amjŏng	id=g:1926454
Tolbau	id=g:1926455
Sangsil-li	id=g:1926456
Nakch’on	id=g:1926457
Kwangdŏk-tong	id=g:1926458
Ch’angdae-dong	id=g:1926459
T’an-dong	id=g:1926460
Wŏn-gol	id=g:1926461
Namsa-dong	id=g:1926462
Sagyeul	id=g:1926463
Kkamak-san	id=g:1926464
Munjŏng-dong	id=g:1926465
Yongdu-san	id=g:1926466
Tae-gol	id=g:1926467
Chwiri-dong	id=g:1926468
Tangjŏ-dong	id=g:1926469
Sambong-dong	id=g:1926470
Kal-gol	id=g:1926471
Sambong-san	id=g:1926472
Ch’omok-tong	id=g:1926473
Nae-dong	id=g:1926474
Nojŏk-san	id=g:1926475
Sangnaeng-dong	id=g:1926476
Ojŏng-ni	id=g:1926477
Hanaeng-dong	id=g:1926478
Sangbaek-tong	id=g:1926479
Tongbaek-tong	id=g:1926480
Ami-san	id=g:1926481
Unhyŏn-dong	id=g:1926482
Nŏlbau-gol	id=g:1926483
Sangsŏk-tong	id=g:1926484
Suk-kogae	id=g:1926485
Chit’an	id=g:1926486
T’aengsŏk-tong	id=g:1926487
Takpanmal	id=g:1926488
Sogu-ri	id=g:1926489
Koltŏ-gol	id=g:1926490
Saemal	id=g:1926491
Sinse-dong	id=g:1926492
Hak-hyŏn	id=g:1926493
Tok-kol	id=g:1926494
Taech’ang-ni	id=g:1926495
Habo-dong	id=g:1926496
Sangch’ang-dong	id=g:1926497
Ch’angch’on	id=g:1926498
Mae-hyŏn	id=g:1926499
Paengmi-hyŏn	id=g:1926500
Tong-jae	id=g:1926501
Hajŏn-san	id=g:1926502
Hwanghaet’an	id=g:1926503
Sŏk-chae	id=g:1926504
Non-gol	id=g:1926505
Pip’ajŏng	id=g:1926506
Chungjŏnsan	id=g:1926507
Chŏnsan-bong	id=g:1926508
Sangjŏnsan	id=g:1926509
Yakchŏng-dong	id=g:1926510
Wŏn’gok-tong	id=g:1926511
Tongch’on	id=g:1926512
Sŏkta-ri	id=g:1926513
Tŏksŏng-ni	id=g:1926514
Miya-gol	id=g:1926515
Ch’ŏngnyong-dong	id=g:1926516
Handae-dong	id=g:1926517
Ch’adolmol	id=g:1926518
Kumun-dong	id=g:1926519
Haengjŏng-dong	id=g:1926520
Wŏnsan-dong	id=g:1926521
Nŏlta-ri	id=g:1926522
Taesan-dong	id=g:1926523
Haebau	id=g:1926524
Hasŏk-tong	id=g:1926525
Paksa-gol	id=g:1926526
Ho-gol	id=g:1926527
An-gol	id=g:1926528
Changse-dong	id=g:1926530
Saemol-tong	id=g:1926531
Ch’angyŏul	id=g:1926532
P’angwan-dong	id=g:1926533
Sol-kogae	id=g:1926534
Chamyŏng-san	id=g:1926535
Kolmal	id=g:1926536
Ŏsu-dong	id=g:1926537
Kiwa-gol	id=g:1926538
Such’im-dong	id=g:1926539
Hanjŏng-dong	id=g:1926540
Yongsu-ri	id=g:1926541
Kukhwa-dong	id=g:1926542
Kok-kol	id=g:1926543
Sŏng-dong	id=g:1926544
Hangmun	id=g:1926545
Munŭng-gol	id=g:1926546
Tot’umol	id=g:1926547
Kwanggogae	id=g:1926548
Ch’ŏn-dong	id=g:1926549
Tŏkchŏn-dong	id=g:1926550
Pangada-ri	id=g:1926551
Turu-bong	id=g:1926552
P’yŏngch’ol-li	id=g:1926553
Chŏnmal	id=g:1926554
Parun-dong	id=g:1926555
Sangsan-dong	id=g:1926556
Naegul-tong	id=g:1926557
Oryujŏng	id=g:1926558
Kuksa-bong	id=g:1926559
Chorongch’on	id=g:1926560
Chunggong-ni	id=g:1926561
Tongya-dong	id=g:1926562
Sŏya-dong	id=g:1926563
Kanggu-dong	id=g:1926564
Sunam-ni	id=g:1926565
Pangsong-dong	id=g:1926566
Saeyang-gol	id=g:1926567
Tarakt’ŏ	id=g:1926568
Kanŭn-gol	id=g:1926569
Kakchaebi	id=g:1926570
Unhak-tong	id=g:1926571
Sindae-dong	id=g:1926572
Toryong-dong	id=g:1926573
Kamch’ŏn-dong	id=g:1926574
Toma-dong	id=g:1926575
Sajik-tong	id=g:1926576
Tongsan-dong	id=g:1926577
Haŏŭn	id=g:1926578
Ŏŭn-dong	id=g:1926579
Hakchŏng-dong	id=g:1926580
Ch’ŏngch’ŏl-li	id=g:1926581
Hadae	id=g:1926582
Tongdae	id=g:1926583
Sinch’ang-ni	id=g:1926584
Kyŏngho	id=g:1926585
Sinwa	id=g:1926586
Nunduk	id=g:1926587
Tangt’an-dong	id=g:1926588
Chunggu-dong	id=g:1926589
Sŏlsal-li	id=g:1926590
Sangsin	id=g:1926591
Sŏgu	id=g:1926592
Sŏch’ang-ni	id=g:1926593
Saek-kol	id=g:1926594
Kŏmsu-ch’ŏn	id=g:1926595
Miyŏk	id=g:1926596
Ch’angmol	id=g:1926597
P’al-tok	id=g:1926598
Sogon	id=g:1926599
Chogaesŏm	id=g:1926600
Mongsŏk	id=g:1926601
Taegon	id=g:1926602
Sa-dong	id=g:1926603
Ch’ungjwa	id=g:1926604
Sagung	id=g:1926605
Suyŏng-ni	id=g:1926606
Tonghwa	id=g:1926607
Sŏhwa	id=g:1926608
Toltchokkae	id=g:1926609
Chongnop’o	id=g:1926610
Tansan	id=g:1926611
Tongp’o	id=g:1926612
Onp’yŏng	id=g:1926613
Hahae	id=g:1926614
Kyohang	id=g:1926615
Moraesŏm	id=g:1926616
Chungjin	id=g:1926617
Myŏng-dong	id=g:1926618
Sinyang-dong	id=g:1926619
Changsal-li	id=g:1926620
Anho	id=g:1926621
Manghae	id=g:1926622
Yŏndang	id=g:1926623
Kŏmŭlchŏl-gol	id=g:1926624
Sainmal	id=g:1926625
Hwagyech’on	id=g:1926626
Chang-gol	id=g:1926627
