Ghār Dhora	id=g:1364168
Goth Hasan	id=g:1364169
Tānga Dhora	id=g:1364170
Goth Chātla	id=g:1364171
Chharari Khūant	id=g:1364172
Goth Bachāio	id=g:1364173
Goth Jān Muhammad	id=g:1364174
Goth Doda Muhammad	id=g:1364175
Goth Qualandar	id=g:1364176
Banūdi	id=g:1364177
Goth Mullān Hāshim	id=g:1364178
Goth Bolar	id=g:1364179
Gahjiwāro Bhit	id=g:1364180
Sanguri Creek	id=g:1364181
Chank Dhora	id=g:1364183
Lāsi Kund	id=g:1364184
Kakoi	id=g:1364185
Pīr Dost Muhammad	id=g:1364186
Pir Dharenu	id=g:1364187
Ziārat Sami Pir	id=g:1364188
Buhār	id=g:1364189
Charari	id=g:1364190
Drigga	id=g:1364191
Jerāi	id=g:1364192
Jorāi	id=g:1364193
Latori	id=g:1364194
Lutto	id=g:1364195
Mindiāri	id=g:1364196
Trappa	id=g:1364197
Trikanda	id=g:1364198
Avūb Goth	id=g:1364199
Dera Muhammad Achar	id=g:1364200
Golai	id=g:1364201
Goth Āru	id=g:1364202
Goth Ak	id=g:1364203
Goth Ghulam Muhammad	id=g:1364204
Goth Hāji	id=g:1364205
Goth Mūsa Doda	id=g:1364206
Goth Trappa	id=g:1364207
Hasan Goth	id=g:1364208
Īsmāīl Goth	id=g:1364209
Jerāi	id=g:1364210
Khānu Goth	id=g:1364211
Pir Manqha	id=g:1364212
Sadiq Goth	id=g:1364213
Subhān Goth	id=g:1364214
Usman Goth	id=g:1364215
Ziārat Hāji Pir	id=g:1364216
Purgaro Dhora	id=g:1364217
Phāt	id=g:1364219
Nanda Watto Dhora	id=g:1364220
Zehri Pīr	id=g:1364221
Pīr Hayāt	id=g:1364222
Ziārat Ali Faqīr	id=g:1364223
Ziārat Jamāl Shāh	id=g:1364224
Mirān Shāh	id=g:1364225
Goth Burra	id=g:1364226
Ambāgh Pīr Ziārat	id=g:1364227
Mujād Pīr	id=g:1364228
Mujad Pīr	id=g:1364229
Ratta Pīr	id=g:1364230
Ratta	id=g:1364231
Mubāraki	id=g:1364232
Goth Pir Perdesi	id=g:1364233
Jaggi Jhur	id=g:1364235
Kharrari Nai	id=g:1364236
Muqām Dhora	id=g:1364237
Kura Jhal	id=g:1364238
Kallia Jhur	id=g:1364239
Goth Meth	id=g:1364240
Choran Jhur	id=g:1364241
Goth Bhoro	id=g:1364242
Ran Jhal	id=g:1364243
Goth Rahīm Bakhsh	id=g:1364244
Goth Chatamulla	id=g:1364245
Bārocha	id=g:1364246
Sīth	id=g:1364247
Goth Hashim	id=g:1364248
Landni Dhori	id=g:1364249
Bodiāro Dhori	id=g:1364250
Goth Pīro	id=g:1364251
Goth Kund	id=g:1364252
Dokān Jhur	id=g:1364253
Nīmra Jhur	id=g:1364254
Sārhu Jhur	id=g:1364255
Goth Mubārak Marri	id=g:1364256
Goth Usmān Shāhok	id=g:1364257
Goth Ismāil	id=g:1364258
Goth Pind Ali Marvi	id=g:1364259
Goth Chākar Khān Marri	id=g:1364260
Goth Hāji	id=g:1364261
Goth Matāro	id=g:1364262
Goth Tāj Muhammad	id=g:1364263
Goth Hāji Mīran	id=g:1364264
Goth Ibrāhim	id=g:1364265
Goth Umed Ali	id=g:1364266
Bārag	id=g:1364267
Goth Mob Ali	id=g:1364268
Pīr Bukar	id=g:1364269
Goth Gario	id=g:1364270
Goth Varya	id=g:1364271
Goth Oso	id=g:1364272
Dhirjo Dhora	id=g:1364273
Goth Punnu	id=g:1364275
Wethinwāro	id=g:1364276
Goth Miān Muhammad	id=g:1364277
Rohri Dhora	id=g:1364278
Naran Dhora	id=g:1364279
Goth Sānd	id=g:1364280
Goth Ibrāhīm	id=g:1364281
Mindiāri Poh	id=g:1364282
Gajrowāro Pat	id=g:1364283
Heri Dhora	id=g:1364284
Muqāmwāro Pat	id=g:1364285
Manora	id=g:1364286
Shākh	id=g:1364287
Chanārwāro Kap	id=g:1364288
Dawani Dhora	id=g:1364289
Dawāni Poh	id=g:1364290
Pustāp	id=g:1364291
Kharkān Wāro Pat	id=g:1364292
Sham	id=g:1364293
Warīnd	id=g:1364294
Phāti Dhora	id=g:1364295
Kachha	id=g:1364296
Burra	id=g:1364297
Grāndi Thakkar	id=g:1364298
Lat Dhora	id=g:1364299
Grog Dhora	id=g:1364300
Bāre Shakki Dhora	id=g:1364301
Nāgāchakri Dhora	id=g:1364302
Rohīwāro Pat	id=g:1364303
Pab	id=g:1364304
Akhri Dhora	id=g:1364305
Goth Saidu	id=g:1364306
Hāriāgo	id=g:1364307
Goth Allāh Bakhsh	id=g:1364308
Gharātiwāri Dhori	id=g:1364309
Dargari Dhora	id=g:1364310
Garwāri Dhora	id=g:1364311
Shorwān Dhora	id=g:1364312
Sassi Punnūn	id=g:1364313
Rangeji Dhora	id=g:1364314
Bīzanjau	id=g:1364315
Bhābhro Dhora	id=g:1364316
Zai	id=g:1364317
Sassi Toba	id=g:1364318
Kothār Dhora	id=g:1364319
Sāngar Bāla	id=g:1364320
Sāngar Zerīn	id=g:1364321
Goth Jumma	id=g:1364322
Jakhāri	id=g:1364323
Lotāri Pāni	id=g:1364324
Dah Daryab	id=g:1364325
Goth Bachu	id=g:1364326
Goth Nanga	id=g:1364327
Goth Dādu	id=g:1364328
Bhārkopāni	id=g:1364329
Goth Sabāgah	id=g:1364330
Waniwāri	id=g:1364331
Pabni	id=g:1364332
Dhora Pabni	id=g:1364333
Goth Manmua	id=g:1364334
Goth Ismāīl	id=g:1364335
Karu	id=g:1364336
Dhora Hāji Lakar	id=g:1364337
Goth Sabāgah	id=g:1364338
Goth Ghulāmun	id=g:1364339
Goth Wall Muhammad	id=g:1364340
Goth Tāj Muhammad	id=g:1364341
Goth Bachal	id=g:1364342
Goth Nūru	id=g:1364343
Goth Ibrahīm Godran	id=g:1364344
Goth Dosu	id=g:1364345
Mukkar	id=g:1364346
Chalara Kachha	id=g:1364347
Gorisor	id=g:1364348
Goth Hussain Munshi	id=g:1364349
Goth Ghulām Hussain	id=g:1364350
Goth Salo	id=g:1364351
Jarenwāri	id=g:1364352
Goth Daro Khān	id=g:1364353
Shaikh Ahmadi	id=g:1364354
Goth Hāji Motiah Mondrah	id=g:1364355
Goth Āchār	id=g:1364356
Dhora Rāhig	id=g:1364357
Goth Mawāl Khān Bandīqhah	id=g:1364358
Dhora Anok	id=g:1364359
Goth Abdul Rahim Brāhul	id=g:1364360
Nammewāri	id=g:1364361
Sākurān Kantl	id=g:1364362
Goth Muhammad Bachah	id=g:1364363
Hab	id=g:1364364
Goth Nabidād	id=g:1364365
Chauki Sākrān	id=g:1364366
Goth Hāji Dīnu Mūndāh	id=g:1364367
Hadiawāri	id=g:1364368
Goth Abbās	id=g:1364369
Gandbo	id=g:1364370
Goth Dilphul	id=g:1364371
Goth Gondi	id=g:1364372
Goth Tallu	id=g:1364373
Goth Peri Khān	id=g:1364374
Goth Saidu	id=g:1364375
Goth Sheru	id=g:1364376
Halkani	id=g:1364377
Goth Dino	id=g:1364378
Gondbas	id=g:1364379
Chauki Mochkah	id=g:1364380
Baredah Camp	id=g:1364381
Goth Īsa	id=g:1364382
Mochko	id=g:1364383
Goth Rais Ilyās	id=g:1364384
Dābewāri	id=g:1364385
Sartohi	id=g:1364386
Chaukundi	id=g:1364387
Daun	id=g:1364388
Moāli	id=g:1364389
Noti Dhora	id=g:1364390
Goth Khamīsa	id=g:1364391
Īsāwān Buchi	id=g:1364392
Goth Bachah Mūndan	id=g:1364393
Meshodi	id=g:1364394
Lakāra	id=g:1364395
Goth Hasan	id=g:1364396
Goth Qāsim	id=g:1364397
Goth Gul Muhammad	id=g:1364398
Chhatto Wāhorah	id=g:1364399
Lak Hāji Lakar	id=g:1364400
Sangjāt	id=g:1364401
Pet Dhanwāri Dhora	id=g:1364403
Wānāni Dhora	id=g:1364404
Morjhur Dhora	id=g:1364405
Wasāro Lāndhi	id=g:1364406
Watto Dhora	id=g:1364407
Khāntro Dhoro	id=g:1364408
Arreji Dhora	id=g:1364409
Lutto Dhora	id=g:1364410
Doda	id=g:1364411
Takāri Dhora	id=g:1364412
Mindiāri Dhora	id=g:1364413
Phat Dhora	id=g:1364414
Goth Waro	id=g:1364415
Sora	id=g:1364417
Mol	id=g:1364418
Kahāni Dhoro	id=g:1364419
Kahāni Spring	id=g:1364420
Hairāni Spring	id=g:1364421
Chāndko Dhoro	id=g:1364422
Dīn Panāh Barāni	id=g:1364423
Redhi Barāni	id=g:1364424
Redhi	id=g:1364425
Chāndia Nai	id=g:1364426
Bhurgar Wāh	id=g:1364427
Goth Soblāni	id=g:1364428
Daulatāni	id=g:1364429
Lālhar Barāni	id=g:1364430
Goth Lālhar	id=g:1364431
Goth Pīr Bakhsh	id=g:1364432
Tor	id=g:1364433
Kaheri Wāh	id=g:1364434
Sim	id=g:1364435
Garr	id=g:1364436
Karia Dhoro	id=g:1364437
Chāthe	id=g:1364438
Sūrchar Dhoro	id=g:1364439
Kohistān	id=g:1364440
Wānar Shāh Ziārat	id=g:1364441
Rājo Dero	id=g:1364442
Kehar Shāh Ziārat	id=g:1364443
Nāng jo Khuh	id=g:1364444
Ladho Dero	id=g:1364445
Mīro jo Pot	id=g:1364446
Chohan Wāh	id=g:1364447
Mol Wāh	id=g:1364448
Goth Dittal Khān	id=g:1364449
Goth Gamon Mastoi	id=g:1364450
Goth Hāji Tāj Muhammad	id=g:1364451
Khān Wāh	id=g:1364452
Gul Muhammad Wāh	id=g:1364453
Gul Muhammad Barāni	id=g:1364454
Goth Lashkar Khān	id=g:1364455
Pat Gul Muhammad	id=g:1364456
Goth Hāji Urs Muhammad	id=g:1364457
Bakhshi Khuh	id=g:1364458
Nawān Wāh	id=g:1364459
Goth Mazār	id=g:1364460
Kasbo	id=g:1364461
Goth Mīran	id=g:1364462
Goth Bahāwal	id=g:1364463
Goth Hāsul	id=g:1364464
Goth Bāgo	id=g:1364465
Malako Jāgīr	id=g:1364466
Mīr Wāh	id=g:1364467
Khān Wāh	id=g:1364468
Goth Nabi Bakhsh	id=g:1364469
Mīr Wāh	id=g:1364470
Goth Shādan	id=g:1364471
Keti Ismāīl	id=g:1364472
Goth Hāji Alam Khān	id=g:1364473
Malako Wāh	id=g:1364474
Goth Sobo	id=g:1364475
Momāni Dhoro	id=g:1364476
Trak Dhoro	id=g:1364477
Panj Lahi Wāh	id=g:1364478
Suk Nai	id=g:1364479
Keti Panjāni	id=g:1364480
Keti Navi Barāni	id=g:1364481
Keti Sajāwal	id=g:1364482
Hairo Khān	id=g:1364483
Naichki	id=g:1364484
Goth Mānjhilo	id=g:1364485
Mazāri Kambrāni	id=g:1364486
Goth Phulu Kambrāni	id=g:1364487
Bamba Pīr Ziārat	id=g:1364488
Paie	id=g:1364489
Kaura Faqīr	id=g:1364490
Potho	id=g:1364491
Sakar Hālejo	id=g:1364492
Yāro Sāīn	id=g:1364493
Shori Nai	id=g:1364494
Hālejo	id=g:1364495
Goth Ismāīl	id=g:1364496
Pheru Dero	id=g:1364497
Pheru Dero	id=g:1364498
Wāhi Barādi	id=g:1364499
Sajan Paie	id=g:1364500
Goth Shaklāni	id=g:1364501
Goth Lund Tibāi	id=g:1364502
Goth Khuda Bakhsh	id=g:1364503
Murīd Dero	id=g:1364504
Murīd Dero	id=g:1364505
Sobho Wāh	id=g:1364506
Masu Dero	id=g:1364507
Jādo Wāh	id=g:1364508
Goth Sābu Ādmāni	id=g:1364509
Chākar Kot	id=g:1364510
Gājiāni	id=g:1364511
Barri Laghāri	id=g:1364512
Hasnāni	id=g:1364513
Chakar Kot	id=g:1364514
Goth Yāra Khān	id=g:1364515
Drigh Mathin Jāgīr	id=g:1364516
Goth Saidu Babbar	id=g:1364517
Hāji Khān Wāh	id=g:1364518
Ghāzi Khān	id=g:1364519
Pīr Ghāzi Faqīr	id=g:1364520
Pīr Rāwat Faqīr	id=g:1364521
Goth Lund Gaziāni	id=g:1364522
Goth Bahāwal	id=g:1364523
Goth Rājo Gandho	id=g:1364524
Goth Hayāt Khān	id=g:1364525
Hāji Khān	id=g:1364526
Kandāri Jhal	id=g:1364527
Zhāmbūri	id=g:1364528
Zhāmbūri Jhal	id=g:1364529
Nīlak	id=g:1364530
Bhogi Jhal	id=g:1364531
Bodīno	id=g:1364532
Pīchur Jhal	id=g:1364533
Lahor Lak	id=g:1364534
Bhat Kīrthar	id=g:1364535
Narāni	id=g:1364536
Misku	id=g:1364537
Maze Barag	id=g:1364538
Kachrak	id=g:1364539
Jhali Barag	id=g:1364540
Lohr	id=g:1364541
Dhondār	id=g:1364542
Zāhargāni	id=g:1364543
Shoq Tatār Dhoro	id=g:1364544
Surchar	id=g:1364545
Zard Dhoro	id=g:1364546
Jatāni Dhoro	id=g:1364547
Wad	id=g:1364548
Kamālu	id=g:1364549
Bhajāi	id=g:1364550
Zard	id=g:1364551
Toba	id=g:1364552
Shukinga Khal	id=g:1364553
Khabbari Jhur	id=g:1364554
Talāngu	id=g:1364555
Khakkhar Jhur	id=g:1364556
Shakloi Khand	id=g:1364557
Rod	id=g:1364558
Gorag	id=g:1364559
Thoth	id=g:1364560
Shakloi	id=g:1364561
Māhrāni Dhoro	id=g:1364562
Chhota Kund	id=g:1364563
Nagzani Kund	id=g:1364564
Jīnde Shāh Dhoro	id=g:1364565
Drabāni	id=g:1364566
Drabani Dhoro	id=g:1364567
Hīngar	id=g:1364568
Zamkhāni	id=g:1364569
Dhed Rāni	id=g:1364570
Gasho Jhur	id=g:1364571
Zhāmburi Jhur	id=g:1364572
Jamburo	id=g:1364573
Rāsti Sun	id=g:1364574
Peshi	id=g:1364575
Barag	id=g:1364576
Jamburo Thal	id=g:1364577
Zokhān	id=g:1364578
Gīdar Khotaīa	id=g:1364579
Gazmol	id=g:1364580
Gach Kamar	id=g:1364581
Niām Chakul	id=g:1364582
Jamburo Jhur	id=g:1364583
Manhi Jhur	id=g:1364584
Bāru	id=g:1364585
Shūri Jhal	id=g:1364586
Babshi Dhoro	id=g:1364587
Khando Khero Dal	id=g:1364588
Kirri Kumbh	id=g:1364589
Mās Chakul	id=g:1364590
Khuttu	id=g:1364591
Zaheni Dhoro	id=g:1364592
Sarāni Dhoro	id=g:1364593
Chūchar Dhoro	id=g:1364594
Undh	id=g:1364595
Paghuti	id=g:1364596
Zard Khandol	id=g:1364597
Gābāmār	id=g:1364598
Rāhi	id=g:1364599
Kanna Kadhāi	id=g:1364600
Zard Chakul	id=g:1364601
Chota Chhibbi	id=g:1364602
Phusi Lak	id=g:1364603
Mūr	id=g:1364604
Malūkhāni	id=g:1364605
Garkan	id=g:1364606
Bacha Dhoro	id=g:1364607
Phusi Jo Jhur	id=g:1364608
Phusi	id=g:1364609
Kasīr Lak	id=g:1364610
Kasīr Dhoro	id=g:1364611
Kara Kot	id=g:1364612
Bangar Dhoro	id=g:1364613
Nāli Nai	id=g:1364614
Jar Dhoro	id=g:1364615
Rohel jo Jhur	id=g:1364616
Zahri	id=g:1364617
Bhalla Sherān Dal	id=g:1364618
Dūni Chāku	id=g:1364619
Hanjīri	id=g:1364620
Rabbuwāri Dhoro	id=g:1364621
Kabato Dal	id=g:1364622
Goju Dal	id=g:1364623
Barādh Chakul	id=g:1364624
Sundi	id=g:1364625
Sundi Jhal	id=g:1364626
Rohel Lak	id=g:1364627
Rustmāni	id=g:1364628
Nasīr Khān	id=g:1364629
Maishud Dhoro	id=g:1364630
Lop	id=g:1364631
Girānzīka Dhoro	id=g:1364632
Nasīr Muhammad Lak	id=g:1364633
Shinkhani Lak	id=g:1364634
Pippar Chakul	id=g:1364635
Garākachha Lak	id=g:1364636
Haftāngar Dhoro	id=g:1364637
Shoq Dhoro	id=g:1364638
Shori Nai	id=g:1364639
Shori Nai	id=g:1364640
Goth Bhai Khān	id=g:1364641
Jalab	id=g:1364642
Goth Jāno Jaskāni	id=g:1364643
Goth Jalab Khān Rind	id=g:1364644
Kando Bābar	id=g:1364645
Goth Imām Bakhsh	id=g:1364646
Taki Nai	id=g:1364647
Chākar Gopāng	id=g:1364648
Gahno Gopāng	id=g:1364649
Goth Massu Khān	id=g:1364650
Goth Rahīm Khān	id=g:1364651
Gāj Nai	id=g:1364652
Allāhyār Dero	id=g:1364653
Nangar Dārio	id=g:1364654
Nai Taki	id=g:1364655
Pat Sulaimān Number One	id=g:1364656
Khairo Gopāng	id=g:1364657
Goth Chhiddri	id=g:1364658
Goth Mian Bakhsh	id=g:1364659
Goth Misri Khān	id=g:1364660
Goth Khūda Bakhsh	id=g:1364661
Goth Lāl Muhammad Khān	id=g:1364662
Goth Murid Māchhi	id=g:1364663
Goth Koro Khān	id=g:1364664
Goth Pīr Bakhsh	id=g:1364665
Goth Sher Muhammad	id=g:1364666
Goth Jāgan Rustamāni	id=g:1364667
Lāli	id=g:1364668
Uth Padan	id=g:1364669
Bodo Makān	id=g:1364670
Wāhi	id=g:1364671
Goth Dāho	id=g:1364672
Sāhib Khān Rustamāni	id=g:1364673
Goth Mitho Khān Rustamāni	id=g:1364674
Goth Doda Khān	id=g:1364675
Goth Pīr Bakhsh	id=g:1364676
Khu Māno	id=g:1364677
Mangu Dhoro	id=g:1364678
Goth Faqīr Bakhsh	id=g:1364679
Pat Sulaimān Number Two	id=g:1364680
Goth Sulaimān Lund	id=g:1364681
Pat Sulaimān Number Three	id=g:1364682
Goth Phatoo Brāhui	id=g:1364683
Goth Mūsa Khān	id=g:1364684
Goth Hāji Khair Muhammad	id=g:1364685
Goth Chhutto Māchhi	id=g:1364686
Pat Sulaimān Number Four	id=g:1364687
Goth Minho Khān Jamāli	id=g:1364688
Goth Rakhio	id=g:1364689
Goth Haji Pario Jamāli	id=g:1364690
Goth Muhammad Ali Khān	id=g:1364691
Nāli Nai	id=g:1364692
Goth Guio Mastoi	id=g:1364693
Kukrāni	id=g:1364694
Khūh Māno	id=g:1364695
Nali	id=g:1364696
Goth Thāro Faqīr	id=g:1364697
Goth Masoo Khān Jamāli	id=g:1364698
Goth Bago Shāhāni	id=g:1364699
Goth Fazal Khān	id=g:1364700
Goth Qāsim	id=g:1364701
Goth Shāhak	id=g:1364702
Thul	id=g:1364703
Goth Dhani Bakhsh	id=g:1364704
Thul Mīr Khān	id=g:1364705
Goth Muhammad Faqīr	id=g:1364706
Goth Rasūl Bakhsh	id=g:1364707
Goth Bahrām	id=g:1364708
Goth Jīwan Khān Jamāli	id=g:1364709
Goth Jīnda Khān Jamāli	id=g:1364710
Tok Qāsim	id=g:1364711
Aphini	id=g:1364712
Shāh Toba Spring	id=g:1364713
Haleli Dhoro	id=g:1364714
Goth Hāji Minho Khān	id=g:1364715
Goth Jurno Jamāli	id=g:1364716
Shadmān	id=g:1364717
Bāge di Goth	id=g:1364718
Goth Hot Brahmāni	id=g:1364719
Sūmar ji Takri	id=g:1364720
Rānihar Nai	id=g:1364721
Sāwro	id=g:1364722
Goth Rādho Brahmāni	id=g:1364723
Goth Ali Murād	id=g:1364724
Basham Faqīr	id=g:1364725
Bahlel	id=g:1364726
Khandhāni	id=g:1364727
Khandhāni	id=g:1364728
Goth Khair Muhammad Malukāni	id=g:1364729
Angai Nai	id=g:1364730
Angai	id=g:1364731
Chhini	id=g:1364732
Goth Hamzo Shāhāni	id=g:1364733
Shori	id=g:1364734
China Dhoro	id=g:1364735
Goth Bahāwal Babbar	id=g:1364736
Ziārat Fateh Faqīr	id=g:1364737
Tori Mathion Number One	id=g:1364738
Dengaro	id=g:1364739
Malhar Barani	id=g:1364740
Goth Murīd Khān	id=g:1364741
Pusi	id=g:1364742
Goth Mujāwir	id=g:1364743
Bagio Dero Distributary	id=g:1364744
Mīr Muhammad Distributary	id=g:1364745
Iso Narejo	id=g:1364746
Khhabbar	id=g:1364747
Kātia	id=g:1364748
Goth Kāthan	id=g:1364749
Goth Mitha	id=g:1364750
Goth Gul Muhammad	id=g:1364751
Goth Mewo	id=g:1364752
Āku	id=g:1364753
Shāh Pariāni	id=g:1364754
Khāi Lashkar Khān	id=g:1364755
Kallu	id=g:1364756
Sāleh	id=g:1364757
Jakhro	id=g:1364758
Kakkar Shākh	id=g:1364759
Alīpur	id=g:1364760
Goth Dillu Māchhi	id=g:1364761
Chau Khāndi	id=g:1364762
Goth Ali Bakhsh	id=g:1364763
Pasia	id=g:1364764
Khariro Kinaro	id=g:1364765
Balh Ber	id=g:1364766
Ber Bughio Barani	id=g:1364767
Goth Panhwar	id=g:1364768
Goth Gul Babbar	id=g:1364769
Goth Chāndia	id=g:1364770
Kur Faujo Barani	id=g:1364771
Khānsawān	id=g:1364772
Tharri	id=g:1364773
Mīrāwai	id=g:1364774
Thariri Jado Shahīd	id=g:1364775
Bāja Kot	id=g:1364776
Goth Ghunwar	id=g:1364777
Dur Muhammad	id=g:1364778
Goth Abro	id=g:1364779
Nihāl Chāwaro	id=g:1364780
Warāru Mulla	id=g:1364781
Kakkar	id=g:1364782
Goth Wadan	id=g:1364783
Goth Ārif	id=g:1364784
Goth Ali Akbar Shāh	id=g:1364785
Jaberji	id=g:1364786
Wāni	id=g:1364787
Jageshid	id=g:1364788
Khhabro	id=g:1364789
Jālipāri Dhand	id=g:1364790
Kheiro	id=g:1364791
Goth Dur Muhammad	id=g:1364792
Dib Tūlan	id=g:1364793
Goth Muhammad Hasan	id=g:1364794
Kot Bajo	id=g:1364795
Goth Ramzān	id=g:1364796
Goth Hāji Bachal	id=g:1364797
Goth Ahmad Khān	id=g:1364798
