Pionerlager’ Zhemchuzhina	id=g:870499
Mys Buynak	id=g:870501
Nagornyy	id=g:870502
Gora Dzhanas-Lagap	id=g:870503
Gora Izberbash	id=g:870504
Gora Syuit-Vestapakhta	id=g:870505
Rostoy	id=g:870506
Poltyn	id=g:870507
Kutan Dabish	id=g:870508
Morozova	id=g:870509
Gora Peremetnaya	id=g:870510
Gora Pereval’naya	id=g:870511
Polevaya Stantsiya Khas-Bulat	id=g:870512
Sagasi-Deybuk	id=g:870513
Loki	id=g:870514
Chërnaya	id=g:870515
Zubovka	id=g:870516
Vostochnyy	id=g:870517
Sredniy	id=g:870518
Dzhigiya	id=g:870519
Gora Abeke	id=g:870520
Urochishche Gyurmisha	id=g:870521
Razvaliny Birkli	id=g:870522
Chakhdikna	id=g:870523
Gora Yel’su	id=g:870524
Urochishche Darshcha	id=g:870525
Gora Artyar	id=g:870526
Urochishche Oglavkent	id=g:870527
Gora Khalamurku	id=g:870528
Mys Sokoliy	id=g:870529
Sosnovets	id=g:870530
Izba Sinyukha	id=g:870531
Izba Proletarka	id=g:870532
Izba Bol’shevik	id=g:870533
Guba Danilovskaya	id=g:870534
Glubokiy	id=g:870535
Izba Tyapshikha	id=g:870536
Khrebet Dzartil’	id=g:870537
Khrebet Dzhokhon	id=g:870538
Balka Kaldyk	id=g:870539
Guba Stanovishche Devyatoye	id=g:870540
Izba Rvy	id=g:870541
Izba Podkuz’minskiy	id=g:870542
Kuz’minskiy	id=g:870543
Balka Atbuk	id=g:870544
Izba Podkonëvka	id=g:870545
Kutan Gaban	id=g:870546
Izba Krasnaya	id=g:870547
Ozero Krasnoye	id=g:870548
Gora Volch’ya Sopka	id=g:870549
Ruchey Aldobin	id=g:870550
Baraki Ponoyskiye	id=g:870551
Sopki Brevennyye	id=g:870552
Kosmatskiye Sopki	id=g:870553
Gora Kosmatskiye Sopki	id=g:870554
Ozëra Kosmatskiye	id=g:870555
Rodnikovyy	id=g:870556
Ozero Lopenyarskoye	id=g:870557
Kutan Okhma	id=g:870558
Sopka Matrënina Golovka	id=g:870559
Dzhivus	id=g:870560
Mayak-Gorodetskiy	id=g:870561
Gorodetskiy	id=g:870562
Guba Kir’yanova	id=g:870563
Gora Peschanka	id=g:870564
Izba Polovinnaya	id=g:870565
Ozero Krivoye	id=g:870566
Voronovskiy	id=g:870567
Voronovskiy	id=g:870568
Izba Korabel’naya	id=g:870569
Izba Melekhova	id=g:870570
Izba Drovyanaya	id=g:870571
Gaziya	id=g:870572
Yurovatyy	id=g:870573
Nyurcha	id=g:870574
Mys Stremlyannyy	id=g:870575
Gora Kovriga	id=g:870576
Barzanchay	id=g:870577
Gulli	id=g:870578
Abramovskiy	id=g:870579
