Linda Elementary School	id=g:5366534
Linda Falls	id=g:5366535
Linda Hall	id=g:5366536
Linda Isle	id=g:5366537
Linda Lane Park	id=g:5366538
Linda Mar	id=g:5366539
Linda Mar Elementary School	id=g:5366540
Linda Mar Shopping Center	id=g:5366541
Linda Mar Station Pacifica Post Office	id=g:5366542
Linda Plaza Shopping Center	id=g:5366543
Linda Rose	id=g:5366544
Linda School (historical)	id=g:5366545
Linda Verde Elementary School	id=g:5366546
Linda Vista	id=g:5366547
Linda Vista	id=g:5366548
Linda Vista (historical)	id=g:5366549
Linda Vista 2412 Dam	id=g:5366550
Linda Vista Branch Pasadena Public Library	id=g:5366551
Linda Vista Branch San Diego Public Library	id=g:5366552
Linda Vista Church of Christ	id=g:5366553
Linda Vista Elementary School	id=g:5366554
Linda Vista Elementary School	id=g:5366555
Linda Vista Elementary School	id=g:5366556
Linda Vista Elementary School	id=g:5366557
Linda Vista Elementary School	id=g:5366558
Linda Vista Elementary School	id=g:5366559
Linda Vista Park	id=g:5366560
Linda Vista Park	id=g:5366561
Linda Vista Park	id=g:5366562
Linda Vista Plaza Shopping Center	id=g:5366563
Linda Vista Presbyterian Church	id=g:5366564
Linda Vista Elementary School (historical)	id=g:5366565
Linda Vista School	id=g:5366566
Linda Vista School	id=g:5366567
Linda Vista Second Baptist Church	id=g:5366568
Linda Vista United Methodist Church	id=g:5366569
Lindale Greens Country Club (historical)	id=g:5366570
Lindaraka Park	id=g:5366571
Linday Post Office	id=g:5366572
Lindberg Park	id=g:5366573
Lindberg-Schweitzer School	id=g:5366574
Lindbergh Elementary School	id=g:5366575
Lindbergh Middle School	id=g:5366576
Lindbergh Park	id=g:5366577
Lindbergh School	id=g:5366578
Lindbergh School	id=g:5366579
Lindbergh School Park	id=g:5366580
Lindcove	id=g:5366581
Linden	id=g:5366582
Linden Avenue Station South San Francisco Post Office	id=g:5366583
Linda Creek Park	id=g:5366584
Linden High School	id=g:5366585
Linden Park	id=g:5366586
Linden Public School (historical)	id=g:5366587
Linden Spring	id=g:5366588
Lindenwood	id=g:5366589
Linder School	id=g:5366590
Lindermans Flat	id=g:5366591
Lindero 785 Dam	id=g:5366592
Lindero Canyon	id=g:5366593
Linden Elementary School	id=g:5366594
Lindhurst High School	id=g:5366595
Lindley Meadow	id=g:5366596
Lindner Prospect	id=g:5366597
Lindo Channel	id=g:5366598
Lindero Canyon Middle School	id=g:5366599
Lindo Lake Park	id=g:5366600
Lindo Park Elementary School	id=g:5366601
Lindquist Ridge	id=g:5366602
Linds Airport	id=g:5366603
Lindsay	id=g:5366604
Lindsay Branch Tulare County Library	id=g:5366605
Lindsay Christian Church	id=g:5366606
Lindsay City Hall	id=g:5366607
Lindsay City Park	id=g:5366608
Lindsay Evangelical Friends Church	id=g:5366609
Lindsay Golf Course	id=g:5366610
Lindsay Hospital Medical Center	id=g:5366611
Lindsay Lutheran Church	id=g:5366612
Lindsay Mine	id=g:5366613
Lindsay Museum	id=g:5366614
Lindsay Peak	id=g:5366615
Lindsay School (historical)	id=g:5366616
Lindsay Senior High School	id=g:5366617
Lindsay Strathmore Irrigation Ditch	id=g:5366618
Lindsay Unified School District Office	id=g:5366619
Lindsay United Methodist Church	id=g:5366620
Lindsay-Strathmore Building	id=g:5366621
Lindsey Campground	id=g:5366622
Lindsey Creek	id=g:5366623
Lindo Lake	id=g:5366624
Lindsey Lakes	id=g:5366625
Lindsey Slough	id=g:5366626
Lindsey Lakes	id=g:5366627
Lindy Opera House	id=g:5366628
Line Creek	id=g:5366629
Lindsey Slough Gas Field	id=g:5366630
Line Gulch	id=g:5366631
Line Creek Lake	id=g:5366632
Linear Park	id=g:5366633
Linear Park	id=g:5366634
Linfield Christian High School	id=g:5366635
Linford L Anderson Elementary School	id=g:5366636
Lingard	id=g:5366637
Lingard Lateral	id=g:5366638
Lingo Canyon	id=g:5366639
Line Spring	id=g:5366640
Linne	id=g:5366641
Linne School (historical)	id=g:5366642
Linnell Post Office	id=g:5366643
Linnie	id=g:5366644
Linns Valley	id=g:5366645
Lingos Landing	id=g:5366646
Linora (historical)	id=g:5366647
Linora Pumping Station	id=g:5366648
Linser Mine	id=g:5366649
Linser Ranch	id=g:5366650
Linsey Lake Trail	id=g:5366651
Linwood E Howe Elementary School	id=g:5366652
Linwood Elementary School	id=g:5366653
Linwood Park	id=g:5366654
Lion Campground	id=g:5366655
Lion Canyon	id=g:5366656
Linns Valley-Poso Flat Union Elementary School	id=g:5366657
Lion Canyon	id=g:5366658
Lion Canyon	id=g:5366659
Lion Canyon	id=g:5366660
Lion Canyon	id=g:5366661
Lion Canyon	id=g:5366662
Lion Canyon	id=g:5366663
Lion Canyon	id=g:5366664
Lion Canyon	id=g:5366665
Lion Canyon	id=g:5366666
Lion Canyon	id=g:5366667
Lion Canyon	id=g:5366668
Lion Canyon	id=g:5366669
Lion Canyon	id=g:5366670
Lion Canyon	id=g:5366671
Lion Canyon Reservoir	id=g:5366672
Lion Creek	id=g:5366673
Lion Creek	id=g:5366674
Lion Creek	id=g:5366675
Lion Creek	id=g:5366676
Lion Creek	id=g:5366677
Lion Creek	id=g:5366678
Lion Creek	id=g:5366679
Lion Creek	id=g:5366680
Lion Head	id=g:5366681
Lion Head Mountain	id=g:5366682
Lion Lake	id=g:5366683
Lion Lake	id=g:5366684
Lion Meadows	id=g:5366685
Lion Meadows	id=g:5366686
Lion Peak	id=g:5366687
Lion Peak	id=g:5366688
Lion Point	id=g:5366689
Lion Point	id=g:5366690
Lion Point Fire Lane	id=g:5366691
Lion Ridge	id=g:5366692
Lion Rock	id=g:5366693
Lion Rock	id=g:5366694
Lion Rock	id=g:5366695
Lion Spring	id=g:5366696
Lion Spring	id=g:5366697
Lion Spring	id=g:5366698
Lion Spring	id=g:5366699
