Du Bois-Jefferson County Airport	id=g:5187437
DuBois Creek	id=g:5187438
Dryland	id=g:5187439
DuBois Reservoir	id=g:5187440
DuBois Swamp	id=g:5187441
Duane Village	id=g:5187442
Dublin	id=g:5187443
Dublin Acres	id=g:5187444
Dublin Fire Company Number 23	id=g:5187445
Dublin Mills	id=g:5187446
Dublin Post Office (historical)	id=g:5187447
Dublin Village Green	id=g:5187448
Dublin Village Shopping Center	id=g:5187449
Borough of Dublin	id=g:5187450
Township of Dublin	id=g:5187451
Township of Dublin	id=g:5187452
Duboistown	id=g:5187453
Borough of Duboistown	id=g:5187454
Dubstardt School (historical)	id=g:5187455
Duck Eddy Run	id=g:5187456
DuBois Creek Dam	id=g:5187457
Duck Harbor Pond Dam	id=g:5187458
Duck Hollow	id=g:5187459
Duck Marshes	id=g:5187461
Duck Pond	id=g:5187462
Duck Pond	id=g:5187463
Duck Pond	id=g:5187464
Duck Run	id=g:5187465
Duck Harbor Pond	id=g:5187466
Duckpuddle Run	id=g:5187467
Duckrun	id=g:5187468
Duclos Run	id=g:5187469
Dudley	id=g:5187470
Borough of Dudley	id=g:5187471
Duff City	id=g:5187472
Duffey Family Cemetery	id=g:5187473
Duffryn Mawr	id=g:5187474
Duffs Junction Station	id=g:5187475
Duffs Run	id=g:5187476
Dudley Methodist Cemetery	id=g:5187477
Duffs-Scully Junction Station	id=g:5187478
Dufur Hospital	id=g:5187479
Dug Road Creek	id=g:5187480
Duffs Station	id=g:5187481
Dug Road Trail	id=g:5187482
Dug Trail	id=g:5187483
Dugall	id=g:5187484
Dugan Cemetery	id=g:5187485
Dugan Hollow	id=g:5187486
Dug Road Trail	id=g:5187487
Dugan Run	id=g:5187488
Dugan Run	id=g:5187489
Dugan School (historical)	id=g:5187490
Duke Center	id=g:5187491
Duman Lake	id=g:5187492
Duman Lake Park	id=g:5187493
Dump Hollow	id=g:5187494
Dugan Trail	id=g:5187495
Dunbar Airport	id=g:5187496
Dunbar Creek	id=g:5187497
Dump Run	id=g:5187498
Township of Dunbar	id=g:5187499
Duncan	id=g:5187500
Duncan Cemetery	id=g:5187501
Duncan Hollow	id=g:5187502
Duncan Island	id=g:5187503
Duncan Trail	id=g:5187504
Township of Duncan	id=g:5187505
Duncannon	id=g:5187506
Borough of Duncannon	id=g:5187507
Duncansville	id=g:5187508
Duncansville Dam	id=g:5187509
Duncansville Reservoir	id=g:5187510
Borough of Duncansville	id=g:5187511
Duncle Corners Fishing Area	id=g:5187512
Duncott	id=g:5187513
Dundaff	id=g:5187514
Dundaff Cemetery	id=g:5187515
Dundaff Creek	id=g:5187516
Dunbar Trail	id=g:5187517
Dunderdale Creek	id=g:5187518
Dundee	id=g:5187519
Dundore	id=g:5187520
Dungarvin	id=g:5187521
Dunham Corners	id=g:5187522
Dunham Run	id=g:5187523
Dundon School	id=g:5187524
Dunham Run	id=g:5187525
Dunham Siding	id=g:5187526
Dunkard Cemetery	id=g:5187527
Dunkle	id=g:5187528
Dunkle Corners	id=g:5187529
Dunkle Run	id=g:5187530
Dunham Siding	id=g:5187531
Dunkle Trail	id=g:5187532
Dunlap	id=g:5187533
Dunlap Creek	id=g:5187534
Dunkle School	id=g:5187535
Dunlap Creek	id=g:5187536
Dunlap Run	id=g:5187537
Dunlea Airpark	id=g:5187538
Borough of Dunlevy	id=g:5187539
Dunlo	id=g:5187540
Dunmire Ridge	id=g:5187541
Dunmore	id=g:5187542
Dunmore Cemetery	id=g:5187543
Dunmore Elementary School	id=g:5187544
Dunmore High School	id=g:5187545
Dunmore Number One Dam	id=g:5187546
Dunmore Number Three Dam	id=g:5187547
Dunmore Reservoir Number Four	id=g:5187548
Dunmore Reservoir Number One	id=g:5187549
Dunmore Reservoir Number Three	id=g:5187550
Borough of Dunmore	id=g:5187551
Dunmyer Cemetery	id=g:5187552
Dunn	id=g:5187553
Dunn Cemetery	id=g:5187554
Dunn Pond	id=g:5187555
Dunn Run	id=g:5187556
Dunlevy	id=g:5187557
Dunn Run	id=g:5187558
Dunn School (historical)	id=g:5187559
Dunn Valley	id=g:5187560
Dunn Run	id=g:5187561
Dunn Valley Creek	id=g:5187562
Dunn Valley Cemetery	id=g:5187563
Dunning Cove	id=g:5187564
Dunning Creek	id=g:5187565
Dunning	id=g:5187566
Dunning Creek	id=g:5187567
Dunning Creek Church	id=g:5187568
Dunningsville	id=g:5187569
Dunningtown	id=g:5187570
Dunns Station	id=g:5187571
Township of Dunnstable	id=g:5187572
Dunnstown	id=g:5187573
Dunring	id=g:5187574
Dunsfort	id=g:5187575
Dunwoody Camp	id=g:5187576
Dupont	id=g:5187577
Dupont Connection	id=g:5187578
Borough of Dupont	id=g:5187579
Duquesne	id=g:5187580
Duquesne Elementary School	id=g:5187581
Duquesne Golf Club	id=g:5187582
Duquesne Heights	id=g:5187583
Duquesne Incline	id=g:5187584
Duquesne Junior High School	id=g:5187585
Duquesne University	id=g:5187586
Duquesne Wharf Station	id=g:5187587
City of Duquesne	id=g:5187588
Durant City Junction	id=g:5187589
Durbins School	id=g:5187590
Durell	id=g:5187591
Durell Creek	id=g:5187592
Dunning Mountain	id=g:5187593
Durham Ferry (historical)	id=g:5187594
Durham Furnace	id=g:5187595
Durham Hill Farms	id=g:5187596
Durham Lea	id=g:5187597
Durham Paper Company Dam	id=g:5187598
Durham Post Office (historical)	id=g:5187599
Durham Union Church	id=g:5187600
Durham Union School	id=g:5187601
Durham Village	id=g:5187602
Township of Durham	id=g:5187603
Durham-Nockamixon Elementary School	id=g:5187604
Durkee Hill	id=g:5187605
Durlach	id=g:5187606
Durlach Post Office (historical)	id=g:5187607
Durlach School	id=g:5187608
Durward	id=g:5187609
Durward Station	id=g:5187610
Duryea	id=g:5187611
Borough of Duryea	id=g:5187612
