Templeogue	id=g:3315404
Grange	id=g:3315405
Grange North	id=g:3315406
Dunranhill	id=g:3315407
Tithewer	id=g:3315408
Kilquade House	id=g:3315409
The Giants Cut	id=g:3315410
Upper Lake	id=g:3315411
Lower Lake	id=g:3315412
Stump of the Castle	id=g:3315413
Caran	id=g:3315414
Lockstown Lower	id=g:3315415
Lockstown Upper	id=g:3315416
Graney River	id=g:3315417
Woodlands	id=g:3315418
Salisbury House	id=g:3315419
Derry	id=g:3315420
Dysart	id=g:3315421
Carrig	id=g:3315422
Lugnagun Great	id=g:3315423
Coronation Plantation	id=g:3315424
Cloon	id=g:3315425
Crone	id=g:3315426
Calary Upper	id=g:3315427
Calary Lower	id=g:3315428
Shankill Castle	id=g:3315429
Oldbawn	id=g:3315430
Slade	id=g:3315431
Fox and Geese	id=g:3315432
Farmhill	id=g:3315433
Easton	id=g:3315434
Reeves	id=g:3315435
Prospect	id=g:3315436
Dysart	id=g:3315437
Peatland Experimental Station	id=g:3315438
Derries	id=g:3315439
Lough	id=g:3315440
Rosahane Bridge	id=g:3315441
Ballyteige	id=g:3315442
Avery Island	id=g:3315454
Lough Nageeron	id=g:3315455
Bunnacliffa Lough	id=g:3315456
Moyrus	id=g:3315457
Dooveher	id=g:3315458
Inishbigger	id=g:3315459
Doonpatrick	id=g:3315460
Doolick	id=g:3315461
Mile Rock	id=g:3315462
Skerdmore	id=g:3315463
Freaghillaun	id=g:3315464
Inishtreh	id=g:3315465
Oghly Island	id=g:3315466
Mutton Island	id=g:3315467
Lough Nalawney	id=g:3315468
Lough Nasoodery	id=g:3315469
Lough Naweelaun	id=g:3315470
Conga Lough	id=g:3315471
Cloonagat Lough	id=g:3315472
Lough Fadda	id=g:3315473
Blackhaven	id=g:3315474
Aillenacally	id=g:3315475
Toombeola	id=g:3315476
Letterdife House	id=g:3315477
Kosroe Lough	id=g:3315478
Lough Rannaghaun	id=g:3315479
Malivey	id=g:3315480
Lough Namanawaun	id=g:3315481
Maumeen Lough	id=g:3315482
Barrowen Lough	id=g:3315483
Endaghkeeragh Lough	id=g:3315484
Earawalla Point	id=g:3315485
Callow	id=g:3315486
Inishdawros	id=g:3315487
Wherane Island	id=g:3315488
Illaunurra	id=g:3315489
Carrickacummer	id=g:3315490
Doon Hill	id=g:3315491
Aillebrack Lough	id=g:3315492
Truska Lough	id=g:3315493
Lough Nacorrussaun	id=g:3315494
Lough Emlaghnabehy	id=g:3315495
Cromwells Sound	id=g:3315496
Chapel Island	id=g:3315497
Carrickarone	id=g:3315498
Lough Beaghcauneen	id=g:3315499
Derrywaking Loughs	id=g:3315500
Derrylea Lough	id=g:3315501
Lough Fadda	id=g:3315502
Lough Agh	id=g:3315503
Salt Lake	id=g:3315504
Lough Usk	id=g:3315505
Lough Athola	id=g:3315506
Lough Nambrackkeagh	id=g:3315507
Cregg Lough	id=g:3315508
Ardbear Bridge	id=g:3315509
Ardbear House	id=g:3315510
Malmore	id=g:3315511
Drinagh	id=g:3315512
Curhownagh	id=g:3315513
Errislannan	id=g:3315514
The Manor	id=g:3315515
Gortrummagh	id=g:3315516
Belleek	id=g:3315517
Derreen	id=g:3315518
Glenbrickeen Lough	id=g:3315519
Shanakeever Lough	id=g:3315520
Lough Tanny	id=g:3315521
Boolard Island	id=g:3315522
Kill	id=g:3315523
Ardmore	id=g:3315524
Knockbaun House	id=g:3315525
Kingstown Bay	id=g:3315526
Leagaun	id=g:3315527
Carricklahan East	id=g:3315528
Carrickrana Rocks	id=g:3315529
Hog Island	id=g:3315530
Croaghat Lough	id=g:3315531
Loughanillaun	id=g:3315532
Island Lough	id=g:3315533
Enlaghdauroe	id=g:3315534
Lough Auna	id=g:3315535
Lough Nahillion	id=g:3315536
Lough Naguroge	id=g:3315537
Cregg	id=g:3315538
Tievebaun	id=g:3315539
Crockaunhiggeen	id=g:3315540
Bealnascalpa	id=g:3315541
Lough Anillaun	id=g:3315542
Lough Natawny	id=g:3315543
Courhoor Lough	id=g:3315544
Barnahllia Lough	id=g:3315545
Fahy Lough	id=g:3315546
Aughrusbeg Lough	id=g:3315547
Lough Atalia	id=g:3315548
Aughrus More	id=g:3315549
Emlagh	id=g:3315550
Carrickarone	id=g:3315551
Ferroonagh West	id=g:3315552
Dog Island	id=g:3315553
Roeillaun	id=g:3315554
Shinnanagh	id=g:3315555
Bundouglas	id=g:3315556
Braadillaun	id=g:3315557
Shanboolard Hall	id=g:3315558
Garraunbaun Lough	id=g:3315559
Ross House	id=g:3315560
Traheen Bridge	id=g:3315561
Traheen River	id=g:3315562
Rosteague House	id=g:3315563
Barnaderg Bay	id=g:3315564
Keelkyle Bridge	id=g:3315565
Crockaunroe	id=g:3315566
Bencullagh	id=g:3315567
Knockbrack	id=g:3315568
Benbaun	id=g:3315569
Kylemore Abbey	id=g:3315570
Pollacappul Lough	id=g:3315571
Tullywee Bridge	id=g:3315572
Bunnaboghee Lough	id=g:3315573
Currywongaun	id=g:3315574
Shanaveag Bridge	id=g:3315575
Greenmount House	id=g:3315576
Altnagaighera	id=g:3315577
Tullycross	id=g:3315578
Benchoona	id=g:3315579
Letter More	id=g:3315580
Ardnagreevagh	id=g:3315581
Shanvallybeg	id=g:3315582
Pigeon Cove	id=g:3315583
Lough Bofin	id=g:3315584
Gubatarraghna	id=g:3315585
Lough Fawna	id=g:3315586
Port Island	id=g:3315587
Bunnamullen Bay	id=g:3315588
Gubaranduff	id=g:3315589
Lyon Head	id=g:3315590
Carrickabullog Rocks	id=g:3315591
Illaunmore	id=g:3315592
Carrickboorla	id=g:3315593
Dromore Head	id=g:3315594
Bunnashirra	id=g:3315595
Gubagarlieve	id=g:3315596
Gubnagawny	id=g:3315597
Govern Island	id=g:3315598
Killary Lodge	id=g:3315599
Barnabaun Point	id=g:3315600
Bunanakee River	id=g:3315601
Killeen	id=g:3315602
Cloonlaur	id=g:3315603
Aillemore	id=g:3315604
Cloghaun	id=g:3315605
Carrickmalagh	id=g:3315606
Cross Point	id=g:3315607
Cross Lough	id=g:3315608
Lough Cahasy	id=g:3315609
Lough Doo	id=g:3315610
Lough Baun	id=g:3315611
Kinatevdilla	id=g:3315612
Glassillangaraltagh	id=g:3315613
Alnamarnagh	id=g:3315614
Carrickfadda	id=g:3315615
Lecknacurra	id=g:3315616
Ballytoohy	id=g:3315617
Portlea	id=g:3315618
Knocknaveen	id=g:3315619
Maum	id=g:3315620
Capnagower	id=g:3315621
Doon Cloak	id=g:3315622
Portnakilly	id=g:3315623
Craigmore	id=g:3315624
Whiteheather Cottage	id=g:3315625
Gubacarrigan	id=g:3315626
Altapheebera	id=g:3315627
Ard Loughs	id=g:3315628
Lough Cullydoo	id=g:3315629
Inishoo	id=g:3315630
Inishgowla	id=g:3315631
Inishlaughil	id=g:3315632
Inishturk	id=g:3315633
