Sunk	id=g:2601628
Lifteneck	id=g:2601629
Hertagraben	id=g:2601630
Hölleralmmoos	id=g:2601631
Hölleralmbach	id=g:2601632
Bucheralmbach	id=g:2601633
Höllerkogel	id=g:2601634
Lugstein	id=g:2601635
Kleine Rübe	id=g:2601636
Lahngang	id=g:2601637
Wasserfallgraben	id=g:2601638
Almspitz	id=g:2601639
Schafriedel	id=g:2601640
Karöfen	id=g:2601641
Lärchboden	id=g:2601642
Geierboden	id=g:2601643
Mitterstein	id=g:2601644
Gemeinsee	id=g:2601645
Grüner See	id=g:2601646
Schafzähne	id=g:2601647
Moserscharte	id=g:2601648
Moseralm	id=g:2601649
Moserspitz	id=g:2601650
Seitenstallriegel	id=g:2601651
Mosergraben	id=g:2601652
Seitenstallgraben	id=g:2601653
Diewaldgraben	id=g:2601654
Sankt Viktorkapelle	id=g:2601655
Jagdhäuser	id=g:2601656
Huber	id=g:2601657
Strechen	id=g:2601658
Tiefenkar	id=g:2601659
Geierkar	id=g:2601660
Jagdhütte Egger	id=g:2601661
Zirbenkogel	id=g:2601662
Roßegggraben	id=g:2601663
Zirbenstein	id=g:2601664
Schwarzlacken	id=g:2601665
Hühnerkogel	id=g:2601666
Wessenkarhütte	id=g:2601667
Bärenbühel	id=g:2601668
Knappengraben	id=g:2601669
Eisernes Kreuz	id=g:2601670
Mayrbach	id=g:2601671
Hammerberg	id=g:2601672
Hammerhütte	id=g:2601673
Hammer	id=g:2601674
Bichlbauerbach	id=g:2601675
Brodrinner	id=g:2601676
Mittermauer	id=g:2601677
Geißmauer	id=g:2601678
Kreutbauernalm	id=g:2601679
Sunkmauer	id=g:2601680
Sunkbach	id=g:2601681
Ochsenkarbach	id=g:2601682
Schober	id=g:2601683
Kleiner Schober	id=g:2601684
Schobermoos	id=g:2601685
Brunneben	id=g:2601686
Kotalm	id=g:2601687
Ochsenkarhütte	id=g:2601688
Zirbenwand	id=g:2601689
Große Rübe	id=g:2601690
Ochsenkar	id=g:2601691
Hauseck	id=g:2601692
Schwarzkarmauer	id=g:2601693
Gamsgrube	id=g:2601694
Seekarspitze	id=g:2601695
Sonntagskar	id=g:2601696
Sonntagskarspitze	id=g:2601697
Seitenstallpolster	id=g:2601698
Wurzleiten	id=g:2601699
First	id=g:2601700
Seitenstallalm	id=g:2601701
Gossnergraben	id=g:2601702
Strizlgraben	id=g:2601703
Langwiesen	id=g:2601704
Sandriedleröfen	id=g:2601705
Wirtskarbach	id=g:2601706
Wirtsspitz	id=g:2601707
Moartörl	id=g:2601708
Jagdhaus Roßegg	id=g:2601709
Schwarzkogel	id=g:2601710
Scheiben	id=g:2601711
Dobritsch	id=g:2601712
Geißschrittbach	id=g:2601713
Dobritschgraben	id=g:2601714
Sitzstattriedel	id=g:2601715
Lippbauer	id=g:2601716
Gasthof Braun	id=g:2601717
Graf	id=g:2601718
Vordertriebental	id=g:2601719
Fuchsgraben	id=g:2601720
Tierkogel	id=g:2601721
Hasensattel	id=g:2601722
Mühlgraben	id=g:2601723
Geroldalm	id=g:2601724
Steilbachergraben	id=g:2601725
Tauernbach	id=g:2601726
Gasthof Steinkogler	id=g:2601727
Gasthof Moscher	id=g:2601728
Häuslteich	id=g:2601729
Unterer Teich	id=g:2601730
Grabmeier	id=g:2601731
Drei Lacken	id=g:2601732
Fleischgraben	id=g:2601733
Brunnkarbach	id=g:2601734
Schwaigerriedel	id=g:2601735
Langmannweg	id=g:2601736
Grüne Lacke	id=g:2601737
Steinkar	id=g:2601738
Geißrinksee	id=g:2601739
Perwurzleiten	id=g:2601740
Perwurzbach	id=g:2601741
Wirtsgraben	id=g:2601742
Maxhütte	id=g:2601743
Dürrenkarsattel	id=g:2601744
Moaralm	id=g:2601745
