Dabarayto	id=g:6661304
Sohog	id=g:6661305
Medesgino	id=g:6661306
Adurri	id=g:6661307
Hanado	id=g:6661308
Tayrooa	id=g:6661309
Erali	id=g:6661310
Addakora	id=g:6661311
Dallotiri	id=g:6661312
Galalen	id=g:6661313
Adukukup	id=g:6661314
Halaylo	id=g:6661315
Afuma	id=g:6661316
Eduk	id=g:6661317
Saha	id=g:6661318
Ferkala	id=g:6661319
Argentu	id=g:6661320
Rizi	id=g:6661321
Azalto	id=g:6661322
Goorsa	id=g:6661323
Risi	id=g:6661324
Gaalada Daga	id=g:6661325
Kardesoto	id=g:6661326
Ahale	id=g:6661327
Vassana	id=g:6661328
Mineere	id=g:6661329
Kondiddi	id=g:6661330
Ayet Daga	id=g:6661331
Ayet	id=g:6661332
Ayet	id=g:6661333
Makalla	id=g:6661334
Si Ole	id=g:6661335
Orto Ho	id=g:6661336
Lalien	id=g:6661337
Salati Beli Mambar	id=g:6661338
Sogile Daga	id=g:6661339
Gaddayshaf	id=g:6661340
Alayto	id=g:6661341
Wydola Le	id=g:6661342
Hammedi Gasha	id=g:6661343
Debina	id=g:6661344
Gaboyta	id=g:6661345
Ara	id=g:6661346
Sandudda	id=g:6661347
Sassadle	id=g:6661348
Kuddo	id=g:6661349
Dama Heyna	id=g:6661350
Guddu Beri Das	id=g:6661351
Dan	id=g:6661352
Badoytaf	id=g:6661353
Gerento	id=g:6661354
Meandadobbi	id=g:6661355
Takami	id=g:6661356
Falfalo	id=g:6661357
Afahsa	id=g:6661358
Leleat Mambar	id=g:6661359
Alluma	id=g:6661360
Gerento	id=g:6661361
Koransomma	id=g:6661362
Enda Baranloyta	id=g:6661465
Baranlo	id=g:6661466
Yahale	id=g:6661467
Maderka	id=g:6661469
Kumoat	id=g:6661470
Nabalago	id=g:6661471
Dimo	id=g:6661472
Sariddago	id=g:6661473
Hara Do	id=g:6661544
Selew	id=g:6661545
Ezeerto	id=g:6661546
Haba	id=g:6661547
Emba	id=g:6661548
Harale	id=g:6661549
Harale	id=g:6661550
Assarov Lae	id=g:6661551
Moganle Lae	id=g:6661552
Idatando Lae	id=g:6661553
Magayrale	id=g:6661555
Gamaro	id=g:6661556
Salamanta Lae	id=g:6661557
Debello	id=g:6661558
Kuayto	id=g:6661559
Madbale	id=g:6661560
Dubur	id=g:6661561
Kabilo	id=g:6661562
Assagade	id=g:6661563
Buya	id=g:6661568
Derrawle	id=g:6661569
Ideyta	id=g:6661570
Afum	id=g:6661571
Yambeddi	id=g:6661572
Gali Kalo	id=g:6661573
Gamaro	id=g:6661574
Agualo	id=g:6661575
Gali Kato	id=g:6661577
Elo	id=g:6661578
Arkudda	id=g:6661579
Goriora	id=g:6661580
Ambabat	id=g:6661585
Angera Ali	id=g:6661587
Afale Dersan	id=g:6661588
Manga Ota	id=g:6661589
Surrisan	id=g:6661590
Fafah Le	id=g:6661591
Amayto	id=g:6661592
Kara Allumta	id=g:6661593
Mahta	id=g:6661594
Darkot	id=g:6661596
Lubak Garo	id=g:6661598
Audili	id=g:6661599
Ambano	id=g:6661600
Arug	id=g:6661601
Aru	id=g:6661602
Serrekle	id=g:6661603
Aynayda	id=g:6661604
Gawdolit	id=g:6661605
Hasu Mahammed Gayu	id=g:6661606
Gobbay Garo	id=g:6661607
Urura	id=g:6661615
Hayokto	id=g:6661616
Goloyta	id=g:6661617
Horgarra	id=g:6661618
Addo Das	id=g:6661619
Gaddali	id=g:6661620
Amamo	id=g:6661621
Gerento Le	id=g:6661622
Gaddali	id=g:6661623
Bellesua	id=g:6661624
Okoli Dana	id=g:6661625
Dora	id=g:6661626
Selelek	id=g:6661627
Hambokat	id=g:6661628
Gaba Haben	id=g:6661629
Fafah Le	id=g:6661630
Alid	id=g:6661631
Biteyto	id=g:6661632
Balasle	id=g:6661633
Agogito	id=g:6661671
Babata	id=g:6661681
Oggola	id=g:6661682
Kurbelu	id=g:6661684
Samoti	id=g:6661685
Addoksi	id=g:6661698
Gawlya	id=g:6661699
Adolae	id=g:6661700
Garduale	id=g:6661701
Markaytoli	id=g:6661702
Mahrahla	id=g:6661800
Yukikarbe	id=g:6661803
Af As	id=g:6661995
Alchilali	id=g:6661996
Asiro	id=g:6661997
Barre	id=g:6661998
Deggela	id=g:6661999
Adeyta	id=g:6662000
Badoli	id=g:6662001
Haro	id=g:6662002
Mahabaleytaf	id=g:6662003
Darrayto	id=g:6662004
Adday	id=g:6662009
Bukura	id=g:6662010
Andahro	id=g:6662011
Gohli	id=g:6662012
Mahabale	id=g:6662013
Fahlaho	id=g:6662014
Dello	id=g:6662015
Kaanen	id=g:6662016
Derrawle Lae	id=g:6662017
Orerta	id=g:6662018
Ahud	id=g:6662019
Adokoma	id=g:6662021
Gaharo Lae	id=g:6662555
Sarde Lae	id=g:6662556
Dibera	id=g:6662557
Maharalle Lae	id=g:6662558
Hadid Lae	id=g:6662559
Badoeli	id=g:6662637
Dello	id=g:6662845
Karbed Daga	id=g:6662847
Dohmali	id=g:6662848
Abaha	id=g:6662850
Tseriba	id=g:6662879
Mossohanle	id=g:6662880
May Abendarat	id=g:6662881
Agarrat	id=g:6662882
Bado	id=g:6662883
Aygi	id=g:6662884
Mokewr	id=g:6662885
Killinto	id=g:6662886
Talay	id=g:6662887
Ventura	id=g:6662888
Amodaw	id=g:6662889
Oerroto	id=g:6662890
Yallewh	id=g:6662891
Ekab	id=g:6662892
May Andalley	id=g:6662893
Vaal	id=g:6663045
Ab Ha	id=g:6663046
Bakuro Daga	id=g:6663047
May Bado	id=g:6663048
Adeli	id=g:6663050
Mossogade	id=g:6663051
Edey	id=g:6663052
Ishani	id=g:6663053
May Dakkal	id=g:6663054
May Gabawto Ela	id=g:6663055
May Subuleyto	id=g:6663057
Bokale	id=g:6663058
Rosle	id=g:6663059
Ishani	id=g:6663061
Illagade	id=g:6663063
Uba	id=g:6663064
May Gaharo	id=g:6663076
Bukura	id=g:6663077
Alammel	id=g:6663085
May Gora	id=g:6663086
May Galihela	id=g:6663087
May Gufayto	id=g:6663113
Mihdid	id=g:6663114
May Amogeyta	id=g:6663115
Galihela	id=g:6663116
Yarre	id=g:6663118
Agumo	id=g:6663119
Ferrahtim	id=g:6663120
Tikole	id=g:6663121
Daddo Lae	id=g:6663124
Kato	id=g:6663125
May Lala	id=g:6663126
Eyddalo	id=g:6663128
Ebul	id=g:6663129
Sommalo	id=g:6663130
Abbawma	id=g:6663133
Marugta Lae	id=g:6663136
Gamadahe	id=g:6663139
Dandero	id=g:6663159
Gede	id=g:6663161
Megenna Hlenay	id=g:6663165
Naffer	id=g:6663189
Mahay	id=g:6663191
Komayle	id=g:6687547
Marderru	id=g:6698861
Fullulu	id=g:6698868
Serp	id=g:6698869
Dibokol'ta	id=g:6698870
Asgaraita	id=g:6698871
Hamo	id=g:6698872
Sanuni	id=g:6698873
Ergaale	id=g:6698874
Afnabo	id=g:6699133
Dergeti Felun	id=g:6699805
Moholdorra	id=g:6699915
Fanta	id=g:6699924
Allahado	id=g:6699925
Adelo	id=g:6699943
Samoti	id=g:6699945
Gohli	id=g:6699975
Samoti	id=g:6700181
Deddato	id=g:6700214
50 km.] [ROAD DESTINATION: Irafayle	id=g:6700215
Ganroito	id=g:6700427
Ganrayto Lae	id=g:6700438
Neybtole	id=g:6700483
Deri	id=g:6700484
Datogerza	id=g:6700486
Angalalay	id=g:6700487
Su Burehela	id=g:6701649
Hedan	id=g:6701772
Afirra	id=g:6708877
Ungali	id=g:6708888
Darrab	id=g:6710912
Malaabo	id=g:6711103
Zariga	id=g:6711173
Dangal	id=g:6711408
Ummali	id=g:6729246
El Hufeyra	id=g:6729418
Gela	id=g:6729428
Alifarna	id=g:6729431
Ugummu	id=g:6729432
Abebe	id=g:6729433
Kofeti	id=g:6729435
Jabal Bad Badabi	id=g:6729436
El Henna	id=g:6729440
Ellam	id=g:6729442
Shiron	id=g:6729444
Dorkonna	id=g:6729445
Kalat Mudassir	id=g:6729448
Jabal Nuvar	id=g:6729455
Leyba	id=g:6729458
Abulweyti	id=g:6729614
Molliti	id=g:6729697
Salal	id=g:6729713
Ayshebi	id=g:6729717
Scisci	id=g:6729805
May Teb	id=g:6729806
Tallasuba	id=g:6729807
Beliye	id=g:6729811
Tulabobona	id=g:6729812
Jebel Dubbi	id=g:6731498
Tattoy Shima	id=g:6731619
Heggi	id=g:6731621
Addedu	id=g:6731625
Rasseyta	id=g:6731633
Barkulli	id=g:6731642
Karum	id=g:6731644
Abrahimto	id=g:6731645
Merbaro	id=g:6731654
Wadiid	id=g:6731661
Heru	id=g:6731670
Assale	id=g:6731679
Kafaita	id=g:6731682
Salita Adarrabera	id=g:6731683
Lamma	id=g:6731978
Salassima	id=g:6739352
Dara Ahat	id=g:6739355
Ādī Moage	id=g:6742312
Widak Shet'	id=g:6745076
Alifarna	id=g:6745380
Mai Lala	id=g:6745387
Dankalia Region	id=g:6942292
Quandeba	id=g:7115028
Akbaro Sagir	id=g:7502757
Akbaro Kebir	id=g:7502762
Atkoma	id=g:7502765
Askoma	id=g:7502770
Fiok	id=g:7502855
Agarranto	id=g:7502889
Dikoita	id=g:7502983
Assa	id=g:7502986
Imbahawdis	id=g:7502990
Pantano del Guademellato	id=g:2509291
Arroyo de la Zurita	id=g:2509292
Zurgena	id=g:2509293
Zúñiga	id=g:2509294
Río Zumeta	id=g:2509295
Arroyo del Zumajo del Olivar	id=g:2509296
Zulema	id=g:2509297
