Seibåen	id=g:3241618
Indre Mefjordbåen	id=g:3241619
Nordre Skamtindgrunnen	id=g:3241620
Lyngøytaren	id=g:3241622
Ole Hansaskallen	id=g:3241639
Kvitgandholmen	id=g:3241640
Skjåsetgrunnen	id=g:3241641
Gandholmskallen	id=g:3241642
Livgrunnen	id=g:3241643
Dragtaren	id=g:3241644
Hermannsbåen	id=g:3241645
Storbåen	id=g:3241646
Kjeholmskolten	id=g:3241647
Litlegrunnen	id=g:3241648
Grøtøysnaget	id=g:3241649
Kvannholmskollen	id=g:3241650
Leiskjeran	id=g:3241653
Store Langskjeret	id=g:3241654
Langflua	id=g:3241655
Tørbrøringan	id=g:3241656
Haugland	id=g:3241689
Skarveskjeri	id=g:3241690
Hauglandsosen	id=g:3241691
Småholmane	id=g:3241692
Frommereidpollen	id=g:3241693
Frommereid	id=g:3241694
Kjerrgarden	id=g:3241695
Kjerrgardsåsen	id=g:3241697
Kjerrgardsosen	id=g:3241699
Laupet	id=g:3241700
Lindebotn	id=g:3241701
Ytrosen	id=g:3241703
Laksholmen	id=g:3241704
Risøyni	id=g:3241705
Terneskjeret	id=g:3241706
Ertenøyane	id=g:3241707
Hjelmen	id=g:3241708
Skogholmen	id=g:3241709
Krabbeskjeret	id=g:3241711
Langevågen	id=g:3241712
Store Langøyni	id=g:3241713
Tårnenipa	id=g:3241714
Langøysundet	id=g:3241715
Jodlevågen	id=g:3241716
Davangsvågen	id=g:3241718
Kårevik	id=g:3241721
Agnesholmane	id=g:3241722
Store Børøyni	id=g:3241724
Litle Børøyni	id=g:3241725
Kallsøyflui	id=g:3241728
Kallsøykalven	id=g:3241729
Marholmen	id=g:3241732
Litlelangøyni	id=g:3241733
Marholmgrunnen	id=g:3241736
Krabbeskjerflui	id=g:3241737
Krabbeskjerosen	id=g:3241738
Turiholmen	id=g:3241740
Gulskjeret	id=g:3241742
Søre Tretteflui	id=g:3241743
Nordre Tretteflui	id=g:3241747
Store Trettøyni	id=g:3241749
Tretteskallen	id=g:3241751
Trettosen	id=g:3241754
Krækjebærholmen	id=g:3241765
Steinsfluene	id=g:3241766
Raunholmen	id=g:3241767
Eikevågen	id=g:3241768
Eikevågholmen	id=g:3241769
Fauskangsvågen	id=g:3241771
Vågsbotnen	id=g:3241772
Skitnespollen	id=g:3241773
Lyngholmen	id=g:3241774
Lisløyni	id=g:3241775
Storøyålen	id=g:3241776
Losbuholmane	id=g:3241777
Fauskangspollen	id=g:3241778
Kalvviki	id=g:3241779
