Bendung Pamarayan Baru	id=g:6764258
Pasirkembang Wetan	id=g:6764463
Bongkok	id=g:6764464
Cidadap	id=g:6764465
Papanggo	id=g:6764466
Babakansaputra	id=g:6764467
Banjarsari	id=g:6764468
Babakansaputra	id=g:6764469
Neglasaputra	id=g:6764470
Ciluyu	id=g:6764471
Cekdam Neglasari	id=g:6764472
Sungai Leuwilame	id=g:6764473
Semi	id=g:6764474
Cisalam	id=g:6764475
Komplek Pemda	id=g:6764476
Sukajadi	id=g:6764477
Kedung	id=g:6764478
Tarikolot	id=g:6764479
Selahaur	id=g:6764480
Babakannambo	id=g:6764481
Kebonkopi	id=g:6764482
Ci Curug	id=g:6764483
Kebonkalapa	id=g:6764484
Leuwiranji	id=g:6764485
Komsen	id=g:6764486
Sukaraya	id=g:6764487
Kotabaru	id=g:6764488
Komplekpendidikan	id=g:6764489
Keboncau	id=g:6764490
Arum	id=g:6764491
Babakananyar	id=g:6764492
Kandangsapi	id=g:6764493
Babakanlurah	id=g:6764494
Bandung Wetan	id=g:6764495
Cigeulang Sabrang	id=g:6764496
Tanahara	id=g:6764497
Pasirluhur	id=g:6764498
Pasirlimus	id=g:6764499
Gunggurung	id=g:6764500
Jaun	id=g:6764501
Ciakar	id=g:6764502
Kampungbaru	id=g:6764503
Caringin	id=g:6764504
Lojor	id=g:6764505
Gerehel	id=g:6764506
Babakanpadasuka	id=g:6764507
Ci Ruruh	id=g:6764508
Ci Pining	id=g:6764509
Lebakwaru	id=g:6764510
Pasirgalih	id=g:6764511
Pabuaran	id=g:6764512
Jati	id=g:6764513
Pasirsempur	id=g:6764514
Dukuh	id=g:6764515
Cibungur Lebak	id=g:6764516
Ciputih	id=g:6764517
Cibihbul	id=g:6764518
Pasirona	id=g:6764519
Cileuweung	id=g:6764520
Curug Sebrang	id=g:6764521
Ciheulang Tengah	id=g:6764522
Ciheulang Girang	id=g:6764523
Leuwiteureup	id=g:6764524
Cikamal	id=g:6764525
Kecamatan Losari	id=g:6764552
Kecamatan Losari	id=g:6764553
Kecamatan Tanjung	id=g:6764554
Desa Kalirahayu	id=g:6764555
Desa Tawangsari	id=g:6764556
Desa Limbangan	id=g:6764557
Desa Karangdempel	id=g:6764558
Desa Kalisari	id=g:6764559
Desa Ambulu	id=g:6764560
Desa Prapag Lor	id=g:6764561
Desa Prapag Kidul	id=g:6764562
Desa Melakasari	id=g:6764563
Desa Playangan	id=g:6764564
Desa Pengabean	id=g:6764565
Desa Mulyasari	id=g:6764566
Desa Losari Lor	id=g:6764567
Desa Pabedilan Kaler	id=g:6764568
Desa Tersana	id=g:6764569
Desa Silihasih	id=g:6764570
Desa Barisan	id=g:6764571
Desa Panggangsari	id=g:6764572
Desa Losari Kidul	id=g:6764573
Desa Losari Lor	id=g:6764574
Desa Kecipir	id=g:6764575
Desa Astanalanggar	id=g:6764576
Desa Pabedilan Kidul	id=g:6764577
Desa Pabedilan Wetan	id=g:6764578
Desa Pabedilan Kulon	id=g:6764579
Desa Babakanlosari Lor	id=g:6764580
Desa Kalibuntu	id=g:6764581
Desa Dukuhwidara	id=g:6764582
Desa Pasuruan	id=g:6764583
Desa Pekauman	id=g:6764584
Desa Losari Kidul	id=g:6764585
Desa Tanjung	id=g:6764586
Desa Tengguli	id=g:6764587
Desa Randusari	id=g:6764588
Dukuhtanjung	id=g:6764589
Kali Pancarlempeng	id=g:6764590
Kali Bedelambas	id=g:6764591
Kali Pancartunggak	id=g:6764592
Kali Perot	id=g:6764593
Kali Kesem	id=g:6764594
Karangmulya	id=g:6764595
Sadek Lor	id=g:6764596
Sadek Tengah	id=g:6764597
Sadek	id=g:6764598
Karangkletak	id=g:6764599
Kali Crukcuk	id=g:6764600
Kali Belo	id=g:6764601
Kali Bulu	id=g:6764602
Sadek Kidul	id=g:6764603
Limbangsari	id=g:6764604
Tawangsari	id=g:6764605
Kali Benggol	id=g:6764606
Kemaron Lor	id=g:6764607
Kemaron Kidul	id=g:6764608
Crukcuk	id=g:6764609
Paing	id=g:6764610
Manis	id=g:6764611
Pon	id=g:6764612
Wage	id=g:6764613
Ci Beru	id=g:6764614
Kali Gabus	id=g:6764615
Kali Tersana	id=g:6764616
Kali Pajodangan	id=g:6764617
Kalisari	id=g:6764618
Kalirahayu	id=g:6764619
Karangsentong	id=g:6764620
Karangdempel	id=g:6764621
Krawakan	id=g:6764622
Prapag Lor	id=g:6764623
Karangbaru	id=g:6764624
Karangmalang	id=g:6764625
Gombol	id=g:6764626
Bantariak	id=g:6764627
Lumpur	id=g:6764628
Limbangan	id=g:6764629
Dangdeur	id=g:6764630
Melakasari	id=g:6764631
Kali Gandu	id=g:6764632
Tuksari	id=g:6764633
Panggang	id=g:6764634
Panggangsari	id=g:6764635
Mulyasari	id=g:6764636
Pengabean	id=g:6764637
Kramat	id=g:6764638
Sidamulya	id=g:6764639
Losari Lor	id=g:6764640
Losari Kidul	id=g:6764641
Kali Prandi	id=g:6764642
Kali Pades	id=g:6764643
Kali Gulingtumpeng	id=g:6764644
Pengaradan	id=g:6764645
Kramatsari	id=g:6764646
Blangko	id=g:6764647
Manis	id=g:6764648
Pabedilan Kaler	id=g:6764649
Karanganyar	id=g:6764650
Tersana	id=g:6764651
Lombang	id=g:6764652
Silihasih	id=g:6764653
Sukamampir	id=g:6764654
Batisari	id=g:6764655
Pabedilan Kidul	id=g:6764656
Kasungka	id=g:6764657
Kali Ribut	id=g:6764658
Kali Watgalih	id=g:6764659
Mengger	id=g:6764660
Astanalanggar	id=g:6764661
Barisan	id=g:6764662
Pon	id=g:6764663
Lor	id=g:6764664
Kidul	id=g:6764665
Dukuh	id=g:6764666
Pekauman	id=g:6764667
Kali Bancang	id=g:6764668
Kecipir	id=g:6764669
Bancang	id=g:6764670
Kali Gede	id=g:6764671
Randusari	id=g:6764672
Pasuruan Satu	id=g:6764673
Pasuruan Dua	id=g:6764674
Pon	id=g:6764675
Paing	id=g:6764676
Manis	id=g:6764677
Dukuhwidara	id=g:6764678
Kebonagung	id=g:6764679
Wage	id=g:6764680
Paing	id=g:6764681
Kalimukti	id=g:6764682
Kliwon	id=g:6764683
Wage	id=g:6764684
Kedungneng	id=g:6764685
Kali Sapi	id=g:6764686
Kali Kacar	id=g:6764687
Kalikacar	id=g:6764688
Dukuhgrobag	id=g:6764689
