Dhamāli	id=g:7101043
Pandora	id=g:7101044
Siākh	id=g:7101046
Pehl	id=g:7101048
Chak Pathānān	id=g:7101049
Bheth	id=g:7101053
Chhatroh	id=g:7101055
Ankar	id=g:7101056
Hil	id=g:7101057
Chak Ganchor	id=g:7101058
Bal	id=g:7101059
Kandor	id=g:7101060
Phagalian	id=g:7101061
Andarwali	id=g:7101062
Kili Sattāra	id=g:7101122
Ῑdgāh	id=g:7101123
Badail Kili	id=g:7101124
Bor Kili	id=g:7101125
Toba	id=g:7101126
Smāfani Colony	id=g:7101127
Āb-i- Gum Kili	id=g:7101128
Sardar Kili Railway Station	id=g:7101129
Bor	id=g:7101130
Hanapur Railway Station	id=g:7101131
Muftiān	id=g:7101132
Aima Ladian	id=g:7101133
Aima Afghānān	id=g:7101134
Mota	id=g:7101135
Shekh Labi Dariya	id=g:7101136
Pindi Khaira	id=g:7101137
Paswāl	id=g:7101138
Gatāliān Ferry	id=g:7101139
Mutiāl	id=g:7101140
Bhundna Gakkharān	id=g:7101141
Pindori	id=g:7101142
Kotla Dattān	id=g:7101143
Kothu	id=g:7101144
Chak Baliyān	id=g:7101145
Pind Rajwāl	id=g:7101146
Jasrota	id=g:7101147
Kāluwāl Railway Station	id=g:7101148
Kala Ordnance Depot	id=g:7101149
Chak Jamāl	id=g:7101150
Mote	id=g:7101171
Rāni Wāh	id=g:7101172
Chhan	id=g:7101173
Dhok Jahairpur	id=g:7101174
Panju Teli	id=g:7101175
Chhaharyān	id=g:7101176
Khokhar	id=g:7101177
Chak Dādu	id=g:7101178
Ziārat Mukhiān	id=g:7101179
Bahrām	id=g:7101180
Ziārat Pir Shahāb Sāhib	id=g:7101181
Thikriān	id=g:7101182
Dhok Rāja Sultānpur	id=g:7101183
Dina Railway Station	id=g:7101184
Chak Walala	id=g:7101185
Dhok Sahiān	id=g:7101186
Dhok Tamma	id=g:7101187
Munāra	id=g:7101188
Shaikhupur	id=g:7101189
Kalri	id=g:7101190
Dāk Ratiālwāla	id=g:7101211
Dhok Bajaran	id=g:7101212
Chak Mahesiān	id=g:7101213
Chakwāla Kas	id=g:7101214
Padhrāla	id=g:7101215
Kandiāri	id=g:7101216
Gand Paith	id=g:7101217
Ghungriala	id=g:7101218
Maira	id=g:7101219
Chhamrāla	id=g:7101220
Chak Miana	id=g:7101221
Dhok Hail	id=g:7101222
Bān Ismāil Reserved Forest	id=g:7101223
Jindi Reserved Forest	id=g:7101224
Dhok Khumaran	id=g:7101225
Langar Pari	id=g:7101226
Darat	id=g:7101227
Potha	id=g:7101271
Mohra Makhyan	id=g:7101272
Thil	id=g:7101273
Kalā	id=g:7101274
Lehri Reserved Forest	id=g:7101275
Rahun	id=g:7101276
Rahun wāli Kassi	id=g:7101277
Khānpur Malot	id=g:7101278
Nalla Jung	id=g:7101279
Ser	id=g:7101280
Borh	id=g:7101281
Churakhi	id=g:7101282
Miāna Potha	id=g:7101283
Fatehpur	id=g:7101284
Surakhi	id=g:7101285
Bunni Surakhi	id=g:7101286
Kund	id=g:7101287
Hāri Ghel	id=g:7101413
Notla	id=g:7101414
Plora	id=g:7101415
Blaitar	id=g:7101416
Hayāl	id=g:7101417
Chhajja	id=g:7101418
Budhyār Kalān	id=g:7101419
Kanas	id=g:7101420
Gadari Khurd	id=g:7101421
Gadari Kalān	id=g:7101422
Dheriān	id=g:7101423
Panchaur	id=g:7101424
Dhok Sanairi	id=g:7101425
Jhando Maira	id=g:7101426
Gurha	id=g:7101427
Dhok Nando	id=g:7101428
Ara	id=g:7101429
Dheri	id=g:7101430
Chak Nalla	id=g:7101431
Dheriān	id=g:7101432
Randa	id=g:7101433
Sāgar Reserved Forest	id=g:7101434
Dhok Rāja	id=g:7101435
Pari Bari	id=g:7101436
Phallai ki Mohri	id=g:7101437
Samot	id=g:7101438
Potha	id=g:7101439
Rāwatla	id=g:7101440
Kunbli	id=g:7101441
Sanatha	id=g:7101442
Pail	id=g:7101443
Mutiāl	id=g:7101444
Bathar	id=g:7101445
Bheli	id=g:7101446
Phetti	id=g:7101447
Gura	id=g:7101448
Chana	id=g:7101449
Arno	id=g:7101450
Rāmkot Fort	id=g:7101451
Chohan	id=g:7101452
Hil	id=g:7101453
Gareri	id=g:7101454
Gader	id=g:7101455
Kathyān	id=g:7101456
Maula	id=g:7101457
Chechiān	id=g:7101458
Mohra Khānum	id=g:7101459
Jabar	id=g:7101460
Phumbel	id=g:7101461
Bhurka	id=g:7101462
Khānpur	id=g:7101463
Bagothi	id=g:7101464
Khatrel	id=g:7101465
Budhyal	id=g:7101466
Kalyal	id=g:7101467
Seb	id=g:7101468
Rathiān	id=g:7101469
Sanwāla	id=g:7101470
Nawa Mahal	id=g:7101471
Nasrula Dheri	id=g:7101472
Meri	id=g:7101473
Abdullāhpur	id=g:7101474
Jangwān	id=g:7101475
Mohra Gulpera	id=g:7101476
Jamal	id=g:7101477
Seri Jāgir	id=g:7101478
Allāh Dād Khān	id=g:7101479
Monda	id=g:7101480
Ther Chak	id=g:7101481
Babyām	id=g:7101482
Pel Karim Bakhsh	id=g:7101483
Kharota	id=g:7101484
Barban	id=g:7101485
Khumal	id=g:7101486
Chamba	id=g:7101487
Jada	id=g:7101488
Amber	id=g:7101489
Khāni	id=g:7101490
Mehta	id=g:7101491
Khumal	id=g:7101492
Plot	id=g:7101493
Bala Gala	id=g:7101554
Chhani	id=g:7101555
Makhla	id=g:7101556
Kunwala Mohra	id=g:7101557
Sarat ki Mohra	id=g:7101558
Kekeryān ki Mohra	id=g:7101559
Sankiya	id=g:7101560
Chechiyān ki Mohra	id=g:7101561
Bang	id=g:7101562
Changhar	id=g:7101563
Lehri	id=g:7101564
Palai Khāga	id=g:7101565
Beli Badnār	id=g:7101566
Bang Railway Station	id=g:7101567
Bhebbar	id=g:7101568
Dar	id=g:7101569
Bādshāhpur	id=g:7101570
Dhok Awān	id=g:7101571
Mangla Dam Colony	id=g:7101572
Dhok Halyan	id=g:7101573
Dhok Dar	id=g:7101574
Jhelawāla Kas	id=g:7101575
Bara-wala Khu	id=g:7101576
Mohanpur Dhok	id=g:7101577
Bega Balama	id=g:7101578
Upper Jhelum Canal	id=g:7101579
Jabar Nala	id=g:7101580
Belār	id=g:7101624
Kalair Koh	id=g:7101628
Karīm Bakhsh	id=g:7101633
Pahārpur Canal	id=g:7101693
Dhok Biddar	id=g:7101733
Usmān	id=g:7101734
Hussain	id=g:7101735
Abdul Karīm	id=g:7101736
Ismaīl	id=g:7101737
Hussain	id=g:7101738
Khuda Bakhsh	id=g:7101739
Easib	id=g:7101740
Pīrdād	id=g:7101741
Essa	id=g:7101742
Sulemān	id=g:7101743
Muhammad Umar	id=g:7101744
Shambay Ali	id=g:7101745
Shafi Muhammad	id=g:7101746
Hader	id=g:7101747
Galochi	id=g:7101748
Joher Khān	id=g:7101749
Dhok Kashmīriān	id=g:7101750
Dando	id=g:7101751
Pīr Ganchu	id=g:7101752
Jorai Shahok	id=g:7101753
Dhok Miān Fatu	id=g:7101758
Dhok Nalla	id=g:7101759
Hayāt Sar	id=g:7101760
Missa Keswāl	id=g:7101761
Ismaīl	id=g:7102130
Addawagai Nāla	id=g:7102295
Saez	id=g:7102302
Nok Chāh Kaur	id=g:7102303
Gazikka Kaur	id=g:7102304
Gazikka Kaur	id=g:7102305
Dāūt Kaur	id=g:7102306
Lagu Kaur	id=g:7102307
Dīnār Chāh Kaur	id=g:7102308
Dehgwar	id=g:7102309
Dram Shāqi Kaur	id=g:7102310
Daud Bāzār	id=g:7102351
Sakhi Dād Bāzār	id=g:7102352
Nogru Bāzār	id=g:7102353
Ziārāt Gharib Shāh	id=g:7102354
Granb Bāzār	id=g:7102355
Murād Muhammad	id=g:7102356
Eīdu	id=g:7102357
Mujammad Ghulām Nabi	id=g:7102358
Hakim Dād	id=g:7102359
Ir	id=g:7102360
Isplezai	id=g:7102861
Goth Gulām Muhammad	id=g:7102862
Māndal Kaur	id=g:7102863
Sinjrāni	id=g:7102864
Goth Hāji Ibrāhīm	id=g:7102865
Zangi Kaur	id=g:7102866
Hala Kārān	id=g:7102905
Gāndoi	id=g:7103046
Kand Kargosh	id=g:7103047
Nok Chāh	id=g:7103048
Jane Khad Reg	id=g:7103049
Tuzgi Khad	id=g:7103050
Maza Thal Khad	id=g:7103051
Mazan Thal	id=g:7103052
Toshgi Reg	id=g:7103053
Anjāl Reg	id=g:7103054
Mazan Thal Reg	id=g:7103055
Māri Reg	id=g:7103056
Darwāzgo Khad	id=g:7103057
Darwāzgo Reg	id=g:7103058
Māri Khad	id=g:7103059
Āsa Khad	id=g:7103060
Khad-i-Anjāl	id=g:7103061
Pīro Reg	id=g:7103062
Gowanden Bug	id=g:7103063
Fero Reg	id=g:7103064
Phāro Reg	id=g:7103065
Lūti	id=g:7103066
Pūpi Reg	id=g:7103067
Lūtak	id=g:7103068
Faqīrābād	id=g:7103069
Jozh	id=g:7103070
Gulzār Reg	id=g:7103071
Salar Kun Reg	id=g:7103072
Jozh Nazar Muhammad	id=g:7103073
Sergi Reg	id=g:7103074
Pūpi	id=g:7103075
Klāwak	id=g:7103076
Gazal Reg	id=g:7103077
Dībi Kaur	id=g:7103078
Diāni	id=g:7103079
Kahūrāk Kaur	id=g:7103080
Lārākand	id=g:7103081
Rāhkand	id=g:7103082
Rāhtil Reg	id=g:7103083
Kandālo Reg	id=g:7103084
Mūshkol Reg	id=g:7103085
Chāok	id=g:7103086
Patkān	id=g:7103087
Nīlān	id=g:7103088
Kitāri	id=g:7103089
Rekī	id=g:7103090
Kārrak	id=g:7103091
Mehrāb Lop	id=g:7103092
Reg-i-Mehrāb	id=g:7103093
Siāh Dīk	id=g:7103094
Reki	id=g:7103095
Āb Dār	id=g:7103096
Barshonki Kaur	id=g:7103097
Sal Dīk	id=g:7103098
Gizjekul Reg	id=g:7103099
Phogi Kaur	id=g:7103100
Reko Kaur	id=g:7103101
Barshonki	id=g:7103102
Rejshāna Kaur	id=g:7103103
Panj Kandāne Kaur	id=g:7103104
Sham Koh	id=g:7103105
Gird Kaur	id=g:7103106
Shikāri-Baint Kaur	id=g:7103107
Kamag Kaur	id=g:7103108
Jur Kaur	id=g:7103109
Kili Hāji Manna Khān	id=g:7103110
Jatak	id=g:7103111
Chanāl	id=g:7103112
Phāro Khad	id=g:7103113
Kārtūsi Reg	id=g:7103114
Khamār Khad	id=g:7103115
Khamār Reg	id=g:7103116
Mushak Reg	id=g:7103117
Nīla Reg	id=g:7103118
Mālanu Khad	id=g:7103119
Buzi Khad	id=g:7103120
Āb Khad	id=g:7103121
Gag	id=g:7103122
Ābdāri	id=g:7103123
Sian Reg	id=g:7103124
Khanke Jari	id=g:7103125
Darwāzgo Reg	id=g:7103126
Mushak Khad	id=g:7103127
Kakku Reg	id=g:7103128
Kota Kha Reg	id=g:7103129
Budu Khad	id=g:7103130
Sochani Reg	id=g:7103131
Mulla Koshān Reg	id=g:7103132
Khāndi Jari	id=g:7103133
Budu Reg	id=g:7103134
Nulāb Zandi	id=g:7103135
Mīr Ahmad Kaur	id=g:7103136
Nulab	id=g:7103137
Kakku Ab	id=g:7103138
Nulāb Reg	id=g:7103139
Sher Kumb	id=g:7103140
Badin Lop	id=g:7103141
Budhu Reg	id=g:7103142
Kharram Reg	id=g:7103143
Tehlāb Dal	id=g:7103144
Lodi Chil	id=g:7103145
Lāghrin Kahūr	id=g:7103146
Murgho Dal	id=g:7103147
Murgho Kalāt	id=g:7103148
Tarikī Gārīn Chāh	id=g:7103149
Murgho	id=g:7103150
Murgho Dal	id=g:7103151
Bijārzai	id=g:7103152
Īsharki Kaur	id=g:7103153
Reki	id=g:7103154
Shahīd Kahūr	id=g:7103155
Sābiq Dai Kaur	id=g:7103156
Karam Shāh Kaur	id=g:7103157
Kohna Kaur	id=g:7103158
Īsharki Dal	id=g:7103159
Gārīn Chāh	id=g:7103160
Tanki Māh Kān	id=g:7103161
Reki	id=g:7103162
Būtam Koh	id=g:7103163
Washāb Koh	id=g:7103164
Māhkān Kaur	id=g:7103165
Garonki Kaur	id=g:7103166
Kāwari Kaur	id=g:7103167
Bāran Thal Kaur	id=g:7103168
Būtam Koh	id=g:7103169
Molede Shām Kaur	id=g:7103170
Karki Koh	id=g:7103171
Bāran Thal	id=g:7103172
Ziārat Bibi Lori	id=g:7103173
Molede Shām Kaur	id=g:7103174
Azgul Kālāi Kaur	id=g:7103175
Gizijekul Kaur	id=g:7103176
Sharero Kaur	id=g:7103177
Zardīn Gar Kaur	id=g:7103178
Darbandi Kaur	id=g:7103179
Karki Kaur	id=g:7103180
Mandki Kohon Kaur	id=g:7103181
