Okmulgee State Park	id=g:4544399
Okmulgee Waterworks	id=g:4544400
Okn/Name087054 Dam	id=g:4544401
Oknaname 015018 Reservoir	id=g:4544402
Oknoname 003001 Dam	id=g:4544403
Oknoname 003001 Reservoir	id=g:4544404
Oknoname 005001 Dam	id=g:4544405
Oknoname 005001 Reservoir	id=g:4544406
Oknoname 01101 Dam	id=g:4544407
Oknoname 01101 Reservoir	id=g:4544408
Oknoname 013001 Dam	id=g:4544409
Oknoname 013001 Reservoir	id=g:4544410
Oknoname 013002 Dam	id=g:4544411
Oknoname 013002 Reservoir	id=g:4544412
Oknoname 013003 Dam	id=g:4544413
Oknoname 013003 Reservoir	id=g:4544414
Oknoname 013004 Dam	id=g:4544415
Oknoname 013005 Dam	id=g:4544416
Oknoname 013005 Reservoir	id=g:4544417
Oknoname 013006 Dam	id=g:4544418
Oknoname 013006 Reservoir	id=g:4544419
Oknoname 013007 Dam	id=g:4544420
Oknoname 013007 Reservoir	id=g:4544421
Oknoname 013008 Dam	id=g:4544422
Oknoname 013008 Reservoir	id=g:4544423
Oknoname 013009 Dam	id=g:4544424
Oknoname 013009 Reservoir	id=g:4544425
Oknoname 013010 Dam	id=g:4544426
Oknoname 013010 Reservoir	id=g:4544427
Oknoname 013011 Dam	id=g:4544428
Oknoname 013011 Reservoir	id=g:4544429
Oknoname 013012 Dam	id=g:4544430
Oknoname 013012 Reservoir	id=g:4544431
Oknoname 013013 Dam	id=g:4544432
Oknoname 013013 Reservoir	id=g:4544433
Oknoname 013014 Dam	id=g:4544434
Oknoname 013014 Reservoir	id=g:4544435
Oknoname 013015 Dam	id=g:4544436
Oknoname 013015 Reservoir	id=g:4544437
Oknoname 013016 Dam	id=g:4544438
Oknoname 013016 Reservoir	id=g:4544439
Oknoname 013017 Dam	id=g:4544440
Oknoname 013017 Reservoir	id=g:4544441
Oknoname 013018 Dam	id=g:4544442
Oknoname 013018 Reservoir	id=g:4544443
Oknoname 013019 Dam	id=g:4544444
Oknoname 013019 Reservoir	id=g:4544445
Oknoname 013020 Dam	id=g:4544446
Oknoname 013020 Reservoir	id=g:4544447
Oknoname 013021 Dam	id=g:4544448
Oknoname 013021 Reservoir	id=g:4544449
Oknoname 013022 Dam	id=g:4544450
Oknoname 013022 Reservoir	id=g:4544451
Oknoname 015002 Dam	id=g:4544452
Oknoname 015002 Reservoir	id=g:4544453
Oknoname 015003 Dam	id=g:4544454
Oknoname 015003 Reservoir	id=g:4544455
Oknoname 015004 Dam	id=g:4544456
Oknoname 015004 Dam	id=g:4544457
Oknoname 015004 Reservoir	id=g:4544458
Oknoname 015004 Reservoir	id=g:4544459
Oknoname 015006 Dam	id=g:4544460
Oknoname 015006 Reservoir	id=g:4544461
Oknoname 015008 Dam	id=g:4544462
Oknoname 015008 Reservoir	id=g:4544463
Oknoname 015009 Reservoir	id=g:4544464
Oknoname 015010 Dam	id=g:4544465
Oknoname 015010 Reservoir	id=g:4544466
Oknoname 015011 Dam	id=g:4544467
Oknoname 015011 Reservoir	id=g:4544468
Oknoname 015012 Dam	id=g:4544469
