Turitea Stream	id=g:6234127
Whakariawaka Stream	id=g:6234128
Puawhero Stream	id=g:6234129
Ongaruhe Stream	id=g:6234130
Owaikura Stream	id=g:6234131
Mangapuha Stream	id=g:6234132
Mangamahoe Stream	id=g:6234133
Waitomo Stream	id=g:6234134
Waipa River	id=g:6234135
Orahiri Stream	id=g:6234136
Okuri Stream	id=g:6234137
Paeroa Stream	id=g:6234138
Mangaoronga Stream	id=g:6234139
Mangamiro Stream	id=g:6234140
Mohoanui Stream	id=g:6234141
Waihuka Stream	id=g:6234142
Owhatupuku Stream	id=g:6234143
Mangahuka Stream	id=g:6234144
Parapara Stream	id=g:6234145
Mangakaeo Stream	id=g:6234146
Waikeria Stream	id=g:6234147
Ngahape Stream	id=g:6234148
Paponga Stream	id=g:6234149
Whakapatawaha Stream	id=g:6234150
Mangawhara Stream	id=g:6234151
Mangatutu Stream	id=g:6234152
Waiwhakarewa Stream	id=g:6234153
Mangatukituki Stream	id=g:6234154
Otaku Stream	id=g:6234155
Te Koreiti Stream	id=g:6234156
Horoeka Stream	id=g:6234157
Panetapu Pa	id=g:6234158
Puniu River	id=g:6234159
Mangatutu Stream	id=g:6234160
Mangaorongo Stream	id=g:6234161
Maihiihi Stream	id=g:6234162
Waipa River	id=g:6234163
Tauraroa Stream	id=g:6234164
Mangaorongo Stream	id=g:6234165
Otahinga Stream	id=g:6234166
Mangapohue Stream	id=g:6234167
Haehaeroa Stream	id=g:6234168
Ngakuraho Stream	id=g:6234169
Mangawhero Stream	id=g:6234170
Mangamutu Stream	id=g:6234171
Te Kura Stream	id=g:6234172
Murihakina Stream	id=g:6234173
Mangapu River	id=g:6234174
Mangaokewa Stream	id=g:6234175
Mangaorino River	id=g:6234176
Mangapu River	id=g:6234177
Waingaro Stream	id=g:6234178
Waihohonu Stream	id=g:6234179
Mangawhitikau Stream	id=g:6234180
Mangatea Stream	id=g:6234181
Waikarakia Stream	id=g:6234182
Tutaetokatoka Stream	id=g:6234183
Ngapeke Stream	id=g:6234184
Pururu Stream	id=g:6234185
Finnis Stream	id=g:6234186
Mangarapa Stream	id=g:6234187
Mangarama Stream	id=g:6234188
Hinakirangi Stream	id=g:6234189
Mangaokewa Stream	id=g:6234190
Lake Rotokotuku	id=g:6234191
Mangauwhauwhi Stream	id=g:6234192
Mangawhaka Stream	id=g:6234193
Dip Stream	id=g:6234194
Otanetapoto Stream	id=g:6234195
