Little Elk River	id=g:5260310
Little Elk Creek Cemetery	id=g:5260311
Little Elkhart Lake School (historical)	id=g:5260312
Little Emil Spring	id=g:5260313
Little Falls	id=g:5260314
Little Falls	id=g:5260315
Little Falls	id=g:5260316
Little Falls Dam	id=g:5260317
Little Falls Lake	id=g:5260318
Little Falls Lake 171	id=g:5260319
Town of Little Falls	id=g:5260320
Little Fork Lake	id=g:5260321
Little Friess Lake	id=g:5260322
Little Frog Creek	id=g:5260323
Little Elk School (historical)	id=g:5260324
Little George Creek	id=g:5260325
Little Frog Lake	id=g:5260326
Little Gibson Lake	id=g:5260327
Little Gillett Lake	id=g:5260328
Little Goose Island	id=g:5260329
Little Granite Lake	id=g:5260330
Little Grant Cemetery	id=g:5260331
Little Grant Mine	id=g:5260332
Little Grant River	id=g:5260333
Little Gibbs Lake	id=g:5260334
Little Grassy Lake	id=g:5260335
Little Grassy Lake 0.21	id=g:5260336
Little Grassy Lake 3NW80814 Dam	id=g:5260337
Little Green Lake	id=g:5260338
Little Green River	id=g:5260339
Town of Little Grant	id=g:5260340
Little Gypsy Lake	id=g:5260341
Little Harbor	id=g:5260342
Little Harbor Point	id=g:5260343
Little Harvey Creek	id=g:5260344
Little Grove School	id=g:5260345
Little Hay Creek	id=g:5260346
Little Hay Meadow Creek	id=g:5260347
Little Hemlock Creek	id=g:5260348
Little Hidden Lake	id=g:5260349
Little Hope	id=g:5260350
Little Horn Lake	id=g:5260351
Little Horsehead Lake	id=g:5260352
Little Horseshoe Bayou	id=g:5260353
Little Horseshoe Lake	id=g:5260354
Little Horseshoe Lake	id=g:5260355
Little Horseshoe Lake	id=g:5260356
Little Hurst Lake	id=g:5260357
Little Irish Ridge	id=g:5260358
Little Island	id=g:5260359
Little Island	id=g:5260360
Little Island Lake	id=g:5260361
Little Island Lake	id=g:5260362
Little Joe Rapids	id=g:5260363
Little John Junior Lake	id=g:5260364
Little John Lake	id=g:5260365
Little Jump River	id=g:5260366
Little Holmes Lake	id=g:5260367
Little Kaukauna Lock and Dam	id=g:5260368
Little Kekegama Lake	id=g:5260369
Little Kickapoo Creek	id=g:5260370
Little Kaukauna Dam	id=g:5260371
Little LaCrosse River	id=g:5260372
Little Lac Courte Oreilles	id=g:5260373
Little Lake	id=g:5260374
Little Lake	id=g:5260375
Little Lake	id=g:5260376
Little Lake	id=g:5260377
Little Lake	id=g:5260378
Little Lake	id=g:5260379
Little Lake Butte Des Morts	id=g:5260380
Little Lake Butte Des Morts 6179	id=g:5260381
Little Lambs Creek	id=g:5260382
Little Lake	id=g:5260383
Little Lemonweir River	id=g:5260384
Little Largon Lake	id=g:5260385
Little Long Lake	id=g:5260386
Little Long Lake	id=g:5260387
Little Lunch Creek	id=g:5260388
Little Log Cabin	id=g:5260389
Little Mackay Creek	id=g:5260390
Little Maiden Lake	id=g:5260391
Little Mamie Lake	id=g:5260392
Little Manitou Falls	id=g:5260393
Little Manitowoc River	id=g:5260394
Little Mallard Lake	id=g:5260395
Little Marshall Lake	id=g:5260396
Little Martha Lake	id=g:5260397
Little McCall Lake	id=g:5260398
Little McGraw Lake	id=g:5260399
Little Marsh	id=g:5260401
Little Menomonee Creek	id=g:5260402
Little Menomonee River	id=g:5260403
Little Mirror Lake	id=g:5260404
Little Missouri Creek	id=g:5260405
Little Mission Chapel	id=g:5260406
Little Mondeaux Creek	id=g:5260407
Little Moccasin Lake	id=g:5260408
Little Moose Lake	id=g:5260409
Little Moose River	id=g:5260410
Little Moon Lake	id=g:5260411
Little Mountain School (historical)	id=g:5260412
Little Mud Lake	id=g:5260413
Little Mud Lake	id=g:5260414
Little Mud Lake	id=g:5260415
Little Muskego Dam	id=g:5260416
