São Miguel Arcanjo	id=g:6322582
São Pedro do Turvo	id=g:6322583
São Roque	id=g:6322584
São Sebastião	id=g:6322585
São Sebastião da Grama	id=g:6322586
São Simão	id=g:6322587
Sarapuí	id=g:6322588
Sarutaiá	id=g:6322589
Sebastianópolis do Sul	id=g:6322590
Serra Azul	id=g:6322591
Serrana	id=g:6322592
Serra Negra	id=g:6322593
Sete Barras	id=g:6322594
Severínia	id=g:6322595
Silveiras	id=g:6322596
Socorro	id=g:6322597
Sorocaba	id=g:6322598
Sud Mennucci	id=g:6322599
Sumaré	id=g:6322600
Suzano	id=g:6322601
Suzanápolis	id=g:6322602
Tabapuã	id=g:6322603
Tabatinga	id=g:6322604
Taboão da Serra	id=g:6322605
Taciba	id=g:6322606
Taguaí	id=g:6322607
Taiaçu	id=g:6322608
Taiúva	id=g:6322609
Tambaú	id=g:6322610
Tanabi	id=g:6322611
Tapiraí	id=g:6322612
Tapiratiba	id=g:6322613
Taquaral	id=g:6322614
Taquaritinga	id=g:6322615
Taquarituba	id=g:6322616
Taquarivaí	id=g:6322617
Tarabai	id=g:6322618
Tarumã	id=g:6322619
Tatuí	id=g:6322620
Taubaté	id=g:6322621
Teodoro Sampaio	id=g:6322622
Terra Roxa	id=g:6322623
Tietê	id=g:6322624
Timburi	id=g:6322625
Torre de Pedra	id=g:6322626
Torrinha	id=g:6322627
Trabiju	id=g:6322628
Tremembé	id=g:6322629
Três Fronteiras	id=g:6322630
Tuiuti	id=g:6322631
Tupã	id=g:6322632
Tupi Paulista	id=g:6322633
Turiúba	id=g:6322634
Turmalina	id=g:6322635
Ubarana	id=g:6322636
Ubatuba	id=g:6322637
Ubirajara	id=g:6322638
Uchoa	id=g:6322639
União Paulista	id=g:6322640
Urânia	id=g:6322641
Uru	id=g:6322642
Urupês	id=g:6322643
Valentim Gentil	id=g:6322644
Valinhos	id=g:6322645
Valparaíso	id=g:6322646
Vargem	id=g:6322647
Vargem Grande do Sul	id=g:6322648
Vargem Grande Paulista	id=g:6322649
Várzea Paulista	id=g:6322650
Vinhedo	id=g:6322651
Viradouro	id=g:6322652
Vista Alegre do Alto	id=g:6322653
Vitória Brasil	id=g:6322654
Votorantim	id=g:6322655
Zacarias	id=g:6322656
Chavantes	id=g:6322657
Estiva Gerbi	id=g:6322658
Abatiá	id=g:6322659
Adrianópolis	id=g:6322660
Agudos do Sul	id=g:6322661
Almirante Tamandaré	id=g:6322662
Altamira do Paraná	id=g:6322663
Altônia	id=g:6322664
Alto Paraná	id=g:6322665
Alto Piquiri	id=g:6322666
Alvorada do Sul	id=g:6322667
Amaporã	id=g:6322668
Ampére	id=g:6322669
Anahy	id=g:6322670
Andirá	id=g:6322671
Ângulo	id=g:6322672
Antonina	id=g:6322673
Antônio Olinto	id=g:6322674
Apucarana	id=g:6322675
Arapongas	id=g:6322676
Arapoti	id=g:6322677
Arapuã	id=g:6322678
Araruna	id=g:6322679
Araucária	id=g:6322680
Ariranha do Ivaí	id=g:6322681
Assaí	id=g:6322682
Assis Chateaubriand	id=g:6322683
Astorga	id=g:6322684
Atalaia	id=g:6322685
Balsa Nova	id=g:6322686
Bandeirantes	id=g:6322687
Barbosa Ferraz	id=g:6322688
Barracão	id=g:6322689
Barra do Jacaré	id=g:6322690
