Hôtel Reine Amélie	id=g:6493287
Appart'vacances Lacanau	id=g:6493293
Hôtel le Plein Sud	id=g:6493295
Hôtel Agora	id=g:6493318
Résidence Grand Cap	id=g:6493341
Hôtel du Bourg	id=g:6493345
Hôtel du Centenaire	id=g:6493355
Le Ski Dor	id=g:6493362
Le Floreal	id=g:6493363
Hôtel Neige et Roc	id=g:6493365
Hôtel du Nord	id=g:6493369
1 Med Hotel	id=g:6493372
Résidence Château Ricard	id=g:6493379
Résidence Le Royal	id=g:6493382
Hotel Athena	id=g:6493387
Hôtel Club Le Domaine de Somail	id=g:6493388
Chalet de l'Ours	id=g:6493391
Hôtel Esplanade	id=g:6493394
Villa Modigliani	id=g:6493411
Hotel Le Lion D'Or	id=g:6493422
VVF Village Club Lou Sarri	id=g:6493441
Grand Hotel des Thermes	id=g:6493445
Hôtel Club Les Provinces	id=g:6493464
Appart'city Nantes Château des Ducs	id=g:6493474
Hôtel Tamaris	id=g:6493491
Hôtel des Trois Vallées	id=g:6493497
Le Scribe	id=g:6493506
Kyriad Chartres	id=g:6493513
Hôtel Le Fabian des Baux	id=g:6493514
Sunset Village Resort	id=g:6493517
Best Hotel	id=g:6493526
Paesotel e Caselle	id=g:6493531
Du Moulin Hotel	id=g:6493534
Hotel Damremont	id=g:6493549
Campanile Melun Sénart - Vert Saint Denis	id=g:6493556
Domaine de l'Agréou	id=g:6493557
Suites Village Saint Simon	id=g:6493560
Appart Vacances La Roche Posay	id=g:6493580
Hôtel de la Plage	id=g:6493586
Campanile Dax St Paul Les Dax	id=g:6493588
Residence alba Rossa	id=g:6493596
Suitehotel Clermont Ferrand Polydome	id=g:6493629
Hotel Les Ancolies	id=g:6493681
Hôtel le Castellan	id=g:6493682
Le Grand Hotel	id=g:6493688
Hôtel le Marais	id=g:6493696
Hôtel Altis Val Vert	id=g:6493701
Les Rêveries du Lac	id=g:6493716
Court'inn Suites	id=g:6493717
Eiffel Villa Garibaldi	id=g:6493728
Du Nil Hotel	id=g:6493729
Résidence du Parc	id=g:6493739
Hôtel Delcloy	id=g:6493751
Residence Excellior	id=g:6493783
Village Club Les Chalets du Prariand	id=g:6493794
Hotel Carlina	id=g:6493801
Le Clos de l'Aube Rouge	id=g:6493808
Les Genevriers	id=g:6493811
Kyriad Hotel At Disneyland Resort Paris	id=g:6493824
Villa Regina	id=g:6493855
Alpha Hotel le 21ème	id=g:6493856
Résidence Les Jardins de la Mer	id=g:6493859
Chalet Val 2400	id=g:6493860
Hotel Le Fitz Roy	id=g:6493862
Val Thorens Immo Apartments	id=g:6493864
EUROGROUP - Residence les Lodges de Pierre	id=g:6493886
Hôtel Saint Georges	id=g:6493934
Jardins de la Madrague	id=g:6493951
Cannes Rivage Hotel	id=g:6494004
Résidence Lagrange Classic Les Arolles	id=g:6494011
Hotel le Pontel	id=g:6494064
Residence Mona Lisa	id=g:6494139
Chambord Hotel	id=g:6494231
Hôtel Villa Glanum	id=g:6494237
Eurogroup Les Chalets de La Fontaine	id=g:6494249
Campanile Strbg Lingolsheim	id=g:6494258
Residence Lagrange Classic Les Choucas	id=g:6494274
Mona Lisa à Néris-les-Bains	id=g:6494298
Herbier D Orange	id=g:6494300
Hotel Vintimille	id=g:6494319
Residence Lagrange Prestige L'Arollaie	id=g:6494361
Hôtel Acanthe	id=g:6494365
Residence Mona Lisa a Superdevoluy	id=g:6494394
Novotel Paris Gare Montparnasse	id=g:6494410
Hotel Le Roi Théodore	id=g:6494423
Kyriad Mas des Oliviers	id=g:6494442
Le Melzin	id=g:6494450
Escale Oceania Orleans	id=g:6494462
Hotel Excelsior	id=g:6494529
Hôtel Royal	id=g:6494536
Citotel LA VILLE EN PIERRE	id=g:6494583
Les Chalets Mona Lisa	id=g:6494609
Eurogroup Les Chalets des Alpages	id=g:6494646
Golf-Hotel Domaine de la Brie	id=g:6494658
Hotel Du Soleil Le Terminus	id=g:6494716
Hotel Pradotel	id=g:6494740
Comfort Hotel Bourg En Bresse	id=g:6494741
Nice Garden Hotel	id=g:6494765
Le Rex Hotel	id=g:6494781
De L Amphitheatre	id=g:6494827
Hôtel Le Val Thorens	id=g:6494847
Hilton Evian-les-bains	id=g:6494865
Bonsai Hotel St Brieuc	id=g:6494872
Résidence LVR Le Birdie	id=g:6494873
Bonsaï Hotel Colmar	id=g:6494877
Etap Hotel Cergy Saint Christophe	id=g:6494899
City Suites Lyon Vaise	id=g:6494904
Hotel Alexandrie	id=g:6494929
Hôtel Les Suites du Montana	id=g:6494935
Radisson SAS Hotel at Disneyland Resort Paris	id=g:6494936
Bonsaï Hotel Cherbourg	id=g:6494965
Oceania Paris	id=g:6494969
Citea Besancon	id=g:6494985
Atlantic Hotel	id=g:6495001
VVF Village Club Le Chambourget	id=g:6495024
HMC Hotel Les Grandes Rousses	id=g:6495047
Comfort Hotel Kastel Roch Bres	id=g:6495052
Hotel Premiere Classe Lille Centre	id=g:6495054
Cezanne Hotel	id=g:6495070
Hôtel Ecrin du Val Claret	id=g:6495084
Appart'City Caen	id=g:6495107
Bonsaï Hotel Orleans	id=g:6495108
Pavillon De La Rotonde	id=g:6495118
Hotel Alpen Ruitor	id=g:6495132
Hotel Akena Garges Les Gonesse	id=g:6495133
Résidence LVR L'Ecrin des Neiges	id=g:6495138
Hotel Le Pre Carre	id=g:6495176
Hotel Continental	id=g:6495180
Hôtel les Crêtes Blanches Val d'Isère	id=g:6495184
Bonsaï Hotel Saint Emilion	id=g:6495193
Kyriad Montpellier Lunel	id=g:6495210
La Guisane	id=g:6495220
Pierre & Vacances Residence la Foret	id=g:6495224
Odalys Chalet Alpina	id=g:6495235
Cap Club Hotel	id=g:6495239
Artemis Hotel	id=g:6495264
Bonsai Hotel Metz	id=g:6495310
Nemea Apart'hotel	id=g:6495331
Hotel Alta Rocca	id=g:6495346
Bonsaï Hotel Marseille	id=g:6495347
Bonsaï Hotel Vitrolles	id=g:6495356
Hotel Amelie	id=g:6495369
Hotel Mulhouse Gare de L'Est	id=g:6495372
Bonsaï Hotel Belfort	id=g:6495384
Hotel Apsis Luchon	id=g:6495387
HMC Hotel Le Pic Blanc	id=g:6495396
Hilton Cannes	id=g:6495402
Hôtel Résidence Aladin	id=g:6495423
Hotel La Pomme de Pin	id=g:6495436
VVF Village Club Neige et Ciel	id=g:6495438
Bonsaï Hotel Rennes	id=g:6495498
Eza Vista	id=g:6495507
Balladins Superior	id=g:6495518
Hotel Akena Meaux-Mareuil	id=g:6495520
Kyriad Bethune Bruay La Buissie	id=g:6495523
Résidence Lagrange Classic le Villaret	id=g:6495525
Bonsaï Hotel Vienne	id=g:6495527
Hotel Le Relais Montmartre	id=g:6495530
Residence Vacanza	id=g:6495552
Hotel Beauséjour Montmartre	id=g:6495592
Bonsaï Hotel Toulouse	id=g:6495596
Bonsaï Hotel Martigues	id=g:6495650
Hôtel Le Kern	id=g:6495652
Hotel Riboutté Lafayette	id=g:6495689
Bonsaï Escale Calais	id=g:6495702
Village residentiel de Tourisme Lagrange Classic	id=g:6495705
Relais Akena of Savigny le Temple / Melun	id=g:6495712
Bonsaï Hotel Dijon	id=g:6495738
Hilton Paris La Defense	id=g:6495742
Campanile Orange	id=g:6495744
