Kuch’ŏn-ch’odŭnghakkyo	id=g:6879891
Puhang-ch’odŭnghakkyo	id=g:6879892
Taedŏk-ch’odŭnghakkyo	id=g:6879893
Taedŏk-chunghakkyo	id=g:6879894
Mup’ung-ch’odŭnghakkyo	id=g:6879895
Mup’ung-junghakkyo	id=g:6879896
Ungyang-ch’odŭnghakkyo	id=g:6879897
Ungyang-junghakkyo	id=g:6879898
Wich’ŏn-junghakkyo	id=g:6879899
Koje-myŏn	id=g:6879900
Taedŏng-myŏn	id=g:6879901
Mup’ung-myŏn	id=g:6879902
Puhang-myŏn	id=g:6879903
Puksang-myŏn	id=g:6879904
Sŏlch’ŏn-myŏn	id=g:6879905
Chusang-myŏn	id=g:6879906
Ungyang-myŏn	id=g:6879907
Ch’ŏlgol-p’okp’o	id=g:6879908
Taehŭng-p’okp’o	id=g:6879909
Kittae-bong	id=g:6879910
Paegun-san	id=g:6879911
Kwanŭm-sa	id=g:6879912
Tŏgyusan-gungnipkongwŏn	id=g:6879913
Wasŏk	id=g:6879914
Wŏrhyŏn	id=g:6879915
Yangjip’yŏn	id=g:6879916
Hagŏjae	id=g:6879917
Chaegung	id=g:6879918
Najet’ongmun	id=g:6879919
Saet’ŏ	id=g:6879920
Hadu	id=g:6879921
Pangjae	id=g:6879922
Changdŏng-ni	id=g:6879923
Ssari-jae	id=g:6879924
Imi-ri	id=g:6879925
Inam	id=g:6879926
Suhan	id=g:6879927
Changp’yŏng	id=g:6879928
Hami	id=g:6879929
Changjat’ŏ	id=g:6879930
Tudŭlgi	id=g:6879931
Mok-kol	id=g:6879932
Kŏmundŭl	id=g:6879933
Wŏnap	id=g:6879934
Sakkap-pong	id=g:6879935
Paegak-kol	id=g:6879936
Chŏm-mal	id=g:6879937
Sandi	id=g:6879938
Ŏjŏl-li	id=g:6879939
Wŏlgong-ni	id=g:6879940
Tusal-li	id=g:6879941
Ch’ilbul-sa	id=g:6879942
Araettudae	id=g:6879943
Paettŭl	id=g:6879944
Kamok	id=g:6879945
Monggu-dong	id=g:6879946
Hak-tong	id=g:6879947
Ŏjŏn	id=g:6879948
Chosan-dong	id=g:6879949
Kalgye	id=g:6879950
Sinong-ni	id=g:6879951
Piryong-bong	id=g:6879952
Malmi	id=g:6879953
Changja-dong	id=g:6879954
Hanjŏk-tong	id=g:6879955
Tansan	id=g:6879956
Su-dong	id=g:6879957
Waya-gol	id=g:6879958
Sak-kol	id=g:6879959
Okso-dong	id=g:6879960
Hansongjŏng	id=g:6879961
Sŏbyŏk-chŏng	id=g:6879962
Susŏngdae	id=g:6879963
Majŏn	id=g:6879964
Chŭngsal-li	id=g:6879965
Manbok-sa	id=g:6879966
Mup’ungjang	id=g:6879967
Wŏndŭrae	id=g:6879968
Ch’ŏlmong-ni	id=g:6879969
Koebawi	id=g:6879970
Sok-kol	id=g:6879971
Sŏsu-gol	id=g:6879972
Silmi	id=g:6879973
Tolmaegi	id=g:6879974
Mosan	id=g:6879975
Sak-kol	id=g:6879976
Soejae	id=g:6879977
Yulp’yŏng	id=g:6879978
Tŏkp’yŏng	id=g:6879979
Kyedang	id=g:6879980
Kkamagwidimi	id=g:6879981
Ponggok-sa	id=g:6879982
Araessaejae	id=g:6879983
Wikkaetchŏl	id=g:6879984
Karye-ri	id=g:6879985
Sŏkchŏng	id=g:6879986
Tŏkpong	id=g:6879987
Karye	id=g:6879988
Kipŭn’-gol	id=g:6879989
Koemong-nyŏng	id=g:6879990
Chŭngsan-jŏsuji	id=g:6879991
Ansil	id=g:6879992
Tŏk-tong	id=g:6879993
Panggok	id=g:6879994
Kalma	id=g:6879995
Osan	id=g:6879996
Tŏksal-li	id=g:6879997
Chuch’i	id=g:6879998
Sot’ae	id=g:6879999
Yŏnhwa-ri	id=g:6880000
Tahwa	id=g:6880001
Homi	id=g:6880002
Kwant’ŏ	id=g:6880003
Taedŏk	id=g:6880004
Changgok	id=g:6880005
Araetchangt’ŏ	id=g:6880006
Karaesil	id=g:6880007
Paebang	id=g:6880008
Kwan-dong	id=g:6880009
Oebaebang	id=g:6880010
Poal-li	id=g:6880011
Tang-gol	id=g:6880012
Sangojŏng	id=g:6880013
Tokka-ch’on	id=g:6880014
Puksu-dong	id=g:6880015
Puhŭng-dong	id=g:6880016
Toma	id=g:6880017
Ttŭibatyangji	id=g:6880018
Naegam-ni	id=g:6880019
Oegam-ni	id=g:6880020
Kuksa-bong	id=g:6880021
Oegam	id=g:6880022
Naesan	id=g:6880023
Hwajŏl-li	id=g:6880024
Kwangsinwŏn	id=g:6880025
Ki-dong	id=g:6880026
Karae-jae	id=g:6880027
Solbak-kol	id=g:6880028
Paeksŏk	id=g:6880029
Wikkaraejae	id=g:6880030
Inwŏr-am	id=g:6880031
Kuch’ŏn-gyegok	id=g:6880032
Kuch’ŏn-p’okp’o	id=g:6880033
Yŏnhwa-p’okp’o	id=g:6880034
Chi-bong	id=g:6880035
Modomak-kol	id=g:6880036
Kŭmbong-am	id=g:6880037
Ponggye-ri	id=g:6880038
Anttang-gol	id=g:6880039
Wŏnbong	id=g:6880040
Kuryong-dong	id=g:6880041
Songjŏng-dong	id=g:6880042
Kudŏm-jae	id=g:6880043
Sinch’ol-li	id=g:6880044
Kaehwa	id=g:6880045
Wangam	id=g:6880046
Sin-ch’on	id=g:6880047
Aju	id=g:6880048
Changji	id=g:6880049
Osan	id=g:6880050
Sin’gi	id=g:6880051
Wŏnmunŭi	id=g:6880052
Paekhak-tong	id=g:6880053
Yesŏ-dong	id=g:6880054
Hagok	id=g:6880055
Munŭi-ri	id=g:6880056
Koltam	id=g:6880057
Kkoktubawi	id=g:6880058
Imgi	id=g:6880059
Tae-dong	id=g:6880060
Saemok	id=g:6880061
Sudo-sa	id=g:6880062
Sojŏng-ni	id=g:6880063
Witch’ingmok-chae	id=g:6880064
Araech’ingmok-chae	id=g:6880065
Turu-bong	id=g:6880066
