Bw Hotel Ritz	id=g:6531407
Comwell Holte	id=g:6531431
Hotel Tiffany	id=g:6531998
Ansgar Hotel	id=g:6532111
Hotel Kommandorgarden	id=g:6532132
Hotel Svanen	id=g:6532556
Hotel Hanstholm	id=g:6532658
Hotel Sabro Kro	id=g:6532743
Skaga Hotel	id=g:6533002
Color Hotel Skagen	id=g:6533343
Hørby Kirke	id=g:6543911
Esbjerg	id=g:6543925
Jammerbugt Kommune	id=g:6543926
Furesø Kommune	id=g:6543927
Odsherred Kommune	id=g:6543928
Nordfyns Kommune	id=g:6543929
Mariagerfjord Kommune	id=g:6543930
Faxe Kommune	id=g:6543931
Ringkøbing-Skjern Kommune	id=g:6543932
Norddjurs Kommune	id=g:6543933
Ålborg Kommune	id=g:6543934
Ærø Kommune	id=g:6543935
Faaborg-Midtfyn Kommune	id=g:6543936
Rebild Kommune	id=g:6543937
Høje-Taastrup Kommune	id=g:6543938
Vesthimmerland Kommune	id=g:6543939
Fredensborg Kommune	id=g:6543940
Halsnæs Kommune	id=g:6543941
Langeland Kommune	id=g:6543942
Rudersdal Kommune	id=g:6543943
Ikast-Brande Kommune	id=g:6543944
Gribskov Kommune	id=g:6543945
Favrskov Kommune	id=g:6543946
Syddjurs Kommune	id=g:6543947
Egedal Kommune	id=g:6543948
Guldborgsund Kommune	id=g:6543949
Lolland Kommune	id=g:6543950
Nørrebro	id=g:6615301
Vesterbro	id=g:6615302
Østerbro	id=g:6615303
Amager	id=g:6615304
Enghave	id=g:6615305
Storebælts Broen	id=g:6615531
Balka	id=g:6690132
Bork Havn	id=g:6690133
Kiel-Ostsee-Weg	id=g:6691750
Det frie Gymnasium	id=g:6692250
Rødhus Klit	id=g:6692489
Frederiksberg	id=g:6692536
Svaneke fyr	id=g:6696023
Hullehavn	id=g:6696024
Svaneke havn	id=g:6696025
Rye Kirke	id=g:6697703
House of Sct Anna	id=g:6698166
Vittrup	id=g:6698673
Nørlev Strand	id=g:6698674
AS3 Companies	id=g:6930733
AS3 Outplacement	id=g:6930738
AS3 Companies	id=g:6930739
AS3 Outplacement	id=g:6930740
Skovlunden Haveforening	id=g:6940232
Den Gamle By	id=g:6940233
Århus Sygehus Amtssygehuset	id=g:6940234
Århus Sygehus Kommunehospitalet	id=g:6940235
Aarhus Universitet	id=g:6940236
Århus Domkirke	id=g:6940238
Århus Vor Frue Kirke	id=g:6940239
Århus Rådhus	id=g:6940240
Riis Skov	id=g:6940253
Psykiatrisk Hospital	id=g:6940254
Nordre Kirkegård	id=g:6940255
Vestre Kirkegård	id=g:6940256
Åbyhøj Kirke	id=g:6940257
