Ricusky	id=g:4128390
Ridder Hollow	id=g:4128391
Ricks Cemetery	id=g:4128392
Riddle Cemetery	id=g:4128393
Riddle Creek	id=g:4128394
Riddle Cemetery	id=g:4128395
Riddle Point	id=g:4128396
Riddles Cemetery	id=g:4128397
Ridge	id=g:4128398
Ridge	id=g:4128399
Ridge Cemetery	id=g:4128400
Ridge Church (historical)	id=g:4128401
Ridge Road Junior High School	id=g:4128402
Ridge Station School (historical)	id=g:4128403
Ridgecrest	id=g:4128404
Ridgecrest Baptist Church	id=g:4128405
Ridgecrest Baptist Church	id=g:4128406
Ridgecrest Country Club	id=g:4128407
Ridgeroad Middle Charter School	id=g:4128408
Ridgeview Church	id=g:4128409
Ridgeview Lodge Nursing Home	id=g:4128410
Ridgeway	id=g:4128411
Ridgeway Church of Christ	id=g:4128412
Ridley Hollow	id=g:4128413
Riddle Point	id=g:4128414
Rieffs Chapel (historical)	id=g:4128415
Riffe Ford	id=g:4128416
Rigdon Mountain	id=g:4128417
Riggs	id=g:4128418
Right Fork Big Creek	id=g:4128419
Rieff Chapel Cemetery	id=g:4128420
Right Fork Big Creek	id=g:4128421
Right Hand Chute Little River	id=g:4128422
Right Hand Prong	id=g:4128423
Right Hand Prong	id=g:4128424
Right Hand Sugar Creek	id=g:4128425
Right Prong Bear Creek	id=g:4128426
Right Prong Mountain Creek	id=g:4128427
Right Prong Muddy Creek	id=g:4128428
Right Prong Otter Creek	id=g:4128429
Rightsell Elementary School	id=g:4128430
Rikes Chapel (historical)	id=g:4128431
Riley	id=g:4128432
Riley Bayou	id=g:4128433
Rightsell Incentive Elementary School	id=g:4128434
Riley Branch	id=g:4128435
Riley Cemetery	id=g:4128436
Riley Creek	id=g:4128437
Riley Creek	id=g:4128438
Riley Creek	id=g:4128439
Riley Creek (historical)	id=g:4128440
Riley Lake	id=g:4128441
Riley Lake Dam	id=g:4128442
Riley Library	id=g:4128443
Riley School (historical)	id=g:4128444
Township of Riley	id=g:4128445
Rindy Grove Cemetery	id=g:4128446
Rindy Grove Cemetery	id=g:4128447
Rinehart Creek	id=g:4128448
Riley Creek Cemetery	id=g:4128449
Ring School (historical)	id=g:4128450
Ringer Branch	id=g:4128451
Ring Church of Christ	id=g:4128452
Ringgold Elementary School	id=g:4128453
Rings Chapel	id=g:4128454
Rinn Cemetery	id=g:4128455
Rio Vista	id=g:4128456
Ripley (historical)	id=g:4128457
Ripley Hollow	id=g:4128458
Ringer Cemetery	id=g:4128459
Ripley Hollow	id=g:4128460
Ripper Hollow	id=g:4128461
Rising Star Church (historical)	id=g:4128462
Rising Star Public Use Area	id=g:4128463
Rising Sun Church	id=g:4128464
Rising Sun Church	id=g:4128465
Rising Sun Church	id=g:4128466
Rising Sun Church (historical)	id=g:4128467
Risley Hollow	id=g:4128468
Rison	id=g:4128469
Rison Elementary School	id=g:4128470
Rison High School	id=g:4128471
Township of Rison	id=g:4128472
Ritchey Branch	id=g:4128473
Risher	id=g:4128474
Ritchie Shoals	id=g:4128475
Ritter Creek	id=g:4128476
Ritchie	id=g:4128477
Ritz Civic Center	id=g:4128478
River Acres Airport	id=g:4128479
River Bend Oil Field	id=g:4128480
River Bluff Recreation Area	id=g:4128481
River Creek	id=g:4128482
Ritz	id=g:4128483
River Front Park	id=g:4128484
River Island	id=g:4128485
River Lake	id=g:4128486
River Mountain	id=g:4128487
River Mountain	id=g:4128488
River Mountain Park	id=g:4128489
River Ridge Manor	id=g:4128490
River Ridge Park	id=g:4128491
River Road Church	id=g:4128492
River Road Recreation Area	id=g:4128493
River Run East Public Use Area	id=g:4128494
River Run West Public Use Area	id=g:4128495
River Trail	id=g:4128496
River Valley High School	id=g:4128497
River of Life Assembly of God Church	id=g:4128498
River of Life Chapel Pentecostal Church of God	id=g:4128499
River Front	id=g:4128500
Township of River (historical)	id=g:4128501
Township of River	id=g:4128502
Township of River	id=g:4128503
Township of River	id=g:4128504
Rivercliff Estates	id=g:4128505
Rivercrest High School	id=g:4128506
Rivercrest Junior High School	id=g:4128507
Riverdale	id=g:4128508
Riverdale Business Park	id=g:4128509
Riverdale Church	id=g:4128510
Riverfront Park	id=g:4128511
Riverfront Park	id=g:4128512
Riverland Shopping Center	id=g:4128513
Riverlawn Country Club	id=g:4128514
Riverside	id=g:4128515
Riverside	id=g:4128516
Riverside	id=g:4128517
Riverside	id=g:4128518
Riverside Cemetery	id=g:4128519
Riverside Cemetery	id=g:4128520
Riverside Cemetery	id=g:4128521
Riverside Baptist Church	id=g:4128522
Riverside Church	id=g:4128523
Riverside Church (historical)	id=g:4128524
Riverside East Elementary School	id=g:4128525
Riverside High School	id=g:4128526
Riverside Junior High School	id=g:4128527
Riverside Park	id=g:4128528
Riverside Picnic Area	id=g:4128529
Riverside School	id=g:4128530
Riverside School (historical)	id=g:4128531
Riverside Speedway	id=g:4128532
Riverside West Elementary School	id=g:4128533
Rivervale	id=g:4128534
Rivervale Baptist Church	id=g:4128535
Riverview	id=g:4128536
Riverview	id=g:4128537
Riverview African Methodist Episcopal Church	id=g:4128538
Riverview Church (historical)	id=g:4128539
Riverview High School	id=g:4128540
Riverview Medical Center	id=g:4128541
Riverview Park	id=g:4128542
Riverview Recreation Area	id=g:4128543
Riverview School (historical)	id=g:4128544
Rixey	id=g:4128545
Roach Cemetery	id=g:4128546
Roach Mine	id=g:4128547
Roach Point	id=g:4128548
Road Branch Hollow	id=g:4128549
Township of River	id=g:4128550
Roads	id=g:4128551
Roadside Church	id=g:4128552
Roan Landing (historical)	id=g:4128553
Township of Roane	id=g:4128554
Roanoke Baptist Church	id=g:4128555
Township of Roanoke (historical)	id=g:4128556
Roaring Branch Natural Area	id=g:4128557
Roaring Rock	id=g:4128558
Roaring Slough	id=g:4128559
Road Ridge	id=g:4128560
Roaring Spring	id=g:4128561
Roaring Springs	id=g:4128562
Roark	id=g:4128563
Roark Bluff	id=g:4128564
Roark Creek	id=g:4128565
Roaring Spring	id=g:4128566
Roasting Ear Creek	id=g:4128567
Roasting Ear Church	id=g:4128568
Township of Roasting Ear	id=g:4128569
Rob Roy	id=g:4128570
Rob Roy Bridge	id=g:4128571
Rob Roy Shoal	id=g:4128572
Robbins Cemetery	id=g:4128573
Robbins Cemetery	id=g:4128574
Robbins Lake Dam	id=g:4128575
Robbs Chapel Baptist Church	id=g:4128576
Robe Bayou	id=g:4128577
Roberson Hollow	id=g:4128578
Roasting Ear School (historical)	id=g:4128579
Robert E Lee Elementary School	id=g:4128580
Robert Fulbright Public Library	id=g:4128581
Robert L Davis Elementary School	id=g:4128582
Robert L Davis Elementary School	id=g:4128583
Robert W Young Memorial Stadium	id=g:4128584
Roberta Island School	id=g:4128585
Roberts (historical)	id=g:4128586
Roberts (historical)	id=g:4128587
Roberts Branch	id=g:4128588
Robert Chris McIntosh Airport	id=g:4128589
Roberts Cemetery	id=g:4128590
Roberts Creek	id=g:4128591
Roberts Cemetery	id=g:4128592
Roberts Lake	id=g:4128593
Roberts Lake Dam	id=g:4128594
Roberts Mine	id=g:4128595
Roberts Minnow Pond Dam	id=g:4128596
Roberts Mountain	id=g:4128597
Roberts Pond	id=g:4128598
Township of Roberts	id=g:4128599
Roberts-Penix Cemetery	id=g:4128600
Robertson Airport	id=g:4128601
Robertson Branch	id=g:4128602
Roberts Gap Church	id=g:4128603
Robertson Branch	id=g:4128604
Robertson Creek	id=g:4128605
Robertson Creek	id=g:4128606
Robertson Hill	id=g:4128607
Robertson School (historical)	id=g:4128608
Robertsville	id=g:4128609
Robertsville Cemetery	id=g:4128610
Robin Slough	id=g:4128611
Robertson Hill	id=g:4128612
Robinson	id=g:4128613
Robinson AAF/NG Airport	id=g:4128614
Robinson Bay	id=g:4128615
Robinson Bay	id=g:4128616
Robinson Branch	id=g:4128617
Robins Lake	id=g:4128618
Robinson Cemetery	id=g:4128619
Robinson Cemetery	id=g:4128620
Robinson Cemetery	id=g:4128621
Robinson Cemetery	id=g:4128622
Robinson Creek	id=g:4128623
Robinson Cemetery	id=g:4128624
Robinson Creek	id=g:4128625
Robinson Elementary School	id=g:4128626
Robinson Estate Upper Lake Dam	id=g:4128627
Robinson Ferry (historical)	id=g:4128628
Robinson High School	id=g:4128629
Robinson Hill	id=g:4128630
Robinson Hollow	id=g:4128631
Robinson Estate Lower Lake Dam	id=g:4128632
Robinson Lake	id=g:4128633
Robinson Lake	id=g:4128634
Robinson Lake	id=g:4128635
Robinson Lake	id=g:4128636
Robinson Lake Dam	id=g:4128637
Robinson Lake Dam	id=g:4128638
Robinson Lake Dam	id=g:4128639
Robinson Mountain	id=g:4128640
Robinson Point Church	id=g:4128641
Robinson Point Landing	id=g:4128642
Robinson Point Use Area	id=g:4128643
Robinson Primary School	id=g:4128644
Robinson School	id=g:4128645
Robinson School	id=g:4128646
Robinson School (historical)	id=g:4128647
Robinson Store (historical)	id=g:4128648
Robson School	id=g:4128649
Roby Hollow	id=g:4128650
Robinson Junior High School	id=g:4128651
Roc Roe Bayou	id=g:4128652
Roc House Hollow	id=g:4128653
Roc Roe Lake	id=g:4128654
Township of Roc Roe	id=g:4128655
Township of Roc Roe	id=g:4128656
Rochelle Riviera	id=g:4128657
Rock	id=g:4128658
Rock Bridge Creek	id=g:4128659
Roc Roe Cemetery	id=g:4128660
Rock Canyon	id=g:4128661
Rock Castle Hollow	id=g:4128662
Rock Cemetery	id=g:4128663
Rock Church	id=g:4128664
Rock Creek	id=g:4128665
Rock Chapel	id=g:4128666
Rock Creek	id=g:4128667
Rock Creek	id=g:4128668
Rock Creek	id=g:4128669
Rock Creek	id=g:4128670
Rock Creek	id=g:4128671
