Arumbakkam	id=g:1465583
Chinnakudal	id=g:1465584
Shenoy Nagar	id=g:1465585
Aminjikarai	id=g:1465586
Peravallur	id=g:1465587
Siruvallur	id=g:1465588
Erukkancheri	id=g:1465589
Vyasarpadi	id=g:1465590
Kodangiyur	id=g:1465591
Jambuli	id=g:1465592
Kuppam	id=g:1465593
Madhavaram	id=g:1465594
Chinnasekkadu	id=g:1465595
Pudu Vannarpet	id=g:1465596
Arunachaleswaranpet	id=g:1465597
Varadancheri	id=g:1465598
Sanjivarayanpet	id=g:1465599
Korukkupet	id=g:1465600
Tondiarpet	id=g:1465601
Korukkupet	id=g:1465602
Washermanpet	id=g:1465603
Kusapet	id=g:1465604
Meenakshiammanpet	id=g:1465605
Salt Cotaurs	id=g:1465606
Periamet	id=g:1465607
Chintadripet	id=g:1465608
Fort	id=g:1465609
Saint Andrew’s Bridge	id=g:1465610
Law’s Bridge	id=g:1465611
Hutton Bridge	id=g:1465612
Hospital Bridge	id=g:1465613
Willingdon Bridge	id=g:1465614
Napier’s Bridge	id=g:1465615
Madavakam	id=g:1465616
Kilpauk	id=g:1465617
Chetput	id=g:1465618
Park	id=g:1465619
Walajah Bridge	id=g:1465620
Maduraivayal	id=g:1465621
Porur	id=g:1465622
Mugalivakkam	id=g:1465623
Manappakkam	id=g:1465624
Palavantangai	id=g:1465625
Adambakkam	id=g:1465626
Guindy	id=g:1465627
Guindy National Park	id=g:1465628
Marmalang Bridge	id=g:1465629
Saidapet	id=g:1465630
Koyambedu	id=g:1465631
Vadapalani	id=g:1465632
Saligramam	id=g:1465633
Kodambakkam	id=g:1465634
Puliyur	id=g:1465635
Mambalam	id=g:1465636
Kodambakkam	id=g:1465637
Nungambakkam	id=g:1465638
College Bridge	id=g:1465639
Commander-in-Chief Bridge	id=g:1465640
Elephinstone Bridge	id=g:1465641
Elliot’s Beach	id=g:1465642
Kasturiba Nagar	id=g:1465643
Kotturpuram	id=g:1465644
Pallipatu	id=g:1465645
Alwarpet	id=g:1465646
Raja Annamalaipuram	id=g:1465647
Teynampet	id=g:1465648
Marina Beach	id=g:1465649
Cooum River	id=g:1465650
Kulattur	id=g:1465688
Poompuhar	id=g:1465689
Kambar Nagar	id=g:1465690
Balaji Nagar	id=g:1465692
Jawaharnagar	id=g:1465693
Perambur Locoworks	id=g:1465694
Perambur Carriage Works	id=g:1465695
Eagangipuram	id=g:1465698
Thiru-Vi-Ka Nagar	id=g:1465699
Thiru-Vi-Ka Nagar	id=g:1465700
Ponniammanmedu	id=g:1465707
Selaivayal	id=g:1465708
Kodungaiyur	id=g:1465709
Karunanidhi Nagar	id=g:1465710
Durga Nagar	id=g:1465711
Kumaran Nagar	id=g:1465712
Doctor Radhakrishna Nagar	id=g:1465713
Mettupalaiyam	id=g:1465714
Jeeva Nagar North	id=g:1465716
Jeeva Nagar South	id=g:1465717
Cherian Nagar North	id=g:1465718
Cherian Nagar South	id=g:1465719
Grace Garden	id=g:1465720
Sathiya Moorthy Nagar	id=g:1465721
Washermanpet	id=g:1465722
Basin Bridge	id=g:1465723
Thattan Kolam	id=g:1465724
Peddanaikenpet	id=g:1465725
Seven Wells	id=g:1465726
Mannady	id=g:1465727
Muthialpet	id=g:1465728
Sowcarpet	id=g:1465729
Park Town	id=g:1465730
Park Town	id=g:1465731
Doctor Radhakrishna Nagar South	id=g:1465732
Kumaraswamy Nagar South	id=g:1465733
Kumarasamy Nagar North	id=g:1465734
Doctor Vijayaraghavulu Nagar	id=g:1465735
Vyasarpadi Jeeva	id=g:1465736
Singara Garden	id=g:1465773
Choolai	id=g:1465774
Pudupet	id=g:1465776
Chintadripet	id=g:1465777
Komaleeswaranpet	id=g:1465778
Nehru Nagar	id=g:1465779
Chepauk	id=g:1465780
Triplicane	id=g:1465781
Amir Mahal	id=g:1465783
Krishnampet	id=g:1465784
Barathidasan Nagar	id=g:1465785
Light House	id=g:1465786
Royapettah	id=g:1465787
Gopalapuram	id=g:1465789
Chepauk	id=g:1465790
Puliantope	id=g:1465791
Santhi Nagar	id=g:1465792
Wadia Nagar	id=g:1465794
Moolakadai	id=g:1465795
Otteri Nullah	id=g:1465796
Siruvallur	id=g:1465799
Thathankuppam	id=g:1465800
Anna Nagar West	id=g:1465801
Anna Nagar	id=g:1465802
Kilpauk Garden	id=g:1465803
Otteri	id=g:1465804
Doveton	id=g:1465805
Mehtanagar	id=g:1465806
Kothawal Chavadi	id=g:1465807
Chinmaya Nagar	id=g:1465808
Virugambakkam	id=g:1465809
Padmanabha Nagar	id=g:1465810
Choolai Medu	id=g:1465811
Trustpuram	id=g:1465812
Periyar Nagar	id=g:1465813
Ko-Su-Mani Nagar	id=g:1465814
Satyamurti Nagar	id=g:1465815
Thousand Lights	id=g:1465816
Azhagiri Nagar	id=g:1465817
Navalar Nedunchezian Nagar	id=g:1465818
Tirumailai	id=g:1465819
Manthaiveli	id=g:1465820
Besant Nagar	id=g:1465821
Velachcheri	id=g:1465822
Ganesapuram	id=g:1465823
Nazarathpuram	id=g:1465824
Madipakkam	id=g:1465825
Ullagaram	id=g:1465826
Taramani	id=g:1465827
Perungudi	id=g:1465828
Kotivakkam	id=g:1465829
Nesapakkam	id=g:1465830
Ekkattuthangal	id=g:1465831
Jaffarkhanpet	id=g:1465832
Ashok Nagar	id=g:1465833
Kamaraja Nagar	id=g:1465834
Appavoo Nagar	id=g:1465835
Thodhunter Nagar	id=g:1465837
Nandanam	id=g:1465838
Abhiramapuram	id=g:1465839
Shastri Nagar	id=g:1465840
Indira Nagar	id=g:1465841
Saint Thomas Mount	id=g:1465842
Srinagar	id=g:1465843
Rangarajapuram	id=g:1465844
Sivaram	id=g:1465852
Kilkattalai	id=g:1465853
Uttandi	id=g:1465854
Nāvalūr	id=g:1465855
Siruseri	id=g:1465856
Mambakkam	id=g:1465857
Talabur	id=g:1465859
Mulacheri	id=g:1465860
Ottiyanbakkam	id=g:1465861
Agaram	id=g:1465862
Kovilancheri	id=g:1465864
Arasankalani	id=g:1465865
Nanmangalam	id=g:1465866
Rajakilpakkam	id=g:1465867
Vengavasal	id=g:1465868
Perumbakkam	id=g:1465869
Meddappakkam	id=g:1465870
Pallijkarani	id=g:1465871
Kullattūr	id=g:1465872
Kavanur	id=g:1465873
Tirurāgeswaram	id=g:1465874
Anakaputtur	id=g:1465875
Nandambakkam	id=g:1465879
Tirumudipakkam	id=g:1465880
Kallamchavadi	id=g:1465881
Selaiyu	id=g:1465882
Alapakam	id=g:1465883
Kolapakkam	id=g:1465885
Keranaipudchcheri	id=g:1465886
Unamaucheri	id=g:1465888
Pedappai	id=g:1465889
Irumbedu	id=g:1465891
Malaipattu	id=g:1465893
Opattur	id=g:1465894
Settippattu	id=g:1465895
Amarambedu	id=g:1465896
Perunkalattu	id=g:1465899
Mudichchur	id=g:1465900
Karasangal	id=g:1465902
Pennalūr	id=g:1465903
Siruppanahieri	id=g:1465905
Mannivakkam	id=g:1465906
Kilpadappai	id=g:1465907
Adanur	id=g:1465908
Karakkamangal	id=g:1465909
Madambakkam	id=g:1465910
Todukkadu	id=g:1465911
Kandigai	id=g:1465913
Oragadam	id=g:1465914
Kammankatteri	id=g:1465915
Vaiyapur	id=g:1465916
Vallakottai	id=g:1465917
Vallam	id=g:1465918
Perinjambâkkam	id=g:1465920
Pattanur	id=g:1465921
Gunduperumbedu	id=g:1465922
Pondūr	id=g:1465924
Pillappākkam	id=g:1465925
Sānārāpaiaiyam	id=g:1465926
Srīperumbūdūr Tank	id=g:1465927
Pākkipuram	id=g:1465944
Kondakarainattam	id=g:1465946
Mettuppālaiyam	id=g:1465968
Mettuppālaiyam	id=g:1465969
Uembilivaram	id=g:1465970
Nodlūr	id=g:1465971
Mukhdwāram	id=g:1465972
Vellivāyal	id=g:1465973
Kuruvimedu	id=g:1465975
Pudupalaiyam	id=g:1465977
Angādu	id=g:1465979
Pannivākkam	id=g:1465981
Vilangādupākkam	id=g:1465982
Alinjivākkam	id=g:1465983
Vadapurambākkam	id=g:1465984
Vichchūr	id=g:1465985
Perungāvūr	id=g:1465988
Eranavur	id=g:1465989
Erumaivettippālaiyam	id=g:1465990
Edmpālaiyam	id=g:1465992
Kosappūr	id=g:1465994
Elandacheri	id=g:1465996
Sadaiyankuppam	id=g:1465997
Attippattu	id=g:1466002
Thirumullaivoyal	id=g:1466004
Sūrappattu	id=g:1466005
Manjambākkam	id=g:1466007
Kattrivedu	id=g:1466008
Nalambūr	id=g:1466010
Villivākkam	id=g:1466011
Nerkunram	id=g:1466012
Tirurāgeswaram	id=g:1466017
Kaikalapettai	id=g:1466019
