Phumĭ Sânchâng	id=g:1825053
Phumĭ San	id=g:1825054
Phumĭ Sâmtung	id=g:1825055
Phumĭ Samsĕb	id=g:1825056
Phumĭ Sâmrĭtthĭ	id=g:1825057
Phumĭ Sâmrĕtth Chey	id=g:1825058
Phumĭ Sâmrĕt	id=g:1825059
Phumĭ Sâmraông (3)	id=g:1825060
Phumĭ Sâmrâong (3)	id=g:1825061
Phumĭ Sâmraông (2)	id=g:1825062
Phumĭ Sâmraông (2)	id=g:1825063
Phumĭ Sâmraông (2)	id=g:1825064
Phumĭ Sâmraông (2)	id=g:1825065
Phumĭ Sâmraông (1)	id=g:1825066
Phumĭ Sâmraông (1)	id=g:1825067
Phumĭ Sâmraông (1)	id=g:1825068
Phumĭ Sâmraông (1)	id=g:1825069
Phumĭ Sâmraông (1)	id=g:1825070
Phumĭ Sâmraông (1)	id=g:1825071
Phumĭ Sâmraông (1)	id=g:1825072
Phumĭ Sâmraông (1)	id=g:1825073
Phumĭ Sâmraông (1)	id=g:1825074
Phumĭ Sâmraông (1)	id=g:1825075
Phumĭ Sâmraông Yéa	id=g:1825076
Phumĭ Sâmraông Yéa	id=g:1825077
Phumĭ Sâmraông Vôtt	id=g:1825078
Phumĭ Sâmraông Véal	id=g:1825079
Phumĭ Sâmraông Tông Tbong	id=g:1825080
Phumĭ Sâmraông Thum (1)	id=g:1825081
Phumĭ Sâmraông Thum	id=g:1825082
Phumĭ Sâmraông Thum	id=g:1825083
Phumĭ Sâmraông Téav	id=g:1825084
Phumĭ Sâmraông Sên	id=g:1825085
Phumĭ Sâmraông Leu	id=g:1825086
Phumĭ Sâmraông Kraôm	id=g:1825087
Phumĭ Sâmraông Krâchák	id=g:1825088
Phumĭ Sâmraông K’ê	id=g:1825089
Phumĭ Sâmraông Kânhchaôch	id=g:1825090
Phumĭ Sâmraông Kândal	id=g:1825091
Phumĭ Sâmraông Chĕn	id=g:1825092
Phumĭ Sâmraông	id=g:1825093
Phumĭ Sâmraông	id=g:1825094
Phumĭ Sâmraông	id=g:1825095
Phumĭ Sâmraông	id=g:1825096
Phumĭ Sâmraông	id=g:1825097
Phumĭ Sâmraông	id=g:1825098
Phumĭ Sâmraông	id=g:1825099
Phumĭ Sâmraông	id=g:1825100
Phumĭ Sâmraông	id=g:1825101
Phumĭ Sâmraông	id=g:1825102
Phumĭ Sâmraông	id=g:1825103
Phumĭ Sâmraông	id=g:1825104
Phumĭ Sâmraông	id=g:1825105
Phumĭ Sâmraông	id=g:1825106
Phumĭ Sâmraông	id=g:1825107
Phumĭ Sâmraông	id=g:1825108
Phumĭ Sâmraông	id=g:1825109
Phumĭ Sâmraông	id=g:1825110
Phumĭ Sâmraông	id=g:1825111
Phumĭ Sâmraông	id=g:1825112
Phumĭ Sâmraông	id=g:1825113
Phumĭ Sâmraông	id=g:1825114
Phumĭ Sâmraông	id=g:1825115
