Belesa	id=g:342429
Belesa	id=g:342430
Belesa	id=g:342431
Belenta	id=g:342432
Belēnsa Shet’	id=g:342433
Belenē Shet’	id=g:342434
Belelē	id=g:342435
Belekīya Terara	id=g:342436
Beleho	id=g:342438
Beleghes	id=g:342439
Belef Oha	id=g:342440
Beledika Shet’	id=g:342441
Belecta	id=g:342442
Belebē Shet’	id=g:342444
Bele	id=g:342445
Bele	id=g:342446
Beldoesu	id=g:342447
Belcoac	id=g:342448
Belcane	id=g:342449
Belbiso	id=g:342450
Belbelo	id=g:342451
Belbelītī	id=g:342452
Belbelēytī YeTerara Senselet	id=g:342453
Belbela YeTerara Ch’af	id=g:342454
Belbela Wenz	id=g:342455
Belayah	id=g:342456
Belaya	id=g:342457
Belaya	id=g:342458
Belat Medhanē ‘Alem Bēte Kristīyan	id=g:342459
Belat	id=g:342460
Belat	id=g:342461
Jabal Belangashe	id=g:342462
Belamba Casci	id=g:342463
Belale	id=g:342464
Bela‘ito	id=g:342465
Belaita	id=g:342467
Belaho YeTerara Senselet	id=g:342468
Bela Harē	id=g:342469
Belad Deroz	id=g:342470
Bēla	id=g:342471
Bek’o Wenz	id=g:342472
Bekolo	id=g:342473
Bekola	id=g:342474
Bekola	id=g:342475
Bekojo	id=g:342476
Bek’ojī Shet’	id=g:342477
Bek’ojī	id=g:342478
Bek’ī	id=g:342479
Bekē Tereter	id=g:342480
Bekē Shet’	id=g:342481
Bēkē Rērē	id=g:342482
Bekeno	id=g:342483
Bekenīsa Shet’	id=g:342484
Bekenīsa	id=g:342485
Bekenīsa	id=g:342486
Bek’elen	id=g:342487
Bek’elen	id=g:342488
Bēk’elē	id=g:342489
Bekeksa	id=g:342490
Bekekī Shet’	id=g:342491
Beke K’elu	id=g:342492
Bekē K’alu Terara	id=g:342493
Bek’ek’a	id=g:342494
Bekeka	id=g:342495
Bekē Halo Shet’	id=g:342496
Bekē Halo	id=g:342497
Bekē Gudu	id=g:342498
Bek’eda	id=g:342499
Bekē	id=g:342500
Bekē	id=g:342501
Bekē	id=g:342502
Bekē	id=g:342503
Bekē	id=g:342504
Bekarī YeTerara Senselet	id=g:342505
Bekarē De’ār Shet’	id=g:342506
Beka	id=g:342507
Bejro Be‘ale Weld Bēte Kristīyan	id=g:342508
Bejro	id=g:342509
Bejobasa	id=g:342510
Beit Ali	id=g:342511
Beirat	id=g:342512
Beigi	id=g:342513
Beieda	id=g:342514
Behā Shet’	id=g:342523
Beha Bota	id=g:342524
Beha	id=g:342525
Beguoco	id=g:342526
Begole’ā	id=g:342527
Bego Ch’erek’a	id=g:342528
