Roger Bay	id=g:6203344
Manawahei Nugget	id=g:6203345
The Snuggery	id=g:6203346
Sydney Cove	id=g:6203347
Ulva Island	id=g:6203348
Boulder Beach	id=g:6203349
Tamihau Island	id=g:6203350
Pillar Rock	id=g:6203351
West End Beach	id=g:6203352
Blandmange Rock	id=g:6203353
One Tree Rock	id=g:6203354
Flagstaff Point	id=g:6203355
Papatiki Bay	id=g:6203356
Manning Bay	id=g:6203357
Pipi Rocks	id=g:6203358
Schoolhouse Point (Chasland)	id=g:6203359
High Point	id=g:6203360
Halfmoon Bay	id=g:6203361
Rakiura Track	id=g:6203362
Linklater Bay	id=g:6203363
Kidney Fern Island	id=g:6203364
Rakiura Track	id=g:6203365
Kaipipi Walk	id=g:6203366
Ryans Creek Walk	id=g:6203367
Fern Gully	id=g:6203368
Pinch Gut	id=g:6203369
Sandhill Beach	id=g:6203370
Ringaringa Passage	id=g:6203371
Wohlers Monument	id=g:6203372
Moses Nugget	id=g:6203373
Ringaringa Point	id=g:6203374
Deep Bay	id=g:6203375
Traills Bay	id=g:6203376
Moses Corner	id=g:6203377
East End	id=g:6203378
Peterson Hill	id=g:6203379
Thomson Bay	id=g:6203380
Lonnekers Point	id=g:6203381
Macrae Point	id=g:6203382
Golden Bay	id=g:6203383
Iona Island	id=g:6203384
Observation Rock	id=g:6203385
Scollay Rocks	id=g:6203386
Abbott Passage	id=g:6203387
Ackers Point	id=g:6203388
Barclay Rock	id=g:6203389
Harrold Bay	id=g:6203390
Fisherman Point	id=g:6203391
Evening Cove	id=g:6203392
Ringaringa Beach	id=g:6203393
Lonnekers Beach	id=g:6203394
Bathing Beach	id=g:6203395
Bragg Bay	id=g:6203396
Butterfield Beach	id=g:6203397
Louis Point	id=g:6203398
Hicks Point	id=g:6203399
Old Mill Nugget	id=g:6203400
Leask Bay	id=g:6203401
Sarah Cove	id=g:6203402
Jensen Bay	id=g:6203403
Wast Point	id=g:6203404
Big Rock	id=g:6203405
Fly Point	id=g:6203406
Little Bay	id=g:6203407
Bragg Point	id=g:6203408
Dead Man Beach	id=g:6203409
Horseshoe Point	id=g:6203410
Frenchmans Beach	id=g:6203411
Horseshoe Nugget	id=g:6203412
Mamaku Point	id=g:6203413
Nathans Island	id=g:6203414
Fish Rock	id=g:6203415
Polybank Shoal	id=g:6203416
Wairau Shoal	id=g:6203417
Jacky Lee Island (Pukeokaoka)	id=g:6203418
Maria Higgins Rock	id=g:6203419
Womens Island	id=g:6203420
Zero Rock	id=g:6203421
Herekopare Island (Te Marama)	id=g:6203422
Carter Passage	id=g:6203423
Fast Rock	id=g:6203424
Hunter Beach	id=g:6203425
Lowrys Beach	id=g:6203426
Back Beach	id=g:6203427
Cooper Bay	id=g:6203428
Tarawera	id=g:6203429
Fifes Point	id=g:6203430
Karimoni Beach	id=g:6203431
Kaiaho Rock	id=g:6203432
Joss Bay	id=g:6203433
Buller Bay	id=g:6203434
Bullers Point (Anglem)	id=g:6203435
Whero Rock	id=g:6203436
Sprat Point	id=g:6203437
The Haystacks	id=g:6203438
Flat Rock	id=g:6203439
Big Sand Pass	id=g:6203440
Guide Rock	id=g:6203441
Lake Roxburgh	id=g:6203442
Kakapo Creek	id=g:6203443
Glaisnock River	id=g:6203444
Staircase Creek	id=g:6203445
Mirror Lake	id=g:6203446
Mount Elliot	id=g:6203447
Joes River	id=g:6203448
Surprise Creek	id=g:6203449
Neale Burn	id=g:6203450
Monkey Creek	id=g:6203451
Marian Creek	id=g:6203452
Divide Creek	id=g:6203453
Earland Falls	id=g:6203454
Lake Roberts	id=g:6203455
Caples River	id=g:6203456
Lake Lochie	id=g:6203457
Lake Iceberg	id=g:6203458
Flower Fall	id=g:6203459
Epidore Cataract	id=g:6203460
Clinton River North Branch	id=g:6203461
Dark River	id=g:6203462
Castle River	id=g:6203463
Clinton River West Branch	id=g:6203464
Hirere Falls	id=g:6203465
Clinton River	id=g:6203466
Lake Sumor	id=g:6203467
Prospect Creek	id=g:6203468
Lake Brownlee	id=g:6203469
Terminus Creek	id=g:6203470
Indecision Creek	id=g:6203471
McQueen Creek	id=g:6203472
Castle River	id=g:6203473
Worsley Stream	id=g:6203474
Saint Marys Falls	id=g:6203475
Worsley Arm	id=g:6203476
Franks Bay	id=g:6203477
Hals Bay	id=g:6203478
Saints Creek	id=g:6203479
Nitz Creek	id=g:6203480
Lake Te Anau	id=g:6203481
Lake Te Anau	id=g:6203482
Newton Creek	id=g:6203483
Narrows Creek	id=g:6203484
Billy Burn	id=g:6203485
Happy Cove	id=g:6203486
Safe Cove	id=g:6203487
Christie Falls	id=g:6203488
Lake Erskine	id=g:6203489
Bowmar Falls	id=g:6203490
Lake Ross	id=g:6203491
Neale Burn	id=g:6203492
Glade Burn	id=g:6203493
Hut Creek	id=g:6203494
Waterfall Creek	id=g:6203495
Murcott Burn	id=g:6203496
Mistake Creek	id=g:6203497
