Magnesite Creek	id=g:6241834
Cobb River	id=g:6241835
Skeet Creek	id=g:6241836
Galena Creek	id=g:6241837
Lake Sylvester	id=g:6241838
Little Sylvester Lake	id=g:6241839
Iron Lake	id=g:6241840
Lake Lillie	id=g:6241841
Lake Lockett	id=g:6241842
Ruby Lake	id=g:6241843
Cobb River	id=g:6241844
Waingaro River	id=g:6241845
Waingaro River	id=g:6241846
Waingaro River	id=g:6241847
Waingaro River	id=g:6241848
Lake Stanley	id=g:6241849
Stanley River	id=g:6241850
Stanley River	id=g:6241851
Lake Lindsay	id=g:6241852
Devil River	id=g:6241853
Lake Sparrow	id=g:6241854
Anatoki River	id=g:6241855
Anatoki River	id=g:6241856
The Slaty	id=g:6241857
Limestone Gully	id=g:6241858
Go Ahead Creek	id=g:6241859
Contact Creek	id=g:6241860
Campbell Creek	id=g:6241861
Waikoropupu River	id=g:6241862
Page Creek	id=g:6241863
Sheepy Creek	id=g:6241864
Handcock Creek	id=g:6241865
Paradise Creek	id=g:6241866
Beak Creek	id=g:6241867
Orator Creek	id=g:6241868
Owen Creek	id=g:6241869
Darby Pond	id=g:6241870
Parson Creek	id=g:6241871
Amphitheatre Creek	id=g:6241872
Portia Creek	id=g:6241873
Peter Creek	id=g:6241874
Mackenzie Creek	id=g:6241875
Rocky River	id=g:6241876
Snow River	id=g:6241877
Waterfall Creek	id=g:6241878
No Man Creek	id=g:6241879
Soper Creek	id=g:6241880
Slip Creek	id=g:6241881
Slate River	id=g:6241882
Slate River	id=g:6241883
Saxon River	id=g:6241884
Blue Duck Creek	id=g:6241885
Trocadero Creek	id=g:6241886
Sheep Creek	id=g:6241887
Corkscrew Creek	id=g:6241888
Tasmanian Creek	id=g:6241889
Big River	id=g:6241890
Big River	id=g:6241891
William Creek	id=g:6241892
Hidden Creek	id=g:6241893
Aorere River	id=g:6241894
Aorere River	id=g:6241895
Fowler Creek	id=g:6241896
Clark River	id=g:6241897
Burgoo Stream	id=g:6241898
Island Lake	id=g:6241899
Round Lake	id=g:6241900
Camp Lake	id=g:6241901
Hannah Creek	id=g:6241902
Myttons Creek	id=g:6241903
Cub Stream	id=g:6241904
Breakfast Creek	id=g:6241905
Downey Creek	id=g:6241906
Cavern Creek	id=g:6241907
Discovery Creek	id=g:6241908
Roaring Lion River	id=g:6241909
Beautiful River	id=g:6241910
Domett Creek	id=g:6241911
Ugly River	id=g:6241912
Ugly River	id=g:6241913
Lake Elmer	id=g:6241914
